DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2021-02-23,EQ,2.2,2.35,2.2,2.3,2.2,2.2,2.21,3.9,1.25,2190309,4849892.5,1176,KWALITY
2021-02-22,EQ,2.3,2.3,2.3,2.4,2.3,2.3,2.3,3.9,1.25,489495,1125838.5,481,KWALITY
2021-02-19,EQ,2.4,2.4,2.4,2.5,2.4,2.4,2.4,3.9,1.25,441744,1060185.6,619,KWALITY
2021-02-18,EQ,2.65,2.65,2.5,2.6,2.5,2.5,2.53,3.9,1.25,1377851,3484809.05,1277,KWALITY
2021-02-17,EQ,2.65,2.7,2.6,2.7,2.65,2.6,2.63,3.9,1.25,1680031,4418244.05,999,KWALITY
2021-02-16,EQ,2.85,2.85,2.65,2.75,2.75,2.7,2.76,3.9,1.25,873138,2409214.25,606,KWALITY
2021-02-15,EQ,2.7,2.75,2.65,2.65,2.75,2.75,2.7,3.9,1.25,610456,1648648.6,619,KWALITY
2021-02-12,EQ,2.7,2.7,2.65,2.7,2.7,2.65,2.68,3.9,1.25,507044,1357674.95,528,KWALITY
2021-02-11,EQ,2.7,2.7,2.65,2.7,2.7,2.7,2.67,3.9,1.25,337647,903117.35,441,KWALITY
2021-02-10,EQ,2.75,2.8,2.65,2.75,2.7,2.7,2.7,3.9,1.25,563445,1521531.2,819,KWALITY
2021-02-09,EQ,2.75,2.75,2.7,2.7,2.7,2.75,2.73,3.9,1.25,490912,1337843.75,1171,KWALITY
2021-02-08,EQ,2.7,2.75,2.7,2.7,2.75,2.7,2.73,3.9,1.25,509806,1389816.0,1214,KWALITY
2021-02-05,EQ,2.8,2.8,2.7,2.75,2.75,2.7,2.74,3.9,1.25,518125,1422032.1,583,KWALITY
2021-02-04,EQ,2.7,2.8,2.7,2.75,2.8,2.75,2.76,3.9,1.25,409523,1130072.7,596,KWALITY
2021-02-03,EQ,2.7,2.8,2.65,2.7,2.75,2.75,2.73,3.9,1.25,779000,2127155.15,652,KWALITY
2021-02-02,EQ,2.8,2.8,2.7,2.75,2.7,2.7,2.74,3.9,1.25,471493,1290240.7,556,KWALITY
2021-02-01,EQ,2.85,2.9,2.75,2.8,2.75,2.75,2.83,3.9,1.25,1064564,3008470.2,910,KWALITY
2021-01-29,EQ,2.75,2.8,2.7,2.7,2.8,2.8,2.8,3.9,1.25,254146,710452.1,180,KWALITY
2021-01-28,EQ,2.55,2.7,2.5,2.6,2.7,2.7,2.6,3.9,1.25,703562,1830531.35,643,KWALITY
2021-01-27,EQ,2.7,2.7,2.6,2.7,2.6,2.6,2.62,3.9,1.25,542219,1418946.6,713,KWALITY
2021-01-25,EQ,2.85,2.9,2.7,2.8,2.7,2.7,2.75,3.9,1.25,1046691,2876272.75,1011,KWALITY
2021-01-22,EQ,2.6,2.8,2.6,2.7,2.8,2.8,2.71,3.9,1.25,3440652,9326075.8,1419,KWALITY
