DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2022-12-30,EQ,11.4,11.9,11.35,11.35,11.9,11.9,11.83,17.0,8.0,278393,3294640.9,221,LGBFORGE
2022-12-29,EQ,11.25,11.35,11.0,10.85,11.35,11.35,11.26,17.0,8.0,616141,6938289.1,618,LGBFORGE
2022-12-28,EQ,10.35,10.85,10.3,10.35,10.85,10.85,10.68,17.0,8.0,149985,1601894.85,293,LGBFORGE
2022-12-27,EQ,10.45,10.7,10.1,10.25,10.5,10.35,10.35,17.0,8.0,158676,1642684.7,348,LGBFORGE
2022-12-26,EQ,9.7,10.4,9.6,10.1,10.25,10.25,9.88,17.0,8.0,263389,2602916.95,558,LGBFORGE
2022-12-23,EQ,10.3,10.5,10.1,10.6,10.1,10.1,10.21,17.0,8.0,113184,1155603.85,244,LGBFORGE
2022-12-22,EQ,10.9,11.45,10.45,10.95,10.7,10.6,11.0,17.0,8.0,1342272,14771530.95,1233,LGBFORGE
2022-12-21,EQ,11.4,11.4,10.6,10.9,10.9,10.95,11.28,17.0,8.0,1566586,17672260.1,1217,LGBFORGE
2022-12-20,EQ,10.9,10.9,10.9,10.4,10.9,10.9,10.9,17.0,6.15,141316,1540344.4,75,LGBFORGE
2022-12-19,EQ,10.4,10.4,10.4,9.95,10.4,10.4,10.4,17.0,5.9,69961,727594.4,82,LGBFORGE
2022-12-16,EQ,9.6,9.95,9.4,9.5,9.95,9.95,9.84,17.0,5.9,391789,3855156.4,204,LGBFORGE
2022-12-15,EQ,9.6,9.65,9.45,9.55,9.45,9.5,9.54,17.0,5.9,100249,956708.15,294,LGBFORGE
2022-12-14,EQ,9.55,9.75,9.5,9.55,9.65,9.55,9.57,17.0,5.9,113324,1084694.7,243,LGBFORGE
2022-12-13,EQ,9.55,9.65,9.5,9.45,9.65,9.55,9.56,17.0,5.9,124842,1193486.7,309,LGBFORGE
2022-12-12,EQ,9.75,9.75,9.3,9.55,9.5,9.45,9.42,17.0,5.9,168543,1588412.85,371,LGBFORGE
2022-12-09,EQ,9.7,9.8,9.5,9.55,9.5,9.55,9.65,17.0,5.9,69822,674018.85,216,LGBFORGE
2022-12-08,EQ,9.85,9.85,9.55,9.65,9.65,9.55,9.63,17.0,5.9,61637,593331.3,182,LGBFORGE
2022-12-07,EQ,9.75,9.8,9.6,9.65,9.65,9.65,9.68,17.0,5.9,63842,618005.3,174,LGBFORGE
