DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2022-12-30,EQ,361.7,364.0,354.35,358.85,356.45,355.55,357.46,385.0,255.0,37989,13579487.15,2953,LINCOLN
2022-12-29,EQ,344.5,359.8,344.5,342.4,359.0,358.85,354.36,385.0,255.0,110242,39064921.05,5801,LINCOLN
2022-12-28,EQ,338.55,345.75,336.35,342.65,343.45,342.4,342.64,385.0,255.0,66456,22770352.7,2618,LINCOLN
2022-12-27,EQ,343.95,347.45,340.25,341.4,342.35,342.65,342.69,385.0,255.0,43815,15014754.25,1839,LINCOLN
2022-12-26,EQ,333.5,363.0,333.5,336.0,343.9,341.4,342.49,385.0,255.0,46809,16031737.5,3420,LINCOLN
2022-12-23,EQ,340.4,349.0,330.6,341.45,339.0,336.0,340.24,385.0,255.0,129312,43997190.45,6711,LINCOLN
2022-12-22,EQ,358.35,363.55,339.0,358.25,341.4,341.45,351.73,385.0,255.0,97952,34452945.25,5978,LINCOLN
2022-12-21,EQ,373.3,374.35,354.45,370.55,358.95,358.25,364.92,385.0,255.0,101759,37134042.3,5474,LINCOLN
2022-12-20,EQ,365.8,373.95,364.05,368.75,369.7,370.55,368.67,385.0,255.0,37909,13976071.3,2283,LINCOLN
2022-12-19,EQ,362.0,379.05,360.0,366.65,369.25,368.75,372.63,385.0,255.0,76714,28585883.05,3802,LINCOLN
2022-12-16,EQ,369.9,369.9,362.3,363.5,366.4,366.65,367.28,385.0,255.0,88364,32453925.05,3484,LINCOLN
2022-12-15,EQ,363.0,377.0,359.55,362.3,363.9,363.5,369.14,385.0,255.0,145323,53644603.85,5777,LINCOLN
2022-12-14,EQ,362.7,364.25,355.0,362.7,363.7,362.3,361.17,385.0,255.0,38965,14072951.0,1970,LINCOLN
2022-12-13,EQ,363.25,368.0,361.1,361.35,364.4,362.7,364.07,385.0,255.0,44333,16140484.3,2542,LINCOLN
2022-12-12,EQ,351.0,368.0,351.0,350.45,364.75,361.35,362.53,385.0,255.0,136452,49468526.2,6652,LINCOLN
2022-12-09,EQ,354.85,361.7,347.55,352.65,351.95,350.45,355.68,385.0,255.0,109989,39121324.8,4145,LINCOLN
2022-12-08,EQ,347.8,361.75,347.8,346.1,353.6,352.65,356.92,385.0,255.0,208037,74252530.45,7582,LINCOLN
2022-12-07,EQ,350.0,354.8,306.3,352.1,347.0,346.1,345.67,385.0,255.0,117802,40720790.85,4575,LINCOLN
2022-12-06,EQ,349.8,355.0,349.3,348.75,353.9,352.1,351.4,385.0,255.0,74342,26123518.45,3574,LINCOLN
2022-12-05,EQ,339.95,354.9,338.05,338.2,353.0,348.75,344.77,385.0,255.0,118617,40895209.8,3123,LINCOLN
2022-12-02,EQ,339.55,344.05,336.2,340.85,337.0,338.2,340.06,385.0,255.0,38740,13173979.8,2394,LINCOLN
2022-12-01,EQ,338.0,343.0,335.35,337.8,340.75,340.85,339.43,385.0,255.0,125595,42631093.0,3698,LINCOLN
2022-11-30,EQ,328.9,340.95,323.0,326.0,336.0,337.8,332.09,385.0,255.0,178692,59341601.75,4702,LINCOLN
2022-11-29,EQ,334.4,334.4,322.55,325.45,325.25,326.0,326.78,385.0,255.0,70381,22999129.55,2402,LINCOLN
2022-11-28,EQ,322.55,335.55,318.5,322.55,330.0,325.45,328.93,385.0,255.0,135936,44713105.15,4768,LINCOLN
2022-11-25,EQ,328.75,328.95,321.15,325.85,321.6,322.55,323.51,385.0,255.0,48985,15847136.75,2086,LINCOLN
2022-11-24,EQ,327.4,329.95,323.9,324.15,326.0,325.85,326.69,385.0,255.0,44345,14487005.95,2095,LINCOLN
2022-11-23,EQ,329.1,329.95,321.7,325.85,324.1,324.15,326.47,385.0,255.0,53494,17464295.15,2383,LINCOLN
2022-11-22,EQ,327.0,329.9,319.0,322.45,325.85,325.85,325.91,385.0,255.0,227629,74187449.5,5758,LINCOLN
2022-11-21,EQ,308.0,324.95,307.15,304.5,324.5,322.45,317.78,385.0,255.0,326685,103813013.25,7253,LINCOLN
2022-11-18,EQ,303.0,305.8,296.05,300.65,304.5,304.5,302.14,385.0,255.0,51571,15581895.15,1960,LINCOLN
2022-11-17,EQ,298.45,302.45,298.45,298.45,299.95,300.65,299.77,385.0,255.0,55391,16604710.5,904,LINCOLN
2022-11-16,EQ,303.75,304.95,297.6,302.4,300.0,298.45,299.99,385.0,255.0,65856,19755969.15,1451,LINCOLN
2022-11-15,EQ,307.45,308.75,302.0,305.4,302.0,302.4,304.88,385.0,255.0,36693,11187135.6,1769,LINCOLN
2022-11-14,EQ,303.05,307.8,300.35,303.05,305.0,305.4,305.26,385.0,255.0,31664,9665845.85,1865,LINCOLN
2022-11-11,EQ,310.0,310.0,301.05,305.45,301.05,303.05,306.46,385.0,255.0,53262,16322830.55,2084,LINCOLN
2022-11-10,EQ,300.0,311.0,297.0,300.3,305.8,305.45,305.0,385.0,255.0,211719,64573989.2,5576,LINCOLN
2022-11-09,EQ,307.75,307.75,298.6,303.75,301.85,300.3,303.87,385.0,255.0,40808,12400455.65,1066,LINCOLN
