DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2022-12-30,EQ,399.0,440.0,395.7,398.9,410.15,410.2,413.35,446.95,220.0,58576,24212459.35,3176,LINC
2022-12-29,EQ,396.45,400.95,388.55,395.2,397.5,398.9,397.63,446.95,220.0,18948,7534262.1,1053,LINC
2022-12-28,EQ,369.9,402.0,368.2,371.65,395.0,395.2,392.73,446.95,220.0,43153,16947663.7,2351,LINC
2022-12-27,EQ,376.75,383.45,359.0,379.25,373.3,371.65,372.22,446.95,220.0,32763,12195014.1,2139,LINC
2022-12-26,EQ,355.0,380.95,355.0,355.55,380.0,379.25,374.55,446.95,220.0,29426,11021459.15,1942,LINC
2022-12-23,EQ,385.0,391.25,350.35,390.5,355.0,355.55,363.0,446.95,220.0,56011,20331971.45,2248,LINC
2022-12-22,EQ,404.65,410.65,365.0,404.6,393.95,390.5,380.31,446.95,220.0,76560,29116429.6,3151,LINC
2022-12-21,EQ,428.0,430.45,375.55,420.35,403.75,404.6,400.88,446.95,220.0,38236,15327961.8,2229,LINC
2022-12-20,EQ,426.0,433.45,415.0,428.9,420.0,420.35,421.74,446.95,220.0,9444,3982902.25,899,LINC
2022-12-19,EQ,405.1,431.2,402.1,408.45,429.0,428.9,424.78,446.95,220.0,20505,8710199.35,1942,LINC
2022-12-16,EQ,421.05,428.0,400.55,422.95,411.0,408.45,412.05,446.95,220.0,22091,9102540.1,1460,LINC
2022-12-15,EQ,435.05,435.05,420.1,435.05,420.1,422.95,425.44,446.95,220.0,11800,5020150.5,1017,LINC
2022-12-14,EQ,425.0,444.0,418.1,424.95,433.1,435.05,434.04,446.95,220.0,28681,12448620.75,1886,LINC
2022-12-13,EQ,443.45,443.45,418.55,436.9,426.0,424.95,426.19,446.95,220.0,17289,7368397.1,1633,LINC
2022-12-12,EQ,421.55,446.95,411.25,428.8,436.1,436.9,434.8,446.95,220.0,63040,27409876.1,4621,LINC
2022-12-09,EQ,419.5,435.0,413.15,411.35,425.3,428.8,426.76,438.7,214.0,59930,25575892.05,2973,LINC
2022-12-08,EQ,406.2,412.3,404.6,404.8,412.0,411.35,409.87,438.7,214.0,10975,4498285.7,677,LINC
2022-12-07,EQ,418.0,418.0,400.55,410.8,402.5,404.8,408.82,438.7,214.0,15509,6340459.95,1096,LINC
2022-12-06,EQ,418.0,419.9,405.1,419.45,411.5,410.8,415.23,438.7,214.0,26013,10801282.95,1554,LINC
2022-12-05,EQ,388.95,438.7,388.95,384.1,415.9,419.45,423.61,438.7,214.0,284615,120565472.15,10711,LINC
2022-12-02,EQ,381.7,386.0,379.0,384.0,385.0,384.1,382.96,399.95,214.0,14213,5442973.7,832,LINC
2022-12-01,EQ,380.75,386.0,377.1,378.75,384.5,384.0,383.2,399.95,214.0,19180,7349770.45,1014,LINC
2022-11-30,EQ,383.0,390.0,371.5,383.25,375.1,378.75,384.33,399.95,214.0,17929,6890733.3,1013,LINC
2022-11-29,EQ,378.85,399.95,375.05,378.9,387.9,383.25,384.39,399.95,214.0,31438,12084561.65,1959,LINC
2022-11-28,EQ,375.15,382.65,375.0,379.9,378.75,378.9,377.7,394.6,214.0,17458,6593838.75,730,LINC
2022-11-25,EQ,387.0,388.0,375.0,379.4,378.25,379.9,381.8,394.6,214.0,27406,10463707.2,1534,LINC
2022-11-24,EQ,389.0,390.0,370.95,379.0,379.95,379.4,382.08,394.6,214.0,31470,12024121.1,2108,LINC
2022-11-23,EQ,360.0,394.6,354.35,356.7,377.55,379.0,382.63,394.6,214.0,83912,32107275.55,4862,LINC
2022-11-22,EQ,357.1,373.35,355.0,355.75,356.6,356.7,361.52,389.0,214.0,19633,7097812.25,1697,LINC
2022-11-21,EQ,359.95,366.0,345.15,357.35,356.7,355.75,356.4,389.0,214.0,15924,5675270.75,654,LINC
2022-11-18,EQ,364.25,376.0,340.15,364.25,357.0,357.35,353.5,389.0,214.0,34672,12256643.1,1363,LINC
2022-11-17,EQ,371.6,373.0,360.0,376.95,366.0,364.25,364.29,389.0,214.0,27741,10105690.5,946,LINC
2022-11-16,EQ,380.0,389.0,372.05,377.8,377.05,376.95,378.63,389.0,214.0,108325,41014643.6,2473,LINC
2022-11-15,EQ,337.05,384.75,336.7,340.8,379.7,377.8,373.43,384.75,214.0,190255,71047805.7,5838,LINC
2022-11-14,EQ,340.0,354.45,330.1,341.0,338.95,340.8,343.26,362.7,214.0,89171,30609000.65,2402,LINC
2022-11-11,EQ,350.7,356.8,330.1,347.85,341.0,341.0,345.57,362.7,214.0,101612,35114244.35,4266,LINC
2022-11-10,EQ,362.7,362.7,340.0,302.25,350.0,347.85,354.55,362.7,214.0,486040,172326296.85,11216,LINC
2022-11-09,EQ,299.2,309.0,295.1,293.85,303.0,302.25,303.99,339.45,214.0,29271,8897989.45,758,LINC
2022-11-07,EQ,279.95,300.0,275.1,275.15,294.5,293.85,292.67,339.45,214.0,38734,11336331.5,1180,LINC
2022-11-04,EQ,266.55,281.95,262.0,269.2,274.4,275.15,269.27,339.45,214.0,10902,2935574.35,588,LINC
2022-11-03,EQ,274.5,274.5,265.2,271.5,268.5,269.2,270.5,339.45,214.0,1818,491775.1,129,LINC
2022-11-02,EQ,273.4,288.8,269.9,272.3,271.55,271.5,272.43,339.45,214.0,7781,2119814.75,208,LINC
2022-11-01,EQ,271.55,274.2,268.5,270.75,272.85,272.3,271.95,339.45,214.0,1001,272222.55,94,LINC
2022-10-31,EQ,275.4,284.55,265.6,277.35,269.4,270.75,273.16,339.45,214.0,6541,1786735.45,451,LINC
2022-10-28,EQ,279.3,286.6,275.1,282.05,275.1,277.35,280.78,339.45,214.0,2891,811743.35,203,LINC
2022-10-27,EQ,278.1,283.4,275.1,280.2,283.0,282.05,280.49,339.45,214.0,2424,679908.1,180,LINC
2022-10-25,EQ,279.3,281.95,274.7,281.95,280.0,280.2,276.95,339.45,214.0,3153,873227.8,146,LINC
2022-10-24,EQ,281.45,289.7,274.05,276.8,275.0,281.95,281.69,339.45,214.0,3103,874071.4,125,LINC
2022-10-21,EQ,286.1,286.1,276.1,281.75,276.25,276.8,279.35,339.45,214.0,1016,283820.1,112,LINC
2022-10-20,EQ,283.0,284.6,274.05,280.85,284.5,281.75,278.95,339.45,214.0,4966,1385256.15,311,LINC
2022-10-19,EQ,277.15,283.0,275.1,274.8,283.0,280.85,279.29,339.45,214.0,3326,928912.5,300,LINC
2022-10-18,EQ,277.05,277.9,274.05,276.5,274.65,274.8,275.28,339.45,214.0,792,218018.2,98,LINC
2022-10-17,EQ,281.25,281.25,272.0,279.15,278.7,276.5,277.25,339.45,214.0,2303,638498.1,251,LINC
2022-10-14,EQ,283.75,287.95,273.15,273.0,278.0,279.15,280.15,339.45,214.0,2694,754711.25,220,LINC
2022-10-13,EQ,283.0,285.8,271.55,282.9,272.5,273.0,276.18,339.45,214.0,2110,582746.95,192,LINC
2022-10-12,EQ,277.35,288.4,274.1,276.55,283.8,282.9,282.79,339.45,214.0,4680,1323480.3,284,LINC
2022-10-11,EQ,280.5,286.6,270.35,271.4,271.3,276.55,278.08,339.45,214.0,4573,1271660.8,319,LINC
2022-10-10,EQ,279.15,283.4,243.6,281.9,275.0,271.4,264.25,339.45,214.0,18849,4980930.65,548,LINC
