DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2022-12-30,EQ,7.1,8.4,7.0,7.0,8.4,8.4,8.17,12.25,5.15,1186913,9695794.25,1689,LPDC
2022-12-29,EQ,7.25,7.25,6.05,7.25,7.1,7.0,6.91,12.25,5.15,101383,700923.0,363,LPDC
2022-12-28,EQ,7.45,7.55,7.0,7.35,7.35,7.25,7.31,12.25,5.15,125529,917405.8,340,LPDC
2022-12-27,EQ,7.3,7.8,7.25,7.25,7.4,7.35,7.47,12.25,5.15,295450,2208027.85,669,LPDC
2022-12-26,EQ,6.65,7.25,6.3,6.05,7.25,7.25,6.97,12.25,5.15,262683,1832206.1,673,LPDC
2022-12-23,EQ,6.2,6.75,5.8,6.75,6.0,6.05,6.17,12.25,5.15,182415,1125519.1,551,LPDC
2022-12-22,EQ,7.4,7.5,6.6,7.25,6.8,6.75,6.9,12.25,5.15,128637,887906.35,498,LPDC
2022-12-21,EQ,7.5,7.85,7.2,7.5,7.2,7.25,7.6,12.25,5.15,207494,1576541.55,498,LPDC
2022-12-20,EQ,7.85,7.85,7.3,7.7,7.45,7.5,7.5,12.25,5.15,140871,1055901.05,401,LPDC
2022-12-19,EQ,8.15,8.5,7.65,8.15,7.7,7.7,7.96,12.25,5.15,263294,2094941.2,616,LPDC
2022-12-16,EQ,8.35,8.65,7.8,8.3,8.1,8.15,8.22,12.25,5.15,337800,2777835.5,781,LPDC
2022-12-15,EQ,8.0,8.6,7.85,7.8,8.3,8.3,8.27,12.25,5.15,706892,5846865.6,1271,LPDC
2022-12-14,EQ,7.75,7.95,7.25,7.35,7.75,7.8,7.67,12.25,5.15,521076,3998552.2,1130,LPDC
2022-12-13,EQ,6.9,7.55,6.5,6.5,7.4,7.35,7.1,12.25,5.15,419879,2979848.8,812,LPDC
2022-12-12,EQ,6.65,7.05,6.4,6.65,6.45,6.5,6.61,12.25,5.15,95835,633150.3,339,LPDC
2022-12-09,EQ,6.9,7.4,6.35,6.75,6.8,6.65,6.79,12.25,5.15,251884,1710041.0,567,LPDC
2022-12-08,EQ,7.65,7.9,6.5,7.25,6.7,6.75,6.96,12.25,5.15,851133,5924569.35,1119,LPDC
2022-12-07,EQ,6.1,7.25,6.1,6.05,7.25,7.25,7.07,12.25,5.15,400611,2830697.7,366,LPDC
2022-12-06,EQ,6.0,6.2,6.0,6.0,6.1,6.05,6.07,12.25,5.15,59485,361363.5,214,LPDC
2022-12-05,EQ,6.35,6.35,5.9,6.15,6.15,6.0,6.07,12.25,5.15,84365,512129.15,298,LPDC
2022-12-02,EQ,6.25,6.25,5.8,6.05,6.15,6.15,6.09,12.25,5.15,87584,533747.6,264,LPDC
2022-12-01,EQ,6.15,6.2,5.9,5.95,6.1,6.05,6.03,12.25,5.15,75382,454587.8,234,LPDC
2022-11-30,EQ,6.05,6.15,5.95,6.05,6.0,5.95,5.98,12.25,5.15,52045,311429.6,202,LPDC
2022-11-29,EQ,6.2,6.2,5.85,6.0,6.15,6.05,6.04,12.25,5.15,29923,180764.0,182,LPDC
2022-11-28,EQ,6.1,6.3,5.7,6.25,6.05,6.0,5.97,12.25,5.15,133333,795908.75,347,LPDC
2022-11-25,EQ,6.1,6.4,6.1,6.05,6.2,6.25,6.29,12.25,4.7,186550,1172800.7,449,LPDC
2022-11-24,EQ,5.7,6.05,5.55,5.5,6.05,6.05,5.91,12.25,4.7,120502,712323.2,210,LPDC
2022-11-23,EQ,5.35,5.7,5.35,5.45,5.6,5.5,5.51,12.25,4.7,48259,265681.85,190,LPDC
2022-11-22,EQ,5.35,5.55,5.3,5.35,5.45,5.45,5.42,12.25,4.7,73570,398514.9,201,LPDC
2022-11-21,EQ,5.55,5.55,5.15,5.4,5.4,5.35,5.31,12.25,4.7,36533,194130.9,132,LPDC
2022-11-18,EQ,5.65,5.75,5.35,5.5,5.35,5.4,5.44,12.25,4.7,54977,299267.1,171,LPDC
2022-11-17,EQ,5.85,5.85,5.3,5.35,5.45,5.5,5.54,12.25,4.7,87187,483031.55,280,LPDC
2022-11-16,EQ,5.35,5.65,5.3,5.5,5.35,5.35,5.47,12.25,4.7,147395,805860.3,292,LPDC
2022-11-15,EQ,6.0,6.0,5.45,5.8,5.45,5.5,5.59,12.25,4.7,199236,1114707.2,359,LPDC
2022-11-14,EQ,6.2,6.2,5.7,5.85,5.85,5.8,5.84,12.25,4.7,103906,606414.25,214,LPDC
2022-11-11,EQ,5.95,6.05,5.8,5.95,5.9,5.85,5.89,12.25,4.7,83871,494221.55,234,LPDC
2022-11-10,EQ,6.05,6.05,5.85,6.0,5.9,5.95,5.91,12.25,4.7,39032,230681.05,159,LPDC
2022-11-09,EQ,6.05,6.05,5.8,6.05,5.9,6.0,5.97,12.25,4.7,42847,255973.6,191,LPDC
2022-11-07,EQ,6.25,6.25,6.0,6.0,6.0,6.05,6.06,12.25,4.7,58791,356429.15,198,LPDC
2022-11-04,EQ,6.25,6.25,5.9,5.95,6.0,6.0,6.0,12.25,4.7,18787,112746.8,107,LPDC
2022-11-03,EQ,6.2,6.2,5.9,6.05,5.95,5.95,6.0,12.25,4.7,43087,258453.6,131,LPDC
2022-11-02,EQ,6.05,6.15,5.95,6.05,6.1,6.05,6.06,12.25,4.7,21151,128152.7,125,LPDC
2022-11-01,EQ,6.3,6.3,6.0,6.15,6.0,6.05,6.08,12.25,4.7,38102,231760.7,173,LPDC
2022-10-31,EQ,6.55,6.55,5.95,6.25,6.2,6.15,6.21,12.25,4.7,62998,391147.3,165,LPDC
2022-10-28,EQ,6.3,6.3,6.1,6.2,6.2,6.25,6.21,12.25,4.55,35214,218797.8,120,LPDC
2022-10-27,EQ,6.3,6.45,6.05,6.3,6.3,6.2,6.22,12.25,4.55,42243,262824.35,162,LPDC
2022-10-25,EQ,6.5,6.5,6.2,6.4,6.35,6.3,6.32,12.25,4.55,33229,209848.25,96,LPDC
2022-10-24,EQ,6.35,6.7,6.2,6.2,6.45,6.4,6.42,12.25,4.55,24916,159867.25,112,LPDC
2022-10-21,EQ,6.2,6.4,6.15,6.25,6.2,6.2,6.26,12.25,4.2,53554,335386.2,143,LPDC
2022-10-20,EQ,6.45,6.8,6.2,6.3,6.35,6.25,6.5,12.25,4.2,184141,1197526.0,409,LPDC
2022-10-19,EQ,5.9,6.3,5.75,5.75,6.3,6.3,6.1,12.25,4.2,115377,703411.1,208,LPDC
2022-10-18,EQ,5.9,5.95,5.6,5.75,5.75,5.75,5.8,12.25,4.2,21277,123301.5,119,LPDC
2022-10-17,EQ,5.9,5.9,5.65,5.75,5.7,5.75,5.76,12.25,4.2,50887,293189.6,160,LPDC
2022-10-14,EQ,5.7,6.0,5.55,5.8,5.7,5.75,5.8,12.25,4.2,94416,547804.45,170,LPDC
2022-10-13,EQ,6.2,6.4,5.7,5.95,5.8,5.8,5.96,12.25,4.2,140426,836376.7,330,LPDC
2022-10-12,EQ,6.2,6.3,5.7,6.2,5.7,5.95,6.01,12.25,4.2,85710,515373.95,231,LPDC
2022-10-11,EQ,6.25,6.6,6.1,6.25,6.15,6.2,6.27,12.25,4.2,35543,222998.35,168,LPDC
2022-10-10,EQ,6.45,6.45,6.15,6.35,6.3,6.25,6.28,12.25,4.2,16900,106173.1,124,LPDC
2022-10-07,EQ,6.55,6.55,6.25,6.25,6.35,6.35,6.38,12.25,4.2,67106,428293.25,155,LPDC
2022-10-06,EQ,6.35,6.65,6.2,6.2,6.35,6.25,6.34,12.25,4.2,46917,297443.35,173,LPDC
2022-10-04,EQ,6.5,6.5,6.0,6.2,6.25,6.2,6.26,12.25,4.2,40730,254988.9,135,LPDC
2022-10-03,EQ,6.3,6.45,6.2,6.3,6.2,6.2,6.28,12.25,4.2,37505,235354.3,182,LPDC
2022-09-30,EQ,6.4,6.6,6.2,6.25,6.3,6.3,6.33,12.25,4.2,69121,437475.9,145,LPDC
2022-09-29,EQ,6.65,6.65,6.1,6.25,6.2,6.25,6.3,12.25,4.2,28029,176676.9,155,LPDC
2022-09-28,EQ,6.7,6.7,6.15,6.3,6.15,6.25,6.36,12.25,4.2,25985,165218.45,151,LPDC
2022-09-27,EQ,6.35,6.75,6.3,6.4,6.3,6.3,6.45,12.25,4.2,53077,342164.0,189,LPDC
2022-09-26,EQ,6.65,6.85,6.25,6.65,6.5,6.4,6.45,12.25,4.2,35742,230535.1,232,LPDC
2022-09-23,EQ,7.15,7.15,6.65,6.9,6.75,6.65,6.78,12.25,4.1,38436,260416.35,167,LPDC
