DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2022-12-30,EQ,5.7,5.95,5.7,5.7,5.8,5.75,5.79,9.5,4.6,27179,157496.4,83,LYPSAGEMS
2022-12-29,EQ,5.9,6.1,5.65,5.9,5.75,5.7,5.71,9.5,4.6,130479,744934.2,203,LYPSAGEMS
2022-12-28,EQ,5.9,6.0,5.75,5.75,5.9,5.9,5.91,9.5,4.6,27787,164337.0,92,LYPSAGEMS
2022-12-27,EQ,5.9,5.9,5.6,5.8,5.75,5.75,5.71,9.5,4.6,42739,243966.45,85,LYPSAGEMS
2022-12-26,EQ,5.7,5.95,5.6,5.7,5.95,5.8,5.85,9.5,4.6,38314,224294.7,151,LYPSAGEMS
2022-12-23,EQ,5.75,6.0,5.6,5.8,5.65,5.7,5.72,9.5,4.6,66302,379270.9,180,LYPSAGEMS
2022-12-22,EQ,6.25,6.25,5.75,6.05,5.85,5.8,5.9,9.5,4.6,45540,268757.55,210,LYPSAGEMS
2022-12-21,EQ,6.35,6.35,6.05,6.3,6.05,6.05,6.14,9.5,4.6,31168,191350.55,178,LYPSAGEMS
2022-12-20,EQ,6.3,6.3,6.15,6.15,6.3,6.3,6.24,9.5,4.6,22279,139115.7,66,LYPSAGEMS
2022-12-19,EQ,6.15,6.35,6.1,6.15,6.1,6.15,6.22,9.5,4.6,45124,280633.8,139,LYPSAGEMS
2022-12-16,EQ,6.25,6.3,6.15,6.2,6.15,6.15,6.21,9.5,4.6,32879,204094.65,103,LYPSAGEMS
2022-12-15,EQ,6.25,6.3,6.1,6.25,6.15,6.2,6.24,9.5,4.6,25413,158606.85,91,LYPSAGEMS
2022-12-14,EQ,6.1,6.25,6.1,6.2,6.25,6.25,6.18,9.5,4.6,56683,350071.35,147,LYPSAGEMS
2022-12-13,EQ,6.1,6.3,6.1,6.2,6.2,6.2,6.2,9.5,4.6,24771,153466.35,84,LYPSAGEMS
2022-12-12,EQ,6.25,6.3,6.1,6.25,6.1,6.2,6.23,9.5,4.6,37096,230932.4,146,LYPSAGEMS
2022-12-09,EQ,6.6,6.75,6.2,6.45,6.2,6.25,6.53,9.5,4.45,42169,275270.2,156,LYPSAGEMS
2022-12-08,EQ,6.4,6.45,6.15,6.15,6.45,6.45,6.38,9.5,4.45,51793,330490.8,139,LYPSAGEMS
2022-12-07,EQ,6.4,6.4,6.0,6.2,6.25,6.15,6.17,9.5,4.45,45637,281671.35,128,LYPSAGEMS
2022-12-06,EQ,6.25,6.25,6.15,6.2,6.15,6.2,6.2,9.5,4.45,19875,123128.15,83,LYPSAGEMS
2022-12-05,EQ,6.2,6.25,6.1,6.15,6.2,6.2,6.2,9.5,4.45,33008,204509.55,117,LYPSAGEMS
2022-12-02,EQ,6.2,6.25,6.15,6.15,6.2,6.15,6.17,9.5,4.35,16151,99701.8,72,LYPSAGEMS
