DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2022-12-30,EQ,78.8,79.4,76.45,77.4,77.6,77.6,78.12,96.45,26.85,2438794,190520235.85,11400,MADRASFERT
2022-12-29,EQ,78.9,80.65,76.35,78.95,77.5,77.4,78.42,96.45,26.85,4851058,380408236.8,22364,MADRASFERT
2022-12-28,EQ,76.0,78.95,73.65,75.2,78.95,78.95,77.73,96.45,26.85,7030451,546462857.95,20551,MADRASFERT
2022-12-27,EQ,74.7,75.2,72.3,71.65,75.2,75.2,74.8,96.45,26.85,2301562,172150011.65,3583,MADRASFERT
2022-12-26,EQ,70.1,71.65,68.8,68.25,71.65,71.65,71.16,96.45,26.85,1170644,83303213.7,3343,MADRASFERT
2022-12-23,EQ,72.8,78.9,67.9,75.4,69.0,68.25,73.19,96.45,25.45,4245782,310754350.1,22479,MADRASFERT
2022-12-22,EQ,82.7,82.7,75.4,83.75,75.4,75.4,76.58,96.45,25.45,5572895,426786330.9,18005,MADRASFERT
2022-12-21,EQ,95.0,96.45,83.75,93.05,83.75,83.75,87.64,96.45,25.45,7127354,624606796.75,32629,MADRASFERT
2022-12-20,EQ,84.4,93.05,83.25,84.6,93.05,93.05,90.69,94.6,25.45,7866002,713375276.95,31764,MADRASFERT
2022-12-19,EQ,93.95,94.6,82.55,88.35,84.15,84.6,87.28,94.6,25.45,14243202,1243191135.0,61598,MADRASFERT
2022-12-16,EQ,75.55,88.35,75.55,73.65,88.35,88.35,84.96,88.35,25.45,25427700,2160433719.45,88709,MADRASFERT
2022-12-15,EQ,61.35,73.65,61.0,61.4,73.65,73.65,70.48,73.65,25.45,13317041,938645520.2,45497,MADRASFERT
2022-12-14,EQ,64.25,64.25,60.55,63.85,61.75,61.4,61.92,65.9,25.45,1784130,110480705.55,9858,MADRASFERT
2022-12-13,EQ,65.0,65.3,63.0,63.8,63.3,63.85,63.73,65.9,25.45,1600747,102018691.9,6634,MADRASFERT
2022-12-12,EQ,60.8,64.7,59.3,60.95,64.6,63.8,62.98,65.9,25.45,2307181,145302002.75,11821,MADRASFERT
2022-12-09,EQ,65.2,65.5,58.65,64.6,60.7,60.95,61.42,65.9,25.45,2836878,174227844.35,12909,MADRASFERT
2022-12-08,EQ,61.45,65.9,61.0,60.7,64.55,64.6,64.07,65.9,25.45,5669771,363281228.5,22565,MADRASFERT
2022-12-07,EQ,58.35,61.8,57.5,57.4,60.75,60.7,60.04,61.8,25.45,5576248,334821846.0,22841,MADRASFERT
2022-12-06,EQ,53.55,58.5,52.95,53.5,57.55,57.4,56.73,61.8,25.45,3915071,222090267.8,16882,MADRASFERT
2022-12-05,EQ,54.1,55.3,52.9,53.85,53.55,53.5,54.07,61.8,25.45,522648,28257036.55,3181,MADRASFERT
2022-12-02,EQ,52.6,54.9,52.6,52.95,53.9,53.85,54.22,61.8,25.45,1023909,55512867.6,5137,MADRASFERT
2022-12-01,EQ,52.65,53.95,52.4,52.5,53.1,52.95,53.13,61.8,25.45,383297,20362889.1,2551,MADRASFERT
2022-11-30,EQ,53.65,53.8,52.0,53.4,52.65,52.5,52.53,61.8,25.45,351458,18463451.9,2352,MADRASFERT
2022-11-29,EQ,54.9,55.3,53.05,53.95,53.3,53.4,54.12,61.8,25.45,617734,33431006.0,3906,MADRASFERT
2022-11-28,EQ,51.75,55.0,51.4,51.4,54.25,53.95,54.12,61.8,25.45,2709040,146619547.9,10320,MADRASFERT
2022-11-25,EQ,52.0,52.45,51.25,52.0,51.4,51.4,51.75,61.8,25.45,476899,24678963.55,2915,MADRASFERT
2022-11-24,EQ,50.95,53.85,50.2,50.15,51.9,52.0,52.39,61.8,25.45,2263003,118559076.65,10401,MADRASFERT
2022-11-23,EQ,46.95,53.15,46.75,46.65,50.0,50.15,50.58,61.8,25.45,3469640,175506091.0,16879,MADRASFERT
2022-11-22,EQ,49.2,49.2,46.3,48.6,46.75,46.65,47.4,61.8,25.45,319636,15151269.25,3029,MADRASFERT
2022-11-21,EQ,45.0,49.2,44.6,44.75,48.8,48.6,47.69,61.8,25.45,1083340,51665831.6,5452,MADRASFERT
2022-11-18,EQ,45.65,46.3,44.0,45.65,44.85,44.75,45.18,61.8,25.45,239003,10797328.7,1699,MADRASFERT
2022-11-17,EQ,46.35,46.35,45.25,46.35,45.7,45.65,45.78,61.8,25.45,105800,4843555.5,1081,MADRASFERT
2022-11-16,EQ,46.05,46.9,46.05,45.95,46.35,46.35,46.61,61.8,25.45,141359,6588829.75,1110,MADRASFERT
2022-11-15,EQ,47.55,47.6,45.75,47.25,46.25,45.95,46.34,61.8,25.45,281485,13042893.45,2109,MADRASFERT
2022-11-14,EQ,48.45,48.5,47.0,47.9,47.25,47.25,47.41,61.8,25.45,171188,8116526.95,1462,MADRASFERT
2022-11-11,EQ,48.95,49.0,47.65,48.0,48.0,47.9,48.41,61.8,25.45,253393,12265767.0,1515,MADRASFERT
2022-11-10,EQ,49.5,49.95,47.6,49.8,48.1,48.0,48.54,61.8,25.45,269770,13095417.05,1883,MADRASFERT
2022-11-09,EQ,49.95,50.95,49.55,49.5,49.55,49.8,50.29,61.8,25.45,529200,26611724.05,2204,MADRASFERT
2022-11-07,EQ,49.25,49.95,48.4,48.7,49.8,49.5,49.16,61.8,25.45,353421,17373881.95,1650,MADRASFERT
