DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2022-12-30,EQ,308.25,310.9,305.25,306.7,307.5,308.3,307.9,343.8,192.8,4365232,1344068593.55,23194,POONAWALLA
2022-12-29,EQ,302.4,308.55,300.1,302.4,306.0,306.7,304.59,343.8,192.8,5567821,1695906820.85,37539,POONAWALLA
2022-12-28,EQ,292.2,304.8,290.2,292.2,304.0,302.4,298.02,343.8,192.8,6475767,1929917415.1,39871,POONAWALLA
2022-12-27,EQ,282.05,293.65,278.2,280.45,292.5,292.2,285.39,343.8,192.8,5465123,1559695513.7,41967,POONAWALLA
2022-12-26,EQ,248.85,284.3,248.0,246.1,281.7,280.45,273.12,343.8,192.8,10980418,2998960757.9,79164,POONAWALLA
2022-12-23,EQ,261.4,263.7,243.0,265.15,250.8,246.1,251.34,343.8,182.45,5031969,1264736633.45,41164,POONAWALLA
2022-12-22,EQ,275.0,278.55,263.7,274.2,264.8,265.15,268.18,343.8,182.45,3100308,831430560.15,27749,POONAWALLA
2022-12-21,EQ,290.9,291.9,272.5,289.6,274.0,274.2,281.02,343.8,182.45,2998639,842676097.45,27253,POONAWALLA
2022-12-20,EQ,287.7,293.55,287.0,287.2,289.6,289.6,290.74,343.8,182.45,1893234,550432057.3,16818,POONAWALLA
2022-12-19,EQ,290.0,291.4,286.1,288.85,288.7,287.2,288.59,343.8,182.45,1522627,439418802.1,14769,POONAWALLA
2022-12-16,EQ,289.0,293.4,284.55,288.7,288.95,288.85,289.39,343.8,182.45,3232910,935574417.75,26250,POONAWALLA
2022-12-15,EQ,305.0,306.95,286.05,302.05,288.3,288.7,295.93,343.8,182.45,8004357,2368755376.75,55478,POONAWALLA
2022-12-14,EQ,305.0,308.8,300.5,303.4,302.9,302.05,304.75,343.8,182.45,2930190,892983782.6,19590,POONAWALLA
2022-12-13,EQ,308.85,309.4,301.05,307.3,303.55,303.4,304.45,343.8,182.45,2943396,896111917.5,18860,POONAWALLA
2022-12-12,EQ,302.1,308.9,298.9,299.55,308.7,307.3,305.51,343.8,182.45,4430328,1353525980.05,30166,POONAWALLA
2022-12-09,EQ,296.05,308.95,295.2,294.0,298.75,299.55,302.35,343.8,182.45,11368519,3437323461.2,60530,POONAWALLA
2022-12-08,EQ,295.2,302.8,293.0,293.7,294.9,294.0,297.66,343.8,182.45,4373159,1301720685.5,22770,POONAWALLA
2022-12-07,EQ,299.85,302.9,291.85,298.65,294.9,293.7,296.96,343.8,182.45,2619569,777896398.85,26837,POONAWALLA
2022-12-06,EQ,305.65,308.4,297.45,305.7,298.25,298.65,302.62,343.8,182.45,2648622,801528330.15,21380,POONAWALLA
2022-12-05,EQ,308.4,309.5,305.2,307.85,305.3,305.7,307.29,343.8,182.45,1548279,475771775.2,11878,POONAWALLA
2022-12-02,EQ,308.0,310.0,305.45,307.45,307.7,307.85,307.6,343.8,176.65,2104157,647238357.05,20370,POONAWALLA
2022-12-01,EQ,312.2,314.5,306.1,311.05,307.5,307.45,310.1,343.8,176.65,2099807,651143467.6,16750,POONAWALLA
2022-11-30,EQ,314.1,314.95,310.15,313.3,310.65,311.05,311.58,343.8,176.65,1649345,513908714.3,10029,POONAWALLA
2022-11-29,EQ,316.5,319.45,312.1,314.95,313.7,313.3,316.05,343.8,176.65,1950340,616395610.15,14976,POONAWALLA
2022-11-28,EQ,310.4,319.55,310.4,311.9,315.6,314.95,315.95,343.8,176.65,2600373,821579054.0,21533,POONAWALLA
2022-11-25,EQ,310.3,314.65,309.5,309.35,311.6,311.9,312.09,343.8,176.65,1554872,485266724.05,17570,POONAWALLA
2022-11-24,EQ,313.0,314.7,307.5,311.4,309.5,309.35,310.5,343.8,176.65,1917075,595255538.85,15041,POONAWALLA
2022-11-23,EQ,313.45,321.5,310.15,312.2,311.0,311.4,317.0,343.8,176.65,4918983,1559300990.3,40905,POONAWALLA
2022-11-22,EQ,306.85,313.5,305.0,305.85,311.75,312.2,310.22,343.8,176.65,1887619,585574605.3,16795,POONAWALLA
2022-11-21,EQ,307.5,308.85,304.5,308.35,305.8,305.85,306.19,343.8,176.65,1141207,349429934.95,10143,POONAWALLA
2022-11-18,EQ,312.2,313.3,307.6,312.7,308.2,308.35,309.49,343.8,176.65,1485723,459819999.7,11890,POONAWALLA
2022-11-17,EQ,304.85,315.0,304.0,306.8,311.8,312.7,309.45,343.8,176.65,2412538,746567063.2,18428,POONAWALLA
2022-11-16,EQ,312.35,316.9,304.1,311.95,304.95,306.8,311.61,343.8,176.65,2545805,793305950.45,19672,POONAWALLA
2022-11-15,EQ,311.8,314.85,310.15,311.35,312.2,311.95,312.39,343.8,176.65,1186595,370679229.5,10393,POONAWALLA
2022-11-14,EQ,315.5,315.5,309.35,314.25,311.45,311.35,311.94,343.8,176.65,1406468,438735359.85,17163,POONAWALLA
2022-11-11,EQ,318.75,321.75,313.5,315.0,314.7,314.25,318.09,343.8,167.1,3010732,957674977.15,26046,POONAWALLA
2022-11-10,EQ,317.8,322.45,310.1,319.35,314.85,315.0,318.06,343.8,167.1,2488960,791647757.75,23124,POONAWALLA
2022-11-09,EQ,312.4,325.8,309.55,310.95,318.4,319.35,318.56,343.8,167.1,5424064,1727878424.8,41473,POONAWALLA
2022-11-07,EQ,316.95,316.95,310.05,314.1,310.8,310.95,312.96,343.8,167.1,1694081,530185664.75,18362,POONAWALLA
2022-11-04,EQ,308.0,316.7,305.35,306.7,315.0,314.1,310.88,343.8,164.1,2777952,863600575.3,23601,POONAWALLA
2022-11-03,EQ,311.0,313.7,305.4,312.85,306.4,306.7,308.33,343.8,164.1,2486751,766728336.8,19497,POONAWALLA
2022-11-02,EQ,317.65,317.9,311.45,316.5,312.2,312.85,314.31,343.8,164.1,1940871,610033208.8,34350,POONAWALLA
2022-11-01,EQ,316.0,318.0,313.1,314.4,316.95,316.5,315.67,343.8,164.1,1788338,564529358.2,17041,POONAWALLA
2022-10-31,EQ,311.45,317.9,311.15,309.9,315.5,314.4,314.24,343.8,164.1,2109639,662938265.0,19131,POONAWALLA
2022-10-28,EQ,311.45,314.7,306.35,309.9,310.15,309.9,310.61,343.8,140.75,1951538,606172008.0,16671,POONAWALLA
2022-10-27,EQ,315.1,319.0,308.7,313.3,310.2,309.9,312.66,343.8,140.75,2727620,852828804.7,23516,POONAWALLA
2022-10-25,EQ,318.1,319.8,307.0,319.0,312.85,313.3,312.4,343.8,140.75,3254362,1016648412.7,30064,POONAWALLA
2022-10-24,EQ,320.4,322.5,316.35,315.8,319.3,319.0,320.18,343.8,140.75,1335768,427685910.05,14450,POONAWALLA
2022-10-21,EQ,332.8,333.45,313.0,331.0,316.0,315.8,323.9,343.8,140.75,6223525,2015810245.15,48326,POONAWALLA
2022-10-20,EQ,332.2,336.7,329.15,334.25,331.0,331.0,333.13,343.8,140.75,3247865,1081970000.2,22924,POONAWALLA
2022-10-19,EQ,329.55,337.7,327.7,327.7,334.1,334.25,333.73,343.8,140.75,7133098,2380541679.95,51557,POONAWALLA
2022-10-18,EQ,328.0,334.7,325.55,324.7,327.6,327.7,329.61,343.8,140.75,3547469,1169291339.85,26622,POONAWALLA
2022-10-17,EQ,323.5,327.25,321.5,323.0,325.6,324.7,324.29,343.8,140.75,2348001,761436611.0,19755,POONAWALLA
2022-10-14,EQ,328.0,329.0,318.5,321.6,324.6,323.0,323.96,343.8,140.75,3131668,1014521083.85,19265,POONAWALLA
2022-10-13,EQ,329.3,330.8,317.85,329.3,322.05,321.6,323.42,343.8,140.75,2981139,964172010.8,22686,POONAWALLA
2022-10-12,EQ,329.8,331.3,321.1,326.45,328.7,329.3,327.15,343.8,140.75,4223879,1381828696.05,31561,POONAWALLA
2022-10-11,EQ,326.95,338.0,325.0,325.7,326.0,326.45,332.81,343.8,140.75,9309363,3098293660.4,65513,POONAWALLA
2022-10-10,EQ,326.6,329.45,322.45,330.1,325.7,325.7,325.94,343.8,140.75,3823201,1246139464.1,28863,POONAWALLA
2022-10-07,EQ,323.9,332.0,321.4,322.05,330.35,330.1,326.83,343.8,140.75,5379515,1758168087.6,35140,POONAWALLA
2022-10-06,EQ,324.0,329.0,320.95,315.85,323.1,322.05,324.45,343.8,140.75,6174863,2003407774.0,44700,POONAWALLA
2022-10-04,EQ,314.0,318.3,308.6,306.55,318.0,315.85,313.74,343.8,140.75,4076606,1279008240.85,27062,POONAWALLA
2022-10-03,EQ,308.55,317.0,302.15,305.8,306.0,306.55,310.83,343.8,140.75,5397541,1677739429.5,41367,POONAWALLA
2022-09-30,EQ,293.15,307.7,292.3,292.85,307.0,305.8,301.27,343.8,140.75,4676916,1409018651.4,36501,POONAWALLA
2022-09-29,EQ,294.0,299.0,286.5,289.6,293.1,292.85,293.68,343.8,140.75,4115412,1208603943.9,29043,POONAWALLA
2022-09-28,EQ,288.0,295.4,284.25,290.55,290.6,289.6,290.54,343.8,140.75,2936049,853049817.65,21619,POONAWALLA
2022-09-27,EQ,286.4,296.4,281.05,285.2,292.1,290.55,288.59,343.8,140.75,4688786,1353156639.15,33365,POONAWALLA
2022-09-26,EQ,301.8,301.8,283.55,306.35,285.0,285.2,290.51,343.8,140.75,5452600,1584056992.8,53574,POONAWALLA
2022-09-23,EQ,319.3,319.3,302.25,317.65,305.8,306.35,308.78,343.8,140.75,5200758,1605870524.1,33447,POONAWALLA
2022-09-22,EQ,319.45,323.5,312.2,319.45,317.55,317.65,317.51,343.8,140.75,3905305,1239957422.4,27612,POONAWALLA
2022-09-21,EQ,325.2,326.95,316.05,323.05,320.25,319.45,320.97,343.8,140.75,4157691,1334494923.15,35464,POONAWALLA
2022-09-20,EQ,328.0,333.7,321.3,325.9,323.0,323.05,327.17,343.8,140.75,5862084,1917883504.8,44475,POONAWALLA
2022-09-19,EQ,315.0,329.95,314.2,313.6,323.7,325.9,324.08,343.8,140.75,11402727,3695355503.55,75766,POONAWALLA
2022-09-16,EQ,315.8,329.8,310.0,314.8,313.35,313.6,320.57,343.8,140.75,16669714,5343835463.2,117093,POONAWALLA
2022-09-15,EQ,299.2,316.6,299.1,296.55,316.0,314.8,309.96,343.8,140.75,10948097,3393520908.55,62621,POONAWALLA
2022-09-14,EQ,296.0,304.0,295.5,301.5,297.75,296.55,299.24,343.8,140.75,3764325,1126425581.4,25914,POONAWALLA
2022-09-13,EQ,304.85,307.75,300.2,303.25,301.35,301.5,304.06,343.8,140.75,2260029,687182267.8,18945,POONAWALLA
2022-09-12,EQ,306.8,310.4,301.85,305.25,302.85,303.25,305.64,343.8,140.75,2833066,865888034.25,17161,POONAWALLA
2022-09-09,EQ,305.0,313.7,303.0,303.1,305.25,305.25,307.76,343.8,140.75,5010337,1541956683.45,35039,POONAWALLA
2022-09-08,EQ,303.05,307.0,300.05,299.65,303.9,303.1,303.41,343.8,140.75,2787574,845785980.75,20820,POONAWALLA
2022-09-07,EQ,298.9,307.4,296.15,299.5,301.0,299.65,301.44,343.8,140.75,3279642,988611430.55,25336,POONAWALLA
2022-09-06,EQ,305.15,307.7,297.5,303.6,300.4,299.5,302.1,343.8,140.75,2687613,811940400.4,20535,POONAWALLA
2022-09-05,EQ,306.65,311.7,302.25,305.35,304.45,303.6,306.81,343.8,140.75,3395666,1041828608.85,22873,POONAWALLA
2022-09-02,EQ,308.75,312.7,303.0,305.8,306.5,305.35,308.0,343.8,140.75,3149175,969961309.9,24425,POONAWALLA
