DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2022-12-30,EQ,17.75,18.2,17.75,17.75,18.0,18.0,18.04,44.6,15.55,19419,350322.05,214,MANAKCOAT
2022-12-29,EQ,17.95,18.55,17.5,17.85,17.9,17.75,17.89,44.6,15.55,41620,744628.15,162,MANAKCOAT
2022-12-28,EQ,18.05,18.2,17.55,18.05,17.95,17.85,17.98,44.6,15.55,14763,265470.85,168,MANAKCOAT
2022-12-27,EQ,18.1,18.35,17.4,17.4,17.95,18.05,17.74,44.6,15.55,102003,1809191.65,287,MANAKCOAT
2022-12-26,EQ,16.65,17.75,15.55,16.65,17.6,17.4,17.03,44.6,15.55,25118,427666.45,309,MANAKCOAT
2022-12-23,EQ,17.25,17.7,16.3,17.85,17.35,16.65,16.76,44.6,16.3,69380,1163094.0,674,MANAKCOAT
2022-12-22,EQ,18.1,18.4,17.55,18.05,18.0,17.85,17.83,44.6,17.05,34852,621337.7,323,MANAKCOAT
2022-12-21,EQ,19.0,19.0,17.8,18.75,18.25,18.05,18.21,44.6,17.05,36001,655423.3,327,MANAKCOAT
2022-12-20,EQ,18.6,19.3,18.1,18.6,18.85,18.75,18.65,44.6,17.05,28500,531509.25,231,MANAKCOAT
2022-12-19,EQ,18.6,18.95,18.15,18.35,18.65,18.6,18.54,44.6,17.05,27796,515423.55,372,MANAKCOAT
2022-12-16,EQ,18.15,18.95,17.75,18.15,18.45,18.35,18.54,44.6,17.05,67738,1256139.3,598,MANAKCOAT
2022-12-15,EQ,18.7,19.2,17.9,18.95,18.15,18.15,18.31,44.6,17.05,126090,2308317.4,904,MANAKCOAT
2022-12-14,EQ,19.15,19.25,18.55,19.0,19.0,18.95,18.98,44.6,17.05,40513,768800.0,345,MANAKCOAT
2022-12-13,EQ,19.6,19.6,18.9,19.2,19.1,19.0,19.06,44.6,17.05,43118,821673.8,328,MANAKCOAT
2022-12-12,EQ,18.9,19.9,18.8,19.5,19.25,19.2,19.11,44.6,17.05,70456,1346678.65,426,MANAKCOAT
2022-12-09,EQ,20.45,20.5,19.1,20.15,19.5,19.5,19.94,44.6,17.05,66900,1334291.4,442,MANAKCOAT
2022-12-08,EQ,20.0,20.7,20.0,20.0,20.1,20.15,20.36,44.6,17.05,93231,1897994.55,614,MANAKCOAT
2022-12-07,EQ,19.0,22.3,18.95,18.95,19.95,20.0,20.67,44.6,17.05,806341,16665988.25,2815,MANAKCOAT
2022-12-06,EQ,19.6,19.6,18.7,19.2,18.85,18.95,19.1,44.6,17.05,41757,797667.15,366,MANAKCOAT
2022-12-05,EQ,19.75,19.75,18.1,19.2,19.2,19.2,19.21,44.6,17.05,51930,997378.25,473,MANAKCOAT
2022-12-02,EQ,18.8,20.35,18.2,18.5,19.35,19.2,19.44,44.6,17.05,331141,6438891.55,1272,MANAKCOAT
2022-12-01,EQ,17.75,18.75,17.5,17.75,18.75,18.5,18.15,44.6,17.05,75267,1366376.3,558,MANAKCOAT
2022-11-30,EQ,17.8,17.85,17.15,17.5,17.8,17.75,17.6,44.6,17.05,42508,747946.4,219,MANAKCOAT
2022-11-29,EQ,17.4,17.8,17.35,17.5,17.55,17.5,17.58,44.6,17.05,48852,858653.9,284,MANAKCOAT
