DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2022-12-30,EQ,300.75,303.0,297.8,299.2,299.75,299.0,299.52,424.4,239.0,29643,8878665.65,1143,MANGLMCEM
2022-12-29,EQ,298.65,301.0,295.65,297.7,299.8,299.2,298.58,424.4,239.0,14633,4369146.15,986,MANGLMCEM
2022-12-28,EQ,301.0,302.35,297.0,300.15,297.5,297.7,299.81,424.4,239.0,8925,2675800.6,724,MANGLMCEM
2022-12-27,EQ,300.0,302.0,296.75,296.2,300.0,300.15,300.07,424.4,239.0,36410,10925391.35,1442,MANGLMCEM
2022-12-26,EQ,297.3,304.75,288.85,291.6,296.0,296.2,295.47,424.4,239.0,88911,26270768.45,2410,MANGLMCEM
2022-12-23,EQ,296.0,298.0,282.75,296.0,290.65,291.6,289.69,424.4,239.0,45302,13123757.2,2472,MANGLMCEM
2022-12-22,EQ,301.55,307.0,292.15,306.35,297.0,296.0,299.3,424.4,239.0,53569,16033330.35,2351,MANGLMCEM
2022-12-21,EQ,319.35,320.05,298.0,316.2,301.3,306.35,307.1,424.4,239.0,86462,26552831.65,2557,MANGLMCEM
2022-12-20,EQ,319.05,319.5,314.4,319.9,315.15,316.2,315.83,424.4,239.0,21128,6672932.45,792,MANGLMCEM
2022-12-19,EQ,324.6,324.6,316.05,319.8,320.0,319.9,319.75,424.4,239.0,60510,19348250.85,1289,MANGLMCEM
2022-12-16,EQ,320.6,324.95,312.1,324.7,320.4,319.8,319.71,424.4,239.0,65232,20855313.45,1195,MANGLMCEM
2022-12-15,EQ,323.25,326.6,319.0,323.25,324.9,324.7,322.24,424.4,239.0,22466,7239448.5,1018,MANGLMCEM
2022-12-14,EQ,312.2,324.5,312.2,314.4,323.85,323.25,320.2,424.4,239.0,26386,8448755.75,1238,MANGLMCEM
2022-12-13,EQ,322.75,324.95,311.55,318.0,313.7,314.4,317.34,424.4,239.0,46705,14821256.1,1732,MANGLMCEM
2022-12-12,EQ,328.0,328.0,311.0,323.75,318.0,318.0,318.33,424.4,239.0,87576,27878069.0,2060,MANGLMCEM
2022-12-09,EQ,337.95,337.95,322.4,333.85,323.5,323.75,327.31,424.4,239.0,25351,8297541.35,1315,MANGLMCEM
2022-12-08,EQ,331.6,335.95,331.6,332.0,335.0,333.85,333.25,424.4,239.0,29564,9852066.3,1640,MANGLMCEM
2022-12-07,EQ,336.7,338.0,331.1,335.65,332.95,332.0,333.91,424.4,239.0,62625,20911273.95,1169,MANGLMCEM
2022-12-06,EQ,338.0,340.15,334.1,337.85,336.4,335.65,336.99,424.4,239.0,52138,17570193.6,1074,MANGLMCEM
2022-12-05,EQ,340.0,341.65,336.0,338.75,337.2,337.85,338.07,424.4,239.0,34020,11500971.8,883,MANGLMCEM
2022-12-02,EQ,341.9,341.9,337.0,339.05,339.0,338.75,339.06,424.4,239.0,40873,13858228.05,1024,MANGLMCEM
2022-12-01,EQ,340.5,342.05,338.2,337.9,338.4,339.05,340.26,424.4,239.0,30382,10337809.05,1063,MANGLMCEM
2022-11-30,EQ,343.0,343.05,335.0,340.55,338.0,337.9,338.22,424.4,239.0,77889,26343723.8,2387,MANGLMCEM
2022-11-29,EQ,353.7,353.7,338.0,349.3,339.0,340.55,342.09,424.4,239.0,25681,8785086.6,1581,MANGLMCEM
2022-11-28,EQ,335.0,356.15,335.0,336.55,351.1,349.3,348.08,424.4,239.0,57455,19998817.55,3124,MANGLMCEM
