DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2022-12-30,EQ,130.0,130.0,124.45,127.6,125.3,126.1,126.96,228.35,115.0,9325,1183872.0,288,MMP
2022-12-29,EQ,129.15,129.15,126.25,127.0,128.95,127.6,127.4,228.35,115.0,1454,185242.55,56,MMP
2022-12-28,EQ,127.3,128.25,126.0,127.3,126.0,127.0,127.14,228.35,115.0,4918,625254.35,125,MMP
2022-12-27,EQ,127.7,128.1,124.05,125.25,127.9,127.3,126.4,228.35,115.0,5991,757242.65,204,MMP
2022-12-26,EQ,118.0,125.95,115.0,116.1,123.0,125.25,122.73,228.35,115.0,8473,1039888.25,270,MMP
2022-12-23,EQ,115.4,120.1,115.4,120.85,116.1,116.1,116.59,228.35,115.4,12676,1477950.95,308,MMP
2022-12-22,EQ,124.85,124.85,119.4,123.45,121.2,120.85,121.34,228.35,119.4,10282,1247594.6,281,MMP
2022-12-21,EQ,124.5,126.25,123.0,124.15,123.0,123.45,124.52,228.35,123.0,4002,498340.0,167,MMP
2022-12-20,EQ,126.25,127.75,123.7,126.25,124.1,124.15,124.99,228.35,123.55,10288,1285880.6,273,MMP
2022-12-19,EQ,127.25,127.25,123.65,124.8,126.75,126.25,125.15,228.35,123.55,8110,1014954.8,334,MMP
2022-12-16,EQ,125.9,126.25,124.0,125.25,125.45,124.8,125.19,228.35,123.55,11794,1476540.5,268,MMP
2022-12-15,EQ,129.95,131.15,124.4,129.5,124.4,125.25,126.42,228.35,123.55,19831,2506997.6,491,MMP
2022-12-14,EQ,127.7,135.0,124.85,125.7,126.55,129.5,127.24,228.35,123.55,62624,7968217.85,697,MMP
2022-12-13,EQ,132.5,132.9,123.55,131.55,125.35,125.7,127.56,228.35,123.55,62654,7992116.7,1398,MMP
2022-12-12,EQ,133.9,133.9,131.1,132.8,131.4,131.55,131.67,228.35,127.0,4208,554070.1,130,MMP
2022-12-09,EQ,131.3,133.95,131.3,131.8,132.55,132.8,132.64,228.35,127.0,8249,1094111.75,224,MMP
2022-12-08,EQ,133.65,133.65,131.1,131.05,131.6,131.8,132.66,228.35,127.0,8354,1108269.35,163,MMP
2022-12-07,EQ,131.35,134.65,130.1,131.35,130.9,131.05,131.9,228.35,127.0,17070,2251604.6,461,MMP
2022-12-06,EQ,132.2,134.9,130.8,133.45,130.9,131.35,132.25,228.35,127.0,24593,3252352.05,591,MMP
2022-12-05,EQ,134.0,135.0,130.8,133.7,133.05,133.45,133.36,228.35,127.0,25250,3367325.9,568,MMP
2022-12-02,EQ,133.45,135.0,130.2,130.75,132.3,133.7,132.93,228.35,127.0,57659,7664745.75,772,MMP
2022-12-01,EQ,132.0,133.95,130.0,129.25,131.5,130.75,131.6,228.35,127.0,15498,2039475.7,370,MMP
2022-11-30,EQ,131.1,134.15,128.7,130.7,130.15,129.25,130.41,228.35,127.0,19281,2514403.65,537,MMP
2022-11-29,EQ,133.3,135.0,130.0,130.65,131.0,130.7,131.81,228.35,127.0,24892,3281116.85,1019,MMP
