DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2022-12-30,EQ,37.45,38.45,37.45,37.15,38.05,37.8,37.84,64.7,31.0,1476485,55874875.75,4810,MMTC
2022-12-29,EQ,37.8,37.8,36.85,37.9,37.3,37.15,37.19,64.7,31.0,1297507,48254219.05,4842,MMTC
2022-12-28,EQ,36.8,38.85,36.4,36.6,37.85,37.9,37.5,64.7,31.0,3053540,114507191.55,8078,MMTC
2022-12-27,EQ,36.0,36.95,35.3,35.65,36.85,36.6,36.24,64.7,31.0,2179317,78984651.85,7091,MMTC
2022-12-26,EQ,33.5,35.95,33.1,33.5,35.55,35.65,34.8,64.7,31.0,2502746,87103025.35,7519,MMTC
2022-12-23,EQ,36.5,36.6,33.1,36.75,33.85,33.5,34.73,64.7,31.0,2864505,99497123.75,8865,MMTC
2022-12-22,EQ,39.0,39.2,36.15,38.8,36.5,36.75,37.38,64.7,31.0,2152467,80449138.3,7300,MMTC
2022-12-21,EQ,41.15,41.35,37.9,40.8,38.65,38.8,39.52,64.7,31.0,2757633,108980107.3,8127,MMTC
2022-12-20,EQ,41.35,41.9,40.3,41.35,40.75,40.8,40.93,64.7,31.0,1713761,70145460.75,5622,MMTC
2022-12-19,EQ,40.95,41.7,40.2,40.7,41.45,41.35,40.99,64.7,31.0,2440041,100015333.5,7565,MMTC
2022-12-16,EQ,41.45,42.3,40.4,41.5,40.7,40.7,41.14,64.7,31.0,2737555,112616160.95,7838,MMTC
2022-12-15,EQ,41.35,42.85,40.9,41.2,41.5,41.5,42.02,64.7,31.0,5311389,223182051.4,13858,MMTC
2022-12-14,EQ,40.95,42.0,40.55,40.6,41.15,41.2,41.31,64.7,31.0,3360314,138802543.95,9510,MMTC
2022-12-13,EQ,40.0,41.7,40.0,39.85,40.65,40.6,40.87,64.7,31.0,2841606,116136170.25,7894,MMTC
