DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2021-11-18,EQ,7.9,8.0,7.6,8.0,7.7,7.65,7.71,14.65,5.95,34859,268636.45,149,MOHOTAIND
2021-11-17,EQ,7.7,8.05,7.7,7.7,7.9,8.0,7.96,14.65,5.95,32720,260346.85,188,MOHOTAIND
2021-11-16,EQ,7.65,8.2,7.65,7.95,7.65,7.7,7.82,14.65,5.95,37208,290886.65,180,MOHOTAIND
2021-11-15,EQ,8.25,8.3,7.95,8.35,7.95,7.95,8.02,14.65,5.95,56628,454163.7,228,MOHOTAIND
2021-11-12,EQ,8.7,9.0,8.25,8.65,8.4,8.35,8.46,14.65,5.95,45284,383251.4,212,MOHOTAIND
2021-11-11,EQ,8.65,9.0,8.5,8.8,8.6,8.65,8.76,14.65,5.95,25176,220621.3,108,MOHOTAIND
2021-11-10,EQ,9.2,9.2,8.5,8.9,9.0,8.8,8.81,14.65,5.95,26894,237019.25,131,MOHOTAIND
2021-11-09,EQ,9.25,9.4,8.85,9.2,8.85,8.9,9.06,14.65,5.95,35745,323843.75,140,MOHOTAIND
2021-11-08,EQ,9.75,9.75,9.15,9.55,9.15,9.2,9.29,14.65,5.95,31913,296471.0,143,MOHOTAIND
2021-11-04,EQ,9.65,9.65,9.2,9.35,9.6,9.55,9.43,14.65,5.95,7435,70124.05,47,MOHOTAIND
2021-11-03,EQ,9.3,9.65,9.0,9.25,9.25,9.35,9.36,14.65,5.95,25486,238441.15,118,MOHOTAIND
2021-11-02,EQ,9.1,9.4,8.95,9.1,9.1,9.25,9.18,14.65,5.95,7550,69288.7,49,MOHOTAIND
2021-11-01,EQ,9.25,9.25,8.55,8.95,9.1,9.1,8.88,14.65,5.95,19150,169980.05,142,MOHOTAIND
2021-10-29,EQ,8.95,9.3,8.6,8.95,9.3,8.95,8.87,14.65,5.95,39393,349587.85,145,MOHOTAIND
2021-10-28,EQ,8.95,9.2,8.8,8.85,9.1,8.95,8.97,14.65,5.95,16815,150851.05,97,MOHOTAIND
2021-10-27,EQ,9.05,9.15,8.35,8.75,8.8,8.85,8.77,14.65,5.95,23640,207334.35,147,MOHOTAIND
2021-10-26,EQ,8.7,9.0,8.5,8.6,9.0,8.75,8.67,14.65,5.95,19836,171925.3,121,MOHOTAIND
2021-10-25,EQ,8.8,8.95,8.6,8.85,8.6,8.6,8.74,14.65,5.95,24245,211907.85,107,MOHOTAIND
2021-10-22,EQ,9.25,9.6,8.75,9.15,8.8,8.85,9.02,14.65,5.95,46712,421198.55,178,MOHOTAIND
2021-10-21,EQ,9.3,9.6,9.05,9.5,9.45,9.15,9.18,14.65,5.95,23618,216848.15,150,MOHOTAIND
2021-10-20,EQ,9.55,10.4,9.5,9.95,9.6,9.5,9.77,14.65,5.95,40779,398547.9,223,MOHOTAIND
