DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2022-12-30,EQ,47.55,48.3,47.55,47.5,47.9,48.05,48.01,59.9,36.0,51708,2482406.75,746,MUNJALAU
2022-12-29,EQ,47.45,47.9,47.0,47.35,47.3,47.5,47.49,59.9,36.0,43027,2043502.1,460,MUNJALAU
2022-12-28,EQ,47.4,48.0,46.55,46.7,47.55,47.35,47.38,59.9,36.0,76208,3610361.2,907,MUNJALAU
2022-12-27,EQ,46.95,47.2,46.0,46.2,46.65,46.7,46.63,59.9,36.0,70280,3277331.2,687,MUNJALAU
2022-12-26,EQ,45.0,46.4,45.0,44.5,46.1,46.2,45.95,59.9,36.0,61725,2836419.75,874,MUNJALAU
2022-12-23,EQ,45.75,47.0,43.65,45.25,45.0,44.5,44.46,59.9,36.0,95487,4245466.45,1677,MUNJALAU
2022-12-22,EQ,49.2,49.4,43.95,48.85,45.55,45.25,45.75,59.9,36.0,246789,11290200.25,2969,MUNJALAU
2022-12-21,EQ,51.0,51.2,48.65,50.8,48.8,48.85,49.9,59.9,36.0,82480,4115373.3,880,MUNJALAU
2022-12-20,EQ,51.0,51.05,50.1,51.05,50.75,50.8,50.56,59.9,36.0,37986,1920703.55,394,MUNJALAU
2022-12-19,EQ,50.55,51.35,50.1,50.55,51.25,51.05,50.88,59.9,36.0,53166,2704842.15,590,MUNJALAU
2022-12-16,EQ,51.4,51.5,50.4,51.25,50.75,50.55,50.86,59.9,36.0,71147,3618868.6,653,MUNJALAU
2022-12-15,EQ,50.5,51.8,50.4,50.35,51.45,51.25,51.26,59.9,36.0,146026,7485369.35,1158,MUNJALAU
2022-12-14,EQ,50.55,51.0,49.95,49.9,50.15,50.35,50.39,59.9,36.0,89528,4511401.6,891,MUNJALAU
2022-12-13,EQ,50.75,50.9,49.55,50.45,49.9,49.9,50.1,59.9,36.0,122646,6144326.1,1183,MUNJALAU
2022-12-12,EQ,51.0,51.0,50.15,50.55,50.3,50.45,50.47,59.9,36.0,64149,3237834.1,625,MUNJALAU
2022-12-09,EQ,52.05,52.25,50.1,51.75,50.45,50.55,51.09,59.9,36.0,114647,5856796.65,1013,MUNJALAU
2022-12-08,EQ,52.25,52.3,51.55,51.85,51.9,51.75,51.8,59.9,36.0,54992,2848501.75,522,MUNJALAU
2022-12-07,EQ,51.65,52.75,51.65,51.95,51.75,51.85,52.12,59.9,36.0,109634,5714159.3,1002,MUNJALAU
2022-12-06,EQ,52.35,52.9,51.8,51.95,51.85,51.95,52.32,59.9,36.0,127008,6645549.35,1268,MUNJALAU
2022-12-05,EQ,52.5,53.0,51.6,51.8,52.0,51.95,52.35,59.9,36.0,165765,8677374.95,1928,MUNJALAU
2022-12-02,EQ,52.0,53.0,51.5,51.85,51.75,51.8,52.1,59.9,36.0,261854,13643855.3,2770,MUNJALAU
2022-12-01,EQ,51.5,52.5,51.25,51.1,51.6,51.85,51.84,59.9,36.0,155361,8053433.45,1827,MUNJALAU
2022-11-30,EQ,51.2,51.7,50.7,50.65,51.05,51.1,51.17,59.9,36.0,147482,7547343.2,1813,MUNJALAU
2022-11-29,EQ,51.25,52.3,50.5,51.25,50.55,50.65,51.26,59.9,36.0,201432,10325017.65,1528,MUNJALAU
2022-11-28,EQ,50.8,51.7,50.1,50.3,51.5,51.25,51.0,59.9,36.0,249571,12726890.85,2409,MUNJALAU
2022-11-25,EQ,49.55,50.8,49.15,49.2,50.0,50.3,50.13,59.9,36.0,144897,7263450.6,1523,MUNJALAU
2022-11-24,EQ,49.3,49.9,49.05,49.4,49.1,49.2,49.35,59.9,36.0,63917,3154296.65,703,MUNJALAU
2022-11-23,EQ,49.2,50.1,49.05,49.2,49.45,49.4,49.57,59.9,36.0,104777,5193683.15,891,MUNJALAU
2022-11-22,EQ,49.35,49.9,48.9,49.4,49.2,49.2,49.22,59.9,36.0,35865,1765286.6,516,MUNJALAU
2022-11-21,EQ,50.5,50.5,49.25,49.7,49.25,49.4,49.65,59.9,36.0,36695,1821894.9,855,MUNJALAU
