DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2022-12-30,EQ,19.0,19.0,17.2,18.1,19.0,19.0,18.41,21.45,8.5,34339,632016.15,251,NAGREEKCAP
2022-12-29,EQ,17.5,18.1,17.45,17.25,18.1,18.1,17.91,21.45,8.5,11123,199261.05,92,NAGREEKCAP
2022-12-28,EQ,17.25,17.25,16.55,16.45,17.25,17.25,17.19,21.45,8.5,4540,78050.2,43,NAGREEKCAP
2022-12-27,EQ,16.2,16.45,15.85,15.7,16.45,16.45,16.32,21.45,8.5,20139,328637.45,67,NAGREEKCAP
2022-12-26,EQ,15.3,16.55,15.2,15.95,15.8,15.7,15.64,21.45,8.5,47481,742696.9,384,NAGREEKCAP
2022-12-23,EQ,15.95,15.95,15.95,16.75,15.95,15.95,15.95,21.45,8.5,2955,47132.25,16,NAGREEKCAP
2022-12-22,EQ,16.75,16.75,16.75,17.6,16.75,16.75,16.75,21.45,8.5,3762,63013.5,18,NAGREEKCAP
2022-12-21,EQ,17.6,17.6,17.6,18.5,17.6,17.6,17.6,21.45,8.5,11704,205990.4,43,NAGREEKCAP
2022-12-20,EQ,18.55,18.55,18.5,19.45,18.5,18.5,18.52,21.45,8.5,5174,95844.65,46,NAGREEKCAP
2022-12-19,EQ,21.45,21.45,19.45,20.45,19.45,19.45,20.81,21.45,8.5,27453,571374.4,252,NAGREEKCAP
2022-12-16,EQ,20.45,20.45,20.1,19.5,20.45,20.45,20.44,20.45,8.5,84903,1735002.4,310,NAGREEKCAP
2022-12-15,EQ,18.65,19.5,18.65,17.75,19.5,19.5,19.35,19.5,8.5,38841,751405.5,156,NAGREEKCAP
2022-12-14,EQ,17.0,17.75,16.55,16.15,17.75,17.75,17.41,18.25,8.5,44148,768819.5,230,NAGREEKCAP
2022-12-13,EQ,15.2,16.15,15.2,14.7,16.15,16.15,16.08,18.25,8.5,33400,536970.3,136,NAGREEKCAP
2022-12-12,EQ,14.85,15.15,14.4,14.85,14.4,14.7,14.84,18.25,8.5,2977,44171.9,58,NAGREEKCAP
2022-12-09,EQ,15.1,15.1,14.4,14.7,14.95,14.85,14.78,18.25,8.5,4584,67760.5,81,NAGREEKCAP
2022-12-08,EQ,14.4,15.35,14.4,14.85,14.5,14.7,14.77,18.25,8.5,4165,61509.25,94,NAGREEKCAP
2022-12-07,EQ,15.0,16.1,14.05,14.7,14.75,14.85,15.39,18.25,8.5,25747,396165.95,262,NAGREEKCAP
2022-12-06,EQ,14.35,14.75,14.0,14.35,14.75,14.7,14.5,18.25,8.5,3332,48320.35,88,NAGREEKCAP
2022-12-05,EQ,14.45,14.75,14.0,14.45,14.5,14.35,14.4,18.25,8.5,5637,81163.65,117,NAGREEKCAP
2022-12-02,EQ,14.2,15.15,14.2,14.65,14.3,14.45,14.42,18.25,8.5,6438,92865.4,40,NAGREEKCAP
2022-12-01,EQ,15.5,15.5,14.6,15.1,14.6,14.65,14.8,18.25,8.5,2653,39264.2,72,NAGREEKCAP
2022-11-30,EQ,15.2,15.2,14.5,14.5,15.1,15.1,15.03,18.25,8.5,7822,117558.2,65,NAGREEKCAP
2022-11-29,EQ,14.9,15.1,14.5,14.6,14.6,14.5,14.64,18.25,8.5,8106,118650.0,74,NAGREEKCAP
2022-11-28,EQ,14.8,15.05,14.2,14.35,14.6,14.6,14.77,18.25,8.5,6597,97435.9,102,NAGREEKCAP
2022-11-25,EQ,14.7,15.1,14.15,14.4,14.15,14.35,14.63,18.25,8.5,12984,189960.3,88,NAGREEKCAP
