DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2022-12-30,EQ,262.5,266.9,262.5,259.95,266.85,265.2,265.24,597.9,233.1,4304,1141603.3,340,NAHARPOLY
2022-12-29,EQ,263.9,266.0,258.0,263.9,261.0,259.95,260.99,597.9,233.1,6570,1714728.6,379,NAHARPOLY
2022-12-28,EQ,269.4,270.5,261.1,267.75,264.4,263.9,264.96,597.9,233.1,9277,2458046.75,879,NAHARPOLY
2022-12-27,EQ,253.75,273.0,252.0,249.35,267.8,267.75,264.93,597.9,233.1,45880,12155058.5,1965,NAHARPOLY
2022-12-26,EQ,237.0,257.6,233.1,237.95,245.6,249.35,247.95,597.9,233.1,22658,5618083.65,1122,NAHARPOLY
2022-12-23,EQ,252.0,253.0,235.8,259.15,238.1,237.95,243.03,597.9,233.55,38651,9393191.7,1542,NAHARPOLY
2022-12-22,EQ,266.05,269.25,252.25,268.45,255.2,259.15,257.24,597.9,233.55,26843,6905138.35,1548,NAHARPOLY
2022-12-21,EQ,278.0,279.0,266.5,274.45,266.5,268.45,271.76,597.9,233.55,12234,3324687.6,641,NAHARPOLY
2022-12-20,EQ,266.1,275.85,265.55,266.6,275.5,274.45,270.41,597.9,233.55,15989,4323662.2,676,NAHARPOLY
2022-12-19,EQ,274.0,274.0,265.0,268.6,266.75,266.6,266.6,597.9,233.55,10722,2858503.7,649,NAHARPOLY
2022-12-16,EQ,276.0,276.0,267.0,273.2,268.95,268.6,269.24,597.9,233.55,9782,2633724.35,711,NAHARPOLY
2022-12-15,EQ,272.0,278.9,271.0,271.95,274.0,273.2,275.19,597.9,233.55,13198,3631923.1,811,NAHARPOLY
2022-12-14,EQ,275.0,275.0,270.0,272.8,270.8,271.95,272.65,597.9,233.55,13057,3560017.45,692,NAHARPOLY
2022-12-13,EQ,272.75,274.3,271.0,272.75,272.8,272.8,272.69,597.9,233.55,10210,2784130.15,523,NAHARPOLY
2022-12-12,EQ,273.5,277.45,270.0,275.5,273.0,272.75,272.59,597.9,233.55,10911,2974244.25,689,NAHARPOLY
2022-12-09,EQ,280.0,284.45,270.5,279.7,275.0,275.5,275.85,597.9,231.0,17556,4842832.9,1030,NAHARPOLY
2022-12-08,EQ,286.95,286.95,278.5,283.35,278.55,279.7,281.18,597.9,231.0,14024,3943313.25,581,NAHARPOLY
