DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2022-01-10,EQ,6.8,6.8,6.8,6.5,6.8,6.8,6.8,6.8,3.35,12020,81736.0,26,NATNLSTEEL
2021-10-22,EQ,6.6,6.6,6.35,6.3,6.6,6.6,6.59,6.6,3.05,201136,1325865.15,154,NATNLSTEEL
2021-10-21,EQ,6.3,6.3,6.3,6.0,6.3,6.3,6.3,6.3,3.05,36894,232432.2,35,NATNLSTEEL
2021-10-20,EQ,6.0,6.0,5.5,5.75,6.0,6.0,5.87,6.0,3.05,602420,3533351.05,836,NATNLSTEEL
2021-10-19,EQ,5.75,5.75,5.75,5.5,5.75,5.75,5.75,5.75,3.05,36004,207023.0,64,NATNLSTEEL
2021-10-18,EQ,5.5,5.5,5.5,5.25,5.5,5.5,5.5,5.5,3.05,30160,165880.0,23,NATNLSTEEL
2021-10-14,EQ,5.25,5.25,5.25,4.8,5.25,5.25,5.25,5.3,3.05,12662,66475.5,34,NATNLSTEEL
2021-10-13,EQ,4.8,4.8,4.8,4.4,4.8,4.8,4.8,5.3,3.05,24268,116486.4,70,NATNLSTEEL
2021-10-12,EQ,4.05,4.4,4.05,4.0,4.4,4.4,4.3,5.3,3.05,88584,381235.6,160,NATNLSTEEL
2021-10-11,EQ,4.1,4.1,3.9,4.0,4.0,4.0,3.99,5.3,3.05,44523,177846.05,132,NATNLSTEEL
2021-10-08,EQ,3.95,4.1,3.9,3.95,3.95,4.0,4.02,5.3,2.9,49439,198745.55,152,NATNLSTEEL
2021-10-07,EQ,4.0,4.0,3.9,3.85,3.9,3.95,3.94,5.3,2.9,25702,101219.05,120,NATNLSTEEL
2021-10-06,EQ,4.0,4.0,3.75,3.9,3.9,3.85,3.89,5.3,2.9,72624,282311.55,190,NATNLSTEEL
2021-10-05,EQ,4.1,4.15,3.85,4.0,4.0,3.9,3.97,5.3,2.9,83474,331223.65,165,NATNLSTEEL
2021-10-04,EQ,4.2,4.2,4.0,4.1,4.0,4.0,4.06,5.3,2.9,65497,266133.6,169,NATNLSTEEL
2021-10-01,EQ,4.2,4.2,4.0,4.1,4.1,4.1,4.05,5.3,2.8,25231,102297.65,78,NATNLSTEEL
2021-09-30,EQ,4.1,4.15,3.85,4.0,4.15,4.1,4.05,5.3,2.8,47856,193593.3,135,NATNLSTEEL
2021-09-29,EQ,3.9,4.0,3.85,3.95,4.0,4.0,3.93,5.3,2.8,21241,83488.25,238,NATNLSTEEL
2021-09-28,EQ,3.95,3.95,3.85,3.95,3.95,3.95,3.91,5.3,2.8,12465,48713.35,57,NATNLSTEEL
2021-09-27,EQ,4.1,4.1,3.9,4.0,3.9,3.95,3.95,5.3,2.8,18076,71333.45,87,NATNLSTEEL
2021-09-24,EQ,4.2,4.2,3.9,4.05,4.05,4.0,4.02,5.3,2.6,53107,213699.6,249,NATNLSTEEL
2021-09-23,EQ,3.95,4.05,3.9,3.9,4.0,4.05,4.03,5.3,2.6,16923,68141.65,97,NATNLSTEEL
2021-09-22,EQ,4.0,4.0,3.85,3.85,3.95,3.9,3.94,5.3,2.6,26856,105710.35,118,NATNLSTEEL
2021-09-21,EQ,4.05,4.05,3.85,3.9,3.95,3.85,3.9,5.3,2.6,14986,58506.3,93,NATNLSTEEL
2021-09-20,EQ,4.05,4.05,3.85,3.9,3.85,3.9,3.99,5.3,2.6,20414,81406.25,192,NATNLSTEEL
2021-09-17,EQ,4.2,4.2,3.85,4.05,4.0,3.9,3.96,5.3,2.55,43944,174235.85,161,NATNLSTEEL
2021-09-16,EQ,3.9,4.2,3.9,4.0,4.0,4.05,4.1,5.3,2.55,91217,373567.4,196,NATNLSTEEL
2021-09-15,EQ,4.1,4.1,3.85,4.05,4.1,4.0,4.01,5.3,2.55,51532,206704.1,165,NATNLSTEEL
2021-09-14,EQ,4.1,4.1,4.0,4.0,4.05,4.05,4.02,5.3,2.55,22282,89614.5,98,NATNLSTEEL
2021-09-13,EQ,4.0,4.05,3.8,3.9,3.9,4.0,3.97,5.3,2.55,37553,148922.65,90,NATNLSTEEL
2021-09-09,EQ,3.85,3.9,3.7,3.75,3.9,3.9,3.82,5.3,2.55,48373,184628.4,98,NATNLSTEEL
2021-09-08,EQ,3.9,3.9,3.7,3.8,3.7,3.75,3.83,5.3,2.55,29197,111745.1,108,NATNLSTEEL
2021-09-07,EQ,3.75,3.85,3.65,3.75,3.8,3.8,3.78,5.3,2.55,13417,50683.45,58,NATNLSTEEL
2021-09-06,EQ,3.9,4.05,3.75,3.9,3.85,3.75,3.81,5.3,2.55,66330,252724.6,183,NATNLSTEEL
2021-09-03,EQ,3.8,3.95,3.65,3.8,3.95,3.9,3.88,5.3,2.55,33806,131188.05,122,NATNLSTEEL
2021-09-02,EQ,3.65,3.9,3.65,3.75,3.8,3.8,3.82,5.3,2.55,24051,91815.45,117,NATNLSTEEL
2021-09-01,EQ,3.8,3.95,3.65,3.8,3.75,3.75,3.72,5.3,2.55,27960,104097.9,63,NATNLSTEEL
2021-08-31,EQ,3.8,3.9,3.7,3.8,3.8,3.8,3.79,5.3,2.3,32223,122053.7,92,NATNLSTEEL
2021-08-30,EQ,4.0,4.0,3.75,3.9,3.8,3.8,3.86,5.3,2.3,46379,178857.1,115,NATNLSTEEL
2021-08-27,EQ,3.75,4.0,3.75,3.9,3.95,3.9,3.88,5.3,2.3,12883,49922.85,82,NATNLSTEEL
2021-08-26,EQ,3.9,4.0,3.75,3.9,3.9,3.9,3.91,5.3,2.3,28161,110000.75,94,NATNLSTEEL
2021-08-25,EQ,4.0,4.3,3.9,4.1,3.9,3.9,3.9,5.3,2.3,147580,575956.2,306,NATNLSTEEL
2021-08-24,EQ,4.0,4.2,3.9,4.1,4.1,4.1,4.02,5.3,2.05,27352,110038.25,54,NATNLSTEEL
2021-08-23,EQ,4.3,4.3,4.0,4.15,4.0,4.1,4.03,5.3,1.8,8499,34273.1,43,NATNLSTEEL
2021-08-20,EQ,4.4,4.4,4.0,4.2,4.05,4.15,4.14,5.3,1.6,16416,67882.55,123,NATNLSTEEL
2021-08-18,EQ,4.5,4.55,4.15,4.35,4.25,4.2,4.35,5.3,1.4,61481,267636.0,341,NATNLSTEEL
2021-08-17,EQ,4.55,4.55,4.2,4.35,4.5,4.35,4.39,5.3,1.25,24165,106100.45,126,NATNLSTEEL
2021-08-16,EQ,4.45,4.45,4.1,4.25,4.45,4.35,4.34,5.3,1.1,31547,136966.1,228,NATNLSTEEL
2021-08-13,EQ,4.15,4.25,4.05,4.05,4.25,4.25,4.18,5.3,1.05,11694,48850.3,88,NATNLSTEEL
2021-08-12,EQ,4.3,4.3,4.0,4.1,4.15,4.05,4.14,5.3,1.05,37801,156603.4,152,NATNLSTEEL
2021-08-11,EQ,4.45,4.45,4.05,4.25,4.2,4.1,4.07,5.3,1.05,37275,151823.45,87,NATNLSTEEL
2021-08-10,EQ,4.05,4.45,4.05,4.25,4.15,4.25,4.34,5.3,1.05,23616,102551.0,89,NATNLSTEEL
2021-08-09,EQ,4.5,4.6,4.2,4.4,4.25,4.25,4.41,5.3,1.05,40726,179525.0,99,NATNLSTEEL
2021-03-16,EQ,5.25,5.25,4.75,5.0,5.0,4.95,4.97,5.3,1.05,188792,937560.55,274,NATNLSTEEL
2021-03-15,EQ,5.0,5.0,5.0,4.8,5.0,5.0,5.0,5.3,1.05,64023,320115.0,70,NATNLSTEEL
2021-03-12,EQ,4.8,4.8,4.8,4.6,4.8,4.8,4.8,5.3,1.05,4901,23524.8,12,NATNLSTEEL
2021-03-10,EQ,4.6,4.6,4.6,4.4,4.6,4.6,4.6,5.3,1.05,11620,53452.0,17,NATNLSTEEL
2021-03-09,EQ,4.4,4.4,4.4,4.2,4.4,4.4,4.4,5.3,1.05,9818,43199.2,12,NATNLSTEEL
2021-03-08,EQ,4.2,4.2,4.2,4.0,4.2,4.2,4.2,5.3,1.05,7203,30252.6,18,NATNLSTEEL
2021-02-10,EQ,5.3,5.3,5.3,5.05,5.3,5.3,5.3,5.3,1.05,39922,211586.6,30,NATNLSTEEL
2021-02-09,EQ,5.05,5.05,5.05,4.85,5.05,5.05,5.05,5.05,1.05,72106,364135.3,46,NATNLSTEEL
2021-02-08,EQ,4.85,4.85,4.85,4.65,4.85,4.85,4.85,4.85,1.05,19478,94468.3,29,NATNLSTEEL
2021-02-05,EQ,4.65,4.65,4.65,4.45,4.65,4.65,4.65,4.7,1.05,34197,159016.05,33,NATNLSTEEL
2021-02-04,EQ,4.45,4.45,4.45,4.25,4.45,4.45,4.45,4.7,1.05,60396,268762.2,80,NATNLSTEEL
2021-02-03,EQ,4.25,4.25,4.25,4.05,4.25,4.25,4.25,4.7,1.05,41147,174874.75,43,NATNLSTEEL
2021-02-02,EQ,4.05,4.05,3.75,3.9,4.05,4.05,4.0,4.7,1.05,22114,88352.05,32,NATNLSTEEL
2020-12-03,EQ,4.7,4.7,4.7,4.5,4.7,4.7,4.7,4.7,1.05,35240,165628.0,42,NATNLSTEEL
2020-12-02,EQ,4.3,4.5,4.3,4.3,4.5,4.5,4.48,4.5,1.05,17744,79544.8,30,NATNLSTEEL
2020-12-01,EQ,3.9,4.3,3.9,4.1,4.3,4.3,4.13,4.45,1.05,79319,327367.3,163,NATNLSTEEL
2020-11-27,EQ,4.4,4.4,4.05,4.2,4.05,4.1,4.25,4.45,1.05,55852,237541.35,174,NATNLSTEEL
2020-11-26,EQ,4.3,4.3,3.9,4.1,4.05,4.2,4.15,4.45,1.05,54204,224990.95,204,NATNLSTEEL
2020-11-25,EQ,4.1,4.1,4.1,3.95,4.1,4.1,4.1,4.45,1.05,13133,53845.3,16,NATNLSTEEL
2020-11-24,EQ,3.95,3.95,3.95,3.8,3.95,3.95,3.95,4.45,1.05,3813,15061.35,17,NATNLSTEEL
2020-11-23,EQ,3.8,3.8,3.8,3.65,3.8,3.8,3.8,4.45,1.05,2488,9454.4,10,NATNLSTEEL
2020-11-20,EQ,3.65,3.65,3.65,3.5,3.65,3.65,3.65,4.45,1.05,25402,92717.3,77,NATNLSTEEL
2020-11-19,EQ,3.5,3.5,3.5,3.35,3.5,3.5,3.5,4.45,1.05,2053,7185.5,14,NATNLSTEEL
2020-11-18,EQ,3.35,3.35,3.35,3.2,3.35,3.35,3.35,4.45,1.05,20428,68433.8,40,NATNLSTEEL
2020-11-17,EQ,3.05,3.2,3.05,3.05,3.2,3.2,3.08,4.45,1.05,2933,9035.55,20,NATNLSTEEL
2020-11-14,EQ,3.05,3.05,3.05,3.0,3.05,3.05,3.05,4.45,1.05,1,3.05,1,NATNLSTEEL
2020-11-13,EQ,2.9,3.0,2.9,2.9,3.0,3.0,2.95,4.45,1.05,1055,3109.1,17,NATNLSTEEL
2020-11-12,EQ,2.8,2.9,2.8,2.8,2.9,2.9,2.89,4.45,1.05,1701,4917.8,11,NATNLSTEEL
2020-11-11,EQ,2.6,2.8,2.6,2.7,2.8,2.8,2.75,4.45,1.05,6657,18291.7,32,NATNLSTEEL
