DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2022-12-30,EQ,63.15,64.2,63.05,63.0,63.3,63.15,63.53,90.15,30.1,473616,30086772.2,2906,NAVKARCORP
2022-12-29,EQ,61.0,64.0,61.0,61.35,62.85,63.0,63.15,90.15,30.1,986646,62310216.7,6078,NAVKARCORP
2022-12-28,EQ,61.6,63.3,60.55,62.2,62.0,61.35,62.15,90.15,30.1,867631,53920084.25,5654,NAVKARCORP
2022-12-27,EQ,57.0,64.2,57.0,56.2,62.5,62.2,61.57,90.15,30.1,2560982,157669916.95,13731,NAVKARCORP
2022-12-26,EQ,54.3,56.8,53.75,53.05,56.15,56.2,55.84,90.15,30.1,741428,41402385.95,4172,NAVKARCORP
2022-12-23,EQ,56.9,56.9,51.7,57.1,52.9,53.05,54.4,90.15,30.1,939124,51092437.4,4467,NAVKARCORP
2022-12-22,EQ,60.0,60.6,56.75,59.6,57.4,57.1,57.57,90.15,30.1,789752,45466168.95,4580,NAVKARCORP
2022-12-21,EQ,64.2,64.8,57.95,63.9,59.95,59.6,61.04,90.15,30.1,1180610,72064291.5,8084,NAVKARCORP
2022-12-20,EQ,66.0,66.9,63.1,65.95,63.75,63.9,64.58,90.15,30.1,662315,42772364.65,5067,NAVKARCORP
2022-12-19,EQ,63.45,66.9,63.0,62.95,65.8,65.95,65.44,90.15,30.1,1275221,83444120.15,8879,NAVKARCORP
2022-12-16,EQ,65.1,65.5,62.7,65.3,63.4,62.95,63.69,90.15,30.1,846952,53945266.15,6091,NAVKARCORP
2022-12-15,EQ,66.4,67.8,65.0,66.7,65.45,65.3,66.41,90.15,30.1,699122,46430132.85,6045,NAVKARCORP
2022-12-14,EQ,67.0,68.0,65.6,66.75,66.3,66.7,67.12,90.15,30.1,1189028,79810513.7,8730,NAVKARCORP
2022-12-13,EQ,68.2,68.5,66.0,67.5,66.65,66.75,67.18,90.15,30.1,986677,66289167.3,8864,NAVKARCORP
2022-12-12,EQ,66.55,68.6,65.75,66.75,67.3,67.5,67.33,90.15,30.1,1269186,85449229.25,10086,NAVKARCORP
2022-12-09,EQ,68.55,69.7,65.9,67.8,66.3,66.75,67.63,90.15,30.1,2640653,178583979.7,17424,NAVKARCORP
2022-12-08,EQ,63.05,68.7,61.6,63.35,67.75,67.8,66.55,90.15,30.1,4413266,293696245.2,20553,NAVKARCORP
2022-12-07,EQ,65.0,65.7,63.0,64.55,63.05,63.35,64.04,90.15,30.1,1721038,110213992.25,10119,NAVKARCORP
2022-12-06,EQ,59.0,65.0,58.6,59.0,64.9,64.55,63.34,90.15,30.1,6038694,382476508.9,25455,NAVKARCORP
2022-12-05,EQ,56.4,59.55,56.25,56.0,59.4,59.0,58.49,90.15,30.1,1296188,75808911.35,8171,NAVKARCORP
2022-12-02,EQ,55.75,57.3,55.75,56.3,56.05,56.0,56.48,90.15,30.1,545115,30787272.55,2937,NAVKARCORP
2022-12-01,EQ,57.6,57.9,56.0,57.2,56.45,56.3,56.85,90.15,30.1,302892,17220027.45,2293,NAVKARCORP
2022-11-30,EQ,57.4,58.2,56.85,57.0,57.5,57.2,57.38,90.15,30.1,338331,19411746.8,2414,NAVKARCORP
2022-11-29,EQ,58.45,58.7,56.5,58.2,56.9,57.0,57.48,90.15,30.1,502482,28880335.7,3876,NAVKARCORP
2022-11-28,EQ,56.0,59.8,55.55,55.5,58.25,58.2,58.0,90.15,30.1,1418246,82253636.9,8613,NAVKARCORP
2022-11-25,EQ,55.0,56.4,54.4,55.0,55.6,55.5,55.67,90.15,30.1,410015,22824881.8,2656,NAVKARCORP
2022-11-24,EQ,53.8,55.85,53.8,53.65,54.65,55.0,54.79,90.15,30.1,561867,30784932.8,3309,NAVKARCORP
2022-11-23,EQ,53.6,54.35,53.45,54.0,53.75,53.65,53.77,90.15,30.1,277291,14910176.75,2100,NAVKARCORP
2022-11-22,EQ,54.95,55.1,53.8,54.65,54.0,54.0,54.28,90.15,30.1,238608,12952504.5,1465,NAVKARCORP
2022-11-21,EQ,54.85,56.25,54.5,54.45,54.7,54.65,55.29,90.15,30.1,525055,29031563.25,3068,NAVKARCORP
2022-11-18,EQ,55.4,55.9,54.25,54.6,54.45,54.45,54.77,90.15,30.1,270416,14810591.7,1497,NAVKARCORP
2022-11-17,EQ,54.9,55.75,54.5,55.4,54.6,54.6,54.94,90.15,30.1,292606,16075299.8,1615,NAVKARCORP
2022-11-16,EQ,54.85,56.6,54.55,54.35,55.35,55.4,55.67,90.15,30.1,557104,31015895.35,3503,NAVKARCORP
2022-11-15,EQ,54.9,55.3,54.1,54.75,54.5,54.35,54.48,90.15,30.1,283227,15430178.95,1868,NAVKARCORP
2022-11-14,EQ,55.5,55.55,54.5,55.3,55.2,54.75,54.84,90.15,30.1,282600,15497026.7,2117,NAVKARCORP
2022-11-11,EQ,56.65,57.25,54.95,56.6,55.4,55.3,55.84,90.15,30.1,483142,26979997.15,3606,NAVKARCORP
2022-11-10,EQ,57.15,58.0,55.05,57.25,56.0,56.6,56.52,90.15,30.1,614177,34712914.7,3686,NAVKARCORP
2022-11-09,EQ,57.2,58.25,56.9,56.85,57.35,57.25,57.63,90.15,30.1,506086,29165004.3,3108,NAVKARCORP
2022-11-07,EQ,57.1,57.75,56.5,56.7,57.0,56.85,56.98,90.15,30.1,284135,16189287.5,2453,NAVKARCORP
2022-11-04,EQ,57.15,57.45,56.5,56.85,56.95,56.7,56.9,90.15,30.1,287660,16367452.0,2481,NAVKARCORP
2022-11-03,EQ,53.65,57.5,53.3,53.7,57.1,56.85,56.54,90.15,30.1,1013701,57312761.3,7599,NAVKARCORP
2022-11-02,EQ,54.65,55.3,53.55,54.3,53.7,53.7,54.34,90.15,30.1,350430,19041433.6,3373,NAVKARCORP
2022-11-01,EQ,54.95,55.35,53.1,54.4,54.25,54.3,54.45,90.15,30.1,392043,21346907.05,3091,NAVKARCORP
2022-10-31,EQ,55.95,56.25,54.2,55.35,54.35,54.4,54.96,90.15,30.1,348915,19177090.95,4481,NAVKARCORP
2022-10-28,EQ,56.35,56.35,55.0,55.95,55.25,55.35,55.48,90.15,30.1,227817,12638733.55,2445,NAVKARCORP
2022-10-27,EQ,55.8,56.5,55.5,55.35,55.7,55.95,55.92,90.15,30.1,242470,13559782.05,2017,NAVKARCORP
2022-10-25,EQ,56.25,56.9,54.85,56.85,55.3,55.35,55.61,90.15,30.1,470206,26149262.15,5193,NAVKARCORP
2022-10-24,EQ,56.5,57.3,55.05,55.95,56.95,56.85,56.56,90.15,30.1,95495,5401158.7,1165,NAVKARCORP
2022-10-21,EQ,57.1,57.35,55.5,56.6,55.5,55.95,56.36,90.15,30.1,366372,20648442.1,2565,NAVKARCORP
2022-10-20,EQ,57.45,57.85,56.15,57.75,56.4,56.6,56.92,90.15,30.1,416539,23709417.1,2575,NAVKARCORP
2022-10-19,EQ,59.5,60.7,57.3,59.2,57.4,57.75,59.02,90.15,30.1,667022,39370898.6,4371,NAVKARCORP
2022-10-18,EQ,59.0,59.55,58.15,58.55,59.35,59.2,58.92,90.15,30.1,496824,29271551.2,3804,NAVKARCORP
2022-10-17,EQ,58.2,58.9,57.0,58.15,58.75,58.55,58.02,90.15,30.1,397228,23045753.1,4715,NAVKARCORP
2022-10-14,EQ,57.95,59.0,57.5,56.9,58.4,58.15,58.32,90.15,30.1,650070,37914272.75,6823,NAVKARCORP
2022-10-13,EQ,57.0,57.55,56.0,57.25,56.9,56.9,56.76,90.15,30.1,419970,23836040.0,3166,NAVKARCORP
2022-10-12,EQ,58.7,58.8,56.7,58.25,57.05,57.25,57.43,90.15,30.1,600342,34475692.5,5124,NAVKARCORP
2022-10-11,EQ,60.65,60.65,58.0,60.2,58.5,58.25,59.14,90.15,30.1,843573,49886060.05,6347,NAVKARCORP
2022-10-10,EQ,57.6,61.75,56.5,57.7,60.2,60.2,60.06,90.15,30.1,2361338,141811063.9,15259,NAVKARCORP
2022-10-07,EQ,55.25,58.0,53.8,54.9,58.0,57.7,56.36,90.15,30.1,1513603,85301725.5,7692,NAVKARCORP
2022-10-06,EQ,56.6,56.95,54.5,56.1,55.0,54.9,55.51,90.15,30.1,1067391,59245654.45,5229,NAVKARCORP
2022-10-04,EQ,55.6,56.9,55.15,54.65,56.55,56.1,56.12,90.15,30.1,709622,39826109.25,4623,NAVKARCORP
2022-10-03,EQ,56.75,57.0,54.3,56.85,54.8,54.65,55.53,90.15,30.1,624649,34688778.9,6133,NAVKARCORP
2022-09-30,EQ,56.1,57.45,55.15,56.1,57.45,56.85,56.34,90.15,30.1,587969,33125238.8,6072,NAVKARCORP
2022-09-29,EQ,57.5,57.9,55.1,56.65,56.0,56.1,56.51,90.15,30.1,631190,35671199.75,5321,NAVKARCORP
2022-09-28,EQ,56.95,59.05,55.8,57.8,56.4,56.65,57.33,90.15,30.1,1036407,59412044.2,7105,NAVKARCORP
2022-09-27,EQ,56.2,58.3,54.4,55.6,58.0,57.8,56.32,90.15,30.1,1097474,61811196.45,7329,NAVKARCORP
2022-09-26,EQ,57.95,58.4,55.0,58.15,55.45,55.6,56.32,90.15,30.1,1068672,60186520.85,6485,NAVKARCORP
2022-09-23,EQ,62.3,62.75,57.6,62.0,58.2,58.15,59.77,90.15,30.1,1408108,84165847.1,7804,NAVKARCORP
2022-09-22,EQ,62.7,63.8,61.45,63.1,62.1,62.0,62.33,90.15,30.1,852030,53103240.55,4260,NAVKARCORP
2022-09-21,EQ,65.85,66.35,62.9,65.55,63.0,63.1,64.13,90.15,30.1,1044479,66981999.85,5893,NAVKARCORP
