DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2022-12-30,EQ,188.16,193.1,187.31,190.88,190.14,189.41,189.76,215.89,157.66,747,141753.78,68,NETF
2022-12-29,EQ,190.0,190.91,188.51,190.0,190.91,190.88,189.41,215.89,157.66,897,169897.63,36,NETF
2022-12-28,EQ,185.55,192.98,185.55,189.0,190.0,190.0,190.07,215.89,157.66,1150,218581.0,53,NETF
2022-12-27,EQ,189.17,189.41,187.52,189.17,189.0,189.0,188.68,215.89,157.66,189,35660.18,30,NETF
2022-12-26,EQ,189.88,189.88,185.08,186.94,189.16,189.17,188.27,215.89,157.66,778,146472.3,46,NETF
2022-12-23,EQ,190.0,192.0,185.26,189.78,187.1,186.94,187.7,215.89,157.66,2342,439591.29,91,NETF
2022-12-22,EQ,194.89,194.89,188.69,191.24,190.0,189.78,189.53,215.89,157.66,905,171523.13,80,NETF
2022-12-21,EQ,191.54,193.0,190.02,191.54,191.24,191.24,191.3,215.89,157.66,579,110764.23,40,NETF
2022-12-20,EQ,194.88,194.88,189.73,192.55,191.5,191.54,190.82,215.89,157.66,583,111248.56,60,NETF
2022-12-19,EQ,195.55,195.98,190.5,191.68,192.2,192.55,193.33,215.89,157.66,628,121411.05,74,NETF
2022-12-16,EQ,189.77,193.14,189.77,192.65,191.68,191.68,191.77,215.89,157.66,664,127336.3,61,NETF
2022-12-15,EQ,196.4,196.4,192.0,194.78,193.25,192.65,194.2,215.89,157.66,796,154581.36,72,NETF
2022-12-14,EQ,204.99,204.99,194.0,194.56,194.0,194.78,195.47,215.89,157.66,1571,307076.92,83,NETF
2022-12-13,EQ,196.65,196.65,193.1,193.41,195.0,194.56,193.87,215.89,157.66,1431,277421.98,63,NETF
2022-12-12,EQ,189.05,195.46,189.05,192.9,194.28,193.41,192.83,215.89,157.66,1367,263604.33,103,NETF
2022-12-09,EQ,196.65,196.65,192.5,195.56,194.0,192.9,193.64,215.89,157.66,1491,288710.09,88,NETF
2022-12-08,EQ,196.39,196.39,192.12,194.11,195.57,195.56,194.35,215.89,157.66,304,59083.51,44,NETF
2022-12-07,EQ,196.64,196.64,193.52,195.13,193.52,194.11,195.02,215.89,157.66,2182,425543.97,61,NETF
2022-12-06,EQ,194.01,196.64,194.01,195.06,195.16,195.13,195.07,215.89,157.66,1388,270755.73,81,NETF
2022-12-05,EQ,194.02,196.65,194.01,195.53,195.0,195.06,195.37,215.89,157.66,1975,385848.24,83,NETF
2022-12-02,EQ,194.67,196.99,194.67,196.65,195.61,195.53,195.55,215.89,157.66,1595,311902.19,74,NETF
2022-12-01,EQ,194.17,197.59,194.17,196.13,197.0,196.65,196.63,215.89,157.66,3332,655164.76,99,NETF
2022-11-30,EQ,198.95,198.95,194.0,194.71,197.0,196.13,195.7,215.89,157.66,1438,281410.55,80,NETF
2022-11-29,EQ,197.59,197.59,189.81,193.58,194.98,194.71,194.68,215.89,157.66,767,149319.36,73,NETF
2022-11-28,EQ,191.01,194.87,191.0,192.91,193.5,193.58,193.49,215.89,157.66,2110,408272.23,120,NETF
2022-11-25,EQ,192.0,194.99,192.0,193.23,192.99,192.91,192.93,215.89,157.66,2230,430227.75,73,NETF
2022-11-24,EQ,192.35,194.3,189.5,190.67,194.3,193.23,191.05,215.89,157.66,13779,2632470.5,97,NETF
2022-11-23,EQ,188.6,193.98,188.6,190.53,190.67,190.67,191.41,215.89,157.66,281,53785.22,49,NETF
2022-11-22,EQ,188.17,190.82,188.17,190.15,190.37,190.53,190.38,215.89,157.66,758,144310.54,54,NETF
2022-11-21,EQ,192.05,192.05,189.0,192.05,190.0,190.15,190.67,215.89,157.66,1799,343009.49,78,NETF
2022-11-18,EQ,194.39,194.39,190.82,191.61,192.05,192.05,191.76,215.89,157.66,379,72678.09,34,NETF
2022-11-17,EQ,193.0,194.38,188.3,192.14,192.47,191.61,191.99,215.89,157.66,549,105402.88,50,NETF
2022-11-16,EQ,190.14,193.0,190.14,191.96,191.87,192.14,192.35,215.89,157.66,2697,518774.88,116,NETF
2022-11-15,EQ,188.4,192.44,188.4,192.17,192.44,191.96,190.92,215.89,157.66,1733,330861.04,80,NETF
2022-11-14,EQ,192.0,192.59,190.01,191.62,192.51,192.17,191.85,215.89,157.66,1739,333623.27,96,NETF
2022-11-11,EQ,191.85,192.37,188.5,188.09,191.58,191.62,191.31,215.89,157.66,3246,620984.04,91,NETF
2022-11-10,EQ,189.75,191.0,185.5,189.72,188.1,188.09,188.01,215.89,157.66,873,164132.47,87,NETF
2022-11-09,EQ,171.16,190.4,171.16,189.97,190.38,189.72,189.93,215.89,157.66,900,170937.61,115,NETF
