DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2022-12-30,EQ,83.98,83.98,82.21,83.09,82.69,82.63,82.94,99.3,61.05,15694,1301705.49,339,CONSUMBEES
2022-12-29,EQ,83.0,83.5,82.3,83.04,83.5,83.09,82.48,99.3,61.05,23490,1937347.35,346,CONSUMBEES
2022-12-28,EQ,82.76,83.33,82.69,82.77,83.0,83.04,83.0,99.3,61.05,6334,525732.44,237,CONSUMBEES
2022-12-27,EQ,83.22,83.22,82.3,82.48,82.82,82.77,82.69,99.3,61.05,10206,843944.62,257,CONSUMBEES
2022-12-26,EQ,83.2,83.2,81.55,81.54,81.9,82.48,82.32,99.3,61.05,10439,859302.72,357,CONSUMBEES
2022-12-23,EQ,83.11,84.49,81.3,83.1,81.35,81.54,82.09,99.3,61.05,45243,3714151.13,907,CONSUMBEES
2022-12-22,EQ,84.24,84.24,83.06,83.8,83.11,83.1,83.55,99.3,61.05,30615,2557798.98,455,CONSUMBEES
2022-12-21,EQ,84.61,85.03,83.64,84.49,83.87,83.8,84.23,99.3,61.05,15087,1270840.85,419,CONSUMBEES
2022-12-20,EQ,85.02,85.02,83.85,84.92,84.63,84.49,84.21,99.3,61.05,14465,1218097.26,372,CONSUMBEES
2022-12-19,EQ,83.94,85.02,83.94,83.93,84.99,84.92,84.66,99.3,61.05,8278,700817.47,228,CONSUMBEES
2022-12-16,EQ,85.44,85.44,83.85,85.0,84.0,83.93,84.18,99.3,61.05,34246,2882823.23,610,CONSUMBEES
2022-12-15,EQ,85.87,85.87,84.68,85.65,84.92,85.0,85.27,99.3,61.05,34368,2930464.75,481,CONSUMBEES
2022-12-14,EQ,85.15,85.88,85.06,85.68,85.7,85.65,85.64,99.3,61.05,6656,570022.52,197,CONSUMBEES
2022-12-13,EQ,85.88,85.88,85.15,85.62,85.6,85.68,85.59,99.3,61.05,6802,582157.97,188,CONSUMBEES
2022-12-12,EQ,85.0,85.88,84.89,85.46,85.71,85.62,85.15,99.3,61.05,10471,891589.27,277,CONSUMBEES
2022-12-09,EQ,85.91,85.91,85.11,85.55,85.47,85.46,85.55,99.3,61.05,9211,788017.15,202,CONSUMBEES
2022-12-08,EQ,85.87,86.0,85.36,85.65,85.36,85.55,85.76,99.3,61.05,18850,1616523.54,235,CONSUMBEES
2022-12-07,EQ,85.61,85.87,85.16,85.51,85.69,85.65,85.61,99.3,61.05,5979,511876.42,197,CONSUMBEES
2022-12-06,EQ,87.78,87.78,85.11,85.52,85.5,85.51,85.44,99.3,61.05,9107,778083.64,253,CONSUMBEES
2022-12-05,EQ,86.74,86.74,85.0,85.62,85.55,85.52,85.36,99.3,61.05,15355,1310729.54,396,CONSUMBEES
2022-12-02,EQ,86.73,86.73,85.16,86.28,85.9,85.62,85.55,99.3,61.05,37563,3213640.4,332,CONSUMBEES
2022-12-01,EQ,86.01,86.73,86.01,86.27,86.34,86.28,86.34,99.3,61.05,22559,1947716.88,290,CONSUMBEES
2022-11-30,EQ,85.87,86.72,85.35,85.45,86.06,86.27,85.99,99.3,61.05,19796,1702227.92,237,CONSUMBEES
2022-11-29,EQ,85.02,85.46,84.86,84.65,85.46,85.45,85.36,99.3,61.05,11923,1017734.34,206,CONSUMBEES
2022-11-28,EQ,83.26,85.88,83.26,84.4,84.71,84.65,84.82,99.3,61.05,13944,1182669.7,291,CONSUMBEES
2022-11-25,EQ,84.45,85.01,84.11,84.57,84.48,84.4,84.37,99.3,61.05,13592,1146690.23,322,CONSUMBEES
2022-11-24,EQ,83.91,84.76,83.91,84.15,84.76,84.57,84.44,99.3,61.05,21113,1782677.58,258,CONSUMBEES
2022-11-23,EQ,84.58,84.59,83.85,83.97,84.14,84.15,84.18,99.3,61.05,3560,299663.25,151,CONSUMBEES
2022-11-22,EQ,84.02,84.35,83.69,83.88,83.77,83.97,83.94,99.3,61.05,12467,1046495.39,243,CONSUMBEES
2022-11-21,EQ,84.58,84.59,83.6,84.22,83.9,83.88,83.89,99.3,61.05,14880,1248239.73,388,CONSUMBEES
2022-11-18,EQ,86.06,86.9,83.7,84.62,84.24,84.22,84.15,99.3,61.05,25994,2187321.16,665,CONSUMBEES
2022-11-17,EQ,85.3,85.84,84.44,85.35,84.63,84.62,84.99,99.3,61.05,24344,2069034.46,506,CONSUMBEES
2022-11-16,EQ,86.05,86.06,85.0,85.49,85.38,85.35,85.29,99.3,61.05,11567,986499.25,275,CONSUMBEES
2022-11-15,EQ,85.5,86.05,84.71,85.32,85.6,85.49,85.23,99.3,61.05,18699,1593776.72,369,CONSUMBEES
2022-11-14,EQ,87.18,87.18,85.12,85.68,85.34,85.32,85.5,99.3,61.05,25531,2182816.48,502,CONSUMBEES
2022-11-11,EQ,86.41,86.42,85.0,85.69,85.8,85.68,85.67,99.3,61.05,27560,2361097.43,319,CONSUMBEES
