DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2022-12-30,EQ,759.8,769.1,756.0,759.8,762.85,760.45,763.94,820.0,574.5,56098,42855721.9,4536,NH
2022-12-29,EQ,756.95,763.0,752.0,756.35,759.55,759.8,759.66,820.0,574.5,86361,65605265.95,6272,NH
2022-12-28,EQ,761.5,765.5,751.55,759.95,753.0,756.35,761.33,820.0,574.5,65026,49506109.95,3262,NH
2022-12-27,EQ,757.3,777.9,750.1,757.3,752.1,759.95,768.47,820.0,574.5,512952,394185851.8,15247,NH
2022-12-26,EQ,743.3,759.0,734.45,739.6,758.9,757.3,750.33,820.0,574.5,53803,40369888.8,3985,NH
2022-12-23,EQ,747.0,759.35,732.5,753.75,739.8,739.6,748.63,820.0,544.95,402577,301383011.2,9678,NH
2022-12-22,EQ,767.0,771.4,752.0,762.35,753.9,753.75,754.8,820.0,544.95,352630,266164024.2,17677,NH
2022-12-21,EQ,753.65,766.75,750.2,749.9,762.0,762.35,758.36,820.0,544.95,190826,144715237.85,12353,NH
2022-12-20,EQ,750.0,759.35,744.4,756.3,749.0,749.9,750.61,820.0,544.95,252503,189530591.95,9401,NH
2022-12-19,EQ,755.9,759.4,749.2,752.65,752.2,756.3,754.06,820.0,544.95,73700,55574535.15,5596,NH
2022-12-16,EQ,752.05,775.0,746.0,752.4,753.0,752.65,754.2,820.0,544.95,454142,342515898.75,13120,NH
2022-12-15,EQ,769.15,769.15,748.3,768.65,753.0,752.4,753.53,820.0,544.95,503608,379485016.05,16970,NH
2022-12-14,EQ,759.95,777.0,748.05,755.1,771.05,768.65,756.33,820.0,544.95,330308,249823408.45,11653,NH
2022-12-13,EQ,758.5,760.25,750.4,757.4,755.3,755.1,754.61,820.0,544.95,327901,247436422.25,9328,NH
2022-12-12,EQ,759.0,764.0,747.0,757.05,758.45,757.4,756.28,820.0,544.95,198496,150119501.75,6368,NH
2022-12-09,EQ,760.4,760.4,749.0,758.35,757.5,757.05,756.47,820.0,544.95,377609,285651705.75,6621,NH
2022-12-08,EQ,753.45,760.65,742.55,753.45,760.0,758.35,757.03,820.0,544.95,487422,368992014.25,7816,NH
2022-12-07,EQ,755.7,760.65,751.8,752.05,754.0,753.45,756.15,820.0,544.95,129332,97794596.7,4315,NH
2022-12-06,EQ,752.0,764.0,748.6,755.4,757.0,752.05,757.83,820.0,544.95,888694,673483039.95,6168,NH
2022-12-05,EQ,769.95,769.95,751.45,757.6,754.0,755.4,759.22,820.0,544.95,130093,98768611.35,7196,NH
2022-12-02,EQ,753.1,759.0,745.0,753.1,757.0,757.6,756.36,820.0,530.0,111087,84021380.65,5544,NH
2022-12-01,EQ,750.0,758.8,747.0,742.7,753.0,753.1,754.45,820.0,530.0,100621,75913369.35,7053,NH
2022-11-30,EQ,760.0,763.75,736.9,758.1,744.0,742.7,753.47,820.0,530.0,299665,225787404.95,10569,NH
2022-11-29,EQ,751.0,760.0,748.5,746.4,759.5,758.1,754.27,820.0,530.0,85988,64857916.45,8036,NH
2022-11-28,EQ,757.55,759.8,741.55,753.75,750.0,746.4,748.36,820.0,530.0,145720,109051738.75,11562,NH
2022-11-25,EQ,763.85,763.9,752.9,763.3,753.15,753.75,756.96,820.0,530.0,147409,111582921.4,7720,NH
2022-11-24,EQ,758.0,768.0,751.05,754.9,760.1,763.3,760.39,820.0,530.0,135309,102887167.0,12023,NH
2022-11-23,EQ,753.85,759.2,746.2,750.05,754.0,754.9,753.46,820.0,530.0,171947,129554366.1,16214,NH
2022-11-22,EQ,768.5,768.5,745.0,764.65,753.0,750.05,754.6,820.0,530.0,135047,101905934.35,9969,NH
2022-11-21,EQ,780.0,789.0,756.0,752.55,762.2,764.65,764.7,820.0,530.0,272947,208722345.4,21720,NH
2022-11-18,EQ,749.0,760.0,744.05,749.2,749.85,752.55,753.23,820.0,530.0,129245,97351082.25,22229,NH
2022-11-17,EQ,753.0,756.8,746.2,749.55,748.05,749.2,751.18,820.0,530.0,93575,70291218.3,8763,NH
2022-11-16,EQ,752.85,756.9,745.1,758.2,748.0,749.55,750.6,820.0,530.0,86842,65183192.45,8531,NH
2022-11-15,EQ,768.6,769.7,755.0,763.4,756.1,758.2,759.85,820.0,530.0,140451,106722185.0,13138,NH
2022-11-14,EQ,743.0,766.0,740.45,739.8,761.25,763.4,757.33,820.0,530.0,261556,198084085.7,17161,NH
2022-11-11,EQ,774.15,774.15,736.25,767.4,740.0,739.8,749.4,820.0,530.0,359005,269038484.95,25113,NH
2022-11-10,EQ,795.0,820.0,757.85,739.8,768.05,767.4,776.89,820.0,530.0,1978294,1536909817.9,88218,NH
2022-11-09,EQ,742.0,765.95,738.0,737.95,740.0,739.8,744.46,798.0,530.0,199830,148764992.55,8658,NH
2022-11-07,EQ,742.4,754.45,731.0,738.7,739.0,737.95,739.19,798.0,530.0,214009,158192385.95,11122,NH
2022-11-04,EQ,750.05,763.0,732.55,747.05,740.0,738.7,740.57,798.0,509.85,464522,344011540.2,11177,NH
2022-11-03,EQ,765.0,773.65,740.0,770.0,744.2,747.05,755.59,798.0,509.85,130558,98648897.35,7909,NH
2022-11-02,EQ,771.0,780.0,761.2,770.95,768.5,770.0,770.55,798.0,509.85,142545,109838553.05,15492,NH
2022-11-01,EQ,794.9,794.9,769.5,791.45,771.0,770.95,779.28,798.0,509.85,195774,152563217.8,15637,NH
2022-10-31,EQ,768.0,795.0,766.9,762.8,787.25,791.45,782.08,798.0,509.85,425624,332871736.6,19906,NH
2022-10-28,EQ,734.85,798.0,734.05,731.15,766.0,762.8,779.25,798.0,501.8,2304063,1795448911.45,76882,NH
2022-10-27,EQ,709.8,734.8,705.0,708.35,734.0,731.15,724.56,777.0,501.8,173952,126039035.95,10150,NH
2022-10-25,EQ,727.85,728.75,699.3,730.95,704.5,708.35,715.5,777.0,501.8,75682,54150104.7,6771,NH
2022-10-24,EQ,730.0,734.05,726.35,726.15,730.0,730.95,730.62,777.0,501.8,18134,13249066.4,1389,NH
2022-10-21,EQ,725.3,735.5,715.0,722.4,723.95,726.15,730.42,777.0,491.9,106009,77431238.05,9962,NH
2022-10-20,EQ,719.7,727.0,717.35,721.85,720.5,722.4,722.16,777.0,491.9,167244,120776340.15,11236,NH
2022-10-19,EQ,734.6,734.6,715.3,730.9,720.0,721.85,724.52,777.0,491.9,139117,100792604.55,6326,NH
2022-10-18,EQ,725.25,739.9,718.6,721.6,738.8,730.9,726.72,777.0,491.9,125610,91283580.4,7046,NH
2022-10-17,EQ,732.7,736.0,716.0,729.7,725.0,721.6,726.86,777.0,491.9,121452,88278149.85,8266,NH
2022-10-14,EQ,717.0,749.0,711.05,714.4,730.55,729.7,723.06,777.0,491.9,881826,637614852.05,18916,NH
2022-10-13,EQ,696.05,719.0,691.05,696.25,714.0,714.4,703.08,777.0,491.9,630382,443207383.8,15546,NH
2022-10-12,EQ,709.0,709.55,692.7,709.95,696.05,696.25,699.73,777.0,491.9,453683,317453355.15,9473,NH
2022-10-11,EQ,710.0,717.7,705.55,711.65,708.0,709.95,710.49,777.0,491.9,175626,124779877.05,10345,NH
2022-10-10,EQ,709.0,715.3,705.0,709.6,712.0,711.65,710.53,777.0,491.9,194511,138206221.85,6308,NH
2022-10-07,EQ,707.3,728.65,701.0,703.3,712.9,709.6,709.29,777.0,491.9,626940,444679665.8,17288,NH
2022-10-06,EQ,719.0,726.65,699.15,712.45,704.5,703.3,706.67,777.0,491.9,462180,326609450.9,21756,NH
2022-10-04,EQ,729.0,733.15,710.15,722.35,715.0,712.45,714.2,777.0,491.9,124715,89071783.2,12379,NH
2022-10-03,EQ,724.0,736.45,712.4,719.95,723.0,722.35,726.08,777.0,491.9,150025,108929889.3,12636,NH
2022-09-30,EQ,718.25,725.0,712.0,717.5,720.0,719.95,719.69,777.0,491.9,98960,71220891.2,7888,NH
2022-09-29,EQ,715.85,730.0,711.0,713.15,715.0,717.5,717.17,777.0,491.9,298975,214414600.2,12638,NH
2022-09-28,EQ,709.75,726.55,707.0,709.2,710.0,713.15,715.73,777.0,491.9,460747,329771852.75,16667,NH
2022-09-27,EQ,695.0,715.0,690.2,696.3,710.65,709.2,705.85,777.0,491.9,306968,216673922.5,16308,NH
2022-09-26,EQ,700.8,710.0,683.35,700.8,697.15,696.3,692.48,777.0,491.9,212315,147023301.1,10889,NH
2022-09-23,EQ,694.0,705.0,692.7,694.45,704.0,700.8,697.96,777.0,491.9,104488,72928382.15,6506,NH
2022-09-22,EQ,703.3,709.6,689.55,705.6,690.0,694.45,704.06,777.0,491.9,584027,411188430.2,14582,NH
2022-09-21,EQ,709.95,716.8,699.9,705.45,705.0,705.6,705.63,777.0,491.9,181103,127791398.4,8876,NH
2022-09-20,EQ,698.75,711.85,698.7,695.25,705.2,705.45,705.84,777.0,491.9,358767,253231430.9,15060,NH
2022-09-19,EQ,700.7,708.55,690.55,698.45,700.0,695.25,701.85,777.0,491.9,323204,226841587.1,16460,NH
2022-09-16,EQ,705.2,713.55,696.0,707.8,701.1,698.45,701.45,777.0,491.9,546235,383158406.0,14671,NH
2022-09-15,EQ,707.0,711.0,695.0,705.1,705.2,707.8,703.64,777.0,491.9,379452,266998859.75,28787,NH
2022-09-14,EQ,699.0,707.0,694.2,704.2,705.05,705.1,703.64,777.0,491.9,189610,133417036.1,17820,NH
2022-09-13,EQ,714.1,714.1,698.1,708.7,702.2,704.2,704.44,777.0,491.9,289487,203925540.3,11344,NH
2022-09-12,EQ,709.0,715.6,698.05,705.6,705.25,708.7,707.09,777.0,491.9,133113,94122592.2,6790,NH
2022-09-09,EQ,711.0,711.0,701.25,705.5,704.5,705.6,705.63,777.0,491.9,167116,117921879.4,7558,NH
2022-09-08,EQ,718.0,718.55,701.1,712.55,705.85,705.5,705.82,777.0,491.9,200616,141599603.85,14277,NH
2022-09-07,EQ,719.1,721.9,707.05,714.9,714.0,712.55,714.06,777.0,491.9,128655,91866847.45,8481,NH
2022-09-06,EQ,727.0,744.0,701.55,706.75,711.2,714.9,723.32,777.0,491.9,749404,542056630.25,26696,NH
2022-09-05,EQ,723.0,723.0,701.5,713.7,708.0,706.75,710.3,777.0,491.9,98560,70007262.2,8473,NH
