DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2022-12-14,EQ,97.25,110.2,94.2,100.2,110.2,110.2,104.96,526.0,94.2,122042,12809406.9,1905,NXTDIGITAL
2022-12-13,EQ,106.4,106.4,99.2,107.45,99.9,100.2,102.06,526.0,99.2,50594,5163388.9,1213,NXTDIGITAL
2022-12-12,EQ,113.05,114.9,105.55,115.3,106.5,107.45,108.63,526.0,105.55,59781,6493716.25,1552,NXTDIGITAL
2022-12-09,EQ,118.15,121.0,113.85,122.1,115.0,115.3,117.8,526.0,105.55,88622,10439702.3,2059,NXTDIGITAL
2022-12-08,EQ,141.75,141.75,118.2,128.9,121.45,122.1,133.64,526.0,105.55,375923,50240163.3,7253,NXTDIGITAL
2022-12-07,EQ,126.9,128.9,124.95,117.2,128.9,128.9,127.74,526.0,105.55,45333,5790876.35,345,NXTDIGITAL
2022-12-06,EQ,115.0,117.2,105.55,106.55,117.2,117.2,114.53,526.0,105.55,39482,4521876.4,439,NXTDIGITAL
2022-11-21,EQ,427.95,448.0,423.6,423.75,448.0,436.75,437.87,526.0,321.05,38157,16707866.2,1907,NXTDIGITAL
2022-11-18,EQ,440.15,440.15,419.8,435.8,423.1,423.75,425.64,526.0,321.05,17075,7267885.4,923,NXTDIGITAL
2022-11-17,EQ,452.0,460.0,433.05,448.65,435.05,435.8,440.88,526.0,321.05,13869,6114573.75,1757,NXTDIGITAL
2022-11-16,EQ,436.05,451.0,432.75,436.85,448.0,448.65,445.31,526.0,321.05,22118,9849385.0,1495,NXTDIGITAL
2022-11-15,EQ,426.05,441.9,425.0,417.3,437.0,436.85,433.37,526.0,321.05,50906,22061077.6,1772,NXTDIGITAL
2022-11-14,EQ,414.0,424.95,408.05,399.6,418.0,417.3,416.57,526.0,321.05,23087,9617240.95,1803,NXTDIGITAL
2022-11-11,EQ,390.0,403.55,390.0,393.85,402.2,399.6,399.23,526.0,321.05,7294,2911967.9,527,NXTDIGITAL
2022-11-10,EQ,380.05,396.65,380.05,388.75,395.85,393.85,392.41,526.0,321.05,4490,1761926.35,224,NXTDIGITAL
2022-11-09,EQ,380.0,389.8,379.05,381.65,388.8,388.75,382.91,526.0,321.05,9609,3679400.35,605,NXTDIGITAL
2022-11-07,EQ,385.1,389.95,379.8,387.75,380.65,381.65,383.24,526.0,321.05,14868,5698022.7,654,NXTDIGITAL
2022-11-04,EQ,385.0,395.0,385.0,389.3,389.5,387.75,389.4,526.0,321.05,1817,707545.35,289,NXTDIGITAL
2022-11-03,EQ,385.0,400.0,384.0,389.55,391.95,389.3,392.08,526.0,321.05,4379,1716916.85,385,NXTDIGITAL
2022-11-02,EQ,378.6,400.0,378.6,388.0,389.55,389.55,388.99,526.0,321.05,3662,1424472.75,280,NXTDIGITAL
2022-11-01,EQ,389.05,394.95,381.0,389.45,386.0,388.0,388.3,526.0,321.05,7475,2902520.6,549,NXTDIGITAL
2022-10-31,EQ,377.0,393.0,377.0,384.1,393.0,389.45,386.68,526.0,321.05,3546,1371169.0,276,NXTDIGITAL
2022-10-28,EQ,380.0,386.95,379.85,381.0,385.0,384.1,382.37,526.0,321.05,6372,2436433.1,377,NXTDIGITAL
2022-10-27,EQ,387.0,396.15,379.0,392.3,379.0,381.0,384.91,526.0,321.05,6845,2634715.3,516,NXTDIGITAL
2022-10-25,EQ,396.3,399.5,389.05,396.3,393.8,392.3,392.29,526.0,321.05,1540,604127.55,199,NXTDIGITAL
2022-10-24,EQ,390.0,402.75,390.0,388.0,397.0,396.3,396.62,526.0,321.05,751,297863.2,75,NXTDIGITAL
2022-10-21,EQ,394.8,394.95,385.1,391.75,387.0,388.0,388.73,526.0,321.05,3272,1271929.95,312,NXTDIGITAL
2022-10-20,EQ,398.3,399.85,390.2,398.2,390.25,391.75,395.14,526.0,321.05,10099,3990549.5,541,NXTDIGITAL
2022-10-19,EQ,387.0,400.0,386.0,390.0,400.0,398.2,396.17,526.0,321.05,5058,2003852.35,478,NXTDIGITAL
2022-10-18,EQ,401.7,407.95,385.0,404.0,392.0,390.0,395.76,526.0,321.05,13932,5513713.85,889,NXTDIGITAL
2022-10-17,EQ,402.0,408.95,402.0,407.5,403.05,404.0,404.39,526.0,321.05,10749,4346775.85,570,NXTDIGITAL
2022-10-14,EQ,412.9,432.7,403.25,422.15,406.0,407.5,414.0,588.0,321.05,9118,3774862.25,787,NXTDIGITAL
2022-10-13,EQ,417.0,428.9,417.0,424.05,421.2,422.15,422.45,588.0,321.05,4941,2087320.8,329,NXTDIGITAL
2022-10-12,EQ,426.15,444.0,420.9,421.95,428.0,424.05,427.83,588.0,321.05,2383,1019516.25,289,NXTDIGITAL
2022-10-11,EQ,440.4,450.05,409.55,437.4,424.9,421.95,430.35,588.0,321.05,16961,7299169.15,1620,NXTDIGITAL
2022-10-10,EQ,444.0,449.7,433.55,440.95,435.15,437.4,439.37,588.0,321.05,1820,799650.3,138,NXTDIGITAL
2022-10-07,EQ,449.95,454.95,434.05,441.05,442.0,440.95,441.39,588.0,321.05,5899,2603758.1,306,NXTDIGITAL
2022-10-06,EQ,439.45,447.0,432.05,435.15,441.65,441.05,441.44,588.0,321.05,3344,1476158.65,294,NXTDIGITAL
2022-10-04,EQ,449.95,459.9,430.0,429.45,431.0,435.15,437.98,588.0,321.05,5578,2443039.5,529,NXTDIGITAL
2022-10-03,EQ,395.0,461.95,392.0,402.0,426.0,429.45,439.73,588.0,321.05,38041,16727709.85,2679,NXTDIGITAL
2022-09-30,EQ,399.7,407.6,397.85,397.05,400.0,402.0,403.23,588.0,321.05,3166,1276628.4,195,NXTDIGITAL
2022-09-29,EQ,404.0,414.0,390.05,406.1,399.0,397.05,401.7,588.0,321.05,2835,1138805.65,344,NXTDIGITAL
2022-09-28,EQ,401.0,412.45,401.0,412.1,405.0,406.1,408.28,588.0,321.05,1166,476057.45,187,NXTDIGITAL
2022-09-27,EQ,404.0,419.35,404.0,411.15,406.2,412.1,413.96,588.0,321.05,2538,1050635.0,266,NXTDIGITAL
2022-09-26,EQ,419.0,435.55,403.65,431.25,409.0,411.15,414.8,588.0,321.05,3385,1404094.4,358,NXTDIGITAL
2022-09-23,EQ,445.95,445.95,425.0,441.6,425.1,431.25,435.46,588.0,321.05,4318,1880331.65,387,NXTDIGITAL
2022-09-22,EQ,438.5,444.55,435.0,442.9,444.3,441.6,439.77,588.0,321.05,2823,1241462.55,288,NXTDIGITAL
2022-09-21,EQ,438.0,450.0,435.15,441.9,439.2,442.9,441.92,588.0,321.05,5824,2573765.0,360,NXTDIGITAL
2022-09-20,EQ,446.0,451.7,440.0,446.4,442.05,441.9,444.52,588.0,321.05,5735,2549350.65,349,NXTDIGITAL
2022-09-19,EQ,446.0,454.35,443.1,449.9,445.25,446.4,448.68,588.0,321.05,2120,951202.45,214,NXTDIGITAL
2022-09-16,EQ,455.0,463.95,444.0,459.85,452.0,449.9,452.63,588.0,321.05,6661,3014958.15,404,NXTDIGITAL
2022-09-15,EQ,452.25,467.95,452.25,464.0,460.0,459.85,461.99,588.0,321.05,3812,1761091.45,250,NXTDIGITAL
2022-09-14,EQ,461.05,466.45,457.55,463.2,462.6,464.0,462.84,588.0,321.05,5379,2489636.75,302,NXTDIGITAL
2022-09-13,EQ,464.0,468.35,462.0,463.75,463.95,463.2,464.79,588.0,321.05,4200,1952134.15,291,NXTDIGITAL
2022-09-12,EQ,468.35,468.35,456.6,460.8,463.25,463.75,464.58,588.0,321.05,4902,2277359.2,364,NXTDIGITAL
2022-09-09,EQ,455.05,468.25,455.05,461.6,462.35,460.8,461.71,588.0,321.05,4533,2092932.6,442,NXTDIGITAL
2022-09-08,EQ,462.3,473.95,459.05,465.2,462.05,461.6,463.1,588.0,321.05,12307,5699427.15,553,NXTDIGITAL
2022-09-07,EQ,467.75,469.75,461.15,463.2,465.6,465.2,465.59,588.0,321.05,3744,1743154.0,403,NXTDIGITAL
2022-09-06,EQ,452.0,468.35,452.0,459.2,460.05,463.2,463.65,588.0,321.05,7960,3690671.8,658,NXTDIGITAL
2022-09-05,EQ,475.0,489.0,456.25,464.25,467.8,459.2,471.83,588.0,321.05,22892,10801126.75,1599,NXTDIGITAL
2022-09-02,EQ,471.0,482.75,462.0,477.15,462.5,464.25,467.47,588.0,321.05,19386,9062345.1,1238,NXTDIGITAL
2022-09-01,EQ,480.2,489.15,475.5,485.05,476.75,477.15,479.53,588.0,321.05,14707,7052431.75,683,NXTDIGITAL
2022-08-30,EQ,480.0,494.75,473.65,480.6,487.45,485.05,486.39,588.0,321.05,12378,6020559.3,948,NXTDIGITAL
2022-08-29,EQ,470.0,488.6,470.0,487.25,477.0,480.6,482.57,588.0,321.05,16240,7836869.1,816,NXTDIGITAL
2022-08-26,EQ,489.45,500.6,484.55,484.65,487.0,487.25,491.34,588.0,321.05,17860,8775275.3,1467,NXTDIGITAL
2022-08-25,EQ,521.85,526.0,481.6,521.85,483.0,484.65,499.7,588.0,321.05,47587,23779406.5,2489,NXTDIGITAL
2022-08-24,EQ,513.75,526.0,500.0,508.85,522.55,521.85,518.04,588.0,321.05,37080,19208801.4,2063,NXTDIGITAL
2022-08-23,EQ,488.0,514.85,481.4,496.25,509.0,508.85,505.07,588.0,321.05,45280,22869523.05,2527,NXTDIGITAL
2022-08-22,EQ,475.0,504.6,451.55,469.6,494.75,496.25,488.57,588.0,321.05,92974,45424052.7,4278,NXTDIGITAL
2022-08-19,EQ,448.5,474.0,441.05,445.7,470.0,469.6,460.86,588.0,321.05,102430,47206158.65,3720,NXTDIGITAL
2022-08-18,EQ,436.6,455.0,430.25,435.5,444.1,445.7,441.6,588.0,321.05,36099,15941176.95,1632,NXTDIGITAL
2022-08-17,EQ,439.0,447.7,426.05,420.0,434.0,435.5,436.96,588.0,321.05,68151,29779240.0,3102,NXTDIGITAL
2022-08-16,EQ,408.1,426.45,408.05,411.75,423.0,420.0,415.29,588.0,321.05,11292,4689429.35,494,NXTDIGITAL
2022-08-12,EQ,407.65,417.8,407.65,412.65,412.0,411.75,412.78,588.0,321.05,5269,2174924.3,472,NXTDIGITAL
2022-08-11,EQ,407.0,416.8,406.0,408.0,411.1,412.65,411.74,588.0,321.05,7958,3276612.25,573,NXTDIGITAL
2022-08-10,EQ,400.0,415.0,400.0,411.2,406.95,408.0,407.31,588.0,321.05,6538,2662997.55,573,NXTDIGITAL
2022-08-08,EQ,411.0,417.65,407.0,407.65,412.5,411.2,413.06,588.0,321.05,3933,1624567.75,478,NXTDIGITAL
2022-08-05,EQ,405.0,413.5,400.0,406.3,407.55,407.65,409.88,588.0,321.05,8182,3353610.1,662,NXTDIGITAL
2022-08-04,EQ,400.05,410.9,400.0,405.0,403.55,406.3,404.96,588.0,321.05,9153,3706582.75,635,NXTDIGITAL
2022-08-03,EQ,399.0,409.95,391.25,395.1,407.8,405.0,402.6,588.0,321.05,10194,4104095.35,611,NXTDIGITAL
2022-08-02,EQ,391.0,404.2,391.0,397.35,395.0,395.1,396.83,588.0,321.05,7134,2830954.6,397,NXTDIGITAL
2022-08-01,EQ,394.0,405.95,394.0,390.9,399.5,397.35,402.56,588.0,321.05,15854,6382236.75,654,NXTDIGITAL
2022-07-29,EQ,394.0,398.35,389.7,392.65,389.75,390.9,392.17,588.0,321.05,7660,3004057.4,405,NXTDIGITAL
2022-07-28,EQ,389.0,399.45,388.35,390.75,392.05,392.65,393.83,588.0,321.05,3312,1304360.2,205,NXTDIGITAL
2022-07-27,EQ,391.0,399.75,380.65,386.85,389.2,390.75,387.52,588.0,321.05,3453,1338122.0,204,NXTDIGITAL
2022-07-26,EQ,391.05,400.8,382.9,393.85,386.9,386.85,388.33,588.0,321.05,8326,3233234.1,440,NXTDIGITAL
2022-07-25,EQ,402.0,407.4,385.1,398.25,390.75,393.85,395.97,588.0,321.05,5115,2025394.85,427,NXTDIGITAL
