DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2022-12-30,EQ,497.8,505.0,490.5,493.7,495.0,494.95,497.72,831.65,457.1,91798,45689755.9,5498,OLECTRA
2022-12-29,EQ,502.5,502.55,491.0,500.25,493.25,493.7,496.24,831.65,457.1,108332,53758260.85,5575,OLECTRA
2022-12-28,EQ,515.0,519.45,495.8,513.9,501.95,500.25,506.66,831.65,457.1,173622,87967402.85,7363,OLECTRA
2022-12-27,EQ,497.05,520.0,497.05,493.75,514.25,513.9,510.34,831.65,457.1,194637,99331681.85,7180,OLECTRA
2022-12-26,EQ,470.75,499.0,464.7,470.75,497.0,493.75,489.88,831.65,457.1,172041,84279538.5,8694,OLECTRA
2022-12-23,EQ,497.9,498.65,466.0,498.05,474.6,470.75,479.03,858.5,457.1,255071,122186260.55,12929,OLECTRA
2022-12-22,EQ,517.8,526.65,490.85,515.2,500.45,498.05,502.68,858.5,457.1,267636,134534550.95,14751,OLECTRA
2022-12-21,EQ,553.85,561.95,510.0,552.9,517.0,515.2,528.71,858.5,457.1,375417,198486608.7,16299,OLECTRA
2022-12-20,EQ,555.0,559.6,540.1,557.25,550.5,552.9,548.78,858.5,457.1,113645,62366256.45,5918,OLECTRA
2022-12-19,EQ,556.0,571.05,546.35,556.0,555.0,557.25,560.07,858.5,457.1,158993,89047072.85,8113,OLECTRA
2022-12-16,EQ,567.0,579.0,550.55,565.85,558.0,556.0,565.25,875.0,457.1,291617,164836514.05,11057,OLECTRA
2022-12-15,EQ,540.15,571.0,540.15,540.3,565.0,565.85,560.22,875.0,457.1,682246,382207993.75,18809,OLECTRA
2022-12-14,EQ,529.3,545.5,521.25,526.7,540.85,540.3,535.64,875.0,457.1,240795,128978846.6,8743,OLECTRA
2022-12-13,EQ,538.8,540.0,525.0,536.35,528.9,526.7,531.89,875.0,457.1,147298,78346180.9,4926,OLECTRA
2022-12-12,EQ,530.0,541.75,527.0,532.75,534.0,536.35,536.29,875.0,457.1,123304,66127033.35,6009,OLECTRA
2022-12-09,EQ,537.45,550.0,530.0,533.2,531.0,532.75,540.53,888.8,457.1,519304,280701841.45,15067,OLECTRA
2022-12-08,EQ,503.25,544.0,500.0,500.9,534.3,533.2,525.56,888.8,457.1,548591,288318283.25,18513,OLECTRA
2022-12-07,EQ,497.9,509.95,495.0,495.9,500.05,500.9,504.91,888.8,457.1,180069,90917823.7,6564,OLECTRA
2022-12-06,EQ,498.0,502.4,490.05,498.65,497.5,495.9,498.59,888.8,457.1,135310,67463549.1,4045,OLECTRA
2022-12-05,EQ,497.35,511.6,496.55,495.05,499.0,498.65,504.01,888.8,457.1,145125,73144727.45,5346,OLECTRA
2022-12-02,EQ,501.0,501.0,490.0,499.5,497.0,495.05,493.67,888.8,457.1,157065,77538069.3,6482,OLECTRA
2022-12-01,EQ,504.7,505.65,496.85,499.9,499.95,499.5,500.48,888.8,457.1,134450,67289933.65,6672,OLECTRA
2022-11-30,EQ,514.5,514.5,499.0,511.9,500.5,499.9,503.38,888.8,457.1,168983,85063044.0,8004,OLECTRA
2022-11-29,EQ,517.1,518.75,508.1,517.1,511.4,511.9,513.23,888.8,457.1,235059,120639725.6,4367,OLECTRA
2022-11-28,EQ,511.7,521.0,510.0,509.2,517.95,517.1,515.84,888.8,457.1,267765,138124889.0,8477,OLECTRA
2022-11-25,EQ,515.95,522.0,500.0,513.45,509.95,509.2,511.48,888.8,457.1,442754,226461033.95,14037,OLECTRA
2022-11-24,EQ,459.8,513.45,457.1,466.8,513.45,513.45,508.49,888.8,457.1,1903116,967720083.35,18661,OLECTRA
2022-11-23,EQ,508.7,508.95,459.0,508.7,459.8,466.8,478.98,888.8,459.0,773145,370318688.5,27117,OLECTRA
2022-11-22,EQ,535.0,537.85,506.0,535.5,509.0,508.7,514.33,888.8,506.0,476337,244994641.65,21925,OLECTRA
2022-11-21,EQ,548.0,548.0,534.0,546.65,534.75,535.5,538.48,888.8,534.0,94948,51127883.85,6752,OLECTRA
2022-11-18,EQ,546.4,560.0,540.0,542.6,545.0,546.65,549.32,888.8,534.35,206911,113659395.8,6951,OLECTRA
2022-11-17,EQ,542.0,548.95,534.35,543.6,543.95,542.6,541.34,888.8,534.35,93260,50485584.25,5153,OLECTRA
2022-11-16,EQ,553.95,555.0,539.25,552.15,543.95,543.6,545.51,888.8,535.0,147886,80673785.75,6953,OLECTRA
2022-11-15,EQ,553.0,560.0,550.0,552.75,554.0,552.15,554.25,888.8,535.0,76013,42129980.05,3213,OLECTRA
2022-11-14,EQ,557.45,560.0,550.15,554.85,554.0,552.75,555.28,888.8,535.0,80108,44482731.95,4437,OLECTRA
2022-11-11,EQ,559.9,564.65,551.0,552.85,554.5,554.85,559.13,888.8,535.0,76398,42716789.9,3195,OLECTRA
2022-11-10,EQ,562.0,564.0,545.0,564.95,558.0,552.85,553.54,888.8,535.0,123355,68281454.05,5642,OLECTRA
2022-11-09,EQ,567.5,569.8,562.05,563.3,564.2,564.95,565.73,888.8,535.0,83047,46982476.05,3756,OLECTRA
2022-11-07,EQ,567.0,567.1,561.55,562.9,563.0,563.3,563.87,888.8,535.0,57804,32593943.45,2595,OLECTRA
2022-11-04,EQ,558.9,572.7,553.1,555.85,560.55,562.9,561.62,888.8,535.0,151435,85048982.5,5272,OLECTRA
2022-11-03,EQ,560.0,568.5,552.25,564.0,557.9,555.85,558.75,888.8,535.0,123277,68880898.3,5624,OLECTRA
2022-11-02,EQ,566.75,568.45,558.0,564.1,565.4,564.0,561.63,888.8,535.0,109184,61320933.15,4390,OLECTRA
2022-11-01,EQ,564.85,570.0,560.0,561.25,562.5,564.1,564.42,888.8,535.0,130344,73568683.4,5269,OLECTRA
2022-10-31,EQ,565.0,577.95,547.0,567.8,562.0,561.25,558.91,888.8,535.0,274979,153688734.95,11130,OLECTRA
2022-10-28,EQ,568.4,574.75,558.0,564.35,572.0,567.8,566.92,888.8,535.0,160185,90812311.05,6185,OLECTRA
2022-10-27,EQ,591.4,594.0,542.65,584.55,567.0,564.35,574.38,888.8,535.0,254787,146344127.15,9638,OLECTRA
2022-10-25,EQ,594.0,594.0,580.0,590.9,583.0,584.55,585.52,888.8,535.0,120171,70362463.95,4082,OLECTRA
2022-10-24,EQ,586.0,593.35,581.25,576.35,591.0,590.9,589.82,888.8,535.0,88969,52475829.2,2904,OLECTRA
2022-10-21,EQ,579.0,591.05,573.0,577.15,575.0,576.35,580.92,888.8,535.0,144197,83767096.0,5046,OLECTRA
2022-10-20,EQ,577.7,580.0,573.9,578.3,579.0,577.15,576.28,888.8,535.0,97408,56134613.55,2790,OLECTRA
2022-10-19,EQ,584.0,587.7,576.05,579.65,578.95,578.3,580.68,888.8,535.0,94761,55025976.5,3615,OLECTRA
2022-10-18,EQ,589.0,590.6,577.8,583.6,579.8,579.65,581.44,888.8,535.0,154999,90122130.75,6148,OLECTRA
2022-10-17,EQ,595.0,599.8,580.0,595.8,584.95,583.6,584.68,888.8,535.0,160801,94017299.15,6750,OLECTRA
2022-10-14,EQ,607.0,610.4,594.0,601.55,597.0,595.8,599.94,888.8,535.0,150148,90080296.45,5802,OLECTRA
2022-10-13,EQ,607.7,617.9,598.0,604.35,600.1,601.55,608.29,888.8,535.0,283701,172573106.7,5232,OLECTRA
2022-10-12,EQ,600.2,618.8,600.1,602.5,603.85,604.35,610.32,888.8,535.0,243066,148349096.3,6521,OLECTRA
2022-10-11,EQ,611.0,614.45,600.15,606.6,601.0,602.5,606.18,888.8,535.0,146921,89060299.2,6074,OLECTRA
2022-10-10,EQ,607.0,620.0,601.45,614.5,609.0,606.6,609.97,888.8,535.0,230735,140741062.2,7809,OLECTRA
2022-10-07,EQ,600.0,621.0,600.0,597.7,615.0,614.5,613.18,888.8,535.0,380177,233116090.3,9725,OLECTRA
2022-10-06,EQ,604.0,605.0,593.0,595.75,598.25,597.7,597.88,888.8,535.0,142405,85141686.95,4943,OLECTRA
2022-10-04,EQ,610.0,614.35,589.4,593.7,596.55,595.75,600.41,888.8,535.0,159636,95846306.5,6039,OLECTRA
2022-10-03,EQ,589.8,611.65,587.0,586.75,597.8,593.7,599.84,888.8,535.0,262583,157508150.35,9784,OLECTRA
2022-09-30,EQ,590.0,599.0,584.9,588.9,587.0,586.75,591.7,888.8,535.0,143675,85012350.0,5494,OLECTRA
2022-09-29,EQ,573.7,592.75,569.25,564.55,592.75,588.9,583.29,888.8,535.0,181095,105630438.0,4583,OLECTRA
2022-09-28,EQ,569.05,578.7,561.0,570.0,564.9,564.55,568.88,888.8,535.0,152340,86663899.15,6014,OLECTRA
2022-09-27,EQ,581.9,587.25,567.0,577.65,569.05,570.0,575.26,888.8,535.0,174029,100112213.9,6849,OLECTRA
2022-09-26,EQ,587.25,604.7,571.85,598.5,576.1,577.65,580.9,888.8,535.0,249124,144717050.65,9467,OLECTRA
2022-09-23,EQ,613.9,622.75,597.45,615.25,598.85,598.5,606.32,888.8,535.0,208011,126121259.55,10521,OLECTRA
2022-09-22,EQ,618.3,626.8,613.0,623.55,614.05,615.25,617.78,888.8,535.0,141297,87290029.6,9513,OLECTRA
2022-09-21,EQ,613.05,633.0,610.8,619.1,620.95,623.55,621.0,888.8,535.0,259557,161184076.1,12929,OLECTRA
2022-09-20,EQ,621.0,633.4,614.15,610.05,619.0,619.1,623.51,888.8,535.0,356419,222229451.55,9571,OLECTRA
2022-09-19,EQ,608.7,624.3,581.1,606.4,613.9,610.05,600.19,888.8,535.0,311925,187214830.0,10101,OLECTRA
2022-09-16,EQ,613.4,615.5,603.0,614.7,607.95,606.4,608.16,888.8,535.0,140204,85266064.2,5407,OLECTRA
2022-09-15,EQ,625.95,629.3,612.0,622.4,615.0,614.7,617.86,888.8,535.0,117811,72790426.8,5264,OLECTRA
2022-09-14,EQ,619.7,627.55,615.25,630.85,624.0,622.4,623.39,888.8,535.0,90183,56219376.65,3778,OLECTRA
2022-09-13,EQ,628.4,635.0,626.1,625.95,630.9,630.85,631.46,888.8,535.0,197854,124937754.35,3935,OLECTRA
2022-09-12,EQ,629.1,637.4,622.05,623.35,626.9,625.95,627.76,888.8,535.0,134593,84492686.35,4625,OLECTRA
2022-09-09,EQ,631.85,637.5,619.85,629.8,625.0,623.35,628.8,888.8,535.0,175883,110595322.15,6399,OLECTRA
2022-09-08,EQ,628.6,644.0,624.95,624.45,627.05,629.8,632.41,888.8,535.0,145667,92120865.65,6033,OLECTRA
2022-09-07,EQ,633.35,636.95,623.0,638.8,624.0,624.45,626.98,888.8,535.0,167480,105006894.05,5788,OLECTRA
2022-09-06,EQ,650.65,653.4,635.25,650.65,638.0,638.8,641.29,888.8,535.0,138978,89125408.75,5667,OLECTRA
2022-09-05,EQ,664.0,664.0,647.65,637.85,653.0,650.65,653.19,888.8,535.0,393850,257258295.75,9281,OLECTRA
2022-09-02,EQ,664.0,664.0,635.1,638.45,637.95,637.85,647.43,888.8,535.0,351867,227808864.2,10293,OLECTRA
2022-09-01,EQ,620.0,652.5,615.25,621.45,638.0,638.45,643.05,888.8,535.0,850597,546979089.45,15983,OLECTRA
2022-08-30,EQ,628.0,642.5,618.0,623.1,621.0,621.45,627.33,888.8,535.0,211768,132848556.3,7156,OLECTRA
2022-08-29,EQ,595.25,639.8,595.05,611.95,624.0,623.1,615.34,888.8,535.0,264872,162985582.5,8844,OLECTRA
2022-08-26,EQ,595.0,618.75,590.5,589.3,615.0,611.95,605.17,888.8,535.0,256418,155177064.75,7166,OLECTRA
2022-08-25,EQ,600.0,604.75,585.1,591.5,590.9,589.3,592.9,888.8,535.0,165627,98200349.55,7063,OLECTRA
2022-08-24,EQ,605.0,614.75,579.0,601.5,590.05,591.5,597.04,888.8,535.0,198708,118636224.1,9272,OLECTRA
2022-08-23,EQ,605.0,614.35,581.0,610.5,603.8,601.5,604.5,888.8,535.0,138042,83446534.2,5584,OLECTRA
2022-08-22,EQ,622.0,622.0,607.3,622.5,610.7,610.5,614.43,888.8,535.0,117844,72406930.3,7289,OLECTRA
2022-08-19,EQ,633.0,640.5,620.45,633.8,623.7,622.5,627.45,888.8,535.0,179841,112840786.95,6975,OLECTRA
2022-08-18,EQ,637.0,647.65,628.0,634.65,632.4,633.8,634.05,888.8,535.0,185732,117763503.6,7469,OLECTRA
2022-08-17,EQ,615.7,639.95,615.0,611.65,635.25,634.65,630.93,888.8,535.0,584652,368871934.15,11279,OLECTRA
2022-08-16,EQ,622.0,623.2,610.05,618.35,611.8,611.65,620.15,888.8,535.0,221619,137436410.3,5319,OLECTRA
2022-08-12,EQ,612.7,620.9,606.9,610.75,619.25,618.35,616.31,888.8,535.0,94045,57960885.35,3074,OLECTRA
2022-08-11,EQ,611.9,615.85,604.0,604.65,611.0,610.75,610.36,888.8,535.0,205726,125567374.45,4531,OLECTRA
2022-08-10,EQ,605.75,619.8,602.95,605.75,603.0,604.65,606.94,888.8,535.0,116985,71003239.0,4125,OLECTRA
2022-08-08,EQ,615.7,619.6,602.0,614.0,606.0,605.75,607.75,888.8,535.0,136024,82668471.2,5333,OLECTRA
2022-08-05,EQ,615.7,629.0,608.0,615.1,612.5,614.0,620.05,888.8,535.0,371564,230387411.15,4790,OLECTRA
2022-08-04,EQ,630.0,634.4,605.0,628.6,615.0,615.1,619.14,888.8,535.0,161563,100030123.1,6782,OLECTRA
2022-08-03,EQ,640.2,646.1,623.05,644.35,626.5,628.6,629.82,888.8,535.0,174899,110154761.15,6681,OLECTRA
2022-08-02,EQ,644.0,660.0,639.05,644.5,641.95,644.35,650.33,888.8,535.0,206568,134336604.95,7352,OLECTRA
2022-08-01,EQ,643.0,650.0,632.55,638.55,642.05,644.5,642.13,888.8,535.0,148720,95497308.0,5525,OLECTRA
2022-07-29,EQ,639.9,649.3,633.2,627.65,637.0,638.55,642.46,888.8,535.0,234594,150717732.3,7548,OLECTRA
2022-07-28,EQ,644.6,659.75,623.0,641.05,628.7,627.65,640.54,888.8,535.0,360883,231159013.25,10806,OLECTRA
2022-07-27,EQ,636.15,648.05,621.25,632.0,634.0,641.05,634.5,888.8,535.0,128993,81846418.7,5110,OLECTRA
