DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2022-12-30,EQ,56.35,56.9,55.0,56.0,56.0,55.6,55.88,87.9,41.65,30265,1691232.8,518,OMAXAUTO
2022-12-29,EQ,57.6,57.6,55.0,56.5,56.15,56.0,55.98,87.9,41.65,20981,1174591.5,447,OMAXAUTO
2022-12-28,EQ,55.0,56.95,54.05,53.85,56.55,56.5,55.74,87.9,41.65,37793,2106403.4,780,OMAXAUTO
2022-12-27,EQ,54.45,55.0,53.5,53.9,53.75,53.85,54.2,87.9,41.65,60493,3278732.25,1039,OMAXAUTO
2022-12-26,EQ,51.5,54.25,50.55,50.45,54.0,53.9,52.73,87.9,41.65,54719,2885482.75,1025,OMAXAUTO
2022-12-23,EQ,54.65,54.65,48.8,55.0,51.5,50.45,52.03,87.9,41.65,91798,4775846.7,1603,OMAXAUTO
2022-12-22,EQ,56.6,57.7,54.4,57.0,55.3,55.0,55.41,87.9,41.65,80358,4452735.3,1626,OMAXAUTO
2022-12-21,EQ,58.6,61.9,56.7,58.05,57.0,57.0,59.78,87.9,41.65,358662,21439187.25,3258,OMAXAUTO
2022-12-20,EQ,56.9,60.0,56.55,57.25,58.5,58.05,58.69,87.9,41.65,106317,6239709.6,1538,OMAXAUTO
2022-12-19,EQ,58.65,58.65,56.6,57.6,57.3,57.25,57.18,87.9,41.65,46629,2666294.05,703,OMAXAUTO
2022-12-16,EQ,57.85,59.4,56.1,56.8,56.9,57.6,57.84,87.9,41.65,112793,6523671.2,1407,OMAXAUTO
2022-12-15,EQ,56.4,58.0,56.4,56.45,56.5,56.8,57.18,87.9,41.65,43409,2482031.15,780,OMAXAUTO
2022-12-14,EQ,58.0,58.0,55.8,57.4,56.6,56.45,56.62,87.9,41.65,81205,4598144.15,1629,OMAXAUTO
2022-12-13,EQ,57.95,59.0,56.2,57.0,57.8,57.4,57.65,87.9,41.65,56778,3273195.15,995,OMAXAUTO
2022-12-12,EQ,56.9,57.85,56.0,56.45,57.15,57.0,56.87,87.9,41.65,57565,3273899.45,1198,OMAXAUTO
2022-12-09,EQ,60.0,60.0,55.25,58.4,56.4,56.45,57.32,87.9,41.65,81445,4668267.0,1613,OMAXAUTO
2022-12-08,EQ,58.25,59.4,57.8,58.1,58.2,58.4,58.69,87.9,41.65,64154,3765428.85,872,OMAXAUTO
2022-12-07,EQ,59.0,59.05,57.8,58.5,58.5,58.1,58.34,87.9,41.65,46552,2715860.1,804,OMAXAUTO
2022-12-06,EQ,58.95,59.1,58.3,58.85,58.6,58.5,58.79,87.9,41.65,54034,3176823.0,626,OMAXAUTO
2022-12-05,EQ,60.6,60.6,58.55,59.95,58.9,58.85,59.5,87.9,41.65,90087,5360120.9,1015,OMAXAUTO
2022-12-02,EQ,62.6,64.8,59.6,62.85,60.0,59.95,61.58,87.9,41.65,270215,16639403.95,2359,OMAXAUTO
2022-12-01,EQ,60.9,64.0,59.65,59.3,62.75,62.85,62.77,87.9,41.65,172236,10810445.6,2262,OMAXAUTO
2022-11-30,EQ,61.0,61.0,58.4,60.6,59.0,59.3,59.43,87.9,41.65,37591,2233854.4,752,OMAXAUTO
2022-11-29,EQ,61.9,61.9,60.1,60.85,61.15,60.6,60.92,87.9,41.65,20234,1232560.3,437,OMAXAUTO
2022-11-28,EQ,59.8,62.0,57.5,59.15,61.0,60.85,60.96,87.9,41.65,65796,4011236.9,1049,OMAXAUTO
2022-11-25,EQ,59.6,59.85,57.95,58.05,59.4,59.15,59.38,87.9,41.65,38214,2268983.45,635,OMAXAUTO
2022-11-24,EQ,58.45,58.85,57.6,57.55,58.2,58.05,58.14,87.9,41.65,32442,1886241.2,460,OMAXAUTO
2022-11-23,EQ,56.6,58.5,56.5,56.7,57.95,57.55,57.55,87.9,41.65,51857,2984376.1,899,OMAXAUTO
2022-11-22,EQ,58.65,59.15,56.25,58.4,56.65,56.7,57.42,87.9,41.65,42944,2465844.95,815,OMAXAUTO
2022-11-21,EQ,58.5,59.4,58.05,58.5,58.5,58.4,58.6,87.9,41.65,34938,2047265.9,549,OMAXAUTO
2022-11-18,EQ,60.0,60.7,58.05,60.0,58.75,58.5,59.07,87.9,41.65,48699,2876782.6,1073,OMAXAUTO
2022-11-17,EQ,61.35,61.9,59.3,61.25,59.7,60.0,60.86,87.9,41.65,58333,3550071.1,959,OMAXAUTO
2022-11-16,EQ,60.6,62.2,59.15,59.9,61.35,61.25,61.56,87.9,41.65,106312,6544390.95,1624,OMAXAUTO
2022-11-15,EQ,60.45,60.45,58.2,59.6,60.0,59.9,59.74,87.9,41.65,90411,5401492.25,1450,OMAXAUTO
2022-11-14,EQ,64.0,64.2,58.9,63.65,59.7,59.6,60.07,87.9,41.65,246592,14812529.5,2837,OMAXAUTO
2022-11-11,EQ,67.0,68.4,62.8,70.55,64.3,63.65,64.41,87.9,41.65,382365,24629096.85,4801,OMAXAUTO
2022-11-10,EQ,72.8,74.0,68.75,72.85,71.4,70.55,71.64,87.9,41.65,98307,7042801.95,1864,OMAXAUTO
2022-11-09,EQ,74.0,74.95,72.0,72.9,73.0,72.85,73.44,87.9,41.65,81332,5972886.8,1519,OMAXAUTO
2022-11-07,EQ,74.8,76.3,71.1,74.05,72.8,72.9,73.18,87.9,41.65,118178,8647701.25,1932,OMAXAUTO
2022-11-04,EQ,72.8,75.05,72.65,72.1,74.3,74.05,74.04,87.9,41.65,80973,5994857.15,1637,OMAXAUTO
2022-11-03,EQ,70.8,76.35,70.65,70.3,72.2,72.1,73.1,87.9,41.65,200558,14659876.3,4000,OMAXAUTO
2022-11-02,EQ,72.9,72.9,69.65,72.45,70.65,70.3,70.96,87.9,41.65,110775,7860214.1,2249,OMAXAUTO
2022-11-01,EQ,75.0,76.5,71.5,74.45,72.9,72.45,73.71,87.9,41.65,110984,8180710.85,2302,OMAXAUTO
2022-10-31,EQ,77.2,77.25,74.15,75.85,74.3,74.45,75.14,87.9,41.65,52249,3926076.15,1220,OMAXAUTO
2022-10-28,EQ,77.2,77.7,75.5,76.75,75.65,75.85,76.47,87.9,41.65,60356,4615337.4,1233,OMAXAUTO
2022-10-27,EQ,80.0,80.0,75.75,78.9,77.1,76.75,77.3,87.9,41.65,123943,9581154.3,2519,OMAXAUTO
2022-10-25,EQ,79.35,80.9,77.2,78.75,78.7,78.9,79.25,87.9,41.65,93446,7405233.95,2249,OMAXAUTO
2022-10-24,EQ,78.7,79.9,76.6,78.15,78.8,78.75,78.35,87.9,41.65,56725,4444132.7,1362,OMAXAUTO
