DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2022-12-30,EQ,316.6,317.85,302.5,315.25,302.9,304.25,306.35,429.5,222.0,16860,5165105.55,969,ONWARDTEC
2022-12-29,EQ,309.6,319.9,302.05,309.55,314.0,315.25,310.45,429.5,222.0,7574,2351316.8,577,ONWARDTEC
2022-12-28,EQ,307.55,314.45,306.35,313.55,310.0,309.55,309.73,429.5,222.0,3767,1166748.55,472,ONWARDTEC
2022-12-27,EQ,305.0,318.0,301.1,307.85,315.0,313.55,312.88,429.5,222.0,24322,7609878.6,1325,ONWARDTEC
2022-12-26,EQ,285.0,315.0,285.0,281.1,314.5,307.85,299.71,429.5,222.0,17535,5255501.2,1205,ONWARDTEC
2022-12-23,EQ,299.85,299.95,281.0,298.1,281.0,281.1,285.0,429.5,222.0,41398,11798482.1,1331,ONWARDTEC
2022-12-22,EQ,314.55,314.55,292.0,304.85,297.0,298.1,298.54,429.5,222.0,16756,5002346.3,1112,ONWARDTEC
2022-12-21,EQ,322.75,323.55,300.55,321.55,310.0,304.85,309.94,429.5,222.0,19762,6125092.7,1066,ONWARDTEC
2022-12-20,EQ,315.8,325.0,313.45,317.05,324.8,321.55,319.34,429.5,222.0,6483,2070268.1,476,ONWARDTEC
2022-12-19,EQ,313.0,322.9,313.0,317.6,317.2,317.05,317.52,429.5,222.0,8441,2680185.55,588,ONWARDTEC
2022-12-16,EQ,319.9,325.8,315.05,318.5,315.3,317.6,318.63,429.5,222.0,33013,10519048.9,734,ONWARDTEC
2022-12-15,EQ,323.0,331.95,316.0,323.6,316.35,318.5,324.32,429.5,222.0,11296,3663471.25,865,ONWARDTEC
2022-12-14,EQ,320.95,327.75,318.4,317.65,324.0,323.6,323.27,429.5,222.0,9743,3149591.15,685,ONWARDTEC
2022-12-13,EQ,319.85,324.95,314.75,317.15,317.5,317.65,319.53,429.5,222.0,7190,2297420.05,505,ONWARDTEC
2022-12-12,EQ,322.45,325.25,312.85,324.85,319.0,317.15,318.04,429.5,222.0,11272,3584930.0,786,ONWARDTEC
2022-12-09,EQ,321.45,328.45,316.0,324.25,327.0,324.85,322.3,429.5,222.0,12223,3939419.95,931,ONWARDTEC
2022-12-08,EQ,329.75,329.75,322.8,327.2,324.25,324.25,324.81,429.5,222.0,8132,2641336.25,558,ONWARDTEC
2022-12-07,EQ,348.7,348.7,324.1,343.55,325.0,327.2,332.9,429.5,222.0,21951,7307538.7,1246,ONWARDTEC
2022-12-06,EQ,347.5,352.05,342.55,347.7,343.7,343.55,346.47,429.5,222.0,17252,5977248.15,1217,ONWARDTEC
2022-12-05,EQ,335.75,352.9,331.45,333.65,350.0,347.7,345.74,429.5,222.0,44453,15369085.65,2189,ONWARDTEC
2022-12-02,EQ,338.3,346.05,329.55,338.1,334.5,333.65,337.35,429.5,222.0,24113,8134561.55,1185,ONWARDTEC
2022-12-01,EQ,347.9,349.9,336.0,345.15,340.0,338.1,342.74,429.5,222.0,20767,7117769.4,1479,ONWARDTEC
2022-11-30,EQ,353.9,353.9,345.0,353.6,345.95,345.15,346.49,429.5,222.0,23484,8137046.95,1630,ONWARDTEC
2022-11-29,EQ,335.0,357.45,332.35,325.85,351.9,353.6,348.03,429.5,222.0,196980,68554609.0,8509,ONWARDTEC
2022-11-28,EQ,319.8,335.0,312.05,315.05,333.9,325.85,320.49,429.5,222.0,23979,7684946.55,1288,ONWARDTEC
2022-11-25,EQ,325.0,335.95,314.1,324.1,316.5,315.05,323.63,429.5,222.0,65417,21170705.6,3119,ONWARDTEC
2022-11-24,EQ,337.7,337.7,318.7,317.85,325.0,324.1,327.52,429.5,222.0,63123,20674246.2,3018,ONWARDTEC
2022-11-23,EQ,293.95,324.0,288.05,289.65,314.25,317.85,313.01,429.5,222.0,125540,39295419.5,4231,ONWARDTEC
2022-11-22,EQ,294.75,294.8,285.1,287.6,290.0,289.65,288.36,429.5,222.0,6869,1980722.15,454,ONWARDTEC
2022-11-21,EQ,296.0,299.8,286.0,292.5,288.0,287.6,290.87,429.5,222.0,39440,11471938.95,1056,ONWARDTEC
2022-11-18,EQ,287.25,294.0,282.05,286.1,292.5,292.5,291.3,429.5,215.0,18881,5500025.0,1172,ONWARDTEC
2022-11-17,EQ,294.0,294.0,283.05,284.85,286.05,286.1,287.13,429.5,215.0,12767,3665754.1,694,ONWARDTEC
2022-11-16,EQ,283.0,290.0,278.35,280.75,285.0,284.85,283.82,429.5,215.0,28207,8005608.9,1093,ONWARDTEC
2022-11-15,EQ,270.4,283.55,270.1,276.1,280.9,280.75,280.78,429.5,215.0,24129,6775058.75,931,ONWARDTEC
2022-11-14,EQ,266.0,280.0,263.0,263.25,274.0,276.1,272.62,429.5,215.0,31775,8662599.25,701,ONWARDTEC
2022-11-11,EQ,269.0,269.0,261.0,263.0,264.25,263.25,262.58,429.5,215.0,8923,2342992.6,341,ONWARDTEC
2022-11-10,EQ,270.15,270.95,261.25,264.8,263.0,263.0,264.17,429.5,215.0,3674,970567.05,173,ONWARDTEC
2022-11-09,EQ,262.0,268.65,262.0,263.75,266.8,264.8,265.39,429.5,215.0,6509,1727440.25,358,ONWARDTEC
2022-11-07,EQ,273.0,273.0,262.0,261.75,263.75,263.75,265.05,429.5,215.0,8773,2325302.0,408,ONWARDTEC
2022-11-04,EQ,270.0,270.0,260.0,265.85,262.0,261.75,263.46,429.5,215.0,21347,5624115.1,626,ONWARDTEC
2022-11-03,EQ,261.25,269.0,260.0,265.2,266.0,265.85,263.14,429.5,215.0,12138,3193949.65,647,ONWARDTEC
2022-11-02,EQ,271.0,271.0,261.0,267.6,262.1,265.2,267.71,429.5,215.0,27557,7377397.0,1326,ONWARDTEC
2022-11-01,EQ,267.5,272.2,263.7,266.1,272.0,267.6,267.23,429.5,215.0,13472,3600086.6,594,ONWARDTEC
2022-10-31,EQ,272.0,275.8,263.5,275.7,264.95,266.1,271.22,429.5,215.0,13757,3731122.1,640,ONWARDTEC
2022-10-28,EQ,279.85,283.35,272.05,274.35,280.0,275.7,275.77,429.5,214.5,14673,4046386.75,632,ONWARDTEC
2022-10-27,EQ,272.75,278.4,270.1,273.4,276.0,274.35,274.0,429.5,214.5,12633,3461462.35,986,ONWARDTEC
2022-10-25,EQ,280.05,280.95,272.7,280.7,274.0,273.4,276.64,429.5,214.5,11081,3065424.6,636,ONWARDTEC
2022-10-24,EQ,267.0,285.0,267.0,270.25,284.5,280.7,278.37,429.5,214.5,20646,5747131.15,691,ONWARDTEC
2022-10-21,EQ,271.95,278.0,260.1,270.2,267.25,270.25,269.5,429.5,211.95,53420,14396807.7,1541,ONWARDTEC
2022-10-20,EQ,264.3,275.0,260.05,263.7,272.4,270.2,268.97,429.5,211.95,21581,5804562.15,522,ONWARDTEC
2022-10-19,EQ,259.1,264.85,259.1,261.05,264.3,263.7,263.27,429.5,211.95,5032,1324755.45,225,ONWARDTEC
2022-10-18,EQ,261.05,264.0,260.0,261.05,260.9,261.05,261.42,429.5,211.95,4930,1288808.95,237,ONWARDTEC
2022-10-17,EQ,265.0,265.0,254.75,260.2,260.25,261.05,260.51,429.5,211.95,14421,3756751.0,340,ONWARDTEC
2022-10-14,EQ,266.0,266.05,260.0,260.1,260.0,260.2,262.27,429.5,211.95,5048,1323951.3,260,ONWARDTEC
2022-10-13,EQ,267.95,267.95,260.0,260.1,260.05,260.1,260.58,429.5,211.95,10069,2623816.3,315,ONWARDTEC
2022-10-12,EQ,262.7,263.4,260.0,260.05,260.0,260.1,260.68,429.5,211.95,10843,2826499.15,432,ONWARDTEC
2022-10-11,EQ,254.0,264.05,254.0,255.1,260.0,260.05,259.9,429.5,211.95,12781,3321756.55,508,ONWARDTEC
2022-10-10,EQ,265.0,268.95,252.0,265.9,256.0,255.1,260.54,429.5,211.95,11448,2982701.65,576,ONWARDTEC
2022-10-07,EQ,256.05,268.0,256.05,260.05,265.0,265.9,264.69,429.5,211.95,23008,6089912.9,742,ONWARDTEC
2022-10-06,EQ,259.2,263.0,258.55,256.4,260.05,260.05,260.56,429.5,211.95,9065,2361975.15,369,ONWARDTEC
2022-10-04,EQ,253.8,259.6,253.5,250.8,259.2,256.4,256.76,429.5,211.95,9295,2386547.3,546,ONWARDTEC
2022-10-03,EQ,254.85,256.9,248.15,254.85,250.5,250.8,250.52,429.5,211.95,23583,5907985.0,993,ONWARDTEC
2022-09-30,EQ,247.05,256.0,247.05,247.15,255.95,254.85,253.01,429.5,211.95,19786,5006063.85,720,ONWARDTEC
2022-09-29,EQ,241.5,248.0,241.15,244.1,247.05,247.15,246.2,429.5,211.95,15980,3934340.7,542,ONWARDTEC
2022-09-28,EQ,239.35,245.0,239.1,241.15,244.0,244.1,243.26,429.5,211.95,10148,2468641.25,317,ONWARDTEC
2022-09-27,EQ,236.1,244.35,232.9,235.1,242.05,241.15,239.4,429.5,211.95,11539,2762453.5,548,ONWARDTEC
2022-09-26,EQ,237.3,239.0,225.0,241.85,239.0,235.1,230.81,429.5,211.95,20414,4711799.55,785,ONWARDTEC
2022-09-23,EQ,239.15,245.05,235.0,240.3,241.0,241.85,240.35,429.5,211.95,14703,3533831.7,787,ONWARDTEC
2022-09-22,EQ,236.0,243.05,234.9,239.55,240.2,240.3,239.31,429.5,211.95,13113,3138124.25,565,ONWARDTEC
2022-09-21,EQ,240.15,246.0,238.0,246.45,240.2,239.55,241.27,429.5,211.95,10264,2476354.1,688,ONWARDTEC
2022-09-20,EQ,230.05,253.8,222.0,235.75,246.25,246.45,240.44,429.5,211.95,71073,17088912.1,3552,ONWARDTEC
2022-09-19,EQ,232.3,244.8,224.6,234.15,234.6,235.75,234.24,429.5,211.95,34478,8076007.0,1540,ONWARDTEC
2022-09-16,EQ,238.9,239.3,231.0,233.7,235.7,234.15,234.9,429.5,211.95,16391,3850296.55,730,ONWARDTEC
2022-09-15,EQ,242.0,242.0,232.25,238.1,232.55,233.7,236.18,429.5,211.95,20594,4863918.7,1204,ONWARDTEC
2022-09-14,EQ,241.0,248.85,234.95,244.15,238.9,238.1,240.83,429.5,211.95,43000,10355646.5,1346,ONWARDTEC
2022-09-13,EQ,248.15,253.85,241.15,248.4,244.5,244.15,246.79,429.5,211.95,21843,5390743.0,834,ONWARDTEC
2022-09-12,EQ,250.0,257.0,247.4,250.55,247.55,248.4,251.33,429.5,211.95,20816,5231784.4,739,ONWARDTEC
2022-09-09,EQ,250.0,257.55,246.45,249.05,249.5,250.55,251.41,429.5,211.95,21737,5464793.55,1182,ONWARDTEC
2022-09-08,EQ,252.85,252.85,246.5,246.55,249.6,249.05,248.4,429.5,211.95,14870,3693744.5,647,ONWARDTEC
2022-09-07,EQ,252.0,252.0,244.6,249.3,245.0,246.55,247.11,429.5,211.95,18541,4581587.75,639,ONWARDTEC
2022-09-06,EQ,254.9,257.95,248.75,248.05,250.5,249.3,250.47,429.5,211.95,5301,1327722.6,369,ONWARDTEC
2022-09-05,EQ,249.0,254.25,246.6,253.65,251.0,248.05,250.48,429.5,211.95,12022,3011297.45,666,ONWARDTEC
2022-09-02,EQ,254.9,254.95,252.6,253.75,253.2,253.65,253.69,429.5,211.95,9844,2497359.5,421,ONWARDTEC
2022-09-01,EQ,259.9,263.0,249.0,255.55,252.45,253.75,256.98,429.5,211.95,23320,5992661.35,840,ONWARDTEC
2022-08-30,EQ,260.65,260.7,253.95,254.65,256.0,255.55,256.64,429.5,211.95,8178,2098767.25,557,ONWARDTEC
2022-08-29,EQ,256.6,258.8,250.0,256.55,254.7,254.65,254.18,429.5,211.95,18173,4619153.45,694,ONWARDTEC
2022-08-26,EQ,265.0,265.0,253.4,257.5,260.95,256.55,256.73,429.5,211.95,24914,6396239.05,1010,ONWARDTEC
2022-08-25,EQ,262.15,264.95,256.5,259.5,258.0,257.5,260.2,429.5,211.95,7900,2055572.65,468,ONWARDTEC
2022-08-24,EQ,256.75,273.0,256.75,258.15,260.9,259.5,261.54,429.5,211.95,18042,4718726.3,557,ONWARDTEC
2022-08-23,EQ,259.1,266.0,253.85,260.1,258.45,258.15,256.97,429.5,211.95,10453,2686076.45,478,ONWARDTEC
