DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2022-12-30,EQ,122.9,124.3,122.5,122.9,123.4,123.05,123.16,184.15,95.6,233188,28719603.65,2482,ORIENTCEM
2022-12-29,EQ,122.2,123.6,121.45,122.2,123.0,122.9,122.65,184.15,95.6,317382,38927663.15,3090,ORIENTCEM
2022-12-28,EQ,123.0,123.55,121.65,123.0,122.45,122.2,122.64,184.15,95.6,296321,36341615.3,3309,ORIENTCEM
2022-12-27,EQ,123.2,125.9,122.45,122.2,123.5,123.0,123.36,184.15,95.6,520237,64175226.2,4301,ORIENTCEM
2022-12-26,EQ,121.0,123.0,118.25,120.15,122.35,122.2,121.97,184.15,95.6,352894,43042270.25,4689,ORIENTCEM
2022-12-23,EQ,122.8,124.0,118.1,124.6,121.5,120.15,120.53,184.15,95.6,629957,75931589.35,8066,ORIENTCEM
2022-12-22,EQ,127.05,128.65,120.25,126.3,125.1,124.6,123.42,184.15,95.6,633735,78215633.3,8176,ORIENTCEM
2022-12-21,EQ,129.85,130.7,125.0,128.95,126.0,126.3,128.47,184.15,95.6,586502,75347426.05,6480,ORIENTCEM
2022-12-20,EQ,129.3,130.4,127.85,129.5,129.0,128.95,128.83,184.15,95.6,374641,48265290.9,3449,ORIENTCEM
2022-12-19,EQ,132.0,132.0,128.35,129.55,130.0,129.5,129.22,184.15,95.6,294773,38089485.65,5386,ORIENTCEM
2022-12-16,EQ,132.05,132.05,128.35,132.05,129.6,129.55,130.17,184.15,95.6,586855,76393573.4,5812,ORIENTCEM
2022-12-15,EQ,133.45,136.0,131.0,134.2,131.7,132.05,133.84,184.15,95.6,416860,55792645.9,4777,ORIENTCEM
2022-12-14,EQ,134.9,136.95,133.1,133.85,134.5,134.2,135.32,184.15,95.6,1141044,154406744.75,9515,ORIENTCEM
2022-12-13,EQ,131.3,134.5,130.5,131.3,133.95,133.85,132.33,184.15,95.6,1069107,141480171.2,13810,ORIENTCEM
2022-12-12,EQ,129.15,132.25,127.75,129.2,131.0,131.3,130.1,184.15,95.6,596189,77563935.05,16832,ORIENTCEM
2022-12-09,EQ,133.0,133.0,128.0,132.15,128.9,129.2,129.92,184.15,95.6,628638,81669894.05,18703,ORIENTCEM
2022-12-08,EQ,129.4,132.95,128.0,128.15,132.0,132.15,130.7,184.15,95.6,835072,109146646.05,18278,ORIENTCEM
2022-12-07,EQ,129.95,130.55,127.2,129.35,128.5,128.15,128.57,184.15,95.6,446284,57379120.85,13565,ORIENTCEM
2022-12-06,EQ,132.95,132.95,128.25,130.6,129.5,129.35,129.54,184.15,95.6,548568,71060269.8,15752,ORIENTCEM
2022-12-05,EQ,132.45,133.7,129.5,131.6,131.0,130.6,130.88,184.15,95.6,601975,78785987.15,16192,ORIENTCEM
2022-12-02,EQ,131.45,132.9,130.0,130.95,131.95,131.6,131.76,184.15,95.6,902945,118972167.3,17938,ORIENTCEM
2022-12-01,EQ,126.2,131.5,126.2,125.65,130.95,130.95,129.93,184.15,95.6,2093706,272030202.3,25966,ORIENTCEM
2022-11-30,EQ,126.45,126.95,124.5,125.95,125.45,125.65,125.41,184.15,95.6,555857,69711323.8,14727,ORIENTCEM
2022-11-29,EQ,126.0,127.0,124.85,125.95,126.1,125.95,125.95,184.15,95.6,611461,77014220.4,16309,ORIENTCEM
2022-11-28,EQ,124.05,127.7,124.0,123.4,126.2,125.95,126.21,184.15,95.6,1105728,139549244.85,18022,ORIENTCEM
2022-11-25,EQ,124.85,125.4,122.85,123.3,123.5,123.4,124.24,184.15,95.6,683231,84883278.35,16490,ORIENTCEM
2022-11-24,EQ,124.5,124.85,122.6,124.0,124.0,123.3,123.37,184.15,95.6,594463,73339686.4,16270,ORIENTCEM
2022-11-23,EQ,127.0,127.0,123.0,124.4,123.7,124.0,124.17,184.15,95.6,431264,53549394.15,14832,ORIENTCEM
2022-11-22,EQ,125.7,126.4,123.8,125.25,124.75,124.4,124.87,184.15,95.6,373464,46634034.3,15063,ORIENTCEM
2022-11-21,EQ,126.15,127.05,124.95,125.95,125.2,125.25,125.67,184.15,95.6,232700,29243287.65,2851,ORIENTCEM
2022-11-18,EQ,127.75,130.0,125.2,127.75,126.25,125.95,126.31,184.15,95.6,291078,36766430.35,3227,ORIENTCEM
2022-11-17,EQ,129.0,130.6,127.25,129.15,128.0,127.75,128.86,184.15,95.6,276467,35626182.75,3512,ORIENTCEM
2022-11-16,EQ,133.0,133.4,128.25,133.6,128.65,129.15,130.58,184.15,95.6,457099,59690230.8,7767,ORIENTCEM
2022-11-15,EQ,130.0,134.0,129.45,129.4,133.65,133.6,132.73,184.15,95.6,874286,116040557.95,9601,ORIENTCEM
2022-11-14,EQ,126.35,131.8,123.85,125.95,129.45,129.4,128.31,184.15,95.6,1108228,142200798.25,10395,ORIENTCEM
2022-11-11,EQ,125.0,128.85,120.5,123.85,125.2,125.95,124.56,185.55,95.6,1027096,127931514.0,9547,ORIENTCEM
2022-11-10,EQ,129.55,130.55,123.4,131.65,123.8,123.85,126.67,185.55,95.6,858372,108731466.4,8087,ORIENTCEM
2022-11-09,EQ,137.9,138.6,127.65,136.75,131.5,131.65,134.87,185.55,95.6,865176,116690061.65,8242,ORIENTCEM
2022-11-07,EQ,132.35,137.9,131.25,131.45,136.25,136.75,134.47,185.55,95.6,1216837,163628004.3,16153,ORIENTCEM
2022-11-04,EQ,127.9,133.0,125.35,127.15,130.95,131.45,130.38,185.55,95.6,998564,130188634.8,11692,ORIENTCEM
2022-11-03,EQ,129.2,130.25,126.55,129.1,126.7,127.15,127.78,185.55,95.6,350864,44834394.6,4663,ORIENTCEM
2022-11-02,EQ,131.0,134.9,128.2,130.35,128.9,129.1,131.6,185.55,95.6,965844,127107384.55,13928,ORIENTCEM
