DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2022-12-30,EQ,2970.3,3004.1,2900.7,2970.3,2901.25,2918.45,2950.68,3674.8,2200.0,2591,7645210.0,857,ORISSAMINE
2022-12-29,EQ,2895.15,3013.0,2837.8,2895.15,2979.0,2970.3,2927.48,3674.8,2200.0,6251,18299697.4,1543,ORISSAMINE
2022-12-28,EQ,2876.0,2970.0,2876.0,2926.5,2885.0,2895.15,2911.48,3674.8,2200.0,4197,12219495.75,1093,ORISSAMINE
2022-12-27,EQ,2783.05,2926.5,2783.05,2787.15,2926.5,2926.5,2895.34,3674.8,2200.0,3069,8885813.15,823,ORISSAMINE
2022-12-26,EQ,2740.0,2815.0,2716.05,2721.75,2781.2,2787.15,2788.29,3674.8,2200.0,3319,9254350.45,732,ORISSAMINE
2022-12-23,EQ,2812.55,2877.8,2710.05,2849.8,2728.0,2721.75,2785.8,3674.8,2200.0,7126,19851590.05,1187,ORISSAMINE
2022-12-22,EQ,2945.0,2998.35,2820.0,2960.35,2870.0,2849.8,2862.38,3674.8,2200.0,2968,8495536.2,873,ORISSAMINE
2022-12-21,EQ,3050.25,3118.8,2925.0,3078.75,2970.0,2960.35,3007.69,3674.8,2200.0,4545,13669961.6,1419,ORISSAMINE
2022-12-20,EQ,3060.0,3145.0,3040.0,3091.6,3080.0,3078.75,3092.92,3674.8,2200.0,4744,14672821.2,1172,ORISSAMINE
2022-12-19,EQ,3010.0,3149.35,2995.05,2999.4,3091.0,3091.6,3111.06,3674.8,2200.0,11512,35814502.2,1901,ORISSAMINE
2022-12-16,EQ,2960.55,3058.85,2960.55,2971.65,2999.0,2999.4,3017.19,3674.8,2200.0,6717,20266445.1,1027,ORISSAMINE
2022-12-15,EQ,3020.0,3096.9,2955.1,3011.2,2987.0,2971.65,3018.69,3674.8,2200.0,3969,11981161.1,1392,ORISSAMINE
2022-12-14,EQ,3065.05,3125.0,3000.0,3062.0,3012.0,3011.2,3051.76,3674.8,2200.0,4628,14123552.75,1232,ORISSAMINE
