DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2022-12-30,EQ,38.9,40.65,38.75,38.9,40.35,40.3,39.92,54.8,24.5,379472,15148456.8,1134,OSWALAGRO
2022-12-29,EQ,38.9,39.7,38.85,39.7,38.9,38.9,39.21,54.8,24.5,61962,2429626.1,579,OSWALAGRO
2022-12-28,EQ,39.65,41.95,39.4,39.65,39.45,39.7,40.27,54.8,24.5,285631,11502549.9,1390,OSWALAGRO
2022-12-27,EQ,39.1,40.5,38.7,39.45,39.4,39.65,39.42,54.8,24.5,89853,3542028.4,780,OSWALAGRO
2022-12-26,EQ,34.95,40.5,34.95,34.3,39.9,39.45,39.22,54.8,24.5,584979,22945568.4,1979,OSWALAGRO
2022-12-23,EQ,38.5,38.5,33.9,38.3,34.3,34.3,35.42,54.8,24.5,182927,6479261.0,1652,OSWALAGRO
2022-12-22,EQ,39.0,39.4,37.3,38.3,38.4,38.3,38.39,54.8,24.5,140609,5397294.65,1049,OSWALAGRO
2022-12-21,EQ,43.1,44.15,36.3,43.4,38.4,38.3,39.68,54.8,24.5,285008,11307821.4,1833,OSWALAGRO
2022-12-20,EQ,44.05,44.3,42.7,43.8,43.05,43.4,43.49,54.8,24.5,57089,2482930.35,588,OSWALAGRO
2022-12-19,EQ,43.7,44.4,43.15,43.3,43.65,43.8,43.78,54.8,24.5,87386,3825361.3,635,OSWALAGRO
2022-12-16,EQ,43.5,45.1,43.15,43.75,43.2,43.3,43.82,54.8,24.5,118512,5192819.25,783,OSWALAGRO
2022-12-15,EQ,43.5,45.95,43.35,43.35,43.6,43.75,44.28,54.8,24.5,231382,10244997.65,1693,OSWALAGRO
2022-12-14,EQ,43.55,44.2,43.25,43.95,43.5,43.35,43.55,54.8,24.5,158340,6895930.1,542,OSWALAGRO
2022-12-13,EQ,45.2,45.3,43.4,43.7,43.4,43.95,44.14,54.8,24.5,104760,4624509.3,992,OSWALAGRO
2022-12-12,EQ,44.65,44.65,43.5,44.9,43.6,43.7,44.0,54.8,24.5,144846,6373272.35,970,OSWALAGRO
2022-12-09,EQ,45.75,45.75,43.55,44.55,44.65,44.9,44.33,54.8,24.5,143613,6366064.65,688,OSWALAGRO
2022-12-08,EQ,45.0,45.85,44.1,45.25,44.4,44.55,44.77,54.8,24.5,95480,4274571.1,991,OSWALAGRO
2022-12-07,EQ,45.0,46.4,45.0,45.3,45.0,45.25,45.65,54.8,24.5,92200,4209173.4,589,OSWALAGRO
2022-12-06,EQ,45.9,45.9,44.9,45.45,45.0,45.3,45.25,54.8,24.5,80176,3627675.8,613,OSWALAGRO
