DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2022-12-28,EQ,141.0,142.95,131.2,140.7,142.5,141.0,137.86,152.8,82.5,9402,1296203.4,301,PALASHSECU
2022-12-27,EQ,132.1,143.55,132.1,130.5,142.45,140.7,141.41,152.8,82.5,14974,2117522.5,461,PALASHSECU
2022-12-26,EQ,130.35,137.3,123.6,130.35,132.95,130.5,132.82,152.8,82.5,6082,807793.1,271,PALASHSECU
2022-12-23,EQ,130.15,143.4,130.0,136.6,130.3,130.35,139.14,152.8,80.35,16527,2299517.85,441,PALASHSECU
2022-12-22,EQ,140.2,143.0,136.6,143.75,136.6,136.6,137.88,152.8,80.35,3123,430614.05,103,PALASHSECU
2022-12-21,EQ,145.2,149.9,141.25,148.65,142.55,143.75,145.73,152.8,80.35,14104,2055363.2,312,PALASHSECU
2022-12-20,EQ,152.45,152.5,146.55,151.65,148.3,148.65,149.41,152.8,80.35,7592,1134345.3,452,PALASHSECU
2022-12-19,EQ,142.0,151.65,137.3,144.45,151.65,151.65,147.25,152.8,80.35,19057,2806193.5,305,PALASHSECU
2022-12-16,EQ,147.8,149.9,141.45,148.85,141.6,144.45,142.97,152.8,79.8,27582,3943453.85,795,PALASHSECU
2022-12-15,EQ,151.9,152.8,141.0,139.5,148.95,148.85,146.68,152.8,79.8,187721,27535704.85,4544,PALASHSECU
2022-12-14,EQ,131.8,139.5,126.1,116.25,139.5,139.5,135.54,139.5,79.8,93509,12674158.55,1015,PALASHSECU
2022-12-13,EQ,95.6,116.25,95.6,96.9,116.25,116.25,114.03,122.8,79.8,20583,2347035.1,233,PALASHSECU
2022-12-12,EQ,92.1,98.95,91.05,91.2,95.05,96.9,95.05,122.8,79.8,5736,545223.15,170,PALASHSECU
2022-12-09,EQ,96.75,96.75,88.15,95.3,94.4,91.2,92.49,122.8,68.5,8377,774791.4,228,PALASHSECU
2022-12-08,EQ,94.25,96.85,93.2,94.4,93.6,95.3,95.0,122.8,68.5,3050,289740.9,76,PALASHSECU
2022-12-07,EQ,97.6,98.9,94.25,96.6,94.35,94.4,96.0,122.8,68.5,1055,101280.45,91,PALASHSECU
2022-12-06,EQ,97.0,97.0,94.55,98.0,96.6,96.6,95.94,122.8,68.5,1132,108607.25,57,PALASHSECU
2022-12-05,EQ,97.85,99.0,94.3,96.4,97.0,98.0,96.26,122.8,68.5,2426,233529.6,87,PALASHSECU
2022-12-02,EQ,94.1,97.75,94.1,96.65,95.8,96.4,95.9,122.8,66.1,4267,409217.6,179,PALASHSECU
2022-12-01,EQ,97.95,99.0,96.05,96.45,96.5,96.65,96.91,122.8,66.1,4780,463243.95,156,PALASHSECU
2022-11-30,EQ,96.85,99.0,95.75,96.2,96.3,96.45,97.2,122.8,66.1,2346,228037.0,130,PALASHSECU
2022-11-29,EQ,98.0,99.5,95.15,98.6,96.15,96.2,97.79,122.8,66.1,1631,159496.35,115,PALASHSECU
2022-11-28,EQ,100.3,100.3,98.05,99.25,99.0,98.6,99.47,122.8,66.1,1654,164519.45,61,PALASHSECU
