DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2022-12-30,EQ,1125.0,1151.35,1103.6,1111.4,1130.0,1125.9,1125.35,1180.0,556.8,13531,15227174.65,1993,PGEL
2022-12-29,EQ,1130.25,1134.0,1103.0,1134.8,1114.6,1111.4,1114.49,1180.0,556.8,15990,17820712.65,2965,PGEL
2022-12-28,EQ,1128.4,1148.0,1100.45,1119.85,1133.0,1134.8,1131.65,1180.0,556.8,26261,29718340.55,4272,PGEL
2022-12-27,EQ,1070.0,1129.0,1066.95,1065.1,1120.0,1119.85,1104.59,1180.0,556.8,41743,46108886.4,5138,PGEL
2022-12-26,EQ,1030.4,1131.0,1019.05,1049.2,1068.95,1065.1,1089.54,1180.0,556.8,102318,111479094.65,10411,PGEL
2022-12-23,EQ,1098.5,1102.45,1040.0,1085.6,1040.0,1049.2,1071.84,1180.0,556.8,60258,64586916.75,6763,PGEL
2022-12-22,EQ,1100.05,1110.0,1062.05,1102.1,1086.5,1085.6,1089.47,1180.0,556.8,30294,33004527.45,3207,PGEL
2022-12-21,EQ,1149.75,1160.0,1087.1,1139.5,1087.1,1102.1,1114.28,1180.0,556.8,42415,47262398.05,4658,PGEL
2022-12-20,EQ,1122.9,1146.0,1066.05,1101.45,1144.0,1139.5,1106.25,1180.0,556.8,41796,46236739.75,3781,PGEL
2022-12-19,EQ,1114.7,1114.7,1080.1,1109.15,1104.95,1101.45,1094.85,1180.0,556.8,29077,31835003.8,2694,PGEL
2022-12-16,EQ,1107.95,1140.95,1105.0,1124.8,1111.25,1109.15,1121.85,1180.0,556.8,25956,29118674.55,2652,PGEL
2022-12-15,EQ,1152.0,1178.1,1120.55,1169.95,1122.1,1124.8,1147.98,1180.0,556.8,44531,51120487.65,5248,PGEL
2022-12-14,EQ,1063.0,1180.0,1063.0,1057.9,1165.0,1169.95,1142.33,1180.0,556.8,152449,174146307.95,11657,PGEL
2022-12-13,EQ,1070.0,1079.0,1050.0,1061.7,1063.45,1057.9,1068.26,1143.9,556.8,15570,16632793.45,1734,PGEL
2022-12-12,EQ,1054.6,1064.0,1027.4,1039.0,1061.0,1061.7,1050.82,1143.9,556.8,21955,23070686.15,2260,PGEL
2022-12-09,EQ,1025.35,1049.0,1012.1,1020.25,1035.0,1039.0,1037.76,1143.9,556.8,28062,29121704.8,3861,PGEL
2022-12-08,EQ,1044.95,1045.95,1011.0,1034.15,1017.05,1020.25,1022.4,1143.9,556.8,16749,17124110.2,1759,PGEL
2022-12-07,EQ,1029.4,1039.05,1014.95,1024.3,1037.0,1034.15,1030.14,1143.9,556.8,9974,10274575.0,1252,PGEL
2022-12-06,EQ,1046.65,1062.0,1012.0,1046.65,1030.0,1024.3,1027.63,1143.9,556.8,19622,20164164.8,1396,PGEL
2022-12-05,EQ,995.0,1052.0,989.25,988.65,1049.0,1046.65,1027.62,1143.9,556.8,39057,40135725.05,3425,PGEL
2022-12-02,EQ,980.0,997.0,969.75,979.4,992.0,988.65,980.79,1143.9,505.0,10866,10657229.75,1218,PGEL
2022-12-01,EQ,983.15,1008.0,955.55,978.25,980.0,979.4,979.45,1143.9,505.0,42008,41144655.7,2851,PGEL
2022-11-30,EQ,992.5,1012.45,958.5,987.55,984.0,978.25,979.48,1143.9,505.0,27052,26496843.75,2479,PGEL
2022-11-29,EQ,1006.0,1006.5,982.35,1006.0,995.4,987.55,992.88,1143.9,505.0,17939,17811228.8,1571,PGEL
2022-11-28,EQ,1013.0,1013.0,1000.55,1011.85,1004.0,1006.0,1007.44,1143.9,505.0,6834,6884870.5,1400,PGEL
2022-11-25,EQ,997.6,1029.0,996.0,999.85,1011.0,1011.85,1007.69,1143.9,481.1,11308,11394980.4,1190,PGEL
2022-11-24,EQ,1020.0,1026.1,984.7,1015.85,995.0,999.85,999.24,1143.9,481.1,22349,22332086.4,1968,PGEL
2022-11-23,EQ,1011.1,1034.0,1004.9,1011.45,1020.0,1015.85,1018.99,1143.9,481.1,17307,17635590.5,2972,PGEL
2022-11-22,EQ,1017.4,1038.2,1001.05,1007.35,1007.5,1011.45,1025.79,1143.9,481.1,21118,21662718.2,5258,PGEL
2022-11-21,EQ,1038.0,1048.0,999.05,1033.65,1015.0,1007.35,1013.66,1143.9,481.1,18098,18345307.3,1574,PGEL
2022-11-18,EQ,1029.0,1037.2,1010.0,1013.85,1036.0,1033.65,1023.25,1143.9,481.1,10922,11175961.85,1013,PGEL
2022-11-17,EQ,1016.35,1030.0,1005.0,1016.25,1030.0,1013.85,1016.55,1143.9,481.1,13402,13623847.2,1291,PGEL
2022-11-16,EQ,1029.0,1053.05,1011.05,1038.4,1015.0,1016.25,1040.79,1143.9,481.1,139585,145279027.8,3142,PGEL
2022-11-15,EQ,1056.0,1088.6,1015.25,1013.8,1016.0,1038.4,1053.27,1143.9,481.1,61992,65294206.65,4592,PGEL
2022-11-14,EQ,999.0,1022.85,999.0,996.3,1015.0,1013.8,1012.53,1143.9,481.1,11475,11618735.75,1942,PGEL
2022-11-11,EQ,1003.6,1047.8,987.3,988.75,992.1,996.3,1016.61,1143.9,481.1,47446,48234065.6,2837,PGEL
2022-11-10,EQ,1011.6,1013.95,980.25,1006.55,990.0,988.75,989.81,1143.9,481.1,14561,14412630.75,1456,PGEL
2022-11-09,EQ,1021.5,1039.0,995.1,1021.45,997.7,1006.55,1012.03,1143.9,481.1,16902,17105260.4,1413,PGEL
2022-11-07,EQ,1029.9,1050.0,1005.1,1014.7,1010.1,1021.45,1026.49,1143.9,481.1,10618,10899263.8,1863,PGEL
2022-11-04,EQ,1001.05,1030.0,1001.05,1010.95,1010.9,1014.7,1019.8,1143.9,481.1,5371,5477347.15,1012,PGEL
2022-11-03,EQ,1035.1,1044.0,1002.6,1036.8,1010.0,1010.95,1023.57,1143.9,481.1,7089,7256068.55,1027,PGEL
2022-11-02,EQ,1036.85,1049.5,1015.0,1015.65,1035.1,1036.8,1033.91,1143.9,481.1,8594,8885418.65,1353,PGEL
2022-11-01,EQ,1049.95,1050.0,980.1,1047.25,1010.15,1015.65,1004.54,1143.9,481.1,42807,43001150.05,4438,PGEL
2022-10-31,EQ,1074.6,1086.9,1034.1,1063.95,1046.3,1047.25,1060.08,1143.9,481.1,13008,13789506.55,1833,PGEL
2022-10-28,EQ,1070.0,1087.3,1060.0,1074.35,1064.0,1063.95,1068.56,1143.9,431.0,9713,10378949.45,1171,PGEL
