DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2022-12-30,EQ,56.0,57.3,55.8,55.4,56.5,56.45,56.52,62.0,28.05,115251538,6514121539.45,160257,PNB
2022-12-29,EQ,54.45,55.9,53.45,54.9,55.75,55.4,54.47,62.0,28.05,130252482,7094229321.75,152719,PNB
2022-12-28,EQ,54.15,55.85,53.4,54.2,54.7,54.9,54.89,62.0,28.05,125697410,6899552256.05,134888,PNB
2022-12-27,EQ,54.6,55.55,53.3,53.5,54.1,54.2,54.21,62.0,28.05,124352547,6741731631.95,163397,PNB
2022-12-26,EQ,49.7,53.95,49.15,49.7,53.8,53.5,52.37,62.0,28.05,169993660,8901824025.7,188727,PNB
2022-12-23,EQ,53.3,53.45,49.3,53.75,49.9,49.7,51.25,62.0,28.05,174132546,8923558643.8,179532,PNB
2022-12-22,EQ,53.9,55.2,52.6,53.15,53.75,53.75,53.65,62.0,28.05,193777944,10396214026.3,234980,PNB
2022-12-21,EQ,56.0,57.1,52.55,55.55,53.2,53.15,54.9,62.0,28.05,154435087,8478457014.1,170492,PNB
2022-12-20,EQ,55.95,56.25,54.3,56.05,55.65,55.55,55.05,62.0,28.05,88046715,4847180324.3,126781,PNB
2022-12-19,EQ,57.05,57.3,55.6,56.75,56.0,56.05,56.33,62.0,28.05,85831831,4835222038.3,132771,PNB
2022-12-16,EQ,59.3,60.0,56.45,59.3,56.85,56.75,57.87,62.0,28.05,150603662,8715263349.75,219177,PNB
2022-12-15,EQ,59.25,62.0,58.9,59.25,59.25,59.3,60.57,62.0,28.05,229821550,13919938561.1,309261,PNB
2022-12-14,EQ,60.45,60.65,58.2,59.9,59.2,59.25,59.39,60.65,28.05,175015067,10394265103.2,209729,PNB
2022-12-13,EQ,58.8,60.1,58.4,58.1,59.9,59.9,59.32,60.1,28.05,148851940,8829930755.8,171696,PNB
2022-12-12,EQ,56.75,58.55,56.25,56.25,58.15,58.1,57.59,59.4,28.05,128901863,7423838924.65,192931,PNB
2022-12-09,EQ,58.5,59.4,55.0,57.7,56.25,56.25,57.56,59.4,28.05,242993671,13986213547.05,294567,PNB
2022-12-08,EQ,55.7,57.95,55.45,55.45,57.9,57.7,57.07,57.95,28.05,150791474,8605756870.15,196447,PNB
2022-12-07,EQ,55.8,56.35,54.05,55.45,55.45,55.45,55.46,57.35,28.05,111738442,6196909012.65,148868,PNB
2022-12-06,EQ,55.15,57.35,54.6,55.15,55.45,55.45,56.11,57.35,28.05,225788957,12669912030.9,254916,PNB
2022-12-05,EQ,54.3,55.35,53.8,54.0,55.2,55.15,54.74,55.65,28.05,99638073,5454168527.65,118215,PNB
2022-12-02,EQ,53.3,54.25,52.75,53.25,53.9,54.0,53.64,55.65,28.05,96833859,5194616694.7,115297,PNB
2022-12-01,EQ,51.75,53.6,51.3,51.3,53.3,53.25,52.46,55.65,28.05,106625627,5593841494.5,146481,PNB
2022-11-30,EQ,52.5,52.9,50.9,52.5,51.35,51.3,51.79,55.65,28.05,72720109,3765812883.85,123586,PNB
2022-11-29,EQ,53.45,54.1,52.15,53.4,52.4,52.5,53.21,55.65,28.05,110088137,5857497749.1,138514,PNB
2022-11-28,EQ,54.35,54.35,52.7,53.6,53.35,53.4,53.41,55.65,28.05,124868210,6668637503.8,210567,PNB
2022-11-25,EQ,51.5,55.65,51.25,50.85,53.45,53.6,54.07,55.65,28.05,374685764,20258975484.15,477420,PNB
2022-11-24,EQ,50.55,51.2,50.3,50.35,50.8,50.85,50.73,51.2,28.05,104180912,5285443132.6,149954,PNB
2022-11-23,EQ,48.55,50.9,48.3,48.2,50.15,50.35,50.04,50.9,28.05,252150630,12617847881.15,288877,PNB
2022-11-22,EQ,47.85,48.4,47.0,47.6,48.2,48.2,47.81,48.4,28.05,123475904,5903129941.85,130173,PNB
2022-11-21,EQ,45.8,47.8,45.55,45.85,47.6,47.6,47.15,47.8,28.05,172492290,8133534338.6,189713,PNB
2022-11-18,EQ,44.35,46.7,44.15,44.3,45.75,45.85,45.67,46.7,28.05,172405604,7873654468.7,180559,PNB
2022-11-17,EQ,44.15,44.75,43.35,44.15,44.2,44.3,44.19,46.0,28.05,71836182,3174190278.4,72488,PNB
2022-11-16,EQ,43.95,44.95,43.85,43.95,44.15,44.15,44.43,46.0,28.05,60764292,2699456311.8,72511,PNB
2022-11-15,EQ,44.2,44.3,43.6,43.95,44.0,43.95,43.89,46.0,28.05,38499635,1689740445.55,45583,PNB
2022-11-14,EQ,44.9,44.95,43.7,44.75,43.8,43.95,44.29,46.0,28.05,39354002,1743098732.0,57644,PNB
2022-11-11,EQ,45.05,45.2,44.1,44.05,44.65,44.75,44.68,46.0,28.05,76514774,3419037491.45,99042,PNB
2022-11-10,EQ,45.0,45.15,43.55,44.95,43.95,44.05,44.33,46.0,28.05,97489239,4321328892.65,114821,PNB
2022-11-09,EQ,42.6,46.0,42.1,41.85,44.8,44.95,44.75,46.0,28.05,299263769,13391034338.55,302808,PNB
2022-11-07,EQ,42.9,43.55,41.65,41.8,42.0,41.85,42.38,44.8,28.05,109584009,4644699727.6,117393,PNB
2022-11-04,EQ,41.75,42.15,41.35,41.3,41.9,41.8,41.7,44.8,28.05,61162545,2550216431.45,71206,PNB
2022-11-03,EQ,39.0,41.6,38.9,39.25,41.45,41.3,40.59,44.8,28.05,104226875,4231056648.25,121420,PNB
2022-11-02,EQ,39.95,40.0,39.0,40.1,39.1,39.25,39.47,44.8,28.05,64972626,2564407534.5,82867,PNB
2022-11-01,EQ,43.2,43.6,39.9,42.65,40.0,40.1,41.62,44.8,28.05,146126391,6081833312.75,164318,PNB
2022-10-31,EQ,43.6,43.75,41.75,43.1,42.9,42.65,42.61,44.8,28.05,82205500,3502980283.5,96772,PNB
2022-10-28,EQ,43.3,44.8,42.7,43.0,43.2,43.1,43.43,47.6,28.05,118353597,5139816291.5,123732,PNB
2022-10-27,EQ,43.5,43.6,42.55,43.3,43.15,43.0,43.05,47.6,28.05,96348564,4147462131.2,105295,PNB
2022-10-25,EQ,41.2,44.0,40.5,41.1,43.15,43.3,42.7,47.6,28.05,169573666,7240054338.0,183909,PNB
2022-10-24,EQ,41.35,41.6,40.9,40.75,41.1,41.1,41.19,47.6,28.05,17217018,709144683.85,40283,PNB
2022-10-21,EQ,40.5,41.8,40.4,40.5,40.8,40.75,41.11,48.2,28.05,113842537,4680387596.6,114015,PNB
2022-10-20,EQ,39.1,40.75,38.6,39.35,40.35,40.5,39.64,48.2,28.05,121051376,4798764370.1,94087,PNB
2022-10-19,EQ,39.0,40.1,38.65,38.85,39.4,39.35,39.49,48.2,28.05,104078804,4109736482.85,103799,PNB
2022-10-18,EQ,37.2,39.1,37.05,36.9,38.9,38.85,38.33,48.2,28.05,93855098,3597727756.15,106390,PNB
2022-10-17,EQ,35.85,37.25,35.5,35.85,37.1,36.9,36.52,48.2,28.05,42448068,1550174761.6,49403,PNB
2022-10-14,EQ,36.65,36.8,35.75,35.9,35.8,35.85,36.26,48.2,28.05,26022043,943598533.5,30663,PNB
2022-10-13,EQ,36.4,36.45,35.45,36.3,35.85,35.9,35.87,48.2,28.05,30733961,1102389374.5,30952,PNB
2022-10-12,EQ,35.85,36.45,35.6,35.7,36.35,36.3,36.02,48.2,28.05,36192793,1303549942.65,36038,PNB
2022-10-11,EQ,36.75,36.8,35.6,36.55,35.7,35.7,36.12,48.2,28.05,35436582,1280037605.65,38339,PNB
2022-10-10,EQ,36.15,37.0,36.1,36.65,36.6,36.55,36.53,48.2,28.05,32747438,1196128485.4,36709,PNB
2022-10-07,EQ,36.5,36.9,36.1,36.65,36.85,36.65,36.39,48.2,28.05,28687877,1043827129.5,35648,PNB
2022-10-06,EQ,36.85,37.0,36.45,36.45,36.7,36.65,36.75,48.2,28.05,27448412,1008825702.1,38317,PNB
2022-10-04,EQ,36.35,36.65,36.15,35.45,36.45,36.45,36.38,48.2,28.05,38320151,1394213095.05,43583,PNB
2022-10-03,EQ,36.6,36.75,35.35,36.55,35.6,35.45,36.14,48.2,28.05,47921973,1732048609.55,56979,PNB
2022-09-30,EQ,35.6,36.8,35.0,34.9,36.6,36.55,36.06,48.2,28.05,90405745,3260333043.2,109795,PNB
2022-09-29,EQ,35.25,35.75,34.25,34.85,35.55,34.9,34.96,48.2,28.05,116839087,4084360536.5,96130,PNB
2022-09-28,EQ,36.3,36.3,34.55,36.7,34.75,34.85,35.53,48.2,28.05,85338288,3031979018.3,90356,PNB
2022-09-27,EQ,36.3,37.05,36.1,36.0,36.85,36.7,36.49,48.2,28.05,41297271,1506941318.55,58936,PNB
2022-09-26,EQ,37.85,37.85,35.8,38.15,36.05,36.0,36.49,48.2,28.05,65861997,2403320349.25,85900,PNB
2022-09-23,EQ,40.45,40.6,38.0,40.5,38.1,38.15,38.91,48.2,28.05,69527571,2705608355.9,104808,PNB
2022-09-22,EQ,40.0,41.2,39.85,40.15,40.55,40.5,40.57,48.2,28.05,76924094,3121091690.45,87705,PNB
2022-09-21,EQ,40.7,41.1,39.7,40.65,40.15,40.15,40.33,48.2,28.05,46208645,1863739010.2,59072,PNB
2022-09-20,EQ,40.8,41.65,40.15,40.4,40.6,40.65,40.84,48.2,28.05,85095486,3475526601.3,93788,PNB
2022-09-19,EQ,39.85,41.35,39.65,39.65,40.4,40.4,40.72,48.2,28.05,83681824,3407595042.45,116582,PNB
2022-09-16,EQ,40.4,40.6,38.9,40.45,39.7,39.65,39.76,48.2,28.05,59732960,2374859533.75,71747,PNB
2022-09-15,EQ,40.35,40.7,39.85,40.1,40.4,40.45,40.35,48.2,28.05,50606061,2042087981.95,68941,PNB
2022-09-14,EQ,38.8,40.4,38.7,39.55,40.0,40.1,39.89,48.2,28.05,65760110,2622993669.85,79087,PNB
2022-09-13,EQ,40.25,40.8,39.45,40.1,39.6,39.55,40.17,48.2,28.05,67593580,2715038605.65,98868,PNB
2022-09-12,EQ,39.4,40.3,39.05,39.0,40.0,40.1,39.85,48.2,28.05,61436082,2448344289.55,90466,PNB
2022-09-09,EQ,38.5,39.6,38.5,38.35,39.0,39.0,39.11,48.2,28.05,65772741,2572046668.55,89607,PNB
2022-09-08,EQ,37.95,38.5,37.75,37.6,38.3,38.35,38.21,48.2,28.05,51627315,1972901989.4,65553,PNB
2022-09-07,EQ,36.9,37.95,36.8,37.2,37.65,37.6,37.51,48.2,28.05,48254482,1809869514.4,68480,PNB
2022-09-06,EQ,35.75,37.5,35.65,35.7,37.2,37.2,36.8,48.2,28.05,92981035,3421272794.3,114890,PNB
2022-09-05,EQ,35.25,35.95,35.25,35.25,35.8,35.7,35.62,48.2,28.05,33308634,1186450235.05,41758,PNB
2022-09-02,EQ,36.1,36.15,35.1,35.8,35.2,35.25,35.56,48.2,28.05,24622506,875630770.7,38853,PNB
2022-09-01,EQ,35.45,36.5,35.35,35.85,35.8,35.8,36.03,48.2,28.05,38437795,1384762952.9,54258,PNB
2022-08-30,EQ,35.65,36.3,35.55,35.25,35.85,35.85,35.84,48.2,28.05,33807116,1211677188.6,50794,PNB
2022-08-29,EQ,34.85,35.4,34.45,35.7,35.35,35.25,35.09,48.2,28.05,33867475,1188387689.35,48769,PNB
2022-08-26,EQ,35.5,36.5,35.45,35.25,35.7,35.7,35.94,48.2,28.05,62782884,2256276290.05,82759,PNB
2022-08-25,EQ,33.6,36.1,33.55,33.55,35.25,35.25,35.1,48.2,28.05,111083657,3899446754.2,122831,PNB
2022-08-24,EQ,33.05,33.6,32.95,33.05,33.5,33.55,33.35,48.2,28.05,20360378,678946643.2,33948,PNB
2022-08-23,EQ,32.15,33.1,32.15,32.4,33.1,33.05,32.72,48.2,28.05,25441848,832448206.85,34041,PNB
2022-08-22,EQ,33.05,33.2,32.35,33.35,32.4,32.4,32.7,48.2,28.05,24893422,813919614.7,34194,PNB
2022-08-19,EQ,34.15,34.25,33.2,34.15,33.3,33.35,33.58,48.2,28.05,28981855,973330694.5,32600,PNB
2022-08-18,EQ,34.3,34.7,34.05,34.45,34.15,34.15,34.31,48.2,28.05,26013767,892484447.85,34974,PNB
2022-08-17,EQ,33.55,34.55,33.4,33.55,34.4,34.45,33.98,48.2,28.05,40936919,1391077934.85,46026,PNB
2022-08-16,EQ,33.4,33.6,33.25,33.3,33.55,33.55,33.4,48.2,28.05,17673451,590333482.65,28532,PNB
2022-08-12,EQ,33.35,33.55,33.25,33.4,33.25,33.3,33.37,48.2,28.05,14138000,471827564.95,22255,PNB
2022-08-11,EQ,33.2,33.75,33.15,33.0,33.4,33.4,33.46,48.2,28.05,21927939,733773148.05,28756,PNB
2022-08-10,EQ,33.4,33.5,32.8,33.35,33.05,33.0,33.01,48.2,28.05,22044563,727652492.35,28803,PNB
2022-08-08,EQ,33.45,33.75,33.25,33.55,33.3,33.35,33.46,48.2,28.05,19970390,668190039.65,42597,PNB
2022-08-05,EQ,33.4,33.9,33.3,33.4,33.6,33.55,33.61,48.2,28.05,30539905,1026457904.6,44659,PNB
2022-08-04,EQ,34.1,34.2,33.0,34.0,33.4,33.4,33.52,48.2,28.05,36881278,1236293871.55,45875,PNB
2022-08-03,EQ,34.1,34.35,33.25,34.2,34.0,34.0,33.73,48.2,28.05,32209696,1086585075.15,43812,PNB
2022-08-02,EQ,33.25,34.6,32.95,33.4,34.05,34.2,34.09,48.2,28.05,64390245,2194945813.45,89647,PNB
2022-08-01,EQ,31.55,33.75,31.35,31.35,33.25,33.4,32.83,48.2,28.05,70456056,2312799422.1,82428,PNB
2022-07-29,EQ,32.2,32.6,31.3,32.65,31.4,31.35,31.5,48.2,28.05,49931761,1572809270.7,60321,PNB
2022-07-28,EQ,32.1,33.45,32.1,32.05,32.75,32.65,32.78,48.2,28.05,52325898,1715080184.75,59321,PNB
2022-07-27,EQ,31.5,32.1,31.5,31.6,32.0,32.05,31.86,48.2,28.05,22430650,714701175.85,24723,PNB
2022-07-26,EQ,31.5,31.8,31.45,31.6,31.55,31.6,31.62,48.2,28.05,19540357,617904433.6,23732,PNB
2022-07-25,EQ,31.6,31.8,31.35,31.8,31.55,31.6,31.58,48.2,28.05,21587323,681624969.95,24638,PNB
2022-07-22,EQ,31.9,32.25,31.7,31.85,31.75,31.8,31.89,48.2,28.05,20272480,646417600.3,31202,PNB
2022-07-21,EQ,31.35,32.05,31.3,31.4,31.85,31.85,31.77,48.2,28.05,21957903,697698844.15,31870,PNB
2022-07-20,EQ,31.85,31.95,31.3,31.6,31.35,31.4,31.57,48.2,28.05,20054939,633161150.2,28402,PNB
2022-07-19,EQ,31.15,31.75,31.1,31.35,31.65,31.6,31.45,48.2,28.05,25007755,786559334.9,28171,PNB
2022-07-18,EQ,30.5,31.5,30.35,30.3,31.25,31.35,31.01,48.2,28.05,21452288,665203043.0,30014,PNB
2022-07-15,EQ,30.4,30.55,30.05,30.4,30.2,30.3,30.24,48.2,28.05,12066316,364854918.35,17135,PNB
2022-07-14,EQ,30.7,30.95,30.1,30.8,30.35,30.4,30.45,48.2,28.05,16034640,488182938.3,21146,PNB
2022-07-13,EQ,30.8,31.05,30.65,30.8,30.8,30.8,30.82,48.2,28.05,14450589,445373082.4,18978,PNB
