DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2022-12-30,EQ,189.85,191.95,189.1,186.4,190.4,190.2,190.03,400.0,155.4,585,111170.4,52,PRECOT
2022-12-29,EQ,188.75,189.0,186.0,188.25,187.2,186.4,186.92,400.0,155.4,1579,295152.55,97,PRECOT
2022-12-28,EQ,189.0,194.8,185.55,190.0,188.8,188.25,188.77,400.0,155.4,1591,300330.85,126,PRECOT
2022-12-27,EQ,168.95,194.9,168.0,169.85,189.45,190.0,183.63,400.0,155.4,6026,1106556.95,269,PRECOT
2022-12-26,EQ,161.0,172.0,158.85,160.85,172.0,169.85,164.26,400.0,155.4,5040,827894.35,207,PRECOT
2022-12-23,EQ,180.0,180.25,155.4,181.6,155.6,160.85,169.68,400.0,155.4,12921,2192475.55,365,PRECOT
2022-12-22,EQ,190.0,190.0,177.2,191.1,182.8,181.6,185.42,400.0,177.2,5762,1068382.0,178,PRECOT
2022-12-21,EQ,195.75,195.75,190.1,192.85,190.6,191.1,190.72,400.0,180.2,2714,517614.5,52,PRECOT
2022-12-20,EQ,191.05,194.1,186.7,190.4,194.0,192.85,188.79,400.0,180.2,5791,1093276.4,140,PRECOT
2022-12-19,EQ,193.5,193.5,186.1,190.35,193.0,190.4,190.02,400.0,180.2,3958,752085.8,104,PRECOT
2022-12-16,EQ,196.4,196.4,188.0,194.1,193.5,190.35,190.69,400.0,180.2,2626,500761.05,128,PRECOT
2022-12-15,EQ,196.75,196.75,190.5,192.95,195.0,194.1,192.87,400.0,180.2,3662,706288.45,86,PRECOT
2022-12-14,EQ,194.35,194.95,189.15,190.6,193.1,192.95,193.02,400.0,180.2,973,187811.85,55,PRECOT
2022-12-13,EQ,187.8,192.0,187.1,188.5,188.65,190.6,188.33,400.0,180.2,4028,758583.6,91,PRECOT
2022-12-12,EQ,196.65,196.65,186.0,192.85,187.75,188.5,189.27,400.0,180.2,5857,1108541.6,188,PRECOT
2022-12-09,EQ,199.7,199.7,188.4,198.6,193.6,192.85,193.72,400.0,180.2,5206,1008498.3,190,PRECOT
2022-12-08,EQ,199.8,199.8,196.1,197.65,198.4,198.6,197.99,400.0,180.2,1732,342923.95,70,PRECOT
2022-12-07,EQ,198.0,198.7,196.1,197.3,198.7,197.65,197.25,400.0,180.2,1980,390556.05,110,PRECOT
2022-12-06,EQ,198.2,200.0,194.0,198.45,196.15,197.3,197.53,400.0,180.2,2728,538851.0,117,PRECOT
2022-12-05,EQ,196.0,200.5,196.0,198.05,198.2,198.45,199.3,400.0,180.2,4045,806154.0,587,PRECOT
2022-12-02,EQ,200.0,200.0,195.1,197.75,198.8,198.05,197.79,400.0,180.2,4435,877194.95,183,PRECOT
2022-12-01,EQ,196.0,200.05,193.9,198.1,197.0,197.75,197.75,400.0,180.2,5299,1047867.2,103,PRECOT
2022-11-30,EQ,195.4,201.0,194.95,195.7,199.0,198.1,198.4,400.0,180.2,8085,1604025.95,218,PRECOT
2022-11-29,EQ,189.9,197.75,189.05,189.9,197.75,195.7,193.24,400.0,180.2,5813,1123307.05,197,PRECOT
2022-11-28,EQ,185.4,198.15,182.4,184.25,189.8,189.9,189.47,400.0,180.2,9556,1810539.05,328,PRECOT
