DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2022-12-30,EQ,182.5,183.9,180.0,181.55,180.5,180.8,181.97,202.3,109.4,1396831,254176596.2,10445,REDINGTON
2022-12-29,EQ,179.95,183.0,179.0,180.25,181.7,181.55,181.49,202.3,109.4,1551385,281563412.2,14677,REDINGTON
2022-12-28,EQ,179.0,182.4,176.1,180.7,180.5,180.25,179.66,202.3,109.4,2434759,437419267.9,27802,REDINGTON
2022-12-27,EQ,184.2,185.55,178.95,182.15,180.0,180.7,181.27,202.3,109.4,1952355,353904735.6,19299,REDINGTON
2022-12-26,EQ,170.0,183.5,168.0,170.9,182.95,182.15,178.49,202.3,109.4,2803452,500379860.6,26394,REDINGTON
2022-12-23,EQ,180.25,181.4,169.55,183.5,170.6,170.9,174.07,202.3,109.4,4631785,806242841.7,40564,REDINGTON
2022-12-22,EQ,184.9,185.1,178.75,183.4,183.2,183.5,181.57,202.3,109.4,3743296,679656746.25,27408,REDINGTON
2022-12-21,EQ,186.35,190.3,181.3,185.65,182.75,183.4,185.21,202.3,109.4,3765704,697440297.55,34752,REDINGTON
2022-12-20,EQ,188.8,188.85,183.7,188.8,185.6,185.65,185.4,202.3,109.4,2279481,422621451.2,26900,REDINGTON
2022-12-19,EQ,187.0,194.0,183.95,186.3,188.9,188.8,189.61,202.3,109.4,4266387,808950125.15,49870,REDINGTON
2022-12-16,EQ,185.5,188.85,181.2,185.5,187.3,186.3,185.29,202.3,109.4,4495424,832963889.4,38429,REDINGTON
2022-12-15,EQ,185.65,188.9,184.15,185.75,186.5,185.5,185.64,202.3,109.4,4164691,773112624.3,45638,REDINGTON
2022-12-14,EQ,192.95,193.6,185.2,192.0,185.5,185.75,187.72,202.3,109.4,5358345,1005884356.7,45958,REDINGTON
2022-12-13,EQ,200.65,200.95,191.1,199.4,192.1,192.0,194.43,202.3,109.4,5455594,1060720730.3,46535,REDINGTON
2022-12-12,EQ,188.8,202.3,188.05,188.65,198.6,199.4,197.67,202.3,109.4,12415931,2454275857.6,86286,REDINGTON
