DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2022-12-30,EQ,377.85,394.0,373.95,376.1,384.9,384.8,382.32,596.55,348.05,2185,835363.1,286,REPRO
2022-12-29,EQ,376.65,380.05,368.45,372.0,375.2,376.1,374.23,596.55,348.05,3482,1303062.9,289,REPRO
2022-12-28,EQ,367.6,378.9,358.2,369.25,378.4,372.0,367.0,596.55,348.05,5554,2038337.0,537,REPRO
2022-12-27,EQ,379.65,380.95,367.1,374.05,367.6,369.25,371.74,596.55,348.05,2767,1028592.4,291,REPRO
2022-12-26,EQ,350.5,375.0,350.5,350.5,374.9,374.05,365.2,596.55,348.05,2800,1022567.1,292,REPRO
2022-12-23,EQ,363.0,368.95,348.05,364.75,355.0,350.5,355.21,596.55,348.05,11750,4173752.15,725,REPRO
2022-12-22,EQ,387.55,387.55,352.5,381.9,361.5,364.75,365.62,596.55,352.5,12803,4681096.0,893,REPRO
2022-12-21,EQ,392.15,393.45,381.0,389.45,382.1,381.9,386.14,596.55,353.8,2567,991232.05,244,REPRO
2022-12-20,EQ,388.6,394.9,385.55,389.0,394.9,389.45,387.17,596.55,353.8,1627,629925.05,109,REPRO
2022-12-19,EQ,390.0,390.2,382.25,388.6,389.7,389.0,385.98,596.55,353.8,3284,1267562.25,281,REPRO
2022-12-16,EQ,397.0,397.0,386.9,394.9,388.0,388.6,389.44,596.55,353.8,4889,1903992.35,230,REPRO
2022-12-15,EQ,398.0,403.15,394.2,397.2,395.0,394.9,396.61,596.55,353.8,1999,792817.25,114,REPRO
2022-12-14,EQ,396.85,399.95,396.1,394.45,397.2,397.2,398.67,596.55,353.8,1981,789769.0,174,REPRO
2022-12-13,EQ,394.0,398.35,392.6,394.55,396.0,394.45,394.88,596.55,353.8,1748,690255.35,159,REPRO
2022-12-12,EQ,400.0,400.0,390.3,394.15,392.8,394.55,394.46,596.55,353.8,1915,755389.5,191,REPRO
2022-12-09,EQ,397.0,397.45,391.1,392.85,395.75,394.15,394.07,638.8,353.8,2163,852365.75,154,REPRO
2022-12-08,EQ,397.1,398.9,389.2,397.05,392.2,392.85,391.27,638.8,353.8,5326,2083899.9,373,REPRO
2022-12-07,EQ,399.8,399.8,392.6,399.85,395.0,397.05,396.44,638.8,353.8,1902,754021.95,253,REPRO
2022-12-06,EQ,400.0,402.95,395.0,399.1,399.9,399.85,399.25,638.8,353.8,3399,1357061.0,296,REPRO
2022-12-05,EQ,411.0,411.0,397.85,396.45,399.9,399.1,400.3,638.8,353.8,3372,1349826.5,289,REPRO
2022-12-02,EQ,398.1,406.15,395.0,400.8,397.0,396.45,399.04,638.8,353.8,7594,3030334.75,403,REPRO
2022-12-01,EQ,404.95,417.9,396.35,401.3,402.8,400.8,405.33,638.8,353.8,12203,4946206.4,639,REPRO
2022-11-30,EQ,404.6,407.8,395.85,395.9,399.9,401.3,399.4,638.8,353.8,66748,26659213.15,262,REPRO
2022-11-29,EQ,395.2,403.05,391.0,394.65,397.0,395.9,398.55,638.8,353.8,5127,2043343.45,348,REPRO
2022-11-28,EQ,407.5,407.5,393.9,398.35,394.05,394.65,396.82,638.8,353.8,12102,4802354.3,475,REPRO
2022-11-25,EQ,398.0,400.9,395.1,399.05,398.15,398.35,398.57,638.8,353.8,2252,897585.0,233,REPRO
2022-11-24,EQ,405.75,405.75,397.0,401.35,398.55,399.05,399.58,638.8,353.8,1672,668092.35,307,REPRO
2022-11-23,EQ,405.4,407.7,393.05,399.55,395.05,401.35,400.83,638.8,353.8,7559,3029885.25,323,REPRO
2022-11-22,EQ,408.1,409.15,393.75,405.9,398.55,399.55,399.45,638.8,353.8,4796,1915740.05,703,REPRO
2022-11-21,EQ,410.5,410.9,402.3,402.75,402.55,405.9,406.35,638.8,353.8,7934,3223964.3,342,REPRO
2022-11-18,EQ,420.55,422.95,399.0,418.4,400.75,402.75,406.22,638.8,353.8,10935,4442002.5,1005,REPRO
2022-11-17,EQ,428.0,436.65,414.0,432.9,417.9,418.4,419.68,638.8,353.8,6366,2671675.2,691,REPRO
2022-11-16,EQ,435.35,437.8,425.05,428.95,430.0,432.9,432.08,638.8,353.8,4406,1903727.35,447,REPRO
2022-11-15,EQ,430.0,447.45,425.0,441.4,428.6,428.95,432.03,638.8,353.8,18795,8119978.3,1622,REPRO
2022-11-14,EQ,442.55,446.5,436.0,440.6,436.5,441.4,439.72,638.8,353.8,2790,1226815.5,303,REPRO
2022-11-11,EQ,436.5,446.25,427.0,427.55,440.0,440.6,438.71,638.8,353.8,6141,2694143.4,428,REPRO
2022-11-10,EQ,434.0,434.65,420.7,423.15,430.0,427.55,425.6,638.8,353.8,3694,1572169.15,287,REPRO
2022-11-09,EQ,447.35,453.65,421.0,440.8,425.0,423.15,432.25,638.8,353.8,11155,4821776.6,759,REPRO
2022-11-07,EQ,448.0,449.95,437.05,447.15,439.8,440.8,443.29,638.8,353.8,2909,1289530.6,307,REPRO
2022-11-04,EQ,441.0,451.45,432.8,434.95,451.25,447.15,444.69,679.2,353.8,4876,2168302.1,327,REPRO
