DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2022-12-30,EQ,116.3,118.5,116.1,115.05,116.3,117.2,117.26,215.0,100.95,17324,2031382.6,479,RESPONIND
2022-12-29,EQ,116.95,116.95,113.3,116.6,115.1,115.05,115.08,215.0,100.95,22811,2625094.05,817,RESPONIND
2022-12-28,EQ,118.0,119.0,115.1,118.05,115.25,116.6,116.75,215.0,100.95,40904,4775405.8,1216,RESPONIND
2022-12-27,EQ,120.05,134.7,115.25,118.0,118.5,118.05,122.55,215.0,100.95,213097,26114391.65,4442,RESPONIND
2022-12-26,EQ,103.0,123.6,102.1,103.0,120.0,118.0,118.18,215.0,100.95,443662,52432245.75,6164,RESPONIND
2022-12-23,EQ,113.75,113.75,100.95,112.0,102.9,103.0,108.28,215.0,100.0,151683,16423630.8,1716,RESPONIND
2022-12-22,EQ,115.5,117.45,110.9,114.95,111.75,112.0,113.36,215.0,100.0,44974,5098370.05,1313,RESPONIND
2022-12-21,EQ,121.4,125.5,112.1,120.6,115.6,114.95,119.07,215.0,100.0,135388,16121206.0,2460,RESPONIND
2022-12-20,EQ,126.5,128.0,119.1,127.2,120.9,120.6,121.85,215.0,100.0,160536,19562029.05,3377,RESPONIND
2022-12-19,EQ,131.75,132.0,125.5,129.35,125.95,127.2,128.39,215.0,100.0,56995,7317333.85,1267,RESPONIND
2022-12-16,EQ,131.8,132.2,128.75,130.05,129.7,129.35,130.26,215.0,100.0,24790,3229030.3,898,RESPONIND
2022-12-15,EQ,135.8,136.0,128.0,134.05,129.6,130.05,131.12,215.0,100.0,89250,11702163.2,1816,RESPONIND
2022-12-14,EQ,134.75,134.85,132.5,133.75,134.4,134.05,133.95,215.0,100.0,17350,2324054.9,488,RESPONIND
2022-12-13,EQ,135.0,136.7,132.3,134.35,133.8,133.75,134.23,215.0,100.0,32006,4296258.2,812,RESPONIND
2022-12-12,EQ,137.05,137.2,133.5,137.05,134.0,134.35,135.01,215.0,100.0,54392,7343255.55,1347,RESPONIND
2022-12-09,EQ,139.65,140.7,135.0,138.25,136.75,137.05,137.48,215.0,100.0,66237,9106215.35,1600,RESPONIND
2022-12-08,EQ,152.7,152.7,136.35,134.9,138.0,138.25,145.34,215.0,100.0,712400,103537058.7,7201,RESPONIND
2022-12-07,EQ,135.95,135.95,134.15,135.05,134.65,134.9,134.89,215.0,100.0,17561,2368746.15,626,RESPONIND
2022-12-06,EQ,135.1,137.8,134.1,135.05,134.7,135.05,135.92,215.0,100.0,46105,6266652.25,843,RESPONIND
2022-12-05,EQ,140.65,140.65,134.0,138.55,134.6,135.05,136.55,215.0,100.0,103629,14150627.3,2032,RESPONIND
2022-12-02,EQ,141.15,142.45,135.3,140.45,138.45,138.55,137.23,215.0,90.3,167003,22918460.8,2628,RESPONIND
2022-12-01,EQ,141.85,141.95,140.0,140.3,140.8,140.45,140.71,215.0,90.3,15971,2247282.9,505,RESPONIND
