DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2022-12-30,EQ,14.45,14.75,14.3,14.3,14.35,14.35,14.52,25.0,10.95,9993716,145059044.45,10134,RPOWER
2022-12-29,EQ,14.45,14.55,14.2,14.6,14.35,14.3,14.35,25.0,10.95,12465598,178850125.7,10352,RPOWER
2022-12-28,EQ,14.8,15.15,14.55,14.8,14.6,14.6,14.9,25.0,10.95,12860847,191650584.6,12057,RPOWER
2022-12-27,EQ,14.2,14.85,14.1,14.15,14.8,14.8,14.55,25.0,10.95,13932965,202662935.75,13577,RPOWER
2022-12-26,EQ,13.15,14.2,12.9,13.55,14.1,14.15,13.66,25.0,10.95,29297031,400172688.05,24072,RPOWER
2022-12-23,EQ,13.85,13.85,13.55,14.25,13.55,13.55,13.63,25.0,10.95,14177515,193285958.25,13593,RPOWER
2022-12-22,EQ,14.95,15.05,14.25,15.0,14.25,14.25,14.33,25.0,10.95,29006327,415607932.65,20842,RPOWER
2022-12-21,EQ,15.9,15.9,15.0,15.75,15.0,15.0,15.23,25.0,10.95,24450802,372446887.2,18098,RPOWER
2022-12-20,EQ,15.8,15.95,15.45,15.8,15.75,15.75,15.65,25.0,10.95,14909860,233377447.95,11502,RPOWER
2022-12-19,EQ,15.85,16.0,15.75,15.75,15.75,15.8,15.86,25.0,10.95,12178836,193174888.2,10161,RPOWER
2022-12-16,EQ,15.9,16.2,15.65,15.9,15.85,15.75,15.89,25.0,10.95,21493992,341503066.1,14172,RPOWER
2022-12-15,EQ,16.2,16.5,15.85,16.45,15.9,15.9,16.18,25.0,10.95,22792227,368686519.15,15208,RPOWER
2022-12-14,EQ,15.8,16.5,15.7,15.75,16.4,16.45,16.28,25.0,10.95,55553551,904559738.85,21184,RPOWER
2022-12-13,EQ,16.0,16.4,15.7,15.95,15.75,15.75,16.04,25.0,10.95,35437003,568542802.8,18283,RPOWER
2022-12-12,EQ,15.95,16.2,15.75,15.9,15.9,15.95,15.99,25.0,10.95,25028814,400117010.5,14158,RPOWER
2022-12-09,EQ,16.0,16.55,15.7,15.85,15.9,15.9,16.1,25.0,10.95,21275150,342430615.4,15655,RPOWER
2022-12-08,EQ,15.75,16.05,15.5,15.7,15.8,15.85,15.75,25.0,10.95,11119754,175137085.0,10272,RPOWER
2022-12-07,EQ,15.9,16.2,15.5,15.85,15.6,15.7,15.83,25.0,10.95,11680369,184923524.45,12448,RPOWER
2022-12-06,EQ,15.85,16.3,15.8,16.05,15.85,15.85,16.03,25.0,10.95,17465360,279892284.4,15461,RPOWER
2022-09-12,EQ,18.8,21.1,18.4,19.2,21.1,21.1,20.19,25.0,10.95,107892593,2178373613.65,98611,RPOWER
2022-09-09,EQ,21.2,21.2,19.2,21.3,19.2,19.2,19.58,25.0,10.95,115341202,2258034518.95,92822,RPOWER
2022-09-08,EQ,22.1,22.35,21.15,21.65,21.3,21.3,21.76,25.0,10.95,48143250,1047428463.65,60864,RPOWER
2022-09-07,EQ,21.75,22.75,21.3,21.95,21.6,21.65,22.08,25.0,10.95,64869145,1432289274.05,79603,RPOWER
2022-09-06,EQ,24.75,25.0,21.4,23.3,21.9,21.95,22.95,25.0,10.95,151536084,3477362078.45,178986,RPOWER
2022-09-05,EQ,21.55,23.3,21.55,21.2,23.3,23.3,22.87,23.75,10.95,153031552,3500432410.8,108794,RPOWER
2022-09-02,EQ,20.9,23.75,20.25,20.15,21.3,21.2,22.11,23.75,10.95,461789015,10212448851.25,306096,RPOWER
2022-09-01,EQ,16.75,20.15,16.7,16.8,20.15,20.15,19.15,20.15,10.95,278269770,5329082335.8,148727,RPOWER
2022-08-30,EQ,16.55,17.15,16.25,16.3,16.95,16.8,16.68,19.25,10.95,66973760,1117194752.4,37160,RPOWER
2022-08-29,EQ,15.7,16.9,15.6,16.25,16.4,16.3,16.4,19.25,10.95,109676564,1798513914.7,60725,RPOWER
2022-08-26,EQ,15.15,16.85,15.15,15.05,16.35,16.25,16.1,19.25,10.95,145645641,2344981885.4,63028,RPOWER
2022-08-25,EQ,15.35,15.55,15.0,15.3,15.05,15.05,15.27,19.25,10.95,21609453,329955613.65,18929,RPOWER
2022-08-24,EQ,15.25,15.85,15.1,15.4,15.2,15.3,15.51,19.25,10.95,39217580,608376809.7,23576,RPOWER
2022-08-23,EQ,15.6,16.0,15.15,15.65,15.4,15.4,15.53,19.25,10.95,47006114,730225841.4,35916,RPOWER
2022-08-22,EQ,15.1,16.2,14.9,14.95,15.65,15.65,15.76,19.25,10.95,108715778,1713089650.8,77824,RPOWER
2022-08-19,EQ,14.25,15.1,14.1,14.2,15.05,14.95,14.63,19.25,10.95,74547754,1090526421.2,40080,RPOWER
2022-08-18,EQ,13.65,14.55,13.6,13.65,14.25,14.2,14.24,19.25,10.95,46729902,665460291.15,31584,RPOWER
2022-08-17,EQ,13.5,13.8,13.4,13.4,13.6,13.65,13.65,19.25,10.95,21194300,289225470.95,15152,RPOWER
2022-08-16,EQ,13.3,13.8,13.2,13.4,13.5,13.4,13.55,19.25,10.95,15878957,215131425.05,15634,RPOWER
2022-08-12,EQ,13.55,13.8,13.25,13.6,13.4,13.4,13.6,19.25,10.95,14431196,196204757.75,12199,RPOWER
2022-08-11,EQ,14.2,14.25,13.45,14.15,13.55,13.6,13.81,19.25,10.95,22969202,317217217.25,15570,RPOWER
2022-08-10,EQ,13.4,14.25,13.0,13.3,14.2,14.15,13.86,19.25,10.95,68998073,956317359.95,34101,RPOWER
2022-08-08,EQ,13.0,13.5,12.9,13.15,13.5,13.3,13.13,19.25,10.95,18844949,247379783.4,12592,RPOWER
2022-08-05,EQ,13.45,13.65,13.05,13.2,13.1,13.15,13.32,19.25,10.95,22977419,306039794.0,15429,RPOWER
