DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2022-12-30,EQ,254.2,257.95,253.25,252.9,253.5,253.7,255.58,354.95,188.6,11797,3015091.4,474,RSYSTEMS
2022-12-29,EQ,254.1,254.9,252.05,254.25,253.0,252.9,253.24,354.95,188.6,15668,3967711.45,745,RSYSTEMS
2022-12-28,EQ,257.6,259.95,253.0,259.5,253.05,254.25,256.28,354.95,188.6,23105,5921371.95,894,RSYSTEMS
2022-12-27,EQ,256.9,260.0,254.85,254.65,260.0,259.5,258.17,354.95,188.6,19813,5115132.6,884,RSYSTEMS
2022-12-26,EQ,254.3,258.95,253.5,254.3,254.95,254.65,256.11,354.95,188.6,27311,6994499.8,1697,RSYSTEMS
2022-12-23,EQ,255.0,261.65,253.5,258.45,255.5,254.3,256.19,354.95,188.6,68235,17480971.5,2573,RSYSTEMS
2022-12-22,EQ,260.0,260.7,256.1,260.25,259.8,258.45,257.81,354.95,188.6,73221,18877160.4,2531,RSYSTEMS
2022-12-21,EQ,263.3,264.95,260.1,263.35,260.1,260.25,261.89,354.95,188.6,58745,15384439.35,1076,RSYSTEMS
2022-12-20,EQ,265.75,267.85,262.5,264.45,264.0,263.35,263.66,354.95,188.6,40528,10685576.7,1124,RSYSTEMS
2022-12-19,EQ,265.25,267.4,262.0,265.4,264.5,264.45,264.35,354.95,188.6,22752,6014552.5,1169,RSYSTEMS
2022-12-16,EQ,266.7,270.3,264.0,269.35,266.0,265.4,266.71,354.95,188.6,33685,8984011.15,1224,RSYSTEMS
2022-12-15,EQ,274.4,274.4,269.0,270.35,269.0,269.35,270.79,354.95,188.6,38735,10488975.75,1635,RSYSTEMS
2022-12-14,EQ,269.25,273.35,268.0,267.9,270.05,270.35,270.98,354.95,188.6,45342,12286815.7,1793,RSYSTEMS
2022-12-13,EQ,269.1,271.95,266.45,268.15,267.0,267.9,268.96,354.95,188.6,65166,17527176.9,1750,RSYSTEMS
2022-12-12,EQ,266.7,269.2,264.4,267.85,268.0,268.15,266.86,354.95,188.6,63456,16933574.55,2008,RSYSTEMS
2022-12-09,EQ,270.1,271.6,264.0,268.75,267.9,267.85,266.98,354.95,188.6,62992,16817660.85,3011,RSYSTEMS
2022-12-08,EQ,276.95,276.95,267.0,275.8,268.0,268.75,270.64,354.95,188.6,86714,23468086.6,3949,RSYSTEMS
2022-12-07,EQ,280.85,280.85,271.05,279.25,276.9,275.8,278.33,354.95,188.6,157390,43806043.3,2724,RSYSTEMS
2022-12-06,EQ,275.0,285.75,274.0,276.75,279.9,279.25,281.05,354.95,188.6,236453,66454510.65,6923,RSYSTEMS
2022-12-05,EQ,263.8,284.0,261.2,261.95,277.45,276.75,276.42,354.95,188.6,648414,179234081.65,13195,RSYSTEMS
2022-12-02,EQ,262.95,267.9,261.0,263.85,262.0,261.95,265.28,354.95,188.6,92710,24593790.95,3384,RSYSTEMS
