DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2022-12-30,EQ,127.0,128.8,125.2,126.1,126.4,125.75,126.49,162.85,69.7,74303,9398543.8,1582,RUCHIRA
2022-12-29,EQ,128.0,128.0,124.05,125.1,126.0,126.1,126.51,162.85,69.7,123759,15656869.85,2250,RUCHIRA
2022-12-28,EQ,122.25,128.85,122.25,122.2,125.0,125.1,125.94,162.85,69.7,133835,16855789.05,2743,RUCHIRA
2022-12-27,EQ,122.0,125.55,120.65,118.35,124.05,122.2,122.99,162.85,69.7,187561,23067662.0,3479,RUCHIRA
2022-12-26,EQ,112.6,118.9,111.7,112.6,118.55,118.35,116.82,162.85,69.7,188386,22007870.1,3299,RUCHIRA
2022-12-23,EQ,123.1,125.0,111.3,125.3,114.4,112.6,116.57,162.85,69.7,397684,46357288.85,5445,RUCHIRA
2022-12-22,EQ,131.4,133.2,122.8,130.0,125.7,125.3,126.4,162.85,69.7,240771,30432705.55,6110,RUCHIRA
2022-12-21,EQ,137.4,139.7,129.0,136.6,130.55,130.0,135.19,162.85,69.7,447464,60492849.8,7589,RUCHIRA
2022-12-20,EQ,128.9,138.5,128.0,127.3,136.5,136.6,134.8,162.85,69.7,1555526,209685953.75,21667,RUCHIRA
2022-12-19,EQ,124.0,129.7,124.0,124.05,127.6,127.3,126.93,162.85,69.7,286545,36371048.4,5063,RUCHIRA
2022-12-16,EQ,127.05,127.7,123.5,127.0,124.45,124.05,125.01,162.85,69.7,90215,11277907.4,2786,RUCHIRA
2022-12-15,EQ,127.85,129.3,126.2,127.85,126.3,127.0,127.61,162.85,69.7,70871,9043532.0,2356,RUCHIRA
2022-12-14,EQ,128.0,130.0,126.65,128.0,128.3,127.85,128.84,162.85,69.7,91980,11850489.35,1649,RUCHIRA
2022-12-13,EQ,125.55,128.7,125.55,125.5,128.0,128.0,127.52,162.85,69.7,100827,12857839.6,1673,RUCHIRA
2022-12-12,EQ,124.25,126.0,123.1,124.25,125.85,125.5,124.58,162.85,69.7,82976,10337299.0,2133,RUCHIRA
2022-12-09,EQ,128.45,128.45,122.25,127.2,123.45,124.25,125.77,162.85,69.7,102084,12839122.9,2842,RUCHIRA
2022-12-08,EQ,128.6,129.3,126.85,126.7,127.05,127.2,127.93,162.85,69.7,88851,11367090.8,2502,RUCHIRA
2022-12-07,EQ,129.0,129.45,126.5,128.15,126.95,126.7,127.29,162.85,69.7,73381,9340681.3,1211,RUCHIRA
2022-12-06,EQ,127.05,129.8,127.05,128.35,128.4,128.15,128.01,162.85,69.7,85908,10997033.85,1923,RUCHIRA
2022-12-05,EQ,130.85,131.6,127.2,130.15,129.0,128.35,128.73,162.85,69.7,166912,21487214.1,3276,RUCHIRA
2022-12-02,EQ,132.65,132.65,129.0,132.05,130.55,130.15,130.47,162.85,69.7,153162,19983618.15,4462,RUCHIRA
2022-12-01,EQ,132.25,134.0,131.1,131.15,132.3,132.05,132.61,162.85,69.7,84327,11182840.05,2251,RUCHIRA
2022-11-30,EQ,133.95,134.9,130.05,133.95,131.4,131.15,132.45,162.85,69.7,153573,20341375.1,2859,RUCHIRA
2022-11-29,EQ,135.8,136.0,133.1,134.65,133.25,133.95,134.9,162.85,69.7,65287,8807105.35,1636,RUCHIRA
2022-11-28,EQ,139.3,140.0,134.0,138.15,134.55,134.65,135.9,162.85,69.7,190467,25884692.75,3792,RUCHIRA
2022-11-25,EQ,134.0,144.9,134.0,133.85,138.4,138.15,141.23,162.85,69.7,646039,91242397.8,11603,RUCHIRA
2022-11-24,EQ,136.0,136.35,132.7,134.95,134.0,133.85,134.96,162.85,69.7,112623,15199537.7,2880,RUCHIRA
2022-11-23,EQ,132.5,136.8,132.5,133.2,135.2,134.95,135.13,162.85,69.7,183992,24862281.5,3378,RUCHIRA
2022-11-22,EQ,133.85,136.95,132.9,132.95,132.9,133.2,135.01,162.85,69.7,133843,18070380.45,3597,RUCHIRA
2022-11-21,EQ,133.35,134.95,132.1,131.85,132.65,132.95,133.1,162.85,69.7,82686,11005765.35,2346,RUCHIRA
2022-11-18,EQ,134.25,136.0,131.45,134.25,131.9,131.85,132.97,162.85,69.7,98837,13142438.2,2119,RUCHIRA
2022-11-17,EQ,138.45,138.45,133.5,136.45,134.5,134.25,135.59,162.85,69.7,156067,21161883.7,3137,RUCHIRA
2022-11-16,EQ,133.9,137.95,133.15,133.15,136.95,136.45,136.65,162.85,69.7,632937,86493083.95,8880,RUCHIRA
2022-11-15,EQ,128.7,134.25,127.2,127.7,133.2,133.15,132.44,162.85,69.7,732057,96954385.5,9867,RUCHIRA
2022-11-14,EQ,128.95,128.95,126.25,126.7,127.4,127.7,127.27,162.85,69.7,100540,12796059.75,2308,RUCHIRA
2022-11-11,EQ,130.25,132.0,126.35,129.25,127.0,126.7,128.01,162.85,69.7,99204,12699511.0,2168,RUCHIRA
2022-11-10,EQ,129.5,130.85,127.8,129.6,129.55,129.25,129.51,162.85,69.7,105452,13657516.1,2507,RUCHIRA
2022-11-09,EQ,131.0,134.3,127.85,123.0,130.45,129.6,131.95,162.85,69.7,730092,96339094.15,11055,RUCHIRA
2022-11-07,EQ,123.55,125.9,122.0,124.9,123.0,123.0,123.55,162.85,69.7,131015,16187308.3,2826,RUCHIRA
2022-11-04,EQ,125.0,126.85,123.65,125.1,124.65,124.9,124.52,162.85,69.7,72052,8971943.45,1865,RUCHIRA
2022-11-03,EQ,124.75,126.65,123.0,124.05,125.0,125.1,124.84,162.85,69.7,156448,19530619.7,3006,RUCHIRA
2022-11-02,EQ,126.6,126.6,123.6,125.45,124.95,124.05,124.84,162.85,69.7,72663,9071193.4,1534,RUCHIRA
2022-11-01,EQ,130.9,131.4,125.1,129.85,125.5,125.45,127.34,162.85,69.7,125692,16005488.65,2122,RUCHIRA
2022-10-31,EQ,126.2,130.5,126.2,124.9,129.5,129.85,128.97,162.85,69.7,322526,41595627.2,5251,RUCHIRA
2022-10-28,EQ,126.9,127.0,124.5,126.5,124.95,124.9,125.21,162.85,69.7,55210,6912732.5,1296,RUCHIRA
2022-10-27,EQ,125.0,127.95,124.0,123.55,125.95,126.5,125.6,162.85,69.7,188568,23684725.15,2837,RUCHIRA
2022-10-25,EQ,122.4,125.5,121.75,122.3,123.45,123.55,124.09,162.85,69.7,67331,8355333.45,1552,RUCHIRA
2022-10-24,EQ,123.1,123.8,121.1,120.8,123.0,122.3,122.04,162.85,69.7,24989,3049696.5,579,RUCHIRA
