DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2022-12-30,EQ,1657.1,1693.5,1652.35,1657.05,1681.95,1682.7,1685.0,1977.0,780.05,23784,40076096.6,1896,SAFARI
2022-12-29,EQ,1645.0,1690.0,1642.8,1653.7,1650.0,1657.05,1668.24,1977.0,780.05,4644,7747298.0,1841,SAFARI
2022-12-28,EQ,1700.0,1700.0,1646.9,1689.45,1657.0,1653.7,1662.01,1977.0,780.05,4376,7272939.35,1278,SAFARI
2022-12-27,EQ,1675.0,1699.0,1660.05,1668.1,1686.8,1689.45,1683.0,1977.0,780.05,9254,15574514.4,2449,SAFARI
2022-12-26,EQ,1571.4,1685.0,1571.4,1595.35,1680.0,1668.1,1647.07,1977.0,780.05,10409,17144305.15,3340,SAFARI
2022-12-23,EQ,1607.0,1616.7,1586.9,1611.1,1591.0,1595.35,1601.24,1977.0,780.05,20511,32843113.05,5098,SAFARI
2022-12-22,EQ,1651.0,1661.9,1582.55,1651.95,1622.0,1611.1,1605.45,1977.0,780.05,15563,24985622.45,3043,SAFARI
2022-12-21,EQ,1710.85,1737.0,1627.1,1719.05,1650.0,1651.95,1673.37,1977.0,780.05,9398,15726288.65,2473,SAFARI
2022-12-20,EQ,1709.6,1722.85,1689.1,1717.35,1702.0,1719.05,1718.02,1977.0,780.05,14435,24799584.65,1522,SAFARI
2022-12-19,EQ,1737.15,1737.15,1705.05,1719.8,1706.05,1717.35,1719.97,1977.0,780.05,38472,66170578.4,4582,SAFARI
2022-12-16,EQ,1760.0,1760.0,1702.0,1760.55,1720.0,1719.8,1735.05,1977.0,780.05,18820,32653690.55,4814,SAFARI
2022-12-15,EQ,1735.0,1766.05,1731.0,1740.85,1760.05,1760.55,1742.84,1977.0,780.05,33873,59035162.15,3548,SAFARI
2022-12-14,EQ,1692.45,1750.0,1667.0,1678.2,1740.0,1740.85,1725.27,1977.0,780.05,20937,36121909.4,4644,SAFARI
2022-12-13,EQ,1639.35,1685.0,1639.35,1652.6,1670.35,1678.2,1672.96,1977.0,780.05,6452,10793949.5,1668,SAFARI
2022-12-12,EQ,1648.95,1679.95,1626.3,1634.85,1655.0,1652.6,1646.96,1977.0,780.05,6103,10051408.55,1550,SAFARI
2022-12-09,EQ,1663.85,1663.85,1625.0,1649.8,1640.0,1634.85,1639.15,1977.0,780.05,6006,9844753.6,1830,SAFARI
2022-12-08,EQ,1662.95,1671.95,1642.0,1666.05,1644.1,1649.8,1658.0,1977.0,780.05,7886,13075024.9,2208,SAFARI
2022-12-07,EQ,1682.4,1689.4,1659.35,1665.75,1664.0,1666.05,1673.67,1977.0,780.05,5434,9094705.1,1369,SAFARI
2022-12-06,EQ,1666.45,1709.0,1646.55,1663.55,1660.0,1665.75,1660.66,1977.0,780.05,6254,10385751.35,1386,SAFARI
2022-12-05,EQ,1669.55,1688.95,1650.0,1653.7,1660.05,1663.55,1667.76,1977.0,780.05,6606,11017231.45,1704,SAFARI
2022-12-02,EQ,1680.8,1690.0,1637.2,1661.45,1671.5,1653.7,1660.42,1977.0,780.05,15118,25102179.45,2424,SAFARI
2022-12-01,EQ,1653.6,1715.4,1651.0,1632.0,1664.35,1661.45,1691.29,1977.0,780.05,28002,47359633.65,5489,SAFARI
2022-11-30,EQ,1637.4,1683.15,1613.75,1631.15,1683.15,1632.0,1634.96,1977.0,780.05,189829,310363564.8,13158,SAFARI
2022-11-29,EQ,1658.0,1676.75,1617.3,1653.2,1625.0,1631.15,1634.0,1977.0,780.05,29679,48495475.4,7918,SAFARI
2022-11-28,EQ,1700.0,1702.95,1625.35,1700.65,1650.5,1653.2,1651.31,1977.0,780.05,45009,74323941.9,9122,SAFARI
2022-11-25,EQ,1736.2,1741.4,1695.45,1730.05,1697.2,1700.65,1713.18,1977.0,780.05,14326,24543074.4,4726,SAFARI
2022-11-24,EQ,1710.0,1745.0,1702.0,1706.15,1716.5,1730.05,1727.02,1977.0,780.05,16798,29010461.5,4328,SAFARI
2022-11-23,EQ,1708.7,1736.95,1692.0,1708.7,1706.0,1706.15,1710.19,1977.0,780.05,18022,30821092.35,5362,SAFARI
2022-11-22,EQ,1735.0,1740.0,1691.3,1731.15,1694.0,1708.7,1710.72,1977.0,780.05,19977,34175000.8,4863,SAFARI
2022-11-21,EQ,1675.8,1746.6,1650.0,1675.8,1740.0,1731.15,1710.48,1977.0,780.05,32928,56322766.65,8920,SAFARI
2022-11-18,EQ,1710.0,1724.45,1660.5,1697.65,1660.5,1675.8,1698.86,1977.0,780.05,17431,29612770.0,5554,SAFARI
2022-11-17,EQ,1715.0,1728.4,1685.0,1695.75,1696.75,1697.65,1708.44,1977.0,780.05,20706,35375053.3,5496,SAFARI
2022-11-16,EQ,1725.0,1739.5,1651.0,1725.35,1705.0,1695.75,1699.55,1977.0,780.05,57366,97496485.3,9259,SAFARI
2022-11-15,EQ,1790.0,1790.0,1693.6,1867.25,1725.0,1725.35,1730.04,1977.0,780.05,121000,209334690.95,16393,SAFARI
2022-11-14,EQ,1869.9,1923.75,1852.1,1871.5,1870.9,1867.25,1882.43,1977.0,780.05,39746,74819134.8,10108,SAFARI
2022-11-11,EQ,1926.0,1964.95,1682.4,1929.75,1840.1,1871.5,1850.85,1977.0,780.05,86612,160306041.2,14250,SAFARI
2022-11-10,EQ,1842.0,1977.0,1841.95,1843.3,1920.0,1929.75,1935.36,1977.0,780.05,98872,191352848.95,18643,SAFARI
2022-11-09,EQ,1857.2,1865.9,1835.0,1857.2,1850.0,1843.3,1851.6,1912.0,780.05,23328,43194147.95,5221,SAFARI
2022-11-07,EQ,1838.95,1880.0,1814.85,1810.65,1860.0,1857.2,1852.86,1912.0,780.05,20193,37414729.45,5741,SAFARI
2022-11-04,EQ,1858.0,1893.35,1773.55,1858.5,1803.0,1810.65,1849.2,1912.0,780.05,114679,212063898.3,16232,SAFARI
