DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2022-12-30,EQ,54.0,54.85,51.4,53.4,51.5,51.7,53.0,295.0,23.8,1631720,86487880.9,5701,SALASAR
2022-12-29,EQ,50.9,53.4,50.45,50.9,53.4,53.4,52.96,295.0,23.8,2784020,147428269.2,5345,SALASAR
2022-12-28,EQ,48.5,50.95,47.3,48.55,50.95,50.9,50.14,295.0,23.8,2382225,119446003.1,5918,SALASAR
2022-12-27,EQ,46.9,48.8,46.0,46.5,48.4,48.55,47.74,295.0,23.8,1125642,53741328.65,3535,SALASAR
2022-12-26,EQ,43.95,46.5,42.55,44.3,46.45,46.5,45.89,295.0,23.8,1557080,71459217.9,4503,SALASAR
2022-12-23,EQ,47.75,48.7,44.3,49.2,44.3,44.3,45.29,295.0,23.8,2711082,122777791.65,7482,SALASAR
2022-12-22,EQ,52.5,53.7,46.3,51.35,49.25,49.2,48.73,295.0,23.8,3529216,171994402.85,15183,SALASAR
2022-12-21,EQ,57.95,58.5,50.75,56.35,51.0,51.35,54.11,295.0,23.8,4902708,265288953.9,14701,SALASAR
2022-12-20,EQ,52.4,57.95,52.4,52.05,56.95,56.35,55.49,295.0,23.8,8367434,464316051.7,18466,SALASAR
2022-12-19,EQ,51.0,52.5,50.25,50.2,52.25,52.05,51.57,295.0,23.8,3607938,186043616.15,6901,SALASAR
2022-12-16,EQ,49.0,51.9,48.7,49.2,50.15,50.2,50.8,295.0,23.8,4365709,221797730.35,7938,SALASAR
2022-12-15,EQ,49.0,50.2,48.35,49.45,49.25,49.2,49.33,295.0,23.8,2593836,127959165.75,3799,SALASAR
2022-12-14,EQ,49.2,50.15,47.7,48.75,49.75,49.45,49.18,295.0,23.8,2632501,129462891.45,7418,SALASAR
2022-12-13,EQ,48.8,51.05,47.5,48.4,48.85,48.75,49.48,295.0,23.8,6142557,303903927.25,14667,SALASAR
2022-12-12,EQ,44.0,49.0,44.0,43.4,48.55,48.4,47.37,295.0,23.8,4963176,235087020.15,10543,SALASAR
2022-12-09,EQ,44.25,45.5,42.45,44.25,44.5,43.4,44.27,295.0,23.8,1939807,85865876.5,5001,SALASAR
2022-12-08,EQ,43.1,44.7,42.85,42.75,44.0,44.25,44.14,295.0,23.8,2182618,96337971.4,6825,SALASAR
2022-12-07,EQ,43.75,44.2,42.2,43.3,42.4,42.75,43.22,295.0,23.8,2013274,87022377.1,5283,SALASAR
2022-12-06,EQ,41.1,43.8,41.1,41.8,43.35,43.3,42.93,295.0,23.8,6087766,261362034.1,7449,SALASAR
2022-12-05,EQ,42.0,42.25,40.5,41.1,41.8,41.8,41.59,295.0,23.8,3262196,135670120.75,7245,SALASAR
2022-12-02,EQ,38.9,41.9,38.15,38.85,40.6,41.1,40.53,295.0,23.8,6969054,282440517.9,15098,SALASAR
2022-12-01,EQ,36.2,39.3,35.6,35.35,38.6,38.85,38.28,295.0,23.8,7909489,302806353.0,15809,SALASAR
2022-11-30,EQ,32.25,36.0,32.1,32.4,35.4,35.35,34.43,295.0,23.8,3823676,131632478.2,8030,SALASAR
2022-11-29,EQ,33.25,34.0,32.25,32.9,32.25,32.4,33.15,295.0,23.8,1184739,39268201.7,2125,SALASAR
2022-11-28,EQ,32.5,33.5,32.5,32.45,32.9,32.9,32.99,295.0,23.8,1030015,33985057.75,1902,SALASAR
2022-11-25,EQ,32.45,32.9,32.3,32.15,32.75,32.45,32.61,295.0,23.8,307818,10039149.85,1184,SALASAR
2022-11-24,EQ,31.75,33.0,31.75,31.6,32.15,32.15,32.19,295.0,23.8,2557479,82330062.75,2204,SALASAR
2022-11-23,EQ,33.45,33.5,31.15,32.95,31.75,31.6,31.75,295.0,23.8,1548557,49163032.4,3284,SALASAR
2022-11-22,EQ,33.5,33.5,32.35,33.1,33.0,32.95,32.96,295.0,23.8,928078,30589304.5,2480,SALASAR
2022-11-21,EQ,32.75,33.55,32.4,32.4,33.05,33.1,33.1,295.0,23.8,1582751,52395115.35,4418,SALASAR
2022-11-18,EQ,32.0,33.3,31.8,31.7,32.65,32.4,32.62,295.0,23.8,1642445,53578630.95,3854,SALASAR
2022-11-17,EQ,30.8,33.0,30.5,30.9,31.8,31.7,31.96,295.0,23.8,1613911,51586530.9,5778,SALASAR
2022-11-16,EQ,29.8,31.6,29.65,29.75,30.5,30.9,30.77,295.0,23.8,1193427,36721920.7,4106,SALASAR
2022-11-15,EQ,30.0,30.15,29.6,29.5,29.75,29.75,29.78,295.0,23.8,182417,5432367.65,800,SALASAR
2022-11-14,EQ,29.2,29.8,29.2,28.7,29.4,29.5,29.5,295.0,23.8,1983993,58524618.65,1670,SALASAR
2022-11-11,EQ,30.1,30.1,27.8,29.5,28.75,28.7,28.74,295.0,23.8,422703,12147811.75,1925,SALASAR
2022-11-10,EQ,30.35,30.5,29.1,30.1,29.45,29.5,29.77,295.0,23.8,498616,14844469.9,1562,SALASAR
2022-11-09,EQ,30.5,30.85,29.55,30.1,30.0,30.1,30.2,295.0,23.8,1245155,37601139.7,2533,SALASAR
2022-11-07,EQ,28.45,30.9,28.3,28.05,30.5,30.1,29.62,295.0,23.8,1152011,34117124.1,2864,SALASAR
2022-11-04,EQ,28.4,28.95,27.7,28.15,28.05,28.05,28.28,295.0,23.8,308358,8720905.55,1309,SALASAR
2022-11-03,EQ,27.9,28.4,27.8,27.9,28.25,28.15,28.01,295.0,23.8,627869,17583803.85,912,SALASAR
2022-11-02,EQ,27.85,28.5,27.8,28.1,27.85,27.9,28.01,295.0,23.8,188878,5291165.2,1097,SALASAR
2022-11-01,EQ,29.15,29.35,27.9,28.8,28.0,28.1,28.49,295.0,23.8,264263,7527715.7,1492,SALASAR
2022-10-31,EQ,29.25,29.3,28.6,28.95,28.85,28.8,28.88,295.0,23.8,141094,4074415.05,675,SALASAR
2022-10-28,EQ,29.1,29.3,28.7,29.0,28.85,28.95,29.0,295.0,23.8,632410,18339553.55,769,SALASAR
2022-10-27,EQ,29.55,29.7,28.85,29.25,29.15,29.0,29.17,295.0,23.8,165684,4832801.95,922,SALASAR
2022-10-25,EQ,29.95,29.95,29.1,29.75,29.35,29.25,29.29,295.0,23.8,71050,2081185.5,617,SALASAR
2022-10-24,EQ,29.1,29.9,29.1,29.3,29.7,29.75,29.69,295.0,23.8,73576,2184318.05,621,SALASAR
2022-10-21,EQ,30.25,30.6,29.0,30.15,29.35,29.3,29.66,295.0,23.8,416690,12358659.25,1756,SALASAR
2022-10-20,EQ,29.3,31.45,28.6,29.4,30.15,30.15,29.14,295.0,23.8,3357326,97843136.2,2571,SALASAR
2022-10-19,EQ,30.5,31.35,29.2,30.1,29.2,29.4,30.22,295.0,23.8,490850,14834140.6,2166,SALASAR
2022-10-18,EQ,28.4,30.35,28.35,28.35,30.2,30.1,29.69,295.0,23.8,1226121,36402417.4,2075,SALASAR
2022-10-17,EQ,28.55,29.0,28.0,28.75,28.3,28.35,28.29,295.0,23.8,533372,15090893.7,1494,SALASAR
2022-10-14,EQ,29.15,29.25,28.55,28.7,28.95,28.75,28.92,295.0,23.8,225757,6528518.65,1045,SALASAR
2022-10-13,EQ,28.7,29.05,28.35,28.95,28.95,28.7,28.64,295.0,23.8,215370,6167279.0,1107,SALASAR
2022-10-12,EQ,29.8,29.9,28.6,29.5,29.0,28.95,28.98,295.0,23.8,706770,20484879.3,1506,SALASAR
2022-10-11,EQ,30.35,30.35,29.3,29.95,29.55,29.5,29.57,295.0,23.8,2306586,68209911.5,1118,SALASAR
2022-10-10,EQ,29.55,31.0,29.4,30.0,30.0,29.95,30.02,295.0,23.8,562607,16887239.15,1766,SALASAR
2022-10-07,EQ,29.95,30.65,29.7,29.8,30.0,30.0,30.1,295.0,23.8,1740937,52410269.7,1423,SALASAR
2022-10-06,EQ,30.2,30.7,29.5,30.0,29.8,29.8,29.87,295.0,23.8,1686403,50372825.45,1780,SALASAR
2022-10-04,EQ,30.3,31.0,29.6,30.1,29.95,30.0,30.31,295.0,23.8,691891,20969068.75,1658,SALASAR
2022-10-03,EQ,30.0,31.45,29.95,30.4,30.15,30.1,30.58,295.0,23.8,317330,9703630.25,1548,SALASAR
2022-09-30,EQ,29.85,30.95,29.5,29.7,30.3,30.4,30.2,295.0,23.8,254138,7674560.05,1145,SALASAR
2022-09-29,EQ,30.25,30.8,29.25,30.1,29.9,29.7,29.94,295.0,23.8,184945,5536875.9,1200,SALASAR
2022-09-28,EQ,29.85,31.2,29.7,30.2,29.95,30.1,30.43,295.0,23.8,258143,7855563.5,1222,SALASAR
2022-09-27,EQ,30.85,31.15,29.85,30.55,30.25,30.2,30.37,295.0,23.8,285664,8675127.65,1429,SALASAR
2022-09-26,EQ,32.0,32.0,29.75,31.95,30.85,30.55,30.61,295.0,23.8,512850,15699610.4,2565,SALASAR
2022-09-23,EQ,32.95,32.95,31.5,32.75,32.3,31.95,32.11,310.0,23.8,278513,8943746.25,1625,SALASAR
2022-09-22,EQ,32.6,33.35,32.1,32.35,32.75,32.75,32.62,310.0,23.8,221593,7228826.75,1211,SALASAR
2022-09-21,EQ,33.2,33.35,32.1,33.05,32.45,32.35,32.6,310.0,23.8,305917,9973286.4,1435,SALASAR
2022-09-20,EQ,33.2,33.7,32.65,33.15,33.25,33.05,33.13,310.0,23.8,395747,13111976.7,1573,SALASAR
2022-09-19,EQ,33.1,34.15,33.0,33.1,33.1,33.15,33.52,310.0,23.8,413452,13860275.65,1789,SALASAR
2022-09-16,EQ,34.4,34.4,32.65,34.1,33.15,33.1,33.48,310.0,23.8,925016,30971587.55,2868,SALASAR
2022-09-15,EQ,33.0,35.0,32.55,33.1,34.15,34.1,33.93,310.0,23.8,1868479,63402023.25,4721,SALASAR
2022-09-14,EQ,33.0,34.25,32.5,33.55,33.2,33.1,33.39,310.0,23.8,539552,18013179.7,3266,SALASAR
