DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2020-05-18,EQ,2.4,2.4,2.4,2.3,2.4,2.4,2.4,8.45,1.1,1258,3019.2,9,SATHAISPAT
2020-05-15,EQ,2.25,2.3,2.25,2.2,2.3,2.3,2.29,8.45,1.1,7000,16050.0,11,SATHAISPAT
2020-05-14,EQ,2.2,2.2,2.2,2.1,2.2,2.2,2.2,8.45,1.1,5039,11085.8,13,SATHAISPAT
2020-05-13,EQ,2.0,2.1,2.0,2.0,2.1,2.1,2.09,8.45,1.1,3585,7500.0,19,SATHAISPAT
2020-05-12,EQ,2.0,2.0,1.95,1.95,2.0,2.0,2.0,8.45,1.1,6433,12855.0,13,SATHAISPAT
2020-05-11,EQ,1.95,1.95,1.95,1.9,1.95,1.95,1.95,8.45,1.1,6736,13135.2,10,SATHAISPAT
2020-05-07,EQ,1.9,1.9,1.9,1.85,1.9,1.9,1.9,8.45,1.1,5,9.5,1,SATHAISPAT
2020-05-06,EQ,1.85,1.85,1.85,1.8,1.85,1.85,1.85,8.45,1.1,1200,2220.0,2,SATHAISPAT
2020-05-05,EQ,1.8,1.8,1.8,1.75,1.8,1.8,1.8,8.45,1.1,1066,1918.8,8,SATHAISPAT
2020-05-04,EQ,1.75,1.75,1.75,1.75,1.75,1.75,1.75,8.45,1.1,1000,1750.0,4,SATHAISPAT
2020-04-30,EQ,1.75,1.75,1.75,1.7,1.75,1.75,1.75,8.45,1.1,285,498.75,3,SATHAISPAT
2020-04-29,EQ,1.7,1.7,1.7,1.65,1.7,1.7,1.7,8.45,1.1,21,35.7,2,SATHAISPAT
2020-04-28,EQ,1.65,1.65,1.65,1.6,1.65,1.65,1.65,8.45,1.1,54,89.1,3,SATHAISPAT
2020-04-27,EQ,1.55,1.6,1.5,1.55,1.6,1.6,1.53,8.45,1.1,2581,3950.55,10,SATHAISPAT
2020-04-24,EQ,1.55,1.55,1.55,1.5,1.55,1.55,1.55,8.45,1.1,10,15.5,1,SATHAISPAT
2020-04-23,EQ,1.6,1.6,1.5,1.55,1.5,1.5,1.55,8.45,1.1,5680,8826.45,7,SATHAISPAT
2020-04-22,EQ,1.55,1.55,1.55,1.55,1.55,1.55,1.55,8.45,1.1,200,310.0,1,SATHAISPAT
2020-04-21,EQ,1.55,1.6,1.55,1.55,1.55,1.55,1.59,8.45,1.1,4280,6806.95,15,SATHAISPAT
2020-04-20,EQ,1.55,1.55,1.55,1.5,1.55,1.55,1.55,8.45,1.1,1507,2335.85,4,SATHAISPAT
2020-04-16,EQ,1.5,1.5,1.5,1.45,1.5,1.5,1.5,8.45,1.1,120,180.0,2,SATHAISPAT
2020-04-15,EQ,1.45,1.45,1.45,1.4,1.45,1.45,1.45,9.5,1.1,1204,1745.8,5,SATHAISPAT
2020-04-13,EQ,1.3,1.4,1.3,1.35,1.4,1.4,1.4,10.0,1.1,4742,6638.5,12,SATHAISPAT
2020-04-09,EQ,1.35,1.35,1.35,1.3,1.35,1.35,1.35,10.0,1.1,302,407.7,2,SATHAISPAT
2020-04-08,EQ,1.2,1.3,1.2,1.25,1.3,1.3,1.3,10.0,1.1,4325,5622.4,3,SATHAISPAT
2020-04-01,EQ,1.2,1.25,1.2,1.25,1.25,1.25,1.2,10.2,1.1,1240,1493.0,3,SATHAISPAT
2020-03-30,EQ,1.25,1.25,1.2,1.25,1.25,1.25,1.25,11.4,1.1,321,400.25,3,SATHAISPAT
2020-03-27,EQ,1.25,1.25,1.2,1.25,1.25,1.25,1.24,11.4,1.1,400,495.0,3,SATHAISPAT
2020-03-26,EQ,1.25,1.25,1.2,1.2,1.2,1.25,1.25,11.4,1.1,7251,9028.7,58,SATHAISPAT
2020-03-25,EQ,1.3,1.3,1.2,1.25,1.2,1.2,1.28,11.4,1.1,510,652.0,4,SATHAISPAT
2020-03-24,EQ,1.2,1.25,1.2,1.2,1.25,1.25,1.2,11.4,1.1,139,167.25,5,SATHAISPAT
2020-03-23,EQ,1.15,1.2,1.1,1.15,1.2,1.2,1.19,11.4,1.1,226,269.45,4,SATHAISPAT
2020-03-20,EQ,1.15,1.15,1.15,1.2,1.15,1.15,1.15,11.4,1.15,8809,10130.35,18,SATHAISPAT
2020-03-19,EQ,1.2,1.2,1.2,1.2,1.2,1.2,1.2,11.4,1.15,614,736.8,4,SATHAISPAT
2020-03-18,EQ,1.2,1.2,1.2,1.2,1.2,1.2,1.2,11.45,1.15,1331,1597.2,7,SATHAISPAT
2020-03-17,EQ,1.3,1.3,1.2,1.25,1.2,1.2,1.28,11.45,1.15,3205,4097.0,11,SATHAISPAT
2020-03-16,EQ,1.3,1.3,1.2,1.25,1.2,1.25,1.25,11.6,1.15,29568,36841.35,34,SATHAISPAT
2020-03-13,EQ,1.15,1.25,1.15,1.2,1.25,1.25,1.18,12.4,1.15,28806,34134.8,22,SATHAISPAT
2020-03-12,EQ,1.2,1.2,1.2,1.25,1.2,1.2,1.2,12.4,1.2,17880,21456.0,13,SATHAISPAT
2020-03-11,EQ,1.25,1.25,1.25,1.3,1.25,1.25,1.25,12.4,1.25,9308,11635.0,8,SATHAISPAT
2020-01-01,EQ,2.2,2.2,2.2,2.1,2.2,2.2,2.2,12.75,1.45,1258,2767.6,5,SATHAISPAT
