DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2022-12-30,EQ,170.6,177.5,170.6,170.4,173.0,173.5,173.5,205.0,92.3,73167,12694255.5,2954,SCHAND
2022-12-29,EQ,170.0,174.0,166.0,168.5,169.65,170.4,170.0,205.0,92.3,48644,8269279.0,2366,SCHAND
2022-12-28,EQ,166.9,173.0,161.9,165.9,168.5,168.5,167.79,205.0,92.3,94164,15800084.25,3900,SCHAND
2022-12-27,EQ,159.1,168.55,159.1,161.5,165.0,165.9,165.66,205.0,92.3,74328,12312946.15,2224,SCHAND
2022-12-26,EQ,155.95,162.8,155.05,156.85,161.0,161.5,160.27,205.0,92.3,46198,7403923.35,2279,SCHAND
2022-12-23,EQ,163.25,163.25,156.0,163.7,156.5,156.85,158.9,205.0,92.3,122117,19403849.4,3022,SCHAND
2022-12-22,EQ,171.0,173.0,158.2,166.85,164.65,163.7,164.0,205.0,92.3,124924,20487993.8,4856,SCHAND
2022-12-21,EQ,176.15,179.45,165.1,176.15,167.0,166.85,170.27,205.0,92.3,124373,21177573.55,3469,SCHAND
2022-12-20,EQ,181.7,182.0,174.9,179.9,175.5,176.15,176.7,205.0,92.3,48497,8569307.5,1660,SCHAND
2022-12-19,EQ,179.4,182.0,175.0,177.55,182.0,179.9,178.23,205.0,92.3,41430,7384035.9,1958,SCHAND
2022-12-16,EQ,174.95,179.85,171.3,175.05,178.0,177.55,176.32,205.0,92.3,97368,17168108.3,3427,SCHAND
2022-12-15,EQ,180.85,180.85,174.0,179.15,174.0,175.05,176.46,205.0,92.3,43856,7738964.45,1993,SCHAND
2022-12-14,EQ,180.45,181.2,178.0,178.45,179.95,179.15,179.26,205.0,92.3,32085,5751409.6,1487,SCHAND
2022-12-13,EQ,179.35,184.6,177.6,177.35,178.55,178.45,180.81,205.0,92.3,74873,13538143.05,3033,SCHAND
2022-12-12,EQ,177.75,185.35,173.3,176.9,179.0,177.35,178.65,205.0,92.3,133507,23850642.25,3833,SCHAND
2022-12-09,EQ,183.9,185.35,175.0,181.85,178.5,176.9,179.24,205.0,92.3,179660,32202345.35,5059,SCHAND
2022-12-08,EQ,186.0,187.85,178.55,187.35,183.1,181.85,184.65,205.0,92.3,114147,21076994.7,6039,SCHAND
2022-12-07,EQ,198.0,198.0,184.0,196.4,184.0,187.35,191.03,205.0,92.3,122772,23453088.1,3500,SCHAND
2022-12-06,EQ,191.0,197.45,190.35,191.05,196.9,196.4,195.17,205.0,92.3,102911,20084816.1,2826,SCHAND
2022-12-05,EQ,200.85,200.9,183.0,196.6,191.1,191.05,193.75,205.0,92.3,107294,20788431.5,3543,SCHAND
2022-12-02,EQ,196.0,198.65,193.1,195.95,196.2,196.6,195.75,205.0,92.3,122126,23906595.4,3346,SCHAND
2022-12-01,EQ,191.6,201.9,190.0,190.55,196.0,195.95,198.23,205.0,92.3,544485,107933081.9,11268,SCHAND
2022-11-30,EQ,194.0,196.05,188.5,194.0,191.0,190.55,193.24,205.0,92.3,167839,32433948.0,5568,SCHAND
2022-11-29,EQ,184.35,197.9,182.3,182.8,193.0,194.0,193.35,205.0,92.3,462885,89500467.8,10042,SCHAND
2022-11-28,EQ,183.0,187.5,178.0,179.5,183.0,182.8,183.62,205.0,92.3,148513,27269431.05,7505,SCHAND
2022-11-25,EQ,181.9,184.5,177.6,180.9,179.15,179.5,180.29,205.0,92.3,84883,15303507.95,4587,SCHAND
2022-11-24,EQ,182.05,186.0,179.2,182.0,180.5,180.9,182.39,205.0,92.3,81709,14902651.3,3927,SCHAND
2022-11-23,EQ,190.0,190.2,181.1,189.05,182.45,182.0,184.23,205.0,92.3,98489,18144892.3,4019,SCHAND
2022-11-22,EQ,176.0,190.5,173.15,178.0,188.4,189.05,185.09,205.0,92.3,455898,84381786.1,11637,SCHAND
2022-11-21,EQ,170.1,187.5,170.1,171.15,176.6,178.0,180.42,205.0,92.3,421822,76103552.2,11526,SCHAND
2022-11-18,EQ,173.65,175.45,170.0,172.05,171.15,171.15,171.82,205.0,92.3,61005,10481889.95,3428,SCHAND
2022-11-17,EQ,166.85,172.95,166.0,169.15,172.5,172.05,170.55,205.0,92.3,77965,13296926.7,3807,SCHAND
2022-11-16,EQ,169.9,171.25,165.0,168.8,168.5,169.15,168.4,205.0,92.3,93330,15716317.25,5222,SCHAND
2022-11-15,EQ,165.0,172.5,162.0,164.8,169.55,168.8,168.87,205.0,92.3,161133,27209735.85,5443,SCHAND
2022-11-14,EQ,165.0,166.9,155.0,170.65,164.0,164.8,160.24,205.0,92.3,289377,46369287.85,7383,SCHAND
2022-11-11,EQ,172.0,174.5,168.8,169.95,171.5,170.65,170.9,205.0,92.3,75801,12954212.9,2118,SCHAND
2022-11-10,EQ,165.1,174.35,163.55,165.65,171.85,169.95,169.78,205.0,92.3,151397,25704748.3,3831,SCHAND
2022-11-09,EQ,166.4,169.35,164.0,163.35,167.0,165.65,166.5,205.0,92.3,71625,11925281.95,2938,SCHAND
2022-11-07,EQ,167.25,169.8,162.1,166.35,163.95,163.35,164.8,205.0,92.3,51578,8500075.05,2474,SCHAND
2022-11-04,EQ,167.65,169.35,161.0,166.85,166.5,166.35,164.8,205.0,92.3,106324,17522577.6,3502,SCHAND
