DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2022-12-30,EQ,68.5,68.5,63.85,67.2,64.0,64.3,64.85,135.2,50.1,27321,1771788.85,431,SHAHALLOYS
2022-12-29,EQ,67.0,69.0,65.8,65.75,67.3,67.2,67.78,135.2,50.1,59113,4006735.2,674,SHAHALLOYS
2022-12-28,EQ,63.0,65.75,62.65,62.65,65.75,65.75,64.21,135.2,50.1,14620,938686.9,201,SHAHALLOYS
2022-12-27,EQ,60.0,62.65,59.2,59.7,62.65,62.65,61.46,135.2,50.1,25469,1565325.6,369,SHAHALLOYS
2022-12-26,EQ,59.65,62.1,59.65,62.75,59.65,59.7,60.17,135.2,50.1,136854,8233861.65,865,SHAHALLOYS
2022-12-23,EQ,62.75,65.6,62.75,66.05,62.75,62.75,62.84,135.2,50.1,6300,395864.35,61,SHAHALLOYS
2022-12-22,EQ,66.05,68.35,66.05,69.5,66.05,66.05,66.2,135.2,50.1,40089,2653953.55,231,SHAHALLOYS
2022-12-21,EQ,70.0,71.05,69.5,73.15,69.5,69.5,69.74,135.2,50.1,14874,1037329.95,156,SHAHALLOYS
2022-12-20,EQ,76.45,76.45,73.15,77.0,73.15,73.15,73.83,135.2,50.1,18875,1393602.9,202,SHAHALLOYS
2022-12-19,EQ,75.0,77.5,71.55,73.85,76.5,77.0,76.08,135.2,50.1,150039,11414881.7,1420,SHAHALLOYS
2022-12-16,EQ,69.95,73.85,69.95,67.15,73.85,73.85,72.91,135.2,50.1,279971,20412036.5,2150,SHAHALLOYS
2022-12-15,EQ,61.05,67.15,61.05,61.05,67.15,67.15,65.69,135.2,50.1,96022,6307262.05,1072,SHAHALLOYS
2022-12-14,EQ,59.0,61.55,58.9,59.0,61.0,61.05,60.96,135.2,50.1,50128,3055804.8,449,SHAHALLOYS
2022-12-13,EQ,60.0,61.0,58.1,58.95,59.4,59.0,59.71,135.2,50.1,11130,664603.5,270,SHAHALLOYS
2022-12-12,EQ,57.65,60.4,56.8,57.2,58.25,58.95,59.1,135.2,50.1,22894,1353088.95,436,SHAHALLOYS
2022-12-09,EQ,57.55,58.95,56.65,58.0,57.2,57.2,57.37,135.2,50.1,10191,584639.65,145,SHAHALLOYS
