DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2021-11-18,EQ,3.2,3.3,3.1,3.15,3.15,3.15,3.18,5.1,2.05,189847,603528.6,206,SKIL
2021-11-17,EQ,3.15,3.25,3.1,3.2,3.15,3.15,3.15,5.1,2.05,143517,452408.65,141,SKIL
2021-11-16,EQ,3.2,3.2,3.1,3.25,3.2,3.2,3.15,5.1,2.05,182575,574649.45,240,SKIL
2021-11-15,EQ,3.4,3.45,3.25,3.4,3.25,3.25,3.29,5.1,2.05,311427,1025294.8,214,SKIL
2021-11-12,EQ,3.5,3.65,3.35,3.5,3.35,3.4,3.49,5.1,2.05,772363,2696819.15,372,SKIL
2021-11-11,EQ,3.6,3.7,3.45,3.6,3.45,3.5,3.54,5.1,2.05,616382,2180749.55,322,SKIL
2021-11-10,EQ,3.65,3.8,3.55,3.65,3.6,3.6,3.63,5.1,2.05,691069,2506002.6,288,SKIL
2021-11-09,EQ,3.75,3.75,3.65,3.8,3.65,3.65,3.67,5.1,2.05,225647,827670.2,267,SKIL
2021-11-08,EQ,4.05,4.1,3.8,3.95,3.8,3.8,3.93,5.1,2.05,274244,1077349.4,228,SKIL
2021-11-04,EQ,3.95,3.95,3.85,3.8,3.95,3.95,3.92,5.1,2.05,16576,65016.25,48,SKIL
2021-11-03,EQ,3.85,3.9,3.75,3.8,3.75,3.8,3.8,5.1,2.05,60857,231558.0,59,SKIL
2021-11-02,EQ,3.9,3.95,3.75,3.8,3.75,3.8,3.84,5.1,2.05,483533,1858185.2,299,SKIL
2021-11-01,EQ,3.65,3.95,3.65,3.8,3.8,3.8,3.83,5.1,2.05,747289,2859415.1,359,SKIL
2021-10-29,EQ,4.1,4.1,3.8,3.95,3.8,3.8,3.85,5.1,2.05,156682,602620.85,144,SKIL
2021-10-28,EQ,4.05,4.05,3.85,3.9,4.0,3.95,4.0,5.1,2.05,128035,512094.05,145,SKIL
2021-10-27,EQ,3.8,3.9,3.7,3.75,3.9,3.9,3.86,5.1,2.05,107003,412967.2,169,SKIL
2021-10-26,EQ,4.0,4.0,3.75,3.9,3.8,3.75,3.76,5.1,2.05,233885,879371.75,181,SKIL
2021-10-25,EQ,4.05,4.1,3.8,3.95,3.85,3.9,3.86,5.1,2.05,1610761,6214397.95,379,SKIL
2021-10-22,EQ,4.25,4.3,3.95,4.15,3.95,3.95,4.02,5.1,2.05,615368,2472053.5,329,SKIL
2021-10-21,EQ,4.05,4.3,3.95,4.15,4.15,4.15,4.07,5.1,2.05,42150,171548.0,97,SKIL
2021-10-20,EQ,4.1,4.45,4.1,4.25,4.25,4.15,4.27,5.1,2.05,119368,509213.85,180,SKIL
2021-10-19,EQ,4.45,4.5,4.2,4.35,4.25,4.25,4.27,5.1,2.05,143922,614625.8,189,SKIL
2021-10-18,EQ,4.5,4.65,4.3,4.45,4.3,4.35,4.51,5.1,2.05,92822,418738.2,209,SKIL
2021-10-14,EQ,4.6,4.6,4.35,4.45,4.35,4.45,4.5,5.1,2.05,179730,808628.45,291,SKIL
2021-10-13,EQ,4.7,4.7,4.35,4.5,4.45,4.45,4.59,5.1,2.05,103127,472877.25,285,SKIL
2021-10-12,EQ,4.7,4.8,4.5,4.7,4.5,4.5,4.52,5.1,2.05,212505,960536.05,191,SKIL
2021-10-11,EQ,5.1,5.1,4.7,4.9,4.7,4.7,4.8,5.1,2.05,376551,1808248.05,517,SKIL
2021-10-08,EQ,4.9,4.9,4.9,4.7,4.9,4.9,4.9,5.1,2.05,50243,246190.7,41,SKIL
2021-10-07,EQ,4.7,4.7,4.7,4.5,4.7,4.7,4.7,5.1,2.05,22041,103592.7,30,SKIL
2021-10-06,EQ,4.5,4.5,4.5,4.3,4.5,4.5,4.5,5.1,2.05,163712,736704.0,42,SKIL
2021-10-05,EQ,4.3,4.3,4.3,4.1,4.3,4.3,4.3,5.1,2.05,15426,66331.8,27,SKIL
2021-10-04,EQ,4.1,4.1,4.1,3.95,4.1,4.1,4.1,5.1,2.05,36682,150396.2,44,SKIL
2021-10-01,EQ,3.85,3.95,3.75,3.8,3.95,3.95,3.89,5.1,2.05,216347,840570.1,123,SKIL
2021-09-30,EQ,3.8,3.85,3.75,3.7,3.85,3.8,3.82,5.1,2.05,66125,252523.55,172,SKIL
2021-09-29,EQ,3.6,3.7,3.55,3.55,3.7,3.7,3.65,5.1,2.05,58133,212113.9,87,SKIL
2021-09-28,EQ,3.7,3.7,3.45,3.6,3.6,3.55,3.51,5.1,2.05,148588,521258.75,124,SKIL
2021-09-27,EQ,3.9,3.9,3.6,3.75,3.6,3.6,3.65,5.1,2.05,226494,827483.8,189,SKIL
2021-09-24,EQ,3.65,3.85,3.65,3.7,3.85,3.75,3.76,5.1,2.05,117661,442712.45,75,SKIL
2021-09-23,EQ,3.8,3.8,3.6,3.7,3.7,3.7,3.67,5.1,2.05,91376,335020.2,104,SKIL
2021-09-22,EQ,3.8,3.8,3.65,3.8,3.7,3.7,3.69,5.1,2.05,143688,529660.65,130,SKIL
2021-09-21,EQ,3.8,3.85,3.65,3.7,3.75,3.8,3.77,5.1,2.05,74477,281128.35,91,SKIL
2021-09-20,EQ,3.75,3.9,3.7,3.8,3.7,3.7,3.76,5.1,2.05,72433,272688.25,95,SKIL
2021-09-17,EQ,3.85,3.9,3.75,3.8,3.75,3.8,3.82,5.1,2.05,34985,133522.7,80,SKIL
2021-09-16,EQ,3.95,3.95,3.75,3.85,3.85,3.8,3.85,5.1,2.05,39395,151612.35,81,SKIL
2021-09-15,EQ,3.9,3.9,3.7,3.85,3.85,3.85,3.77,5.1,2.05,149956,565083.65,139,SKIL
2021-09-14,EQ,3.75,3.85,3.75,3.8,3.8,3.85,3.8,5.1,2.05,48689,184819.65,67,SKIL
2021-09-13,EQ,4.0,4.0,3.75,3.9,3.8,3.8,3.82,5.1,2.05,130081,497497.5,119,SKIL
2021-09-09,EQ,3.9,4.0,3.8,3.85,3.8,3.9,3.91,5.1,2.05,97325,380884.55,97,SKIL
2021-09-08,EQ,4.0,4.0,3.8,3.9,3.9,3.85,3.84,5.1,2.05,131928,506015.15,101,SKIL
2021-09-07,EQ,3.7,3.9,3.7,3.8,3.9,3.9,3.8,5.1,2.05,110888,421805.85,139,SKIL
2021-09-06,EQ,4.05,4.05,3.75,3.9,3.75,3.8,3.83,5.1,2.05,139618,535394.45,159,SKIL
2021-09-03,EQ,4.2,4.2,3.8,4.0,3.85,3.9,3.94,5.1,2.05,436758,1719585.25,370,SKIL
2021-09-02,EQ,4.0,4.0,3.8,3.85,4.0,4.0,3.98,5.1,2.05,44917,178928.1,76,SKIL
2021-09-01,EQ,3.85,4.2,3.85,4.05,3.9,3.85,3.98,5.1,2.05,129723,516689.2,193,SKIL
2021-08-31,EQ,4.45,4.45,4.05,4.25,4.05,4.05,4.09,5.1,2.05,107137,438489.95,188,SKIL
2021-08-30,EQ,4.25,4.25,3.95,4.05,4.25,4.25,4.23,5.1,2.05,206922,874766.95,184,SKIL
2021-08-27,EQ,4.05,4.05,4.05,3.9,4.05,4.05,4.05,5.1,2.05,46294,187490.7,41,SKIL
2021-08-26,EQ,3.9,3.9,3.85,3.75,3.9,3.9,3.9,5.1,2.05,16025,62492.75,47,SKIL
2021-08-25,EQ,3.6,3.75,3.55,3.6,3.75,3.75,3.72,5.1,2.05,16308,60712.25,40,SKIL
2021-08-24,EQ,3.4,3.6,3.3,3.45,3.6,3.6,3.49,5.1,2.05,30206,105462.2,59,SKIL
2021-08-23,EQ,3.75,3.75,3.45,3.6,3.45,3.45,3.51,5.1,2.05,69713,244429.15,136,SKIL
2021-08-20,EQ,3.4,3.6,3.3,3.45,3.6,3.6,3.47,5.1,2.05,116043,402205.55,144,SKIL
2021-08-18,EQ,3.6,3.65,3.45,3.6,3.45,3.45,3.49,5.1,2.05,65462,228239.75,77,SKIL
2021-08-17,EQ,3.9,3.9,3.6,3.75,3.6,3.6,3.62,5.1,2.05,113228,409396.8,75,SKIL
2021-08-16,EQ,4.05,4.05,3.75,3.9,3.75,3.75,3.89,5.1,2.05,122036,474273.4,133,SKIL
2021-08-13,EQ,3.9,3.9,3.9,3.75,3.9,3.9,3.9,5.1,2.05,24595,95920.5,28,SKIL
2021-08-12,EQ,3.55,3.75,3.5,3.6,3.75,3.75,3.65,5.1,2.05,101258,369507.0,119,SKIL
2021-08-11,EQ,3.6,3.7,3.6,3.75,3.6,3.6,3.63,5.1,2.05,46253,167760.8,80,SKIL
2021-08-10,EQ,3.8,3.85,3.75,3.9,3.75,3.75,3.77,5.1,2.05,268710,1014357.8,116,SKIL
2021-08-09,EQ,3.9,4.3,3.9,4.1,3.9,3.9,3.96,5.1,2.05,108530,429533.8,140,SKIL
2021-08-06,EQ,4.1,4.1,4.1,4.3,4.1,4.1,4.1,5.1,2.05,91775,376277.5,74,SKIL
2021-08-05,EQ,4.3,4.3,4.3,4.5,4.3,4.3,4.3,5.1,2.05,84929,365194.7,73,SKIL
2021-08-04,EQ,4.9,4.9,4.5,4.7,4.5,4.5,4.68,5.1,2.05,511801,2396663.55,338,SKIL
2021-08-03,EQ,4.7,4.7,4.3,4.5,4.7,4.7,4.67,5.1,2.05,942969,4406551.45,433,SKIL
2021-08-02,EQ,4.5,4.5,4.5,4.3,4.5,4.5,4.5,5.1,2.05,80459,362065.5,31,SKIL
2021-07-30,EQ,4.3,4.3,4.3,4.1,4.3,4.3,4.3,5.1,2.05,100477,432051.1,42,SKIL
2021-07-29,EQ,4.1,4.1,4.1,3.95,4.1,4.1,4.1,5.1,2.05,15256,62549.6,29,SKIL
2021-07-28,EQ,3.95,3.95,3.95,3.8,3.95,3.95,3.95,5.1,2.05,185336,732077.2,150,SKIL
2021-07-27,EQ,3.8,3.8,3.8,3.65,3.8,3.8,3.8,5.1,2.05,40020,152076.0,34,SKIL
2021-07-26,EQ,3.65,3.65,3.65,3.5,3.65,3.65,3.65,5.1,2.05,43876,160147.4,30,SKIL
2021-07-23,EQ,3.35,3.5,3.35,3.35,3.5,3.5,3.48,5.1,2.05,160200,558132.45,92,SKIL
2021-07-22,EQ,3.35,3.45,3.25,3.35,3.35,3.35,3.38,5.1,2.05,328603,1110157.45,232,SKIL
2021-07-20,EQ,3.45,3.6,3.35,3.5,3.35,3.35,3.39,5.1,2.05,222972,755700.65,190,SKIL
2021-06-16,EQ,5.1,5.1,4.9,4.9,5.1,5.1,5.08,5.1,2.05,260820,1326186.65,204,SKIL
2021-06-15,EQ,4.9,4.9,4.5,4.7,4.9,4.9,4.73,4.9,2.05,972451,4597209.8,569,SKIL
2021-06-14,EQ,4.7,4.7,4.7,4.5,4.7,4.7,4.7,4.7,2.05,59921,281628.7,43,SKIL
2021-06-11,EQ,4.5,4.5,4.5,4.3,4.5,4.5,4.5,4.5,2.05,312030,1404135.0,42,SKIL
2021-06-10,EQ,4.3,4.3,4.3,4.1,4.3,4.3,4.3,4.3,2.05,29826,128251.8,25,SKIL
2021-06-09,EQ,4.1,4.1,4.1,3.95,4.1,4.1,4.1,4.1,2.05,44535,182593.5,33,SKIL
2021-06-08,EQ,3.95,3.95,3.95,3.8,3.95,3.95,3.95,3.95,2.05,52105,205814.75,25,SKIL
2021-06-07,EQ,3.8,3.8,3.5,3.65,3.8,3.8,3.73,3.95,2.05,327845,1222756.7,168,SKIL
2021-06-04,EQ,3.5,3.65,3.5,3.5,3.65,3.65,3.64,3.95,2.05,59563,216941.0,42,SKIL
2021-06-03,EQ,3.5,3.5,3.35,3.35,3.5,3.5,3.47,3.95,2.05,160166,556454.55,224,SKIL
2021-06-02,EQ,3.35,3.35,3.3,3.2,3.35,3.35,3.35,3.95,2.05,140550,470538.5,141,SKIL
2021-06-01,EQ,3.1,3.2,3.1,3.05,3.15,3.2,3.19,3.95,2.05,202169,644912.05,202,SKIL
2021-05-31,EQ,3.05,3.05,2.95,2.95,3.05,3.05,3.02,3.95,2.05,146637,442944.3,209,SKIL
2021-05-28,EQ,2.95,2.95,2.8,2.85,2.95,2.95,2.94,3.95,2.05,480263,1410132.55,233,SKIL
2021-05-27,EQ,2.85,2.85,2.85,2.75,2.85,2.85,2.85,3.95,2.05,46761,133268.85,26,SKIL
2021-05-26,EQ,2.75,2.85,2.7,2.75,2.85,2.75,2.81,3.95,2.05,138245,388531.7,174,SKIL
2021-05-25,EQ,2.95,2.95,2.75,2.85,2.75,2.75,2.77,3.95,2.05,138397,383880.9,149,SKIL
2021-05-24,EQ,2.75,2.85,2.7,2.75,2.85,2.85,2.82,3.95,2.05,105328,296689.9,149,SKIL
2021-05-21,EQ,2.8,2.8,2.65,2.75,2.75,2.75,2.74,3.95,2.05,34744,95370.15,114,SKIL
2021-05-20,EQ,2.7,2.75,2.55,2.65,2.75,2.75,2.63,3.95,2.05,101248,266482.6,114,SKIL
2021-05-19,EQ,2.75,2.75,2.6,2.7,2.7,2.65,2.67,5.5,2.05,29867,79811.3,79,SKIL
2021-05-18,EQ,2.9,2.9,2.7,2.8,2.75,2.7,2.77,5.5,2.05,97016,268379.7,150,SKIL
2021-05-17,EQ,2.8,2.85,2.8,2.75,2.8,2.8,2.84,5.5,2.05,47244,134351.9,95,SKIL
2021-05-14,EQ,2.8,2.8,2.65,2.7,2.75,2.75,2.79,5.5,2.05,63534,177045.2,73,SKIL
2021-05-12,EQ,2.65,2.8,2.6,2.7,2.75,2.7,2.71,5.5,2.05,162536,440170.95,136,SKIL
2021-05-11,EQ,2.7,2.7,2.55,2.6,2.7,2.7,2.63,5.5,2.05,64959,170758.35,92,SKIL
2021-05-10,EQ,2.55,2.65,2.5,2.55,2.6,2.6,2.59,5.5,2.05,149794,388261.45,106,SKIL
2021-05-07,EQ,2.6,2.65,2.45,2.55,2.55,2.55,2.53,5.5,2.05,87904,222335.5,71,SKIL
2021-05-06,EQ,2.55,2.6,2.5,2.6,2.55,2.55,2.56,5.5,2.05,15443,39499.1,73,SKIL
2021-05-05,EQ,2.7,2.7,2.6,2.7,2.6,2.6,2.61,5.5,2.05,65612,171068.9,68,SKIL
2021-05-04,EQ,2.7,2.7,2.65,2.6,2.7,2.7,2.7,5.5,2.05,25837,69742.15,39,SKIL
2021-05-03,EQ,2.55,2.6,2.45,2.5,2.6,2.6,2.57,5.5,2.05,36336,93311.7,45,SKIL
2021-04-30,EQ,2.55,2.6,2.45,2.5,2.55,2.5,2.5,5.5,2.05,33099,82640.15,68,SKIL
2021-04-29,EQ,2.65,2.65,2.5,2.55,2.55,2.5,2.57,5.5,2.05,40029,102726.75,72,SKIL
2021-04-28,EQ,2.5,2.55,2.45,2.45,2.55,2.55,2.52,5.5,2.05,50182,126433.05,59,SKIL
2021-04-27,EQ,2.55,2.55,2.4,2.45,2.45,2.45,2.48,5.5,2.05,24721,61211.95,54,SKIL
2021-01-13,EQ,3.35,3.65,3.35,3.5,3.65,3.65,3.6,5.5,2.05,86408,311112.8,103,SKIL
2021-01-12,EQ,3.5,3.8,3.5,3.65,3.5,3.5,3.53,5.5,2.05,337746,1193025.35,269,SKIL
2021-01-11,EQ,3.95,3.95,3.65,3.8,3.75,3.65,3.74,5.5,2.05,373836,1396458.65,264,SKIL
2021-01-08,EQ,3.8,3.8,3.55,3.65,3.8,3.8,3.78,5.5,2.05,657352,2484855.8,422,SKIL
2021-01-07,EQ,3.65,3.65,3.65,3.5,3.65,3.65,3.65,5.5,2.05,102470,374015.5,57,SKIL
2021-01-06,EQ,3.8,3.8,3.5,3.65,3.5,3.5,3.69,5.5,2.05,1017498,3750139.3,657,SKIL
2021-01-05,EQ,3.65,3.65,3.65,3.5,3.65,3.65,3.65,5.5,2.05,42563,155354.95,31,SKIL
