DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2022-12-30,EQ,84.65,84.7,82.2,84.1,83.0,82.8,83.5,158.85,68.4,27833,2324184.05,497,SMSPHARMA
2022-12-29,EQ,83.55,85.75,83.55,83.55,84.1,84.1,84.54,158.85,68.4,33663,2845962.45,849,SMSPHARMA
2022-12-28,EQ,84.85,85.7,83.25,84.05,83.3,83.55,83.93,158.85,68.4,37945,3184868.9,1045,SMSPHARMA
2022-12-27,EQ,84.95,86.15,82.7,84.95,84.65,84.05,84.46,158.85,68.4,73866,6238373.35,1571,SMSPHARMA
2022-12-26,EQ,82.5,88.5,82.5,80.6,85.1,84.95,85.52,158.85,68.4,232148,19852262.3,3629,SMSPHARMA
2022-12-23,EQ,82.75,88.0,79.35,83.0,81.45,80.6,84.8,158.85,68.4,288861,24495211.15,3431,SMSPHARMA
2022-12-22,EQ,86.2,89.0,82.05,85.85,83.0,83.0,85.9,158.85,68.4,206012,17696122.35,3004,SMSPHARMA
2022-12-21,EQ,82.8,90.85,81.4,81.85,85.5,85.85,87.67,158.85,68.4,575372,50441427.8,5031,SMSPHARMA
2022-12-20,EQ,82.15,82.8,81.4,82.15,81.9,81.85,81.98,158.85,68.4,31645,2594386.15,345,SMSPHARMA
2022-12-19,EQ,82.15,82.95,81.05,81.4,82.0,82.15,82.08,158.85,68.4,26660,2188349.7,314,SMSPHARMA
2022-12-16,EQ,81.4,83.0,81.0,81.95,81.85,81.4,81.71,158.85,68.4,31536,2576686.9,346,SMSPHARMA
2022-12-15,EQ,82.05,82.85,81.45,82.55,81.95,81.95,82.04,158.85,68.4,73908,6063570.6,709,SMSPHARMA
2022-12-14,EQ,82.85,84.1,82.2,82.8,82.55,82.55,83.1,158.85,68.4,25910,2153116.5,366,SMSPHARMA
2022-12-13,EQ,83.6,83.9,82.15,82.9,82.2,82.8,82.78,158.85,68.4,19436,1608943.15,363,SMSPHARMA
2022-12-12,EQ,83.95,84.0,82.0,83.2,82.55,82.9,82.91,158.85,68.4,26345,2184134.9,503,SMSPHARMA
2022-12-09,EQ,84.1,84.1,83.0,83.5,83.4,83.2,83.21,158.85,68.4,39150,3257741.1,312,SMSPHARMA
2022-12-08,EQ,84.75,85.15,83.05,84.0,83.05,83.5,83.77,158.85,68.4,13151,1101674.65,317,SMSPHARMA
2022-12-07,EQ,84.0,85.6,83.0,84.25,84.4,84.0,84.14,158.85,68.4,26906,2263792.45,474,SMSPHARMA
2022-12-06,EQ,86.5,86.5,84.0,85.25,84.9,84.25,84.79,158.85,68.4,21204,1797955.6,382,SMSPHARMA
2022-12-05,EQ,84.65,86.0,84.65,84.65,85.5,85.25,85.35,158.85,68.4,15508,1323653.25,326,SMSPHARMA
2022-12-02,EQ,86.0,86.05,83.35,84.4,84.15,84.65,84.55,158.85,68.4,18209,1539521.15,487,SMSPHARMA
2022-12-01,EQ,86.35,86.35,83.5,85.5,84.35,84.4,84.66,158.85,68.4,37992,3216270.65,729,SMSPHARMA
