DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2022-12-30,EQ,37.65,38.55,37.65,37.75,38.0,37.9,38.14,45.9,24.25,272656,10397885.15,1511,SNOWMAN
2022-12-29,EQ,37.5,38.75,37.3,37.65,37.65,37.75,38.05,45.9,24.25,514230,19568398.7,2070,SNOWMAN
2022-12-28,EQ,37.15,38.4,36.9,37.15,37.8,37.65,37.82,45.9,24.25,623039,23564325.5,2662,SNOWMAN
2022-12-27,EQ,36.7,37.8,36.65,36.4,37.1,37.15,37.23,45.9,24.25,581906,21666529.4,2265,SNOWMAN
2022-12-26,EQ,35.6,37.0,35.55,35.6,36.3,36.4,36.52,45.9,24.25,517179,18886044.25,2020,SNOWMAN
2022-12-23,EQ,38.4,38.4,34.9,37.95,35.65,35.6,36.58,45.9,24.25,855555,31292362.9,3414,SNOWMAN
2022-12-22,EQ,37.9,38.7,36.6,37.85,37.75,37.95,37.65,45.9,24.25,903546,34017505.8,3754,SNOWMAN
2022-12-21,EQ,41.0,41.1,37.0,40.7,37.75,37.85,38.91,45.9,24.25,1539027,59876690.85,5244,SNOWMAN
2022-12-20,EQ,41.05,41.45,39.7,40.75,40.25,40.7,40.41,45.9,24.25,984812,39797033.4,3882,SNOWMAN
2022-12-19,EQ,38.5,41.4,38.15,38.5,40.9,40.75,40.45,45.9,24.25,2334902,94438971.2,8584,SNOWMAN
2022-12-16,EQ,39.3,39.75,38.25,39.1,38.25,38.5,38.98,45.9,24.25,516154,20119214.0,2415,SNOWMAN
2022-12-15,EQ,39.0,40.9,38.5,39.0,39.0,39.1,39.95,45.9,24.25,2079305,83067850.7,7887,SNOWMAN
2022-12-14,EQ,39.5,39.5,38.55,39.2,38.8,39.0,38.99,45.9,24.25,565140,22037622.1,2587,SNOWMAN
2022-12-13,EQ,38.95,39.7,38.3,38.4,39.0,39.2,39.08,45.9,24.25,889996,34782980.8,3960,SNOWMAN
2022-12-12,EQ,38.95,39.25,38.1,38.65,38.5,38.4,38.62,45.9,24.25,418449,16161003.5,2048,SNOWMAN
2022-12-09,EQ,39.4,39.8,38.0,39.2,38.4,38.65,38.7,45.9,24.25,441373,17079357.9,2536,SNOWMAN
2022-12-08,EQ,39.4,39.45,38.55,39.15,39.15,39.2,39.0,45.9,24.25,456776,17815254.15,2121,SNOWMAN
2022-12-07,EQ,39.45,39.75,38.3,39.1,39.0,39.15,39.07,45.9,24.25,884269,34545161.55,4465,SNOWMAN
2022-12-06,EQ,39.5,39.85,38.6,39.2,39.1,39.1,39.15,45.9,24.25,625934,24505985.25,3505,SNOWMAN
2022-12-05,EQ,37.55,39.5,37.0,37.55,39.0,39.2,38.81,45.9,24.25,1286337,49924459.7,6358,SNOWMAN
2022-12-02,EQ,36.7,38.3,36.65,36.7,37.6,37.55,37.59,45.9,24.25,363562,13664582.45,2218,SNOWMAN
2022-12-01,EQ,37.25,37.7,36.65,37.2,36.8,36.7,37.03,45.9,24.25,331260,12267510.15,1891,SNOWMAN
2022-11-30,EQ,37.7,37.8,37.05,37.45,37.25,37.2,37.45,45.9,24.25,180234,6748902.05,1158,SNOWMAN
2022-11-29,EQ,38.25,38.75,37.25,37.95,37.55,37.45,37.87,45.9,24.25,321113,12162085.25,1908,SNOWMAN
2022-11-28,EQ,36.6,38.5,36.5,36.7,38.1,37.95,37.96,45.9,24.25,771398,29284142.85,3855,SNOWMAN
2022-11-25,EQ,37.1,37.35,36.5,36.9,36.8,36.7,36.87,45.9,24.25,259837,9580296.05,1374,SNOWMAN
2022-11-24,EQ,36.7,37.35,36.5,36.5,36.95,36.9,36.98,45.9,24.25,237752,8792126.05,1472,SNOWMAN
2022-11-23,EQ,35.75,36.8,35.45,35.55,36.75,36.5,36.35,45.9,24.25,270548,9833403.9,1637,SNOWMAN
2022-11-22,EQ,35.85,36.15,35.4,35.4,35.75,35.55,35.71,45.9,24.25,155808,5563701.25,1340,SNOWMAN
2022-11-21,EQ,36.4,37.0,35.0,36.45,35.25,35.4,36.01,45.9,24.25,450781,16234510.9,2732,SNOWMAN
2022-11-18,EQ,36.25,37.0,36.15,36.1,36.45,36.45,36.59,45.9,24.25,205119,7505806.5,1555,SNOWMAN
2022-11-17,EQ,36.5,36.95,36.0,36.5,36.1,36.1,36.34,45.9,24.25,238366,8663243.7,1750,SNOWMAN
2022-11-16,EQ,37.5,37.95,36.25,37.5,36.55,36.5,37.01,45.9,24.25,383269,14184229.45,2303,SNOWMAN
2022-11-15,EQ,38.15,38.7,37.3,38.2,37.5,37.5,38.0,45.9,24.25,327589,12448687.95,2082,SNOWMAN
2022-11-14,EQ,38.1,38.9,37.5,37.5,38.15,38.2,38.32,45.9,24.25,438769,16815050.55,2554,SNOWMAN
2022-11-11,EQ,38.7,39.3,37.1,38.45,37.8,37.5,37.93,45.9,24.25,533989,20255980.15,3306,SNOWMAN
2022-11-10,EQ,39.95,40.1,38.2,39.75,38.4,38.45,39.06,45.9,24.25,599188,23402541.25,3177,SNOWMAN
