DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2022-12-30,EQ,9.4,9.4,8.9,9.05,9.3,9.2,9.19,11.15,5.95,68922,633359.35,137,SOMATEX
2022-12-29,EQ,9.4,9.4,8.6,9.0,9.0,9.05,8.91,11.15,5.95,30870,274941.45,123,SOMATEX
2022-12-28,EQ,9.4,9.45,8.9,9.0,8.95,9.0,9.11,11.15,5.95,27118,247128.8,123,SOMATEX
2022-12-27,EQ,9.55,9.55,8.9,9.25,8.9,9.0,9.16,11.15,5.95,59187,542162.25,164,SOMATEX
2022-12-26,EQ,8.75,9.65,8.75,9.2,9.2,9.25,9.29,11.15,5.95,109881,1020623.05,274,SOMATEX
2022-12-23,EQ,9.2,9.2,9.2,9.65,9.2,9.2,9.2,11.15,5.95,33553,308687.6,49,SOMATEX
2022-12-22,EQ,10.05,10.4,9.65,10.15,9.65,9.65,9.73,11.15,5.95,114477,1114067.35,221,SOMATEX
2022-12-21,EQ,11.15,11.15,10.15,10.65,10.15,10.15,10.72,11.15,5.95,309526,3319429.5,770,SOMATEX
2022-12-20,EQ,10.1,10.65,10.1,9.7,10.65,10.65,10.58,10.65,5.95,52357,553806.9,190,SOMATEX
2022-12-19,EQ,9.35,9.7,8.85,8.85,9.7,9.7,9.57,9.7,5.95,79445,759922.45,236,SOMATEX
2022-12-16,EQ,8.55,9.1,8.2,8.3,8.95,8.85,8.88,9.6,5.95,47567,422255.6,177,SOMATEX
2022-12-15,EQ,8.0,8.75,8.0,8.3,8.35,8.3,8.32,9.6,5.95,17576,146204.65,81,SOMATEX
2022-12-14,EQ,8.3,8.85,8.25,8.5,8.25,8.3,8.41,9.6,5.95,18830,158310.85,79,SOMATEX
2022-12-13,EQ,8.85,8.85,8.2,8.55,8.3,8.5,8.49,9.6,5.95,28381,241051.15,123,SOMATEX
2022-12-12,EQ,9.1,9.2,8.15,8.75,8.5,8.55,8.6,9.6,5.95,43024,369925.3,146,SOMATEX
2022-12-09,EQ,8.75,9.6,8.7,9.05,8.8,8.75,9.14,9.6,5.95,133955,1224544.3,428,SOMATEX
2022-12-08,EQ,8.55,9.05,8.3,8.25,9.05,9.05,8.96,9.05,5.95,166425,1490736.65,284,SOMATEX
2022-12-07,EQ,8.0,8.55,7.6,7.8,8.55,8.25,8.1,8.85,5.95,37532,304054.5,134,SOMATEX
2022-12-06,EQ,7.75,7.8,7.5,7.45,7.8,7.8,7.76,8.85,5.95,15588,121021.5,101,SOMATEX
