DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2022-08-17,EQ,63.0,68.0,60.5,63.8,65.1,66.0,64.02,136.0,51.85,197959,12673591.75,2524,SORILINFRA
2022-08-16,EQ,60.6,65.0,60.6,61.85,63.0,63.8,63.26,136.0,51.85,88070,5571484.45,1031,SORILINFRA
2022-08-12,EQ,62.5,63.7,61.5,62.9,62.0,61.85,62.16,136.0,51.85,21335,1326116.45,454,SORILINFRA
2022-08-11,EQ,62.95,64.85,60.45,62.45,62.4,62.9,62.11,136.0,51.85,57518,3572573.1,979,SORILINFRA
2022-08-10,EQ,62.0,63.35,61.5,63.1,62.4,62.45,62.2,136.0,51.85,54782,3407703.45,717,SORILINFRA
2022-08-08,EQ,64.4,65.0,62.9,64.6,63.05,63.1,63.79,136.0,51.85,33723,2151167.2,588,SORILINFRA
2022-08-05,EQ,64.0,66.1,63.5,65.0,64.4,64.6,64.73,136.0,51.85,67110,4343844.6,714,SORILINFRA
2022-08-04,EQ,64.9,67.7,63.7,65.15,64.4,65.0,65.69,136.0,51.85,87402,5741420.3,1303,SORILINFRA
2022-08-03,EQ,67.0,67.0,64.7,67.0,65.5,65.15,65.41,136.0,51.85,28636,1873097.95,597,SORILINFRA
2022-08-02,EQ,65.0,69.0,63.9,65.55,66.3,67.0,66.88,136.0,51.85,103377,6913577.65,1331,SORILINFRA
2022-08-01,EQ,64.75,67.3,63.35,63.6,65.3,65.55,65.68,136.0,51.85,42997,2824200.25,766,SORILINFRA
2022-07-29,EQ,62.35,64.9,61.3,62.5,63.05,63.6,63.48,137.85,51.85,50029,3175984.5,827,SORILINFRA
2022-07-28,EQ,61.0,64.05,60.8,61.3,62.1,62.5,62.53,137.85,51.85,66808,4177318.05,942,SORILINFRA
2022-07-27,EQ,59.85,63.35,59.6,60.5,61.4,61.3,61.43,137.85,51.85,42275,2597082.15,579,SORILINFRA
2022-07-26,EQ,61.95,62.0,60.0,62.25,60.55,60.5,61.05,137.85,51.85,27022,1649772.6,746,SORILINFRA
2022-07-25,EQ,63.15,63.2,62.1,62.4,62.7,62.25,62.59,137.85,51.85,9621,602150.05,241,SORILINFRA
2022-07-22,EQ,65.15,66.4,61.55,65.1,62.0,62.4,63.13,144.0,51.85,84655,5344498.65,1310,SORILINFRA
2022-07-21,EQ,65.65,65.85,65.0,65.45,65.05,65.1,65.32,144.0,51.85,9705,633894.7,296,SORILINFRA
2022-07-20,EQ,65.9,67.9,64.6,65.45,64.6,65.45,66.05,144.0,51.85,45854,3028495.45,783,SORILINFRA
2022-07-19,EQ,65.0,67.0,65.0,65.65,65.2,65.45,65.91,144.0,51.85,18610,1226562.3,345,SORILINFRA
2022-07-18,EQ,63.5,66.7,62.5,62.55,65.6,65.65,64.58,144.0,51.85,21471,1386555.85,513,SORILINFRA
2022-07-15,EQ,64.0,64.25,60.95,62.5,62.5,62.55,62.2,149.1,51.85,14178,881916.2,391,SORILINFRA
2022-07-14,EQ,64.7,64.7,62.15,63.25,62.6,62.5,63.32,149.1,51.85,10562,668769.15,287,SORILINFRA
2022-07-13,EQ,63.95,65.15,62.45,63.95,63.9,63.25,63.86,149.1,51.85,21226,1355450.5,440,SORILINFRA
2022-07-12,EQ,64.0,65.25,63.3,64.7,63.3,63.95,64.16,149.1,51.85,23610,1514709.9,514,SORILINFRA
2022-07-11,EQ,65.9,66.5,64.3,65.2,64.8,64.7,65.42,149.1,51.85,7774,508586.15,206,SORILINFRA
2022-07-08,EQ,65.05,68.65,64.5,65.6,65.0,65.2,66.23,151.2,51.85,18029,1194013.35,400,SORILINFRA
2022-07-07,EQ,62.5,68.0,62.2,63.45,66.45,65.6,65.66,151.2,51.85,27457,1802777.05,674,SORILINFRA
2022-07-06,EQ,67.05,67.45,61.4,67.5,63.3,63.45,64.36,151.2,51.85,27359,1760942.45,583,SORILINFRA
2022-07-05,EQ,67.5,68.15,67.05,67.55,67.55,67.5,67.71,151.2,51.85,5271,356921.55,136,SORILINFRA
2022-07-04,EQ,68.15,68.2,66.3,67.55,67.95,67.55,67.43,151.2,51.85,13066,881102.1,193,SORILINFRA
2022-07-01,EQ,70.4,70.95,66.55,69.6,67.5,67.55,68.82,152.05,51.85,30636,2108239.65,537,SORILINFRA
2022-06-30,EQ,70.0,72.7,68.5,69.95,69.3,69.6,70.76,152.05,51.85,46265,3273866.7,926,SORILINFRA
2022-06-29,EQ,68.25,74.4,66.0,68.65,69.8,69.95,71.74,152.05,51.85,123652,8871233.15,2441,SORILINFRA
2022-06-28,EQ,66.1,70.0,65.3,67.35,68.75,68.65,68.28,152.05,51.85,76614,5231145.55,1137,SORILINFRA
2022-06-27,EQ,66.9,69.75,65.95,63.25,68.3,67.35,67.73,152.05,51.85,160359,10861307.6,2327,SORILINFRA
2022-06-24,EQ,55.0,65.15,55.0,54.3,62.75,63.25,63.41,157.2,51.85,390195,24741209.8,5361,SORILINFRA
2022-06-23,EQ,54.1,55.95,53.0,54.55,54.8,54.3,54.53,157.2,51.85,9535,519980.45,263,SORILINFRA
2022-06-22,EQ,56.5,57.0,54.0,56.15,54.3,54.55,55.42,157.2,51.85,14092,780939.0,524,SORILINFRA
2022-06-21,EQ,55.75,58.35,54.0,53.15,56.4,56.15,55.49,157.2,51.85,21137,1172935.0,482,SORILINFRA
2022-06-20,EQ,56.65,59.7,51.85,57.45,53.5,53.15,55.31,157.2,51.85,31269,1729408.65,858,SORILINFRA
2022-06-17,EQ,61.25,63.0,56.9,61.9,57.5,57.45,59.05,162.7,55.75,48289,2851544.75,895,SORILINFRA
2022-06-16,EQ,64.0,65.8,61.3,62.1,62.0,61.9,63.05,162.7,55.75,6913,435844.0,293,SORILINFRA
2022-06-15,EQ,63.65,64.4,61.5,63.1,61.95,62.1,62.92,162.7,55.75,8063,507299.8,263,SORILINFRA
2022-06-14,EQ,62.0,64.5,60.3,63.6,64.45,63.1,62.57,162.7,55.75,26166,1637211.0,896,SORILINFRA
2022-06-13,EQ,65.8,66.2,63.1,66.2,63.1,63.6,64.1,162.7,55.75,15663,1004057.55,362,SORILINFRA
2022-06-10,EQ,65.4,68.7,63.3,65.05,65.7,66.2,67.12,176.4,55.75,69899,4691523.9,1735,SORILINFRA
2022-06-09,EQ,63.0,65.75,62.45,62.8,65.5,65.05,64.3,176.4,55.75,13125,843992.3,328,SORILINFRA
2022-06-08,EQ,63.0,64.45,62.1,63.2,63.2,62.8,63.29,176.4,55.75,13318,842931.9,335,SORILINFRA
2022-06-07,EQ,65.15,65.9,62.85,64.55,63.0,63.2,63.55,176.4,55.75,12481,793162.6,289,SORILINFRA
2022-06-06,EQ,65.9,66.35,64.0,65.3,64.25,64.55,65.05,176.4,55.75,8617,560498.7,342,SORILINFRA
2022-06-03,EQ,66.8,69.8,64.6,65.4,65.0,65.3,67.3,181.45,55.75,63065,4244548.5,1328,SORILINFRA
2022-06-02,EQ,66.0,66.45,65.0,66.25,65.7,65.4,65.56,181.45,55.75,19665,1289258.7,438,SORILINFRA
2022-06-01,EQ,65.25,67.35,65.1,66.55,66.0,66.25,66.47,181.45,55.75,14999,997020.95,503,SORILINFRA
2022-05-31,EQ,66.0,67.5,65.2,66.0,67.15,66.55,66.85,181.45,55.75,12331,824309.0,360,SORILINFRA
2022-05-30,EQ,64.55,67.25,64.3,64.0,66.45,66.0,66.11,181.45,55.75,17899,1183331.8,408,SORILINFRA
2022-05-27,EQ,63.15,66.0,63.0,62.55,64.75,64.0,64.37,181.45,55.75,9528,613343.95,314,SORILINFRA
2022-05-26,EQ,61.1,65.0,57.25,61.35,65.0,62.55,60.31,181.45,55.75,48340,2915587.35,1172,SORILINFRA
2022-05-25,EQ,63.55,65.2,60.6,63.0,61.25,61.35,62.32,181.45,55.75,15368,957679.8,453,SORILINFRA
2022-05-24,EQ,66.0,66.95,61.75,66.0,63.8,63.0,64.07,181.45,55.75,16600,1063490.35,668,SORILINFRA
2022-05-23,EQ,65.2,70.0,65.0,66.3,65.05,66.0,67.69,181.45,55.75,40369,2732717.55,989,SORILINFRA
2022-05-20,EQ,66.15,68.4,65.25,65.45,66.85,66.3,66.67,181.45,55.75,15029,1002051.35,412,SORILINFRA
2022-05-19,EQ,66.9,68.05,65.0,68.45,65.5,65.45,66.13,181.45,55.75,19345,1279220.5,666,SORILINFRA
2022-05-18,EQ,67.0,71.2,66.1,67.0,68.05,68.45,68.66,181.45,55.75,37234,2556530.0,880,SORILINFRA
2022-05-17,EQ,64.15,67.6,62.85,63.15,67.3,67.0,65.68,181.45,55.75,40050,2630451.9,970,SORILINFRA
2022-05-16,EQ,61.0,67.75,60.3,60.35,63.05,63.15,64.35,181.45,55.75,111733,7189559.65,2314,SORILINFRA
2022-05-13,EQ,60.35,63.45,59.4,59.8,60.85,60.35,61.44,181.45,55.75,28580,1756021.1,826,SORILINFRA
2022-05-12,EQ,61.85,61.85,55.75,60.1,59.15,59.8,59.24,181.45,55.75,33729,1998017.9,800,SORILINFRA
2022-05-11,EQ,65.0,66.0,56.5,64.75,60.2,60.1,59.62,181.45,56.5,72088,4297665.5,1683,SORILINFRA
2022-05-10,EQ,65.4,65.4,64.5,64.25,64.7,64.75,64.83,181.45,62.5,12197,790675.95,210,SORILINFRA
2022-05-09,EQ,65.0,65.5,62.5,65.15,64.5,64.25,64.35,181.45,62.5,22228,1430306.25,589,SORILINFRA
2022-05-06,EQ,67.35,67.35,63.8,66.75,65.4,65.15,64.73,181.45,63.8,34411,2227381.9,679,SORILINFRA
2022-05-05,EQ,68.0,68.0,65.65,66.4,67.5,66.75,67.19,181.45,64.25,15359,1031906.05,565,SORILINFRA
2022-05-04,EQ,68.4,70.0,64.25,68.4,67.7,66.4,67.09,181.45,64.25,42733,2866932.75,1223,SORILINFRA
2022-05-02,EQ,69.0,71.95,67.25,68.25,68.0,68.4,70.24,181.45,67.25,107873,7576473.05,2263,SORILINFRA
2022-04-29,EQ,70.1,72.0,67.3,70.8,68.75,68.25,69.37,181.45,67.3,99270,6886220.05,1444,SORILINFRA
2022-04-28,EQ,70.25,72.0,69.7,69.6,71.0,70.8,70.99,181.45,67.55,33890,2405931.65,928,SORILINFRA
2022-04-27,EQ,69.0,73.0,68.9,69.4,70.85,69.6,71.01,181.45,67.55,95751,6799158.65,1647,SORILINFRA
2022-04-26,EQ,77.5,78.45,67.7,76.6,70.0,69.4,70.86,181.45,67.55,184978,13108077.55,2776,SORILINFRA
2022-04-25,EQ,78.25,78.25,75.75,78.25,76.9,76.6,76.73,181.45,67.55,23283,1786418.25,601,SORILINFRA
2022-04-22,EQ,79.0,79.75,78.0,78.7,78.35,78.25,78.79,181.45,67.55,24652,1942304.05,424,SORILINFRA
2022-04-21,EQ,77.65,81.9,77.65,76.95,78.5,78.7,79.53,181.45,67.55,53915,4287753.15,774,SORILINFRA
2022-04-20,EQ,79.0,80.0,76.65,78.35,77.0,76.95,77.98,181.45,67.55,16789,1309265.9,435,SORILINFRA
2022-04-19,EQ,80.4,80.95,75.8,79.35,78.9,78.35,79.28,181.45,67.55,28567,2264888.65,837,SORILINFRA
2022-04-18,EQ,80.0,80.1,78.25,80.15,79.5,79.35,79.14,181.45,67.55,12255,969879.0,426,SORILINFRA
