DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2022-12-30,EQ,66.05,67.5,64.9,65.95,65.45,65.2,66.15,113.7,62.2,147820,9777916.0,1828,SPENCERS
2022-12-29,EQ,67.6,67.6,65.3,66.75,65.7,65.95,66.38,113.7,62.2,89371,5932089.75,1199,SPENCERS
2022-12-28,EQ,65.95,67.85,65.45,65.55,66.35,66.75,66.61,113.7,62.2,87298,5814604.15,1375,SPENCERS
2022-12-27,EQ,65.4,65.9,63.5,64.4,65.9,65.55,65.09,113.7,62.2,75619,4921673.55,1137,SPENCERS
2022-12-26,EQ,62.9,66.05,62.9,62.9,64.5,64.4,64.78,113.7,62.2,124968,8095449.5,1595,SPENCERS
2022-12-23,EQ,65.35,65.4,62.5,65.3,62.7,62.9,63.24,113.7,62.2,141542,8950646.05,1641,SPENCERS
2022-12-22,EQ,68.95,68.95,64.5,67.95,65.1,65.3,65.68,113.7,62.2,157629,10352539.85,2061,SPENCERS
2022-12-21,EQ,69.85,70.4,67.2,69.25,67.8,67.95,68.67,113.7,62.2,122897,8439285.0,1464,SPENCERS
2022-12-20,EQ,69.95,69.95,68.6,69.5,69.25,69.25,69.09,113.7,62.2,56391,3896237.95,775,SPENCERS
2022-12-19,EQ,70.5,70.7,69.35,70.0,69.8,69.5,69.82,113.7,62.2,58582,4090055.35,746,SPENCERS
2022-12-16,EQ,69.9,71.5,69.85,69.95,70.1,70.0,70.45,114.0,62.2,99178,6986607.65,1111,SPENCERS
2022-12-15,EQ,71.0,71.95,69.6,70.95,69.9,69.95,70.73,114.0,62.2,123886,8762971.7,1668,SPENCERS
2022-12-14,EQ,69.5,72.7,68.9,69.1,70.9,70.95,71.09,114.0,62.2,314281,22343064.85,2734,SPENCERS
2022-12-13,EQ,69.4,69.8,68.9,69.1,69.0,69.1,69.32,114.0,62.2,107672,7463813.95,1193,SPENCERS
2022-12-12,EQ,69.95,70.5,68.8,69.6,69.0,69.1,69.48,114.0,62.2,97456,6771237.4,1244,SPENCERS
2022-12-09,EQ,71.0,71.6,69.05,70.75,70.1,69.6,70.35,114.0,62.2,109763,7721975.45,1321,SPENCERS
2022-12-08,EQ,69.4,71.8,69.25,69.4,70.8,70.75,70.73,114.0,62.2,192161,13590789.6,2301,SPENCERS
2022-12-07,EQ,69.15,69.75,69.05,69.1,69.7,69.4,69.43,114.0,62.2,87607,6082281.8,997,SPENCERS
2022-12-06,EQ,69.2,70.4,69.0,69.05,69.2,69.1,69.56,114.0,62.2,205882,14322121.85,2124,SPENCERS
2022-12-05,EQ,69.3,70.6,68.75,69.0,69.0,69.05,69.61,114.0,62.2,286971,19976639.0,2778,SPENCERS
2022-12-02,EQ,70.7,70.9,68.85,70.7,69.15,69.0,69.62,114.0,62.2,270119,18805751.55,2852,SPENCERS
2022-12-01,EQ,69.85,71.0,69.2,69.3,70.5,70.7,70.05,114.0,62.2,103860,7275050.85,1617,SPENCERS
2022-11-30,EQ,68.95,70.2,68.8,68.6,69.5,69.3,69.47,114.0,62.2,70997,4932377.95,1196,SPENCERS
2022-11-29,EQ,70.6,71.05,67.75,70.55,68.7,68.6,69.46,114.0,62.2,273717,19011626.15,2671,SPENCERS
2022-11-28,EQ,71.1,71.85,69.9,71.4,70.65,70.55,70.92,114.0,62.2,137412,9745553.65,1367,SPENCERS
2022-11-25,EQ,69.45,71.85,69.0,69.0,71.2,71.4,70.9,118.1,62.2,157431,11161098.4,2073,SPENCERS
2022-11-24,EQ,69.7,70.3,68.6,69.1,68.95,69.0,69.4,118.1,62.2,101630,7053324.1,1730,SPENCERS
2022-11-23,EQ,69.4,69.8,68.7,68.5,69.05,69.1,69.2,118.1,62.2,57621,3987544.2,874,SPENCERS
2022-11-22,EQ,69.95,69.95,68.1,69.05,69.0,68.5,68.77,118.1,62.2,75840,5215863.55,1102,SPENCERS
2022-11-21,EQ,69.85,70.25,68.8,69.6,69.25,69.05,69.24,118.1,62.2,49323,3415045.35,800,SPENCERS
2022-11-18,EQ,69.0,70.4,69.0,68.8,69.8,69.6,69.76,132.0,62.2,94637,6601570.95,1460,SPENCERS
2022-11-17,EQ,68.6,69.45,68.2,69.2,68.8,68.8,68.88,132.0,62.2,85656,5900124.75,994,SPENCERS
2022-11-16,EQ,70.25,70.65,68.8,68.8,68.8,69.2,69.64,132.0,62.2,122732,8547120.05,1467,SPENCERS
2022-11-15,EQ,70.65,70.9,68.4,70.65,69.2,68.8,69.38,132.0,62.2,222347,15426623.55,2904,SPENCERS
2022-11-14,EQ,73.8,73.9,69.9,73.4,70.0,70.65,71.92,132.0,62.2,247447,17797253.15,2899,SPENCERS
2022-11-11,EQ,73.65,73.7,72.2,71.9,73.55,73.4,73.07,144.3,62.2,81793,5976701.85,1156,SPENCERS
2022-11-10,EQ,73.0,73.25,71.15,72.75,72.45,71.9,72.18,144.3,62.2,93007,6713272.55,1462,SPENCERS
2022-11-09,EQ,74.2,75.0,72.4,74.2,73.05,72.75,73.75,144.3,62.2,107592,7934383.05,1410,SPENCERS
2022-11-07,EQ,73.75,74.8,73.0,73.1,74.2,74.2,74.01,144.3,62.2,120922,8949830.45,1392,SPENCERS
2022-11-04,EQ,73.5,75.45,72.95,73.3,73.3,73.1,74.08,144.3,62.2,171832,12730144.6,1882,SPENCERS
2022-11-03,EQ,72.95,74.4,72.8,73.05,73.2,73.3,73.41,144.3,62.2,55744,4092341.1,828,SPENCERS
2022-11-02,EQ,73.6,74.55,72.2,73.6,73.4,73.05,73.47,144.3,62.2,59870,4398655.55,873,SPENCERS
2022-11-01,EQ,73.0,74.0,72.85,72.95,74.0,73.6,73.33,144.3,62.2,102425,7510798.85,987,SPENCERS
2022-10-31,EQ,73.45,74.05,72.6,72.95,73.0,72.95,73.35,144.3,62.2,43248,3172178.25,746,SPENCERS
2022-10-28,EQ,72.8,73.75,72.6,73.65,72.95,72.95,73.19,144.3,62.2,47815,3499369.4,716,SPENCERS
2022-10-27,EQ,72.65,74.5,72.65,72.8,73.15,73.65,73.75,144.3,62.2,176219,12996841.85,1828,SPENCERS
2022-10-25,EQ,73.75,73.75,72.55,73.35,72.65,72.8,73.13,144.3,62.2,54068,3953875.85,649,SPENCERS
2022-10-24,EQ,72.5,73.9,72.05,72.3,73.75,73.35,73.11,144.3,62.2,24775,1811298.6,396,SPENCERS
2022-10-21,EQ,73.05,73.5,72.05,72.75,72.35,72.3,72.9,144.3,62.2,63709,4644411.6,936,SPENCERS
2022-10-20,EQ,73.35,73.9,72.5,74.05,72.7,72.75,73.05,144.3,62.2,55338,4042587.05,1075,SPENCERS
2022-10-19,EQ,73.3,74.7,72.75,72.85,73.95,74.05,73.99,144.3,62.2,97276,7197528.8,1416,SPENCERS
2022-10-18,EQ,73.55,73.9,72.45,72.9,73.2,72.85,73.05,144.3,62.2,116811,8532524.3,1898,SPENCERS
2022-10-17,EQ,73.1,73.3,72.0,73.3,73.0,72.9,72.75,144.3,62.2,75006,5456923.45,1478,SPENCERS
2022-10-14,EQ,74.1,74.7,72.6,73.25,73.6,73.3,73.44,144.3,62.2,160029,11751790.4,2172,SPENCERS
2022-10-13,EQ,74.0,74.8,72.85,74.05,73.4,73.25,73.69,144.3,62.2,142251,10481843.65,2320,SPENCERS
2022-10-12,EQ,75.2,75.5,73.15,74.7,74.2,74.05,74.14,144.3,62.2,114503,8489370.5,1920,SPENCERS
2022-10-11,EQ,76.8,76.8,74.35,76.5,74.85,74.7,75.29,144.3,62.2,165933,12493199.1,1869,SPENCERS
2022-10-10,EQ,78.15,78.85,76.1,79.55,76.55,76.5,76.73,144.3,62.2,300459,23054455.2,3058,SPENCERS
2022-10-07,EQ,80.25,81.0,78.0,80.6,79.15,79.55,79.82,144.3,62.2,265169,21165086.1,2329,SPENCERS
2022-10-06,EQ,76.45,81.1,76.45,75.65,80.0,80.6,79.95,144.3,62.2,659153,52701454.3,4217,SPENCERS
2022-10-04,EQ,76.1,77.2,74.85,75.15,76.5,75.65,75.98,144.3,62.2,134873,10247285.55,1817,SPENCERS
