DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2022-12-30,EQ,1330.0,1384.8,1325.15,1312.25,1381.0,1376.9,1364.26,1509.0,1002.0,1465870,1999820859.45,38247,SHRIRAMFIN
2022-12-29,EQ,1349.0,1349.0,1251.35,1388.6,1314.95,1312.25,1291.7,1509.0,1002.0,3989146,5152789694.9,87415,SHRIRAMFIN
2022-12-28,EQ,1363.55,1397.0,1352.5,1378.9,1392.0,1388.6,1370.16,1509.0,1002.0,440215,603165668.4,18170,SHRIRAMFIN
2022-12-27,EQ,1362.0,1390.0,1329.55,1351.15,1382.0,1378.9,1364.11,1509.0,1002.0,484073,660330600.05,26536,SHRIRAMFIN
2022-12-26,EQ,1301.55,1367.0,1295.05,1301.5,1350.0,1351.15,1342.68,1509.0,1002.0,321370,431497268.7,14892,SHRIRAMFIN
2022-12-23,EQ,1326.95,1326.95,1290.6,1339.4,1296.45,1301.5,1305.4,1509.0,1002.0,312995,408582443.3,14998,SHRIRAMFIN
2022-12-22,EQ,1375.0,1387.0,1328.35,1369.4,1332.0,1339.4,1349.85,1509.0,1002.0,309992,418442758.8,14511,SHRIRAMFIN
2022-12-21,EQ,1386.8,1419.5,1360.25,1389.25,1360.25,1369.4,1390.23,1509.0,1002.0,857326,1191878766.35,38689,SHRIRAMFIN
2022-12-20,EQ,1369.9,1399.0,1352.4,1372.25,1389.0,1389.25,1370.65,1509.0,1002.0,570309,781696459.5,27503,SHRIRAMFIN
2022-12-19,EQ,1373.95,1386.85,1362.0,1370.45,1381.45,1372.25,1370.44,1509.0,1002.0,659439,903722498.95,23279,SRTRANSFIN
2022-12-16,EQ,1377.0,1404.0,1338.1,1393.2,1376.0,1370.45,1369.9,1531.75,1002.0,1814246,2485339939.9,72558,SRTRANSFIN
2022-12-15,EQ,1375.4,1404.2,1370.05,1378.55,1389.5,1393.2,1385.48,1531.75,1002.0,755612,1046888138.2,23142,SRTRANSFIN
2022-12-14,EQ,1365.95,1380.0,1355.4,1365.85,1379.0,1378.55,1369.01,1531.75,1002.0,827606,1133000131.05,34356,SRTRANSFIN
2022-12-13,EQ,1361.0,1370.95,1340.0,1363.55,1368.95,1365.85,1362.15,1531.75,1002.0,395593,538858799.5,11836,SRTRANSFIN
2022-12-12,EQ,1340.0,1375.95,1328.25,1344.05,1367.0,1363.55,1362.28,1531.75,1002.0,1187767,1618069530.9,37213,SRTRANSFIN
2022-12-09,EQ,1348.4,1354.1,1316.45,1338.2,1348.0,1344.05,1342.04,1531.75,1002.0,640553,859644758.9,25974,SRTRANSFIN
2022-12-08,EQ,1334.9,1355.0,1325.0,1335.2,1346.0,1338.2,1339.41,1531.75,1002.0,569275,762490242.7,22163,SRTRANSFIN
2022-12-07,EQ,1328.0,1366.75,1327.0,1326.55,1335.0,1335.2,1343.71,1531.75,1002.0,1388697,1866009921.95,44761,SRTRANSFIN
2022-12-06,EQ,1295.0,1339.0,1290.2,1294.85,1322.0,1326.55,1318.54,1531.75,1002.0,2034376,2682410814.75,53333,SRTRANSFIN
2022-12-05,EQ,1296.0,1300.0,1279.0,1290.35,1295.0,1294.85,1291.64,1531.75,1002.0,883532,1141202338.05,22519,SRTRANSFIN
2022-12-02,EQ,1286.65,1298.2,1268.0,1286.85,1286.35,1290.35,1282.07,1531.75,1002.0,1033710,1325283438.35,39857,SRTRANSFIN
2022-12-01,EQ,1346.45,1346.45,1277.0,1350.0,1283.0,1286.85,1290.36,1531.75,1002.0,1602257,2067496137.2,49249,SRTRANSFIN
2022-11-30,EQ,1272.45,1375.0,1272.0,1270.3,1357.0,1350.0,1332.15,1531.75,1002.0,2275703,3031586596.8,46402,SRTRANSFIN
2022-11-29,EQ,1252.75,1281.0,1251.5,1264.75,1273.95,1270.3,1267.43,1531.75,1002.0,1748490,2216081157.5,55778,SRTRANSFIN
2022-11-28,EQ,1274.0,1294.8,1247.0,1280.15,1248.0,1264.75,1267.88,1531.75,1002.0,4562156,5784251613.5,81237,SRTRANSFIN
2022-11-25,EQ,1315.0,1322.0,1275.2,1311.7,1280.0,1280.15,1291.05,1609.8,1002.0,865105,1116895418.45,31397,SRTRANSFIN
2022-11-24,EQ,1340.95,1340.95,1305.0,1334.25,1318.0,1311.7,1320.61,1609.8,1002.0,700833,925527627.6,18221,SRTRANSFIN
2022-11-23,EQ,1350.0,1362.95,1325.25,1346.5,1330.0,1334.25,1344.11,1609.8,1002.0,1391299,1870064483.95,37136,SRTRANSFIN
2022-11-22,EQ,1304.95,1354.95,1291.0,1300.15,1347.0,1346.5,1316.52,1609.8,1002.0,1970331,2593979258.85,55692,SRTRANSFIN
2022-11-21,EQ,1252.45,1305.0,1243.0,1251.25,1301.0,1300.15,1288.65,1609.8,1002.0,2285464,2945164512.5,69220,SRTRANSFIN
2022-11-18,EQ,1275.5,1284.45,1242.0,1275.65,1250.0,1251.25,1258.47,1663.0,1002.0,1133116,1425993977.55,40569,SRTRANSFIN
2022-11-17,EQ,1232.0,1309.8,1232.0,1233.65,1275.65,1275.65,1281.71,1663.0,1002.0,2179171,2793074070.7,72430,SRTRANSFIN
2022-11-16,EQ,1252.0,1254.8,1225.3,1252.7,1235.15,1233.65,1236.24,1663.0,1002.0,497356,614851332.75,26568,SRTRANSFIN
2022-11-15,EQ,1269.95,1270.1,1246.05,1265.75,1253.0,1252.7,1252.12,1663.0,1002.0,294927,369282525.65,16304,SRTRANSFIN
2022-11-14,EQ,1279.9,1285.5,1255.4,1276.75,1264.0,1265.75,1269.58,1663.0,1002.0,331198,420482551.25,13960,SRTRANSFIN
2022-11-11,EQ,1252.0,1287.0,1252.0,1245.15,1273.8,1276.75,1274.75,1696.4,1002.0,497608,634325018.2,30908,SRTRANSFIN
