DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2022-12-30,EQ,13.25,13.85,13.25,13.2,13.85,13.8,13.75,258.7,10.95,3863424,53112370.9,1749,STEELXIND
2022-12-29,EQ,13.3,13.45,12.95,13.15,13.1,13.2,13.17,258.7,10.95,1138824,15002935.2,2959,STEELXIND
2022-12-28,EQ,13.05,13.35,12.9,12.95,13.2,13.15,13.16,258.7,10.95,1124208,14792244.1,3734,STEELXIND
2022-12-27,EQ,13.45,13.7,12.7,13.25,13.0,12.95,12.93,258.7,10.95,2947961,38112351.15,4445,STEELXIND
2022-12-26,EQ,13.1,13.8,12.85,13.5,13.35,13.25,13.14,258.7,10.95,5800173,76216833.75,9673,STEELXIND
2022-12-23,EQ,13.75,14.0,13.5,14.2,13.5,13.5,13.57,258.7,10.95,1160925,15757074.2,997,STEELXIND
2022-12-22,EQ,14.75,15.0,14.05,14.75,14.1,14.2,14.21,258.7,10.95,2988780,42476864.15,2176,STEELXIND
2022-12-21,EQ,15.95,15.95,14.75,15.5,14.75,14.75,15.0,258.7,10.95,4062050,60911510.35,2168,STEELXIND
2022-12-20,EQ,15.8,15.85,14.9,15.65,15.3,15.5,15.18,258.7,10.95,5009972,76031345.55,3340,STEELXIND
2022-12-19,EQ,15.65,15.65,15.05,14.95,15.65,15.65,15.56,258.7,10.95,6130934,95401793.85,3774,STEELXIND
2022-12-16,EQ,14.35,15.0,13.6,14.3,14.95,14.95,14.61,258.7,10.95,5646598,82486298.45,3636,STEELXIND
2022-12-15,EQ,14.95,15.0,14.3,15.05,14.3,14.3,14.46,258.7,10.95,3080670,44553430.2,2439,STEELXIND
2022-12-14,EQ,15.4,15.4,14.2,14.7,14.65,15.05,14.91,258.7,10.95,14121807,210517070.2,5921,STEELXIND
2022-12-13,EQ,14.7,14.7,14.7,14.0,14.7,14.7,14.7,258.7,10.95,364351,5355959.7,328,STEELXIND
2022-12-12,EQ,14.0,14.0,14.0,13.35,14.0,14.0,14.0,258.7,10.95,750654,10509156.0,471,STEELXIND
2022-12-09,EQ,13.65,13.8,13.05,13.6,13.2,13.35,13.5,258.7,10.95,2547131,34374132.95,1505,STEELXIND
2022-12-08,EQ,13.65,13.7,13.5,13.55,13.65,13.6,13.59,258.7,10.95,742252,10088924.75,968,STEELXIND
2022-12-07,EQ,13.65,13.75,13.45,13.55,13.6,13.55,13.55,258.7,10.95,1089250,14756377.45,993,STEELXIND
2022-12-06,EQ,13.55,13.7,13.45,13.5,13.6,13.55,13.55,258.7,10.95,1665123,22558133.6,1726,STEELXIND
2022-12-05,EQ,13.45,13.6,13.25,13.35,13.5,13.5,13.43,258.7,10.95,2047134,27488332.7,2036,STEELXIND
2022-12-02,EQ,13.85,14.25,13.1,13.75,13.45,13.35,13.29,258.7,10.95,5799731,77059330.8,3079,STEELXIND
