DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2022-12-27,EQ,5.65,6.0,5.65,5.65,5.8,5.8,5.86,14.45,4.65,161866,948011.35,372,SUMEETINDS
2022-12-26,EQ,5.3,5.85,5.2,5.25,5.75,5.65,5.59,14.45,4.65,338229,1891621.75,522,SUMEETINDS
2022-12-23,EQ,6.0,6.15,5.05,5.95,5.25,5.25,5.4,14.45,4.65,723230,3902287.25,950,SUMEETINDS
2022-12-22,EQ,6.4,6.6,5.85,6.55,5.95,5.95,6.06,14.45,4.65,345832,2096990.8,703,SUMEETINDS
2022-12-21,EQ,7.05,7.25,6.35,7.3,6.4,6.55,6.65,14.45,4.65,1727157,11483764.45,1621,SUMEETINDS
2022-12-20,EQ,6.5,7.4,6.5,6.45,7.3,7.3,7.04,14.45,4.65,1554775,10952510.6,1864,SUMEETINDS
2022-12-19,EQ,6.3,6.6,6.15,6.3,6.4,6.45,6.35,14.45,4.65,452970,2874969.5,506,SUMEETINDS
2022-12-16,EQ,6.15,6.4,6.15,6.15,6.35,6.3,6.29,14.45,4.65,273316,1720071.2,355,SUMEETINDS
2022-12-15,EQ,6.0,6.55,6.0,6.2,6.15,6.15,6.29,14.45,4.65,560178,3524656.4,680,SUMEETINDS
2022-12-14,EQ,6.3,6.4,5.8,6.25,6.2,6.2,6.12,14.45,4.65,367809,2252200.45,455,SUMEETINDS
2022-12-13,EQ,6.0,6.5,6.0,5.9,6.3,6.25,6.21,14.45,4.65,417448,2592970.75,630,SUMEETINDS
2022-12-12,EQ,5.85,6.2,5.5,5.7,5.85,5.9,5.88,14.45,4.65,270787,1591198.8,417,SUMEETINDS
2022-12-09,EQ,6.1,6.1,5.15,5.85,5.75,5.7,5.65,14.45,4.65,381816,2157358.85,617,SUMEETINDS
2022-12-08,EQ,5.8,6.1,5.65,5.7,5.8,5.85,5.91,14.45,4.65,307535,1817313.45,587,SUMEETINDS
2022-12-07,EQ,6.5,6.85,5.65,6.2,5.75,5.7,6.24,14.45,4.65,2497450,15592612.75,2993,SUMEETINDS
2022-12-06,EQ,5.45,6.2,5.3,5.2,6.2,6.2,6.08,14.45,4.65,1706406,10370387.55,1169,SUMEETINDS
2022-12-05,EQ,5.3,5.35,5.2,5.2,5.25,5.2,5.27,14.45,4.65,198008,1042539.25,229,SUMEETINDS
2022-12-02,EQ,5.3,5.3,5.15,5.2,5.3,5.2,5.22,14.45,4.65,54072,282279.15,225,SUMEETINDS
2022-12-01,EQ,5.2,5.3,5.15,5.1,5.25,5.2,5.24,14.45,4.65,100265,525154.25,174,SUMEETINDS
2022-11-30,EQ,5.25,5.35,5.1,5.15,5.1,5.1,5.16,14.45,4.65,161703,834631.85,233,SUMEETINDS
2022-11-29,EQ,5.4,5.4,5.1,5.3,5.15,5.15,5.19,14.45,4.65,119563,621119.15,279,SUMEETINDS
2022-11-28,EQ,5.45,5.55,5.25,5.3,5.25,5.3,5.39,14.45,4.65,252018,1358233.05,487,SUMEETINDS
2022-11-25,EQ,5.05,5.65,5.0,5.0,5.3,5.3,5.32,14.45,4.65,564976,3008060.9,654,SUMEETINDS
2022-11-24,EQ,5.0,5.2,4.95,5.05,5.05,5.0,5.05,14.45,4.65,116704,589432.3,242,SUMEETINDS
2022-11-23,EQ,5.05,5.2,4.95,5.05,5.05,5.05,5.06,14.45,4.65,197733,1000132.8,286,SUMEETINDS
2022-11-22,EQ,4.9,5.15,4.9,5.05,5.15,5.05,5.09,14.45,4.65,134044,681966.3,191,SUMEETINDS
2022-11-21,EQ,5.15,5.15,4.9,5.05,5.0,5.05,5.01,14.45,4.65,133221,667584.65,241,SUMEETINDS
2022-11-18,EQ,5.1,5.2,4.95,5.05,5.0,5.05,5.07,14.45,4.65,172705,876256.2,244,SUMEETINDS
2022-11-17,EQ,5.15,5.15,4.9,5.05,5.05,5.05,4.99,14.45,4.65,96557,481808.4,293,SUMEETINDS
