DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2020-09-25,EQ,1.55,1.6,1.55,1.55,1.6,1.6,1.59,1.95,0.35,100099,159482.65,114,SYNCOM
2020-09-24,EQ,1.6,1.6,1.55,1.6,1.55,1.55,1.56,1.95,0.35,93512,145500.75,145,SYNCOM
2020-09-23,EQ,1.7,1.7,1.6,1.65,1.6,1.6,1.61,1.95,0.35,43482,70070.55,101,SYNCOM
2020-09-22,EQ,1.7,1.7,1.6,1.65,1.65,1.65,1.62,1.95,0.35,173896,282480.35,206,SYNCOM
2020-09-21,EQ,1.75,1.75,1.65,1.7,1.65,1.65,1.66,1.95,0.35,191337,318551.05,253,SYNCOM
2020-09-18,EQ,1.75,1.75,1.7,1.75,1.7,1.7,1.72,1.95,0.35,174017,299377.05,190,SYNCOM
2020-09-17,EQ,1.75,1.75,1.7,1.75,1.75,1.75,1.72,1.95,0.35,245516,421471.15,282,SYNCOM
2020-09-16,EQ,1.75,1.75,1.65,1.7,1.75,1.75,1.72,1.95,0.35,444103,763506.25,387,SYNCOM
2020-09-15,EQ,1.7,1.7,1.7,1.65,1.7,1.7,1.7,1.95,0.35,73593,125108.1,55,SYNCOM
2020-09-14,EQ,1.65,1.65,1.65,1.6,1.65,1.65,1.65,1.95,0.35,110339,182059.35,98,SYNCOM
2020-09-11,EQ,1.6,1.6,1.55,1.55,1.6,1.6,1.6,1.95,0.35,77459,123929.4,131,SYNCOM
2020-09-10,EQ,1.45,1.55,1.45,1.5,1.55,1.55,1.51,1.95,0.35,122912,186011.4,144,SYNCOM
2020-09-09,EQ,1.55,1.55,1.5,1.55,1.5,1.5,1.5,1.95,0.35,109867,164940.5,176,SYNCOM
2020-09-08,EQ,1.55,1.6,1.55,1.6,1.55,1.55,1.57,1.95,0.35,251992,394396.25,303,SYNCOM
2020-09-07,EQ,1.65,1.65,1.6,1.65,1.6,1.6,1.6,1.95,0.35,170382,272968.85,288,SYNCOM
2020-09-04,EQ,1.7,1.7,1.65,1.7,1.65,1.65,1.67,1.95,0.35,215042,358093.85,234,SYNCOM
2020-09-03,EQ,1.75,1.8,1.7,1.75,1.75,1.7,1.71,1.95,0.35,276340,472179.45,270,SYNCOM
2020-09-02,EQ,1.8,1.8,1.7,1.75,1.75,1.75,1.74,1.95,0.35,117758,204422.2,154,SYNCOM
2020-09-01,EQ,1.75,1.8,1.75,1.8,1.8,1.75,1.76,1.95,0.35,78361,137529.65,157,SYNCOM
2020-08-31,EQ,1.85,1.85,1.75,1.8,1.8,1.8,1.77,1.95,0.35,256917,454635.1,293,SYNCOM
2020-08-28,EQ,1.9,1.9,1.8,1.85,1.8,1.8,1.81,1.95,0.35,296747,537043.9,239,SYNCOM
2020-08-27,EQ,1.8,1.85,1.75,1.8,1.85,1.85,1.8,1.95,0.35,199984,359004.85,284,SYNCOM
2020-08-26,EQ,1.8,1.85,1.8,1.85,1.8,1.8,1.8,1.95,0.35,313631,564545.3,212,SYNCOM
2020-08-25,EQ,1.9,1.95,1.85,1.9,1.85,1.85,1.86,1.95,0.35,227951,424598.55,265,SYNCOM
2020-08-24,EQ,1.9,1.9,1.85,1.85,1.85,1.9,1.88,1.9,0.35,286223,539311.0,373,SYNCOM
2020-04-09,EQ,0.7,0.7,0.7,0.65,0.7,0.7,0.7,1.0,0.35,853,597.1,4,SYNCOM
2020-04-08,EQ,0.65,0.65,0.65,0.6,0.65,0.65,0.65,1.0,0.35,1001,650.65,2,SYNCOM
2020-04-07,EQ,0.5,0.6,0.5,0.55,0.6,0.6,0.6,1.0,0.35,10230,6135.0,10,SYNCOM
2020-04-03,EQ,0.5,0.55,0.5,0.55,0.55,0.55,0.53,1.0,0.35,4258,2238.4,11,SYNCOM
2020-04-01,EQ,0.55,0.55,0.5,0.55,0.55,0.55,0.52,1.0,0.35,7602,3951.0,16,SYNCOM
2020-03-31,EQ,0.55,0.55,0.5,0.55,0.55,0.55,0.54,1.0,0.35,7100,3832.5,13,SYNCOM
2020-03-30,EQ,0.6,0.6,0.5,0.55,0.55,0.55,0.52,1.0,0.35,16173,8467.25,16,SYNCOM
2020-03-27,EQ,0.5,0.55,0.45,0.5,0.55,0.55,0.49,1.0,0.35,10224,5037.75,15,SYNCOM
2020-03-26,EQ,0.45,0.5,0.45,0.45,0.5,0.5,0.47,1.0,0.35,2722,1282.4,8,SYNCOM
2020-03-25,EQ,0.45,0.45,0.45,0.4,0.45,0.45,0.45,1.0,0.35,2240,1008.0,4,SYNCOM
2020-03-24,EQ,0.35,0.4,0.35,0.4,0.4,0.4,0.35,1.0,0.35,529,186.4,4,SYNCOM
2020-03-20,EQ,0.45,0.45,0.4,0.45,0.4,0.4,0.4,1.0,0.4,32918,13180.45,22,SYNCOM
2020-03-19,EQ,0.45,0.45,0.45,0.45,0.45,0.45,0.45,1.0,0.45,6752,3038.4,11,SYNCOM
2020-03-18,EQ,0.5,0.55,0.45,0.5,0.45,0.45,0.46,1.0,0.45,13653,6346.5,17,SYNCOM
2020-03-17,EQ,0.5,0.55,0.5,0.55,0.5,0.5,0.5,1.0,0.5,726,363.05,7,SYNCOM
2020-03-16,EQ,0.55,0.55,0.5,0.55,0.55,0.55,0.52,1.0,0.5,6743,3508.65,13,SYNCOM
2020-03-13,EQ,0.55,0.55,0.5,0.55,0.55,0.55,0.55,1.0,0.5,215510,118475.5,14,SYNCOM
2020-03-12,EQ,0.5,0.55,0.5,0.55,0.55,0.55,0.5,1.0,0.5,10973,5536.55,9,SYNCOM
2020-03-11,EQ,0.55,0.55,0.55,0.6,0.55,0.55,0.55,1.0,0.55,11603,6381.65,11,SYNCOM
2020-03-09,EQ,0.6,0.6,0.6,0.6,0.6,0.6,0.6,1.0,0.55,1530,918.0,10,SYNCOM
2020-03-06,EQ,0.65,0.65,0.6,0.6,0.6,0.6,0.65,2.2,0.55,11581,7527.6,5,SYNCOM
2020-03-05,EQ,0.65,0.65,0.6,0.6,0.6,0.6,0.63,2.2,0.55,4815,3014.0,8,SYNCOM
2020-03-04,EQ,0.55,0.6,0.55,0.55,0.6,0.6,0.6,2.2,0.55,22445,13462.0,13,SYNCOM
2020-03-04,EQ,0.55,0.6,0.55,0.55,0.6,0.6,0.6,2.2,0.55,22445,13462.0,13,SYNCOM
2020-03-04,EQ,0.55,0.6,0.55,0.55,0.6,0.6,0.6,2.2,0.55,22445,13462.0,13,SYNCOM
2020-03-04,EQ,0.55,0.6,0.55,0.55,0.6,0.6,0.6,2.2,0.55,22445,13462.0,13,SYNCOM
2020-03-04,EQ,0.55,0.6,0.55,0.55,0.6,0.6,0.6,2.2,0.55,22445,13462.0,13,SYNCOM
2020-03-03,EQ,0.55,0.6,0.55,0.55,0.55,0.55,0.57,2.2,0.55,2174,1237.1,7,SYNCOM
2020-03-03,EQ,0.55,0.6,0.55,0.55,0.55,0.55,0.57,2.2,0.55,2174,1237.1,7,SYNCOM
2020-03-03,EQ,0.55,0.6,0.55,0.55,0.55,0.55,0.57,2.2,0.55,2174,1237.1,7,SYNCOM
2020-03-03,EQ,0.55,0.6,0.55,0.55,0.55,0.55,0.57,2.2,0.55,2174,1237.1,7,SYNCOM
2020-03-03,EQ,0.55,0.6,0.55,0.55,0.55,0.55,0.57,2.2,0.55,2174,1237.1,7,SYNCOM
2020-03-03,EQ,0.55,0.6,0.55,0.55,0.55,0.55,0.57,2.2,0.55,2174,1237.1,7,SYNCOM
2020-03-03,EQ,0.55,0.6,0.55,0.55,0.55,0.55,0.57,2.2,0.55,2174,1237.1,7,SYNCOM
2020-03-02,EQ,0.55,0.55,0.55,0.55,0.55,0.55,0.55,2.2,0.55,16599,9129.45,10,SYNCOM
2020-02-28,EQ,0.55,0.55,0.55,0.55,0.55,0.55,0.55,2.2,0.55,22991,12645.05,12,SYNCOM
2020-02-27,EQ,0.55,0.55,0.55,0.6,0.55,0.55,0.55,2.2,0.55,4344,2389.2,6,SYNCOM
2020-02-26,EQ,0.65,0.65,0.55,0.6,0.6,0.6,0.61,2.2,0.55,8972,5438.2,11,SYNCOM
2020-02-25,EQ,0.65,0.65,0.6,0.65,0.6,0.6,0.61,2.75,0.55,79,47.85,6,SYNCOM
2020-02-24,EQ,0.6,0.65,0.6,0.6,0.65,0.65,0.62,3.35,0.55,2070,1292.05,10,SYNCOM
2020-02-24,EQ,0.6,0.65,0.6,0.6,0.65,0.65,0.62,3.35,0.55,2070,1292.05,10,SYNCOM
