DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2020-03-19,EQ,14.0,16.0,13.55,14.65,15.2,15.15,15.06,46.6,12.55,4486879,67579875.05,7382,SYNDIBANK
2020-03-18,EQ,15.65,15.65,14.1,15.15,14.65,14.65,14.75,46.6,12.55,3323792,49034834.0,11625,SYNDIBANK
2020-03-17,EQ,15.3,16.15,15.05,15.3,15.25,15.15,15.67,46.6,12.55,4067822,63724181.8,6198,SYNDIBANK
2020-03-16,EQ,16.0,16.0,15.0,16.7,15.4,15.3,15.48,46.6,12.55,2492006,38572780.35,12669,SYNDIBANK
2020-03-13,EQ,13.9,17.0,12.55,15.3,16.75,16.7,15.47,46.6,12.55,3999368,61855688.8,6742,SYNDIBANK
2020-03-12,EQ,17.7,17.7,15.1,18.1,15.3,15.3,15.87,46.6,15.1,3578805,56801748.5,5162,SYNDIBANK
2020-03-11,EQ,18.9,19.35,17.95,18.9,18.15,18.1,18.6,46.6,17.95,4354398,80994830.4,9984,SYNDIBANK
2020-03-09,EQ,19.8,20.0,18.65,20.3,18.85,18.9,19.15,46.6,18.15,7911214,151478957.1,4245,SYNDIBANK
2020-03-06,EQ,20.75,20.85,19.75,21.0,20.35,20.3,20.37,46.6,18.15,7286202,148451958.5,5949,SYNDIBANK
2020-03-05,EQ,19.1,21.85,19.0,19.0,21.0,21.0,20.56,46.6,18.15,5091953,104674230.05,9355,SYNDIBANK
2020-03-04,EQ,19.2,19.9,18.6,18.9,18.9,19.0,19.19,46.6,18.15,3945223,75703420.5,6756,SYNDIBANK
2020-03-04,EQ,19.2,19.9,18.6,18.9,18.9,19.0,19.19,46.6,18.15,3945223,75703420.5,6756,SYNDIBANK
2020-03-04,EQ,19.2,19.9,18.6,18.9,18.9,19.0,19.19,46.6,18.15,3945223,75703420.5,6756,SYNDIBANK
2020-03-04,EQ,19.2,19.9,18.6,18.9,18.9,19.0,19.19,46.6,18.15,3945223,75703420.5,6756,SYNDIBANK
2020-03-04,EQ,19.2,19.9,18.6,18.9,18.9,19.0,19.19,46.6,18.15,3945223,75703420.5,6756,SYNDIBANK
2020-03-03,EQ,19.0,19.15,18.65,18.5,19.0,18.9,18.95,46.6,18.15,1467508,27811669.35,2915,SYNDIBANK
