DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2022-12-30,EQ,260.7,266.7,259.0,258.7,260.0,260.25,262.73,309.35,147.25,316251,83089150.2,11759,TRITURBINE
2022-12-29,EQ,264.4,269.35,255.0,263.95,258.9,258.7,261.95,309.35,147.25,307786,80625550.85,9876,TRITURBINE
2022-12-28,EQ,273.8,273.8,262.05,272.6,264.4,263.95,265.13,309.35,147.25,415590,110187071.8,12935,TRITURBINE
2022-12-27,EQ,270.75,275.4,266.8,269.4,275.05,272.6,271.75,309.35,147.25,287519,78134631.55,10825,TRITURBINE
2022-12-26,EQ,250.0,271.5,248.35,251.6,268.6,269.4,264.56,309.35,147.25,859985,227513934.95,14680,TRITURBINE
2022-12-23,EQ,258.45,263.75,250.0,265.8,253.8,251.6,257.37,309.35,147.25,451828,116286209.6,17074,TRITURBINE
2022-12-22,EQ,279.95,279.95,260.15,285.65,265.45,265.8,267.0,309.35,147.25,1207494,322395148.6,27308,TRITURBINE
2022-12-21,EQ,301.8,304.3,283.05,299.4,287.65,285.65,292.43,309.35,147.25,432252,126403178.15,12778,TRITURBINE
2022-12-20,EQ,295.2,300.75,292.0,294.85,299.45,299.4,297.67,309.35,147.25,430120,128033708.75,12590,TRITURBINE
2022-12-19,EQ,296.2,300.9,293.0,294.2,295.0,294.85,296.21,309.35,147.25,464668,137640264.45,12550,TRITURBINE
2022-12-16,EQ,298.3,302.3,290.3,297.8,294.6,294.2,295.7,309.35,147.25,394381,116617288.6,13450,TRITURBINE
2022-12-15,EQ,306.8,309.35,296.1,304.25,297.2,297.8,302.84,309.35,147.25,554226,167842970.4,17273,TRITURBINE
2022-12-14,EQ,294.95,308.5,293.85,294.5,304.2,304.25,304.34,308.5,147.25,1385461,421649156.5,24083,TRITURBINE
2022-12-13,EQ,295.45,297.5,291.8,294.1,296.2,294.5,294.53,307.6,147.25,279312,82264891.05,8642,TRITURBINE
2022-12-12,EQ,292.9,298.8,291.65,291.55,294.1,294.1,295.79,307.6,147.25,458918,135743123.85,10311,TRITURBINE
2022-12-09,EQ,302.8,307.6,286.25,299.9,293.45,291.55,299.48,307.6,147.25,1584890,474643631.65,30598,TRITURBINE
2022-12-08,EQ,289.5,301.6,288.25,288.2,300.3,299.9,298.43,305.5,147.25,1467946,438082528.8,21417,TRITURBINE
2022-12-07,EQ,287.65,291.95,285.1,286.5,289.2,288.2,287.29,305.5,147.25,279813,80387779.45,7956,TRITURBINE
2022-12-06,EQ,288.7,291.0,281.35,288.45,286.95,286.5,285.93,305.5,147.25,268370,76734356.9,7241,TRITURBINE
2022-12-05,EQ,291.85,293.5,286.45,290.2,289.0,288.45,289.68,305.5,147.25,261279,75686875.65,7186,TRITURBINE
2022-12-02,EQ,291.9,302.0,288.2,293.5,290.7,290.2,296.31,305.5,147.25,766656,227165030.55,23975,TRITURBINE
2022-12-01,EQ,290.4,294.95,287.0,286.95,292.95,293.5,293.4,305.5,147.25,894118,262336828.05,26445,TRITURBINE
2022-11-30,EQ,281.7,289.5,280.5,280.3,287.05,286.95,286.34,305.5,147.25,940036,269171240.0,18252,TRITURBINE
2022-11-29,EQ,276.9,282.3,276.05,275.5,281.5,280.3,279.52,305.5,147.25,475785,132990924.1,14552,TRITURBINE
2022-11-28,EQ,276.0,277.4,272.65,275.6,276.7,275.5,275.45,305.5,147.25,304483,83869833.5,10372,TRITURBINE
2022-11-25,EQ,278.95,278.95,274.5,278.15,276.8,275.6,276.43,305.5,147.25,267392,73914137.75,8220,TRITURBINE
2022-11-24,EQ,281.0,282.0,277.0,276.3,277.6,278.15,279.59,305.5,147.25,456375,127599358.25,10313,TRITURBINE
2022-11-23,EQ,283.1,285.25,275.1,281.65,276.6,276.3,278.35,305.5,147.25,325810,90688437.6,10760,TRITURBINE
2022-11-22,EQ,283.8,288.5,278.4,282.55,283.45,281.65,284.2,305.5,147.25,403957,114805289.55,10301,TRITURBINE
2022-11-21,EQ,291.0,291.7,279.35,289.75,283.2,282.55,284.76,305.5,147.25,476405,135660299.6,12984,TRITURBINE
2022-11-18,EQ,278.0,293.0,277.2,276.65,291.0,289.75,285.69,305.5,147.25,752372,214947385.4,14886,TRITURBINE
2022-11-17,EQ,284.8,289.65,275.55,285.6,276.3,276.65,281.27,305.5,147.25,542614,152621497.95,12482,TRITURBINE
2022-11-16,EQ,283.2,287.4,281.35,281.65,285.0,285.6,284.95,305.5,147.25,514147,146506855.9,11893,TRITURBINE
2022-11-15,EQ,275.2,284.7,275.0,273.8,283.0,281.65,279.69,305.5,147.25,501826,140357329.75,12879,TRITURBINE
2022-11-14,EQ,271.3,278.0,270.2,272.2,276.05,273.8,273.83,305.5,147.25,407640,111625359.65,11820,TRITURBINE
2022-11-11,EQ,283.7,284.5,270.45,279.95,273.8,272.2,275.51,305.5,147.25,481011,132524164.5,14039,TRITURBINE
2022-11-10,EQ,287.0,291.75,278.55,287.65,279.9,279.95,284.53,305.5,147.25,492676,140180881.2,12148,TRITURBINE
2022-11-09,EQ,288.1,294.8,285.6,288.1,288.0,287.65,289.98,305.5,147.25,631257,183054440.85,15499,TRITURBINE
2022-11-07,EQ,288.7,293.85,286.4,285.4,287.65,288.1,289.8,305.5,147.25,940881,272670806.15,23187,TRITURBINE
2022-11-04,EQ,283.4,287.7,281.2,281.45,284.7,285.4,284.42,305.5,147.25,528405,150291533.7,10241,TRITURBINE
2022-11-03,EQ,281.95,289.45,276.7,283.25,282.7,281.45,283.2,305.5,147.25,1079582,305737881.65,21812,TRITURBINE
2022-11-02,EQ,279.0,286.75,276.5,277.6,281.8,283.25,283.24,305.5,147.25,996786,282328048.35,21483,TRITURBINE
2022-11-01,EQ,281.2,282.75,271.1,279.8,278.55,277.6,276.09,305.5,147.25,772045,213156813.1,17353,TRITURBINE
2022-10-31,EQ,300.0,301.35,279.0,289.75,279.75,279.8,287.48,305.5,147.25,1390607,399774188.3,25712,TRITURBINE
2022-10-28,EQ,300.5,305.5,286.35,300.3,289.6,289.75,295.08,305.5,144.1,1192642,351923029.8,25970,TRITURBINE
2022-10-27,EQ,295.0,302.8,286.9,289.75,299.9,300.3,295.94,302.8,144.1,1748503,517456814.7,30427,TRITURBINE
2022-10-25,EQ,284.0,295.45,280.55,283.6,289.6,289.75,290.01,295.45,144.1,1263375,366396504.75,26217,TRITURBINE
2022-10-24,EQ,292.8,294.5,276.8,286.8,282.8,283.6,288.26,294.5,144.1,459457,132442210.5,9591,TRITURBINE
2022-10-21,EQ,275.5,290.0,274.4,272.4,286.25,286.8,282.35,290.0,144.1,2347567,662847150.3,29457,TRITURBINE
2022-10-20,EQ,268.45,274.0,266.0,269.05,273.9,272.4,271.99,277.9,144.1,615284,167348158.4,11271,TRITURBINE
2022-10-19,EQ,266.7,274.95,263.3,264.8,269.0,269.05,270.95,277.9,144.1,1461408,395969784.55,24399,TRITURBINE
2022-10-18,EQ,272.25,277.9,264.0,268.55,264.5,264.8,271.53,277.9,144.1,1680175,456213132.3,32579,TRITURBINE
2022-10-17,EQ,264.0,271.35,261.6,263.8,269.0,268.55,267.56,272.0,144.1,1600395,428202396.95,28907,TRITURBINE
2022-10-14,EQ,262.0,266.2,261.0,257.5,262.5,263.8,263.99,272.0,144.1,653568,172537718.85,11231,TRITURBINE
2022-10-13,EQ,267.4,267.6,256.5,266.3,257.85,257.5,260.37,272.0,144.1,856454,222999189.2,18078,TRITURBINE
2022-10-12,EQ,255.5,269.4,253.05,254.2,265.0,266.3,265.28,272.0,144.1,2314719,614047065.95,32899,TRITURBINE
2022-10-11,EQ,261.8,265.35,252.7,260.55,254.0,254.2,259.44,272.0,144.1,987079,256085782.65,11272,TRITURBINE
2022-10-10,EQ,250.3,266.95,248.5,253.55,259.9,260.55,260.44,272.0,144.1,2541490,661918110.0,35449,TRITURBINE
2022-10-07,EQ,260.4,261.6,249.45,259.0,252.95,253.55,253.54,272.0,144.1,1256785,318650969.8,20454,TRITURBINE
2022-10-06,EQ,265.55,267.6,256.5,269.15,259.2,259.0,261.7,272.0,144.1,2100701,549752576.05,25048,TRITURBINE
2022-10-04,EQ,262.0,272.0,254.35,255.5,268.0,269.15,266.81,272.0,144.1,5054241,1348513427.3,67657,TRITURBINE
2022-10-03,EQ,235.0,262.45,234.9,234.9,261.0,255.5,252.13,262.45,144.1,7747389,1953336100.05,73489,TRITURBINE
