DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2022-12-30,EQ,87.8,88.95,85.0,86.95,85.3,85.25,85.93,137.0,62.35,6862,589650.25,188,TTL
2022-12-29,EQ,87.9,87.9,85.1,86.4,87.4,86.95,86.68,137.0,62.35,7237,627323.0,275,TTL
2022-12-28,EQ,85.0,87.0,83.25,83.6,86.7,86.4,85.61,137.0,62.35,9278,794275.65,368,TTL
2022-12-27,EQ,81.1,85.8,81.1,80.6,83.05,83.6,83.65,137.0,62.35,11621,972060.15,479,TTL
2022-12-26,EQ,76.2,81.55,76.15,77.7,80.95,80.6,79.66,137.0,62.35,7913,630328.65,357,TTL
2022-12-23,EQ,80.3,81.0,77.05,82.8,78.0,77.7,78.62,137.0,62.35,29497,2319128.4,603,TTL
2022-12-22,EQ,87.3,87.3,81.65,85.45,82.5,82.8,83.72,137.0,62.35,12668,1060511.0,320,TTL
2022-12-21,EQ,89.95,89.95,85.0,88.05,86.0,85.45,86.51,137.0,62.35,10918,944518.95,406,TTL
2022-12-20,EQ,90.75,90.75,87.4,89.0,87.7,88.05,89.27,137.0,62.35,18176,1622512.5,376,TTL
2022-12-19,EQ,91.3,91.3,88.0,88.9,89.3,89.0,88.9,137.0,62.35,9065,805860.35,272,TTL
2022-12-16,EQ,92.45,92.45,88.0,90.35,89.1,88.9,89.46,137.0,62.35,20733,1854841.85,464,TTL
2022-12-15,EQ,93.15,93.15,90.0,91.35,90.5,90.35,91.05,137.0,62.35,17369,1581476.95,319,TTL
2022-12-14,EQ,92.45,92.45,91.05,91.6,91.05,91.35,91.6,137.0,62.35,10710,981042.55,236,TTL
2022-12-13,EQ,92.95,93.0,91.0,91.5,91.3,91.6,91.55,137.0,62.35,24546,2247196.1,341,TTL
2022-12-12,EQ,92.7,93.55,91.2,91.85,91.5,91.5,91.84,137.0,62.35,10188,935679.7,246,TTL
2022-12-09,EQ,92.0,97.0,91.0,91.85,91.7,91.85,92.8,137.0,62.35,22110,2051819.1,487,TTL
2022-12-08,EQ,92.0,93.0,91.55,91.8,92.8,91.85,92.38,137.0,62.35,10873,1004448.65,271,TTL
2022-12-07,EQ,94.0,94.9,90.9,93.55,92.0,91.8,92.67,137.0,62.35,32894,3048383.05,816,TTL
2022-12-06,EQ,95.45,95.45,92.45,94.05,94.75,93.55,93.73,137.0,62.35,14144,1325709.8,409,TTL
2022-12-05,EQ,94.1,96.7,93.1,94.9,94.5,94.05,94.43,137.0,62.35,27493,2596186.25,642,TTL
2022-12-02,EQ,97.0,97.0,93.8,94.9,95.95,94.9,95.22,137.0,62.35,19312,1838803.55,406,TTL
2022-12-01,EQ,94.05,97.65,93.3,93.25,94.95,94.9,95.93,137.0,62.35,40903,3923763.95,1013,TTL
2022-11-30,EQ,94.95,95.2,93.0,93.1,93.2,93.25,93.69,137.0,62.35,6359,595772.1,198,TTL
2022-11-29,EQ,97.4,97.4,92.0,95.5,93.65,93.1,93.62,137.0,62.35,13414,1255838.0,386,TTL
2022-11-28,EQ,93.15,97.1,88.55,93.45,94.6,95.5,93.74,137.0,62.35,54306,5090667.0,953,TTL
2022-11-25,EQ,94.2,95.55,93.05,95.0,93.2,93.45,94.21,137.0,62.35,11979,1128496.9,332,TTL
2022-11-24,EQ,95.0,95.75,92.65,93.85,95.45,95.0,94.67,137.0,62.35,14753,1396735.95,287,TTL
2022-11-23,EQ,96.65,96.65,92.5,94.35,93.75,93.85,94.97,137.0,62.35,17654,1676604.3,401,TTL
2022-11-22,EQ,94.2,95.65,92.95,94.45,94.35,94.35,93.99,137.0,62.35,11391,1070586.35,235,TTL
2022-11-21,EQ,96.0,99.8,92.2,94.8,93.2,94.45,94.6,137.0,62.35,28827,2727011.45,579,TTL
2022-11-18,EQ,92.4,96.05,92.4,94.35,94.05,94.8,94.63,137.0,62.35,16427,1554510.9,402,TTL
2022-11-17,EQ,96.0,97.7,93.3,94.55,93.6,94.35,94.81,137.0,62.35,21752,2062318.35,584,TTL
2022-11-16,EQ,92.85,98.95,91.45,91.05,93.65,94.55,96.08,137.0,62.35,90131,8659531.45,1825,TTL
