DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2022-12-05,EQ,199.9,206.45,192.0,197.7,198.3,202.6,201.06,206.45,67.35,306914,61707160.3,3543,VERTOZ
2022-12-02,EQ,199.9,202.0,196.0,199.3,198.0,197.7,198.32,203.65,67.35,145828,28920031.8,3473,VERTOZ
2022-12-01,EQ,196.3,203.65,193.5,196.95,199.55,199.3,198.6,203.65,67.35,335457,66623170.75,3700,VERTOZ
2022-11-30,EQ,193.7,196.95,185.85,187.6,196.9,196.95,195.66,196.95,67.35,993282,194350187.1,14046,VERTOZ
2022-11-29,EQ,178.0,187.65,169.85,178.75,187.6,187.6,182.87,188.15,67.35,962587,176027189.4,28839,VERTOZ
2022-11-28,EQ,183.0,188.15,175.6,182.8,177.35,178.75,181.67,188.15,67.35,115513,20985661.0,6279,VERTOZ
2022-11-25,EQ,183.0,183.95,178.0,175.2,180.0,182.8,182.7,183.95,67.35,555945,101573347.35,12768,VERTOZ
2022-11-24,EQ,168.0,175.2,158.6,166.9,175.2,175.2,165.46,181.7,67.35,747976,123760197.3,3400,VERTOZ
2022-11-23,EQ,172.0,176.85,166.15,174.85,166.15,166.9,169.11,181.7,67.35,286541,48456928.35,6494,VERTOZ
2022-11-22,EQ,176.25,181.7,169.6,175.75,171.0,174.85,177.53,181.7,67.35,371055,65871604.6,5222,VERTOZ
2022-11-21,EQ,169.9,175.8,161.2,167.45,175.8,175.75,172.41,175.8,67.35,697950,120331674.8,17710,VERTOZ
2022-11-18,EQ,167.45,167.45,151.55,159.5,167.45,167.45,161.07,167.45,67.35,1524982,245626661.5,31966,VERTOZ
2022-11-17,EQ,159.5,159.5,159.5,151.95,159.5,159.5,159.5,159.5,67.35,76367,12180536.5,396,VERTOZ
2022-11-16,EQ,151.95,151.95,151.95,144.75,151.95,151.95,151.95,151.95,67.35,123254,18728445.3,557,VERTOZ
2022-11-15,EQ,135.15,144.75,135.15,137.9,144.75,144.75,143.44,151.5,67.35,205425,29466941.9,2595,VERTOZ
2022-11-14,EQ,138.0,139.9,133.3,135.85,137.05,137.9,137.15,151.5,67.35,187914,25771860.25,2036,VERTOZ
2022-11-11,EQ,134.0,138.8,131.8,127.1,136.0,135.85,136.12,151.5,67.35,459777,62584812.2,6022,VERTOZ
2022-11-10,EQ,120.0,127.65,113.1,116.05,127.65,127.1,122.32,151.5,67.35,451432,55218539.75,4585,VERTOZ
