DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2022-12-30,EQ,431.9,435.0,428.3,426.45,429.0,432.1,432.61,708.0,401.6,14466,6258170.45,807,VISAKAIND
2022-12-29,EQ,433.5,433.5,423.95,433.5,425.7,426.45,427.49,708.0,401.6,13138,5616410.85,923,VISAKAIND
2022-12-28,EQ,425.8,434.1,422.25,421.65,433.7,433.5,429.92,708.0,401.6,26337,11322766.7,1322,VISAKAIND
2022-12-27,EQ,426.4,427.0,419.05,419.15,421.05,421.65,422.52,708.0,401.6,12315,5203333.05,870,VISAKAIND
2022-12-26,EQ,407.0,421.7,401.6,404.85,418.55,419.15,415.1,708.0,401.6,27457,11397393.4,1768,VISAKAIND
2022-12-23,EQ,424.8,424.8,402.0,427.75,403.6,404.85,412.97,708.0,402.0,42762,17659508.6,2251,VISAKAIND
2022-12-22,EQ,433.0,437.25,421.3,429.4,429.95,427.75,426.62,708.0,421.3,19868,8476016.15,1595,VISAKAIND
2022-12-21,EQ,447.45,447.45,428.0,440.85,430.2,429.4,436.07,708.0,428.0,36342,15847520.45,1934,VISAKAIND
2022-12-20,EQ,445.2,446.9,440.0,445.2,441.0,440.85,442.06,708.0,435.0,15200,6719249.1,752,VISAKAIND
2022-12-19,EQ,454.5,464.8,444.4,450.05,444.5,445.2,448.65,708.0,435.0,45937,20609657.9,1957,VISAKAIND
2022-12-16,EQ,462.3,463.45,448.0,458.2,452.0,450.05,453.58,708.0,435.0,38387,17411593.75,1236,VISAKAIND
2022-12-15,EQ,460.0,468.0,454.05,454.05,460.0,458.2,461.41,708.0,435.0,86549,39934898.35,1918,VISAKAIND
2022-12-14,EQ,451.0,455.8,445.0,451.7,455.1,454.05,452.89,708.0,435.0,12767,5782000.15,946,VISAKAIND
2022-12-13,EQ,445.0,453.9,445.0,447.95,452.2,451.7,450.54,708.0,435.0,9042,4073781.05,556,VISAKAIND
2022-12-12,EQ,447.1,452.0,438.8,447.1,448.95,447.95,444.4,708.0,435.0,24384,10836336.85,1426,VISAKAIND
2022-12-09,EQ,455.2,457.95,445.5,454.35,449.8,447.1,450.76,708.0,435.0,22529,10155244.9,1386,VISAKAIND
2022-12-08,EQ,451.55,455.95,450.5,448.0,454.0,454.35,453.29,708.0,435.0,13464,6103034.9,1039,VISAKAIND
2022-12-07,EQ,455.7,459.5,447.0,455.7,447.0,448.0,449.79,708.0,435.0,37528,16879632.75,2198,VISAKAIND
2022-12-06,EQ,462.0,465.8,451.0,462.95,459.0,455.7,459.23,708.0,435.0,22035,10119028.65,2125,VISAKAIND
2022-12-05,EQ,459.9,465.0,452.55,457.45,464.8,462.95,460.53,708.0,435.0,26690,12291598.85,2029,VISAKAIND
2022-12-02,EQ,457.4,460.0,453.8,457.45,460.0,457.45,456.37,708.0,435.0,21403,9767582.35,1447,VISAKAIND
2022-12-01,EQ,442.0,464.8,437.35,439.5,453.55,457.45,453.25,708.0,435.0,82819,37537992.75,5035,VISAKAIND
2022-11-30,EQ,441.65,445.0,435.0,441.65,439.95,439.5,439.69,708.0,435.0,25864,11372018.4,1647,VISAKAIND
2022-11-29,EQ,449.5,450.7,440.05,447.6,440.25,441.65,444.89,708.0,435.1,22174,9865048.5,1255,VISAKAIND
2022-11-28,EQ,450.6,454.8,446.0,450.6,448.0,447.6,448.67,708.0,435.1,25972,11652830.7,1324,VISAKAIND
2022-11-25,EQ,450.0,454.7,445.15,445.0,451.0,450.6,451.63,708.0,435.1,27975,12634462.45,1960,VISAKAIND
2022-11-24,EQ,444.0,447.9,442.0,443.6,445.0,445.0,445.24,708.0,435.1,10760,4790796.25,843,VISAKAIND
2022-11-23,EQ,442.0,447.6,440.0,445.4,443.2,443.6,443.26,708.0,435.1,8422,3733172.95,907,VISAKAIND
2022-11-22,EQ,450.55,450.55,440.0,444.3,444.0,445.4,444.44,708.0,435.1,20273,9010190.4,2020,VISAKAIND
2022-11-21,EQ,442.8,448.9,442.05,442.95,443.7,444.3,445.45,708.0,435.1,12679,5647893.75,1116,VISAKAIND
2022-11-18,EQ,440.0,444.5,438.65,440.3,443.45,442.95,441.59,708.0,435.1,10572,4668504.5,1180,VISAKAIND
2022-11-17,EQ,442.0,448.3,435.1,445.45,442.0,440.3,439.13,708.0,435.1,31491,13828511.7,2772,VISAKAIND
2022-11-16,EQ,454.2,459.0,443.5,454.2,444.0,445.45,448.98,708.0,440.0,21159,9499983.25,2458,VISAKAIND
2022-11-15,EQ,444.6,459.0,444.0,444.55,454.0,454.2,454.37,708.0,440.0,34290,15580379.45,4127,VISAKAIND
2022-11-14,EQ,465.1,468.95,440.0,465.1,445.1,444.55,452.66,708.0,440.0,64369,29137534.2,5666,VISAKAIND
2022-11-11,EQ,465.0,469.2,461.0,464.0,464.0,465.1,464.4,708.0,446.15,26594,12350290.25,2393,VISAKAIND
2022-11-10,EQ,465.0,472.65,462.4,473.7,463.65,464.0,465.6,708.0,446.15,28701,13363124.1,3243,VISAKAIND
2022-11-09,EQ,483.0,484.4,471.1,481.65,472.0,473.7,476.54,708.0,446.15,46754,22280275.0,4484,VISAKAIND
2022-11-07,EQ,460.8,500.6,460.8,483.35,481.0,481.65,482.47,708.0,446.15,182224,87917029.6,9010,VISAKAIND
