DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2022-12-30,EQ,1.2,1.3,1.15,1.2,1.2,1.2,1.21,2.1,1.0,1882912,2285769.2,981,VIVIDHA
2022-12-29,EQ,1.15,1.2,1.15,1.2,1.2,1.2,1.17,2.1,1.0,418592,489206.85,628,VIVIDHA
2022-12-28,EQ,1.15,1.2,1.15,1.15,1.15,1.2,1.18,2.1,1.0,275065,325527.75,541,VIVIDHA
2022-12-27,EQ,1.15,1.2,1.1,1.15,1.15,1.15,1.14,2.1,1.0,600503,684996.15,5897,VIVIDHA
2022-12-26,EQ,1.1,1.2,1.05,1.1,1.15,1.15,1.13,2.1,1.0,1101028,1240326.0,992,VIVIDHA
2022-12-23,EQ,1.15,1.15,1.0,1.1,1.05,1.1,1.08,2.1,1.0,1742585,1886865.2,1061,VIVIDHA
2022-12-22,EQ,1.15,1.2,1.1,1.15,1.15,1.1,1.14,2.1,1.1,1055683,1202249.5,985,VIVIDHA
2022-12-21,EQ,1.25,1.25,1.15,1.2,1.2,1.15,1.2,2.1,1.1,1079838,1295012.0,849,VIVIDHA
2022-12-20,EQ,1.25,1.25,1.2,1.25,1.25,1.2,1.22,2.1,1.1,548256,669370.95,694,VIVIDHA
2022-12-19,EQ,1.3,1.3,1.2,1.25,1.25,1.25,1.23,2.1,1.1,671247,825223.05,961,VIVIDHA
2022-12-16,EQ,1.3,1.35,1.2,1.3,1.3,1.25,1.27,2.1,1.1,1229664,1559270.3,803,VIVIDHA
2022-12-15,EQ,1.25,1.35,1.2,1.2,1.3,1.3,1.28,2.1,1.1,2206627,2822154.5,963,VIVIDHA
2022-12-14,EQ,1.2,1.25,1.2,1.2,1.25,1.2,1.22,2.1,1.1,476946,581783.8,653,VIVIDHA
2022-12-13,EQ,1.2,1.25,1.2,1.25,1.25,1.2,1.21,2.1,1.1,575031,698268.9,731,VIVIDHA
2022-12-12,EQ,1.25,1.25,1.2,1.25,1.25,1.25,1.23,2.1,1.1,398302,491023.2,842,VIVIDHA
2022-12-09,EQ,1.2,1.3,1.2,1.2,1.25,1.25,1.25,2.1,1.1,1937706,2430877.65,930,VIVIDHA
2022-12-08,EQ,1.2,1.25,1.2,1.25,1.25,1.2,1.22,2.1,1.1,354255,431972.8,619,VIVIDHA
2022-12-07,EQ,1.25,1.25,1.2,1.2,1.25,1.25,1.23,2.1,1.1,390961,479155.55,586,VIVIDHA
2022-12-06,EQ,1.2,1.25,1.2,1.2,1.2,1.2,1.22,2.1,1.1,647114,791055.6,750,VIVIDHA
2022-12-05,EQ,1.25,1.25,1.2,1.25,1.25,1.2,1.22,2.1,1.1,453408,553117.15,763,VIVIDHA
2022-12-02,EQ,1.2,1.25,1.15,1.2,1.25,1.25,1.21,2.1,1.05,1343539,1626238.25,1079,VIVIDHA
2022-12-01,EQ,1.2,1.2,1.15,1.2,1.2,1.2,1.18,2.1,1.05,463738,545964.75,872,VIVIDHA
2022-11-30,EQ,1.2,1.2,1.15,1.2,1.2,1.2,1.17,2.1,1.05,427623,500995.7,713,VIVIDHA
2022-11-29,EQ,1.2,1.2,1.15,1.2,1.2,1.2,1.18,2.1,1.05,289371,340573.15,767,VIVIDHA
2022-11-28,EQ,1.15,1.2,1.15,1.15,1.2,1.2,1.17,2.1,1.05,437867,512927.85,786,VIVIDHA
2022-11-25,EQ,1.2,1.2,1.1,1.15,1.2,1.15,1.16,2.1,0.95,523294,607303.4,4429,VIVIDHA
2022-11-24,EQ,1.2,1.2,1.15,1.15,1.15,1.15,1.18,2.1,0.95,462279,544558.65,868,VIVIDHA
2022-11-23,EQ,1.2,1.2,1.15,1.15,1.2,1.15,1.16,2.1,0.95,667984,777827.45,774,VIVIDHA
2022-11-22,EQ,1.2,1.2,1.15,1.2,1.2,1.15,1.17,2.1,0.95,282630,330003.85,603,VIVIDHA
2022-11-21,EQ,1.25,1.25,1.15,1.2,1.2,1.2,1.18,2.1,0.95,889448,1048407.75,889,VIVIDHA
2022-11-18,EQ,1.25,1.25,1.15,1.2,1.25,1.2,1.2,2.1,0.8,1025975,1231587.25,9929,VIVIDHA
2022-11-17,EQ,1.2,1.25,1.2,1.25,1.25,1.2,1.21,2.1,0.8,457500,554667.45,834,VIVIDHA
2022-11-16,EQ,1.25,1.3,1.1,1.25,1.25,1.25,1.22,2.1,0.8,3821817,4644413.3,923,VIVIDHA
2022-11-15,EQ,1.3,1.3,1.25,1.25,1.3,1.25,1.28,2.1,0.8,505117,647127.15,553,VIVIDHA
2022-11-14,EQ,1.3,1.35,1.25,1.25,1.3,1.25,1.29,2.1,0.8,1379645,1783228.1,733,VIVIDHA
2022-11-11,EQ,1.25,1.3,1.25,1.25,1.25,1.25,1.27,2.1,0.8,243666,308768.5,521,VIVIDHA
2022-11-10,EQ,1.25,1.3,1.25,1.25,1.3,1.25,1.27,2.1,0.8,381407,485582.45,678,VIVIDHA
2022-11-09,EQ,1.25,1.3,1.25,1.25,1.3,1.25,1.28,2.1,0.8,680792,868723.5,802,VIVIDHA
2022-11-07,EQ,1.25,1.3,1.2,1.25,1.3,1.25,1.26,2.1,0.8,1229618,1546044.75,880,VIVIDHA
2022-11-04,EQ,1.3,1.3,1.25,1.25,1.3,1.25,1.26,2.1,0.7,621941,784417.1,554,VIVIDHA
2022-11-03,EQ,1.3,1.3,1.25,1.25,1.25,1.25,1.26,2.1,0.7,531248,668616.15,627,VIVIDHA
2022-11-02,EQ,1.25,1.3,1.25,1.25,1.3,1.25,1.26,2.1,0.7,501676,631681.0,670,VIVIDHA
2022-11-01,EQ,1.3,1.3,1.25,1.25,1.3,1.25,1.27,2.1,0.7,492224,622824.4,644,VIVIDHA
2022-10-31,EQ,1.35,1.35,1.25,1.3,1.3,1.25,1.28,2.1,0.7,650012,834762.7,850,VIVIDHA
2022-10-28,EQ,1.25,1.4,1.25,1.25,1.3,1.3,1.31,2.1,0.7,2479575,3258142.1,3386,VIVIDHA
2022-10-27,EQ,1.3,1.3,1.25,1.3,1.25,1.25,1.28,2.1,0.7,331444,423893.5,710,VIVIDHA
2022-10-25,EQ,1.3,1.35,1.25,1.25,1.25,1.3,1.29,2.1,0.7,943008,1217727.0,3503,VIVIDHA
2022-10-24,EQ,1.3,1.3,1.25,1.3,1.3,1.25,1.28,2.1,0.7,160033,204567.15,523,VIVIDHA
2022-10-21,EQ,1.2,1.35,1.2,1.2,1.25,1.3,1.28,2.1,0.7,1507262,1926502.15,780,VIVIDHA
2022-10-20,EQ,1.25,1.25,1.2,1.25,1.25,1.2,1.23,2.1,0.7,695234,853945.25,908,VIVIDHA
2022-10-19,EQ,1.3,1.3,1.2,1.25,1.25,1.25,1.26,2.1,0.7,596636,750887.25,935,VIVIDHA
2022-10-18,EQ,1.25,1.3,1.2,1.25,1.3,1.25,1.25,2.1,0.7,757985,948208.65,4474,VIVIDHA
2022-10-17,EQ,1.25,1.3,1.25,1.3,1.3,1.25,1.26,2.1,0.7,625833,787964.95,769,VIVIDHA
2022-10-14,EQ,1.3,1.3,1.25,1.3,1.3,1.3,1.27,2.1,0.7,552785,702694.5,768,VIVIDHA
2022-10-13,EQ,1.3,1.3,1.25,1.25,1.25,1.3,1.27,2.1,0.7,341847,434690.0,618,VIVIDHA
2022-10-12,EQ,1.3,1.35,1.25,1.3,1.3,1.25,1.28,2.1,0.7,298467,380756.25,835,VIVIDHA
2022-10-11,EQ,1.35,1.35,1.25,1.3,1.3,1.3,1.3,2.1,0.7,889138,1156371.4,5628,VIVIDHA
2022-10-10,EQ,1.3,1.35,1.25,1.3,1.35,1.3,1.3,2.1,0.7,1031485,1337314.2,674,VIVIDHA
2022-10-07,EQ,1.3,1.35,1.3,1.3,1.35,1.3,1.31,2.1,0.7,359081,471997.25,4686,VIVIDHA
2022-10-06,EQ,1.35,1.35,1.25,1.3,1.35,1.3,1.31,2.1,0.7,789743,1032605.95,5012,VIVIDHA
2022-10-04,EQ,1.3,1.3,1.25,1.3,1.3,1.3,1.28,2.1,0.7,579980,744386.85,700,VIVIDHA
2022-10-03,EQ,1.35,1.35,1.25,1.3,1.25,1.3,1.3,2.1,0.7,741167,960040.05,863,VIVIDHA
2022-09-30,EQ,1.3,1.35,1.25,1.3,1.35,1.3,1.3,2.1,0.7,858231,1119915.55,658,VIVIDHA
2022-09-29,EQ,1.35,1.4,1.3,1.3,1.3,1.3,1.34,2.1,0.7,930452,1248550.95,4567,VIVIDHA
2022-09-28,EQ,1.35,1.35,1.3,1.3,1.3,1.3,1.32,2.1,0.7,450432,592854.5,5662,VIVIDHA
2022-09-27,EQ,1.3,1.35,1.25,1.3,1.3,1.3,1.31,2.1,0.7,534499,700350.05,5739,VIVIDHA
2022-09-26,EQ,1.4,1.4,1.25,1.35,1.35,1.3,1.3,2.1,0.7,1499908,1951362.7,1100,VIVIDHA
2022-09-23,EQ,1.4,1.4,1.35,1.35,1.4,1.35,1.36,2.1,0.7,878402,1196939.25,599,VIVIDHA
2022-09-22,EQ,1.4,1.4,1.35,1.35,1.4,1.35,1.36,2.1,0.7,485413,662268.1,675,VIVIDHA
2022-09-21,EQ,1.4,1.45,1.35,1.4,1.35,1.35,1.4,2.1,0.7,1038910,1451760.85,5725,VIVIDHA
2022-09-20,EQ,1.45,1.45,1.35,1.4,1.45,1.4,1.41,2.1,0.7,660320,930936.8,8350,VIVIDHA
2022-09-19,EQ,1.45,1.45,1.35,1.4,1.45,1.4,1.41,2.1,0.7,1283169,1809932.35,8574,VIVIDHA
2022-09-16,EQ,1.5,1.5,1.4,1.45,1.45,1.4,1.44,2.1,0.7,746404,1075315.3,8407,VIVIDHA
2022-09-15,EQ,1.5,1.55,1.45,1.5,1.5,1.45,1.48,2.1,0.7,1766428,2610092.25,963,VIVIDHA
2022-09-14,EQ,1.4,1.55,1.4,1.4,1.45,1.5,1.48,2.1,0.7,4848579,7192593.9,4490,VIVIDHA
2022-09-13,EQ,1.45,1.45,1.4,1.4,1.4,1.4,1.42,2.1,0.7,898726,1276777.25,782,VIVIDHA
2022-09-12,EQ,1.45,1.45,1.4,1.4,1.45,1.4,1.42,2.1,0.7,1443017,2048975.55,16392,VIVIDHA
2022-09-09,EQ,1.7,1.7,1.35,1.6,1.45,1.4,1.52,2.1,0.7,7815977,11874760.75,6677,VIVIDHA
