DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2022-12-30,EQ,803.45,811.85,797.0,800.45,799.0,799.85,804.18,1347.65,770.0,813045,653834559.95,19793,VOLTAS
2022-12-29,EQ,796.0,803.0,788.0,797.75,803.0,800.45,794.3,1347.65,770.0,625722,497009002.65,19337,VOLTAS
2022-12-28,EQ,801.3,802.8,791.5,797.75,797.0,797.75,798.14,1347.65,770.0,878587,701235502.95,25013,VOLTAS
2022-12-27,EQ,790.45,799.1,785.3,786.5,799.0,797.75,793.54,1347.65,770.0,469563,372615885.1,20340,VOLTAS
2022-12-26,EQ,777.75,789.4,770.0,777.75,787.0,786.5,783.3,1347.65,770.0,454783,356230676.5,21876,VOLTAS
2022-12-23,EQ,800.75,803.35,775.2,807.35,777.0,777.75,786.85,1347.65,775.2,980785,771725917.9,30919,VOLTAS
2022-12-22,EQ,817.0,817.0,798.3,813.7,806.9,807.35,805.69,1347.65,798.3,787550,634522982.1,23706,VOLTAS
2022-12-21,EQ,830.95,837.95,810.5,827.9,810.55,813.7,826.26,1347.65,803.6,1158353,957104114.95,19889,VOLTAS
2022-12-20,EQ,833.0,834.95,813.35,836.3,829.0,827.9,822.86,1347.65,803.6,1205458,991924683.95,34564,VOLTAS
2022-12-19,EQ,835.15,838.65,829.15,835.1,836.75,836.3,834.15,1347.65,803.6,483111,402987836.8,15318,VOLTAS
2022-12-16,EQ,845.1,848.3,831.0,850.4,831.8,835.1,839.49,1347.65,803.6,749560,629247099.9,23546,VOLTAS
2022-12-15,EQ,850.0,855.85,845.0,850.8,847.1,850.4,851.66,1347.65,803.6,1015102,864525564.45,16973,VOLTAS
2022-12-14,EQ,842.0,853.5,839.8,839.9,852.0,850.8,848.6,1347.65,803.6,776630,659047667.8,18770,VOLTAS
2022-12-13,EQ,843.2,844.0,835.5,841.15,839.8,839.9,839.08,1347.65,803.6,537656,451135084.0,16436,VOLTAS
2022-12-12,EQ,836.1,842.0,824.4,833.6,841.95,841.15,835.57,1347.65,803.6,536919,448634096.2,17704,VOLTAS
2022-12-09,EQ,849.1,850.15,828.1,847.9,834.0,833.6,839.18,1347.65,803.6,1243683,1043669910.75,31247,VOLTAS
2022-12-08,EQ,849.0,853.0,843.2,847.9,847.25,847.9,847.67,1347.65,803.6,529232,448613063.0,13571,VOLTAS
2022-12-07,EQ,852.5,857.55,840.55,851.15,847.0,847.9,849.66,1347.65,803.6,611505,519572780.25,18221,VOLTAS
2022-12-06,EQ,858.5,859.3,848.6,858.45,853.9,851.15,852.63,1347.65,803.6,763196,650721274.85,19557,VOLTAS
2022-12-05,EQ,861.0,862.4,848.6,855.25,858.5,858.45,856.34,1347.65,803.6,1045757,895528267.25,28397,VOLTAS
2022-12-02,EQ,842.0,856.3,838.55,842.35,854.0,855.25,851.48,1347.65,803.6,1438034,1224460704.6,32292,VOLTAS
2022-12-01,EQ,822.2,846.5,820.0,819.5,842.5,842.35,832.89,1347.65,803.6,2199715,1832111956.7,41339,VOLTAS
2022-11-30,EQ,825.85,829.15,817.5,825.85,819.0,819.5,821.06,1347.65,803.6,1252601,1028463027.1,41183,VOLTAS
2022-11-29,EQ,842.0,843.0,824.1,839.4,824.5,825.85,830.74,1347.65,803.6,904144,751108805.8,25429,VOLTAS
2022-11-28,EQ,829.0,844.8,825.0,829.4,840.0,839.4,839.94,1347.65,803.6,2003831,1683102100.65,38274,VOLTAS
2022-11-25,EQ,822.0,831.0,817.1,818.75,829.0,829.4,824.67,1347.65,803.6,1976090,1629629646.1,22163,VOLTAS
2022-11-24,EQ,814.9,819.75,812.1,813.1,819.5,818.75,815.54,1347.65,803.6,1795690,1464463807.0,16966,VOLTAS
2022-11-23,EQ,822.0,822.0,811.25,818.0,811.6,813.1,814.2,1347.65,803.6,993033,808531043.0,18488,VOLTAS
2022-11-22,EQ,809.5,823.0,806.95,809.95,817.5,818.0,815.52,1347.65,803.6,1021492,833050503.7,25753,VOLTAS
2022-11-21,EQ,810.0,813.9,803.6,809.95,809.5,809.95,809.78,1347.65,803.6,887839,718955241.7,23458,VOLTAS
2022-11-18,EQ,828.5,828.5,806.95,824.4,808.0,809.95,812.12,1347.65,806.95,1352789,1098632169.85,22674,VOLTAS
2022-11-17,EQ,815.0,829.55,812.0,817.2,823.9,824.4,820.8,1347.65,811.7,1299792,1066869707.5,27646,VOLTAS
2022-11-16,EQ,822.0,822.45,811.7,818.65,816.0,817.2,816.57,1347.65,811.7,815618,666006693.7,22543,VOLTAS
2022-11-15,EQ,824.9,825.0,816.2,822.9,818.8,818.65,819.01,1347.65,815.5,1208999,990179997.1,23713,VOLTAS
2022-11-14,EQ,830.0,832.0,820.9,829.05,823.0,822.9,824.65,1347.65,815.5,1195575,985929259.05,25178,VOLTAS
2022-11-11,EQ,830.3,840.0,827.0,826.1,829.0,829.05,832.1,1347.65,815.5,1554731,1293690235.85,28816,VOLTAS
2022-11-10,EQ,834.6,834.6,815.5,836.6,826.0,826.1,824.61,1347.65,815.5,1240790,1023162175.7,47878,VOLTAS
2022-11-09,EQ,836.0,843.75,835.0,834.55,835.5,836.6,838.7,1347.65,827.3,960196,805318971.9,39979,VOLTAS
2022-11-07,EQ,848.0,852.15,827.3,845.25,834.55,834.55,838.07,1347.65,827.3,1790614,1500653134.5,96630,VOLTAS
2022-11-04,EQ,861.9,865.9,835.2,861.25,846.0,845.25,845.31,1347.65,835.2,2807836,2373480124.4,106269,VOLTAS
2022-11-03,EQ,909.0,910.0,859.0,909.25,861.75,861.25,872.92,1347.65,857.35,3067654,2677831659.1,77066,VOLTAS
2022-11-02,EQ,894.0,928.0,888.0,908.95,910.0,909.25,906.32,1347.65,857.35,3102411,2811776368.55,69722,VOLTAS
2022-11-01,EQ,880.6,910.45,877.1,876.2,907.5,908.95,895.34,1347.65,857.35,1623970,1454007444.85,52273,VOLTAS
2022-10-31,EQ,874.8,878.85,859.4,871.25,877.0,876.2,872.09,1347.65,857.35,1960573,1709796625.6,44590,VOLTAS
2022-10-28,EQ,876.0,881.7,869.05,874.25,871.0,871.25,875.67,1347.65,857.35,595829,521749833.8,17899,VOLTAS
