DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2022-12-30,EQ,77.25,78.3,76.25,76.1,77.5,77.1,77.11,160.0,62.2,937380,72284386.75,5810,WELSPUNIND
2022-12-29,EQ,76.5,76.65,75.5,76.25,76.5,76.1,75.9,160.0,62.2,452216,34324940.6,2633,WELSPUNIND
2022-12-28,EQ,75.2,76.45,75.0,75.2,76.3,76.25,75.84,160.0,62.2,822683,62395926.6,4735,WELSPUNIND
2022-12-27,EQ,72.95,75.75,72.9,72.1,75.3,75.2,74.54,160.0,62.2,1003649,74811183.0,5234,WELSPUNIND
2022-12-26,EQ,68.8,72.7,68.4,68.45,72.45,72.1,71.62,160.0,62.2,872514,62492554.85,5802,WELSPUNIND
2022-12-23,EQ,72.45,72.95,67.1,72.75,69.0,68.45,69.95,160.0,62.2,1242902,86941835.9,8639,WELSPUNIND
2022-12-22,EQ,74.6,75.15,71.55,74.15,73.5,72.75,72.85,160.0,62.2,1340261,97637600.15,7795,WELSPUNIND
2022-12-21,EQ,75.1,75.9,74.0,74.95,74.15,74.15,74.76,160.0,62.2,991040,74089636.1,8111,WELSPUNIND
2022-12-20,EQ,76.45,76.45,74.05,75.5,74.85,74.95,74.77,160.0,62.2,1213114,90699862.0,11315,WELSPUNIND
2022-12-19,EQ,79.45,79.85,75.25,79.1,75.5,75.5,76.48,160.0,62.2,2486074,190126854.25,15514,WELSPUNIND
2022-12-16,EQ,79.2,79.9,77.85,79.55,79.15,79.1,78.7,160.0,62.2,790351,62202881.4,7550,WELSPUNIND
2022-12-15,EQ,81.65,82.05,78.7,81.85,79.5,79.55,79.87,160.0,62.2,969926,77469725.95,6934,WELSPUNIND
2022-12-14,EQ,82.35,83.0,81.05,81.5,81.65,81.85,82.0,160.0,62.2,1100842,90265396.85,5610,WELSPUNIND
2022-12-13,EQ,79.8,83.4,79.65,79.65,82.0,81.5,81.84,160.0,62.2,2971305,243159648.35,16519,WELSPUNIND
2022-12-12,EQ,78.75,80.4,78.0,78.65,79.8,79.65,79.39,160.0,62.2,1113360,88385078.95,5064,WELSPUNIND
2022-12-09,EQ,79.2,79.8,78.05,79.5,78.65,78.65,78.77,160.0,62.2,693457,54625652.15,5177,WELSPUNIND
2022-12-08,EQ,79.5,79.9,78.55,79.05,79.2,79.5,79.14,160.0,62.2,613264,48532983.25,5925,WELSPUNIND
2022-12-07,EQ,78.6,80.8,78.3,78.3,79.0,79.05,79.37,160.0,62.2,782554,62107625.15,6516,WELSPUNIND
2022-12-06,EQ,79.45,80.2,78.0,79.45,78.35,78.3,78.72,160.0,62.2,1004235,79051068.95,6665,WELSPUNIND
2022-12-05,EQ,81.0,81.6,79.0,80.8,79.8,79.45,79.92,160.0,62.2,1427928,114113532.9,8598,WELSPUNIND
2022-12-02,EQ,81.05,81.3,80.5,81.05,80.95,80.8,80.85,160.0,62.2,761880,61598232.6,4242,WELSPUNIND
2022-12-01,EQ,82.4,82.5,80.8,81.95,81.15,81.05,81.23,160.0,62.2,1041462,84603070.25,7102,WELSPUNIND
2022-11-30,EQ,83.0,83.95,81.75,82.35,81.75,81.95,82.65,160.0,62.2,1067933,88264688.25,6354,WELSPUNIND
2022-11-29,EQ,80.9,84.0,80.6,80.45,82.45,82.35,82.9,160.0,62.2,3441177,285265128.7,16225,WELSPUNIND
2022-11-28,EQ,80.9,81.6,80.1,80.9,80.9,80.45,80.73,160.0,62.2,554617,44775355.85,3601,WELSPUNIND
2022-11-25,EQ,80.8,81.7,79.4,80.35,80.9,80.9,80.29,160.0,62.2,1008346,80958409.0,6222,WELSPUNIND
2022-11-24,EQ,76.85,82.6,76.65,76.55,80.15,80.35,81.02,160.0,62.2,6081881,492757102.55,24463,WELSPUNIND
2022-11-23,EQ,77.0,77.65,76.4,76.6,76.4,76.55,76.7,160.0,62.2,378397,29024790.4,2725,WELSPUNIND
2022-11-22,EQ,76.2,77.15,76.0,76.2,76.75,76.6,76.57,160.0,62.2,404927,31003426.25,2808,WELSPUNIND
2022-11-21,EQ,77.65,77.95,76.05,77.3,76.1,76.2,76.65,160.0,62.2,333551,25567598.4,3438,WELSPUNIND
2022-11-18,EQ,78.5,78.85,77.0,78.45,77.2,77.3,77.7,160.0,62.2,567080,44064777.75,4332,WELSPUNIND
2022-11-17,EQ,79.0,79.9,78.05,79.05,78.15,78.45,79.13,160.0,62.2,762989,60374530.6,3827,WELSPUNIND
2022-11-16,EQ,78.25,80.1,78.2,78.2,79.0,79.05,79.25,160.0,62.2,1042920,82655852.95,5576,WELSPUNIND
2022-11-15,EQ,78.1,78.3,77.6,77.85,78.25,78.2,78.11,160.0,62.2,642617,50192309.35,2192,WELSPUNIND
2022-11-14,EQ,78.1,78.7,77.2,78.1,77.9,77.85,77.74,160.0,62.2,948792,73760987.65,3678,WELSPUNIND
2022-11-11,EQ,78.0,78.5,77.35,77.6,78.0,78.1,77.93,160.0,62.2,633294,49350930.35,3484,WELSPUNIND
2022-11-10,EQ,76.8,78.3,76.5,77.4,77.15,77.6,77.14,160.0,62.2,417407,32200651.35,4400,WELSPUNIND
2022-11-09,EQ,78.0,78.0,73.8,80.1,77.5,77.4,76.94,160.0,62.2,1722338,132513497.65,13625,WELSPUNIND
2022-11-07,EQ,78.85,80.35,78.5,78.45,80.0,80.1,79.77,160.0,62.2,723326,57701313.9,5254,WELSPUNIND
2022-11-04,EQ,78.45,79.7,78.0,78.05,78.6,78.45,78.74,160.0,62.2,548641,43198429.05,4050,WELSPUNIND
2022-11-03,EQ,78.95,79.4,78.0,78.65,78.05,78.05,78.61,160.0,62.2,498248,39169593.7,3598,WELSPUNIND
