DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2022-12-30,EQ,1489.0,1505.0,1481.0,1484.85,1495.0,1497.1,1494.25,1917.0,1365.1,40886,61093704.9,4120,WHIRLPOOL
2022-12-29,EQ,1488.8,1490.0,1461.0,1488.8,1485.0,1484.85,1475.46,1917.0,1365.1,107891,159189129.1,9830,WHIRLPOOL
2022-12-28,EQ,1482.7,1499.95,1482.0,1487.65,1491.8,1488.8,1489.49,1917.0,1365.1,64298,95771082.15,4463,WHIRLPOOL
2022-12-27,EQ,1487.85,1494.85,1470.85,1485.85,1492.6,1487.65,1483.14,1917.0,1365.1,66781,99045710.0,6776,WHIRLPOOL
2022-12-26,EQ,1475.2,1495.0,1462.0,1474.65,1490.0,1485.85,1481.3,1917.0,1365.1,81865,121266597.55,8206,WHIRLPOOL
2022-12-23,EQ,1481.0,1484.9,1462.4,1488.9,1475.0,1474.65,1474.11,1917.0,1365.1,76655,112997692.7,7064,WHIRLPOOL
2022-12-22,EQ,1495.75,1509.95,1477.0,1495.75,1495.0,1488.9,1489.83,1917.0,1365.1,80243,119548162.95,4891,WHIRLPOOL
2022-12-21,EQ,1515.0,1527.8,1492.0,1507.45,1493.0,1495.75,1509.21,1917.0,1365.1,102274,154352930.05,10153,WHIRLPOOL
2022-12-20,EQ,1497.95,1511.0,1478.0,1496.4,1507.0,1507.45,1496.59,1917.0,1365.1,92814,138904097.5,4686,WHIRLPOOL
2022-12-19,EQ,1480.0,1502.0,1471.75,1488.3,1500.0,1496.4,1488.3,1917.0,1365.1,52007,77402161.75,6918,WHIRLPOOL
2022-12-16,EQ,1507.7,1507.7,1478.15,1500.15,1487.0,1488.3,1488.78,1944.0,1365.1,91690,136505948.25,9091,WHIRLPOOL
2022-12-15,EQ,1514.8,1519.4,1495.2,1509.5,1499.0,1500.15,1506.07,1944.0,1365.1,44366,66818460.7,3533,WHIRLPOOL
2022-12-14,EQ,1522.95,1527.95,1505.0,1515.05,1515.0,1509.5,1513.04,1944.0,1365.1,46943,71026493.85,4339,WHIRLPOOL
2022-12-13,EQ,1516.5,1523.45,1496.55,1508.55,1517.0,1515.05,1510.31,1944.0,1365.1,62735,94749259.75,5173,WHIRLPOOL
2022-12-12,EQ,1516.8,1523.4,1488.9,1516.8,1510.0,1508.55,1506.72,1944.0,1365.1,133131,200591468.35,7832,WHIRLPOOL
2022-12-09,EQ,1526.05,1557.9,1507.9,1523.3,1514.0,1516.8,1530.59,2068.9,1365.1,153794,235395951.8,9479,WHIRLPOOL
2022-12-08,EQ,1523.4,1526.0,1498.25,1512.55,1521.5,1523.3,1509.49,2068.9,1365.1,163499,246799783.3,12734,WHIRLPOOL
2022-12-07,EQ,1533.2,1536.4,1505.3,1525.6,1509.95,1512.55,1516.64,2068.9,1365.1,161324,244670617.85,10774,WHIRLPOOL
2022-12-06,EQ,1528.0,1533.9,1512.45,1529.55,1529.0,1525.6,1522.72,2068.9,1365.1,80920,123218633.2,8577,WHIRLPOOL
2022-12-05,EQ,1547.0,1555.75,1522.0,1536.0,1526.5,1529.55,1536.8,2068.9,1365.1,119231,183234262.25,11645,WHIRLPOOL
2022-12-02,EQ,1523.95,1540.0,1518.0,1522.85,1539.0,1536.0,1529.99,2091.75,1365.1,108558,166092881.7,9850,WHIRLPOOL
2022-12-01,EQ,1529.8,1537.75,1516.8,1527.65,1525.0,1522.85,1522.92,2091.75,1365.1,88848,135308132.15,7026,WHIRLPOOL
2022-11-30,EQ,1538.45,1545.0,1507.5,1526.05,1529.8,1527.65,1525.99,2091.75,1365.1,94839,144723186.95,7939,WHIRLPOOL
2022-11-29,EQ,1527.3,1532.2,1511.05,1519.7,1525.5,1526.05,1522.92,2091.75,1365.1,70481,107337095.95,7077,WHIRLPOOL
2022-11-28,EQ,1517.45,1548.8,1511.45,1511.45,1522.0,1519.7,1528.88,2091.75,1365.1,109897,168019802.85,7078,WHIRLPOOL
2022-11-25,EQ,1493.8,1521.15,1486.85,1487.2,1515.0,1511.45,1501.73,2282.85,1365.1,321471,482762268.65,13337,WHIRLPOOL
2022-11-24,EQ,1495.45,1501.95,1485.0,1492.3,1485.5,1487.2,1490.62,2282.85,1365.1,58790,87633782.8,5144,WHIRLPOOL
2022-11-23,EQ,1499.0,1511.15,1487.6,1497.7,1490.3,1492.3,1492.76,2282.85,1365.1,64934,96931009.45,3544,WHIRLPOOL
2022-11-22,EQ,1500.0,1500.0,1476.45,1497.0,1499.6,1497.7,1489.37,2282.85,1365.1,45388,67599722.55,4461,WHIRLPOOL
2022-11-21,EQ,1512.5,1522.0,1490.1,1522.7,1493.45,1497.0,1499.96,2282.85,1365.1,99315,148968644.75,10657,WHIRLPOOL
2022-11-18,EQ,1532.85,1532.85,1502.55,1526.6,1520.0,1522.7,1518.78,2387.0,1365.1,54103,82170785.4,5625,WHIRLPOOL
2022-11-17,EQ,1524.8,1534.4,1505.25,1522.35,1529.7,1526.6,1524.09,2387.0,1365.1,77688,118403292.35,8503,WHIRLPOOL
2022-11-16,EQ,1533.4,1533.4,1513.1,1525.75,1524.0,1522.35,1522.35,2387.0,1365.1,42644,64919131.6,5103,WHIRLPOOL
2022-11-15,EQ,1537.0,1537.75,1520.0,1529.0,1522.0,1525.75,1527.11,2387.0,1365.1,42593,65044161.35,3913,WHIRLPOOL
2022-11-14,EQ,1538.25,1549.0,1520.4,1530.55,1528.0,1529.0,1531.29,2387.0,1365.1,117586,180058799.8,10621,WHIRLPOOL
2022-11-11,EQ,1523.65,1538.9,1511.1,1515.35,1532.0,1530.55,1526.15,2387.0,1365.1,71931,109777828.1,6243,WHIRLPOOL
2022-11-10,EQ,1509.8,1520.0,1483.6,1503.3,1519.0,1515.35,1502.62,2387.0,1365.1,90704,136293821.5,6607,WHIRLPOOL
2022-11-09,EQ,1535.25,1545.0,1490.0,1527.65,1503.0,1503.3,1509.99,2387.0,1365.1,726656,1097240119.9,6262,WHIRLPOOL
2022-11-07,EQ,1527.85,1544.45,1510.0,1520.2,1527.0,1527.65,1527.29,2387.0,1365.1,54713,83562593.35,5913,WHIRLPOOL
2022-11-04,EQ,1522.1,1527.9,1503.8,1518.95,1520.0,1520.2,1518.14,2387.0,1365.1,94699,143766499.6,8360,WHIRLPOOL
2022-11-03,EQ,1540.0,1551.0,1510.55,1544.55,1517.1,1518.95,1521.53,2387.0,1365.1,416578,633837110.75,7382,WHIRLPOOL
2022-11-02,EQ,1544.0,1579.45,1538.05,1564.55,1545.9,1544.55,1553.23,2387.0,1365.1,203594,316228785.85,11559,WHIRLPOOL
2022-11-01,EQ,1580.0,1585.0,1531.05,1575.45,1560.0,1564.55,1557.7,2387.0,1365.1,242760,378147341.65,16943,WHIRLPOOL
2022-10-31,EQ,1568.4,1579.9,1554.55,1565.05,1570.0,1575.45,1568.74,2387.0,1365.1,64791,101640438.8,5508,WHIRLPOOL
2022-10-28,EQ,1587.8,1590.55,1550.1,1582.25,1565.0,1565.05,1565.52,2387.0,1365.1,95088,148861926.6,7825,WHIRLPOOL
2022-10-27,EQ,1562.5,1586.95,1562.5,1561.85,1575.0,1582.25,1575.61,2387.0,1365.1,55862,88016852.75,3772,WHIRLPOOL
2022-10-25,EQ,1607.0,1607.05,1540.0,1607.7,1560.0,1561.85,1570.68,2387.0,1365.1,80865,127013062.2,6755,WHIRLPOOL
2022-10-24,EQ,1596.5,1617.65,1596.1,1593.2,1603.8,1607.7,1607.68,2387.0,1365.1,15566,25025126.8,1244,WHIRLPOOL
2022-10-21,EQ,1644.0,1645.0,1580.55,1645.65,1590.65,1593.2,1601.18,2474.6,1365.1,192422,308101890.6,10850,WHIRLPOOL
2022-10-20,EQ,1612.15,1649.85,1608.1,1622.15,1640.5,1645.65,1636.4,2474.6,1365.1,101749,166501953.55,6666,WHIRLPOOL
2022-10-19,EQ,1608.65,1628.55,1602.6,1600.65,1625.55,1622.15,1621.08,2474.6,1365.1,66686,108103058.85,5270,WHIRLPOOL
2022-10-18,EQ,1563.85,1623.0,1560.95,1556.1,1616.95,1600.65,1586.75,2474.6,1365.1,47616,75554594.75,4259,WHIRLPOOL
2022-10-17,EQ,1566.2,1579.0,1550.1,1566.2,1561.2,1556.1,1558.62,2474.6,1365.1,192125,299450703.5,9322,WHIRLPOOL
2022-10-14,EQ,1591.5,1601.4,1563.2,1579.5,1565.2,1566.2,1578.12,2550.0,1365.1,52015,82085895.5,6058,WHIRLPOOL
2022-10-13,EQ,1582.5,1603.45,1570.5,1596.9,1581.45,1579.5,1581.25,2550.0,1365.1,108208,171103751.05,5294,WHIRLPOOL
2022-10-12,EQ,1620.0,1629.75,1586.0,1622.65,1592.95,1596.9,1600.26,2550.0,1365.1,162958,260774370.0,7282,WHIRLPOOL
2022-10-11,EQ,1653.8,1654.4,1605.0,1647.35,1613.75,1622.65,1626.37,2550.0,1365.1,153462,249586006.3,9059,WHIRLPOOL
2022-10-10,EQ,1635.0,1653.0,1618.85,1646.45,1647.25,1647.35,1642.77,2550.0,1365.1,118897,195320779.4,12258,WHIRLPOOL
2022-10-07,EQ,1662.0,1672.0,1632.55,1656.0,1647.0,1646.45,1642.65,2550.0,1365.1,55559,91264162.45,6037,WHIRLPOOL
2022-10-06,EQ,1657.95,1685.0,1649.75,1651.25,1650.85,1656.0,1667.06,2550.0,1365.1,95755,159628901.35,17534,WHIRLPOOL
2022-10-04,EQ,1628.0,1656.95,1622.0,1620.7,1652.0,1651.25,1640.61,2550.0,1365.1,69735,114407633.65,5750,WHIRLPOOL
2022-10-03,EQ,1635.0,1638.0,1606.6,1634.5,1621.0,1620.7,1621.84,2550.0,1365.1,113437,183976969.5,9379,WHIRLPOOL
