DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2022-12-30,EQ,22.5,23.3,21.65,22.2,22.65,22.9,22.91,41.3,16.6,13960,319879.5,99,WILLAMAGOR
2022-12-29,EQ,22.15,22.2,20.5,21.15,22.2,22.2,22.09,41.3,16.6,10369,229039.05,100,WILLAMAGOR
2022-12-28,EQ,20.5,21.15,19.35,20.15,21.15,21.15,20.94,41.3,16.6,8247,172731.8,69,WILLAMAGOR
2022-12-27,EQ,20.05,20.3,19.15,19.35,20.3,20.15,20.03,41.3,16.6,16415,328819.45,76,WILLAMAGOR
2022-12-26,EQ,17.85,19.5,17.85,18.6,19.3,19.35,19.04,41.3,16.6,11254,214251.05,123,WILLAMAGOR
2022-12-23,EQ,19.0,20.05,18.45,20.5,18.45,18.6,18.96,41.3,16.6,35799,678697.05,196,WILLAMAGOR
2022-12-22,EQ,23.3,23.3,20.3,22.35,20.3,20.5,20.89,41.3,16.6,30583,638750.6,226,WILLAMAGOR
2022-12-21,EQ,24.7,24.7,22.25,23.55,22.25,22.35,22.9,41.3,16.6,23706,542969.95,235,WILLAMAGOR
2022-12-20,EQ,24.95,24.95,22.5,23.95,24.3,23.55,23.29,41.3,16.6,33635,783517.9,441,WILLAMAGOR
2022-12-19,EQ,22.75,25.7,21.35,23.4,24.0,23.95,23.83,41.3,16.6,56376,1343411.05,348,WILLAMAGOR
2022-12-16,EQ,25.8,25.8,23.05,25.3,23.5,23.4,23.91,41.3,16.6,34893,834163.1,254,WILLAMAGOR
2022-12-15,EQ,26.0,27.2,23.6,25.0,25.55,25.3,25.71,41.3,16.6,132786,3414491.25,870,WILLAMAGOR
2022-12-14,EQ,25.0,25.0,21.15,22.75,25.0,25.0,24.56,41.3,16.6,27816,683253.5,130,WILLAMAGOR
2022-12-13,EQ,21.2,22.75,21.2,20.7,22.75,22.75,22.64,41.3,16.6,21075,477177.3,64,WILLAMAGOR
2022-12-12,EQ,20.7,21.6,20.35,20.6,21.2,20.7,21.02,41.3,16.6,12550,263791.65,164,WILLAMAGOR
