DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2022-12-30,EQ,241.0,242.7,238.85,239.25,240.45,240.05,240.7,333.7,200.5,4121398,992004369.5,26077,ZEEL
2022-12-29,EQ,238.0,240.2,236.05,239.05,238.9,239.25,238.35,333.7,200.5,3877085,924122557.6,26813,ZEEL
2022-12-28,EQ,239.85,240.75,237.05,239.05,239.1,239.05,239.08,333.7,200.5,3917229,936519666.15,36119,ZEEL
2022-12-27,EQ,240.0,242.9,236.45,239.05,239.4,239.05,238.91,333.7,200.5,3651255,872323888.85,26472,ZEEL
2022-12-26,EQ,235.05,241.7,230.65,235.05,239.55,239.05,238.66,333.7,200.5,5052693,1205868281.1,30434,ZEEL
2022-12-23,EQ,243.2,245.25,233.8,245.2,234.9,235.05,239.18,359.65,200.5,6879193,1645332002.3,43041,ZEEL
2022-12-22,EQ,248.6,250.15,242.0,247.25,245.1,245.2,245.62,359.65,200.5,8753085,2149937081.25,49007,ZEEL
2022-12-21,EQ,251.95,255.2,245.4,251.25,246.95,247.25,251.47,359.65,200.5,5395384,1356794977.9,34710,ZEEL
2022-12-20,EQ,251.0,252.3,247.85,252.05,252.0,251.25,249.74,359.65,200.5,3363026,839881892.0,26674,ZEEL
2022-12-19,EQ,250.4,253.4,249.55,250.55,251.95,252.05,251.65,359.65,200.5,3187837,802229449.45,24742,ZEEL
2022-12-16,EQ,256.4,257.85,249.55,258.3,250.15,250.55,253.46,378.7,200.5,6558107,1662214289.2,60078,ZEEL
2022-12-15,EQ,261.75,263.3,257.5,262.4,258.0,258.3,260.67,378.7,200.5,4590361,1196579542.95,26274,ZEEL
2022-12-14,EQ,262.0,264.0,260.8,260.65,262.15,262.4,262.18,378.7,200.5,3285704,861462053.2,39153,ZEEL
2022-12-13,EQ,263.95,264.75,259.6,262.55,260.8,260.65,262.5,378.7,200.5,5463466,1434134907.7,32340,ZEEL
2022-12-12,EQ,262.0,264.35,260.05,260.7,262.15,262.55,262.45,378.7,200.5,4921307,1291574228.25,24562,ZEEL
2022-12-09,EQ,264.0,264.9,258.2,262.65,260.9,260.7,261.57,378.7,200.5,4957696,1296760300.45,34002,ZEEL
2022-12-08,EQ,262.55,263.95,259.5,261.25,262.3,262.65,262.27,378.7,200.5,2885273,756723686.7,20761,ZEEL
2022-12-07,EQ,265.9,266.0,259.5,264.35,261.5,261.25,261.79,378.7,200.5,8540348,2235815181.2,41156,ZEEL
2022-12-06,EQ,266.1,267.75,263.15,268.2,264.3,264.35,265.74,378.7,200.5,4060189,1078971062.0,33902,ZEEL
2022-12-05,EQ,271.0,271.05,266.55,271.05,267.9,268.2,268.48,378.7,200.5,5574546,1496639734.85,64844,ZEEL
2022-12-02,EQ,266.0,271.9,265.15,266.35,270.3,271.05,269.29,378.7,200.5,6436957,1733392050.85,52487,ZEEL
2022-12-01,EQ,265.4,268.85,263.25,264.6,266.2,266.35,266.3,378.7,200.5,6798614,1810461428.5,44031,ZEEL
2022-11-30,EQ,260.5,265.85,259.95,261.9,264.45,264.6,263.93,378.7,200.5,7637573,2015803309.95,46881,ZEEL
2022-11-29,EQ,259.0,262.7,258.4,260.5,260.95,261.9,261.32,378.7,200.5,5505725,1438740626.0,39384,ZEEL
2022-11-28,EQ,258.85,262.95,258.6,259.4,259.95,260.5,260.69,378.7,200.5,4169247,1086897484.15,30329,ZEEL
2022-11-25,EQ,253.9,261.0,252.7,252.75,259.9,259.4,257.17,378.7,200.5,6214720,1598262149.9,56242,ZEEL
2022-11-24,EQ,254.8,255.0,250.75,253.8,253.5,252.75,252.36,378.7,200.5,7607420,1919785416.95,75518,ZEEL
2022-11-23,EQ,254.0,257.35,252.2,252.0,253.3,253.8,255.15,378.7,200.5,8480358,2163778868.95,71123,ZEEL
2022-11-22,EQ,248.0,252.4,246.7,247.1,252.4,252.0,250.28,378.7,200.5,4614912,1155041276.3,41912,ZEEL
2022-11-21,EQ,249.9,250.6,246.65,250.85,247.65,247.1,247.9,378.7,200.5,5124252,1270311138.4,33572,ZEEL
2022-11-18,EQ,254.0,255.3,249.15,252.95,250.65,250.85,251.21,378.7,200.5,4831143,1213629053.75,47891,ZEEL
2022-11-17,EQ,254.9,256.25,252.5,254.75,253.0,252.95,253.72,378.7,200.5,3559267,903049111.65,33079,ZEEL
2022-11-16,EQ,259.9,261.25,254.0,260.15,254.9,254.75,257.05,378.7,200.5,6533638,1679460392.25,59111,ZEEL
2022-11-15,EQ,258.1,261.95,258.1,259.6,259.8,260.15,260.23,378.7,200.5,3182967,828316947.3,24348,ZEEL
2022-11-14,EQ,264.2,265.4,256.05,265.85,259.2,259.6,258.99,378.7,200.5,10385896,2689840583.55,62762,ZEEL
2022-11-11,EQ,263.3,267.3,261.1,261.7,265.85,265.85,264.79,378.7,200.5,8369362,2216121385.1,51110,ZEEL
2022-11-10,EQ,262.0,263.55,259.6,262.45,261.6,261.7,261.18,378.7,200.5,4541879,1186252097.65,43726,ZEEL
2022-11-09,EQ,265.65,266.4,261.65,264.4,261.8,262.45,264.28,378.7,200.5,7936805,2097554514.4,50314,ZEEL
2022-11-07,EQ,266.0,267.6,260.65,265.1,264.4,264.4,263.42,378.7,200.5,5165695,1360763864.45,33928,ZEEL
2022-11-04,EQ,267.45,268.85,264.05,267.4,265.05,265.1,266.02,378.7,200.5,4227965,1124718084.6,26374,ZEEL
2022-11-03,EQ,264.0,269.4,263.35,264.95,267.5,267.4,267.2,378.7,200.5,5604967,1497642045.0,39048,ZEEL
2022-11-02,EQ,263.0,267.95,262.5,262.5,264.5,264.95,265.78,378.7,200.5,5384989,1431213084.45,41029,ZEEL
2022-11-01,EQ,263.0,264.5,261.05,262.45,262.95,262.5,262.82,378.7,200.5,5961641,1566838468.5,43823,ZEEL
2022-10-31,EQ,264.4,265.15,261.85,263.05,262.35,262.45,263.05,378.7,200.5,5845813,1537734735.2,36388,ZEEL
2022-10-28,EQ,266.5,268.4,260.9,265.9,263.0,263.05,263.91,378.7,200.5,5951654,1570718702.85,41384,ZEEL
2022-10-27,EQ,265.0,266.85,263.35,262.95,266.45,265.9,265.2,378.7,200.5,7378389,1956722538.5,45256,ZEEL
2022-10-25,EQ,268.3,269.8,262.5,267.45,263.0,262.95,264.21,378.7,200.5,8693812,2296950258.05,40816,ZEEL
2022-10-24,EQ,268.8,270.3,266.5,266.95,266.95,267.45,268.58,378.7,200.5,1646783,442300236.0,11493,ZEEL
2022-10-21,EQ,271.0,272.25,265.6,271.0,267.1,266.95,269.2,378.7,200.5,9405211,2531845803.8,46804,ZEEL
2022-10-20,EQ,271.8,273.3,269.35,271.2,269.85,271.0,271.51,378.7,200.5,7712560,2094035312.35,47154,ZEEL
2022-10-19,EQ,271.0,273.8,266.6,270.75,271.8,271.2,269.21,378.7,200.5,10359408,2788863907.95,58686,ZEEL
2022-10-18,EQ,279.0,280.05,270.05,263.7,271.3,270.75,273.55,378.7,200.5,34222972,9361574577.8,170523,ZEEL
2022-10-17,EQ,269.7,272.0,261.9,267.4,265.4,263.7,265.92,378.7,200.5,13737845,3653222582.7,83960,ZEEL
2022-10-14,EQ,277.25,277.75,266.65,273.15,267.4,267.4,271.94,378.7,200.5,10357588,2816603869.9,74302,ZEEL
2022-10-13,EQ,269.4,275.35,266.0,267.95,272.6,273.15,271.03,378.7,200.5,14644033,3969010170.4,91294,ZEEL
2022-10-12,EQ,274.0,274.0,262.75,272.65,267.45,267.95,267.67,378.7,200.5,17886711,4787668256.75,94137,ZEEL
2022-10-11,EQ,280.5,280.9,268.85,278.6,269.75,272.65,274.93,378.7,200.5,11457350,3150003483.45,57369,ZEEL
2022-10-10,EQ,277.0,283.5,276.2,281.8,278.6,278.6,280.05,378.7,200.5,10302781,2885333482.0,51855,ZEEL
2022-10-07,EQ,280.9,284.5,277.25,279.95,281.3,281.8,280.65,378.7,200.5,14658804,4113976378.3,82284,ZEEL
2022-10-06,EQ,273.5,287.0,272.15,268.2,280.5,279.95,280.27,378.7,200.5,53214447,14914555819.35,257834,ZEEL
2022-10-04,EQ,257.45,271.5,255.25,252.2,269.9,268.2,262.23,378.7,200.5,16090506,4219442785.95,79626,ZEEL
2022-10-03,EQ,259.0,263.65,249.75,258.15,253.0,252.2,256.03,378.7,200.5,8645406,2213467310.0,63513,ZEEL
2022-09-30,EQ,252.0,260.5,251.2,251.1,259.1,258.15,257.61,378.7,200.5,11165327,2876322126.3,67160,ZEEL
2022-09-29,EQ,260.0,264.75,247.8,256.85,252.0,251.1,254.22,378.7,200.5,18822028,4784922562.0,93772,ZEEL
2022-09-28,EQ,260.0,268.2,254.2,263.0,256.0,256.85,262.5,378.7,200.5,9227792,2422320716.8,53030,ZEEL
2022-09-27,EQ,260.0,264.75,254.2,257.85,263.2,263.0,260.7,378.7,200.5,9541087,2487358093.7,64347,ZEEL
